MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
54474.65000000006	4.761288640342042e-16	4.9271678517896156e-18	2.228846031082139e-16	2.1318735288316763e-18	7.940612101749111e-17	3.308300640735451e-19	1.6335155366918551e-16	1.518506397768553e-18	7.348996116841596e-16	1.958415024003353e-17	3.023570335724804e-15	7.244983370878625e-17	nan	nan
54474.70000000006	5.493144241624609e-16	4.4535123178302735e-18	2.6769923391704695e-16	1.9206917538952167e-18	1.017419383349515e-16	3.177124968155091e-19	1.989556617992288e-16	1.3785709862254702e-18	8.306204092225067e-16	1.7685810433829618e-17	3.0616457637981696e-15	6.957399855430817e-17	nan	nan
54474.750000000065	6.227867076853206e-16	4.101511341835097e-18	3.1252551689160704e-16	1.8228596734863133e-18	1.2384928294192356e-16	3.489675418162066e-19	2.345560490595971e-16	1.3314478472197796e-18	9.277428155946515e-16	1.635513814278493e-17	3.099939035814383e-15	6.691310898747996e-17	nan	nan
54474.80000000007	6.961930950244676e-16	3.863868682168244e-18	3.5706574243334888e-16	1.8138084664851512e-18	1.4550354875003264e-16	3.8984785721747053e-19	2.699174463772113e-16	1.3523800665984731e-18	1.0255416901764131e-15	1.554956475883867e-17	3.1382150791601606e-15	6.446571910205221e-17	nan	nan
54474.85000000007	7.691493910326694e-16	3.724912444250617e-18	4.010289920951776e-16	1.8619450478137817e-18	1.6653250437892533e-16	4.2759883155287653e-19	3.0481488300744175e-16	1.4130092997928984e-18	1.1232324276764828e-15	1.5180061466863427e-17	3.1761973039357737e-15	6.222638690907195e-17	nan	nan
54474.900000000074	8.412668707791505e-16	3.663545448749869e-18	4.441481453411084e-16	1.939572298244021e-18	1.868136337461807e-16	4.598949157011336e-19	3.390450734397753e-16	1.4910047289936119e-18	1.2200440279525946e-15	1.5133737042625443e-17	3.213590156995132e-15	6.018656617225921e-17	nan	nan
54474.95000000008	9.121693554447942e-16	3.65736813413771e-18	4.861867600548161e-16	2.027454269976547e-18	2.0626554875400996e-16	4.874522706525602e-19	3.7243024404970963e-16	1.5722596305381804e-18	1.3152508020527017e-15	1.52989630673681e-17	3.2500897783455334e-15	5.833510206101749e-17	nan	nan
54475.00000000008	9.815039511657551e-16	3.686202348180386e-18	5.269410943289865e-16	2.114133076808174e-18	2.2483904728272083e-16	5.11439227743172e-19	4.048186202445326e-16	1.649053092215736e-18	1.4081898411680477e-15	1.5582425761124056e-17	3.285390961783354e-15	5.665870381372426e-17	nan	nan
54475.05000000008	1.0489475855989494e-15	3.733957173338129e-18	5.6623946100928975e-16	2.1935879409584552e-18	2.4250935536440314e-16	5.327513797465369e-19	4.3608339122943943e-16	1.7176991538799104e-18	1.49826964601893e-15	1.5914914296326815e-17	3.3191918255154716e-15	5.514241748861433e-17	nan	nan
54475.100000000086	1.1142106920717975e-15	3.788953302021878e-18	6.039390305037895e-16	2.263037720677068e-18	2.592698331314512e-16	5.519138393161676e-19	4.661210004748584e-16	1.7768318327116244e-18	1.5849732648434344e-15	1.6249512665158992e-17	3.3511970587743975e-15	5.377010482785338e-17	nan	nan
54475.15000000009	1.1770389343706187e-15	3.843366382852557e-18	6.399246876844564e-16	2.3216040450998174e-18	2.751270298560064e-16	5.691695907998149e-19	4.948491775482034e-16	1.8263442022331645e-18	1.6678580377353444e-15	1.655681617870242e-17	3.381120269577022e-15	5.252492109615639e-17	nan	nan
54475.20000000009	1.2372135800294154e-15	3.89237526235733e-18	6.741074648829853e-16	2.3695001391910674e-18	2.9009687059671174e-16	5.845967164155747e-19	5.222049198281746e-16	1.8667714034020115e-18	1.746553272566433e-15	1.6819967038305336e-17	3.4086857565929296e-15	5.1389777241116144e-17	nan	nan
54475.250000000095	1.2945509435379127e-15	3.933338847852462e-18	7.064221092091881e-16	2.4075076671537536e-18	3.0420175367641577e-16	5.982034480776188e-19	5.481425282922219e-16	1.8989418005106505e-18	1.8207566951175977e-15	1.703058426815797e-17	3.4336299085222996e-15	5.034776938213128e-17	nan	nan
54475.3000000001	1.3489011952258225e-15	3.9651219175287815e-18	7.368247010961376e-16	2.4366698364164e-18	3.174683660185664e-16	6.099910529823644e-19	5.726317472455028e-16	1.9237841168003267e-18	1.8902302113017778e-15	1.7185758885936888e-17	3.455702362520816e-15	4.9382560293453905e-17	nan	nan
54475.3500000001	1.4001467451435966e-15	3.987584981405184e-18	7.652903791630559e-16	2.458114878786163e-18	3.2992605743740935e-16	6.199884619313325e-19	5.956560290517858e-16	1.9422237551106765e-18	1.9547953249889285e-15	1.7285954997979167e-17	3.4746670089444093e-15	4.847870176095419e-17	nan	nan
54475.4000000001	1.448200351012986e-15	4.0012131105932666e-18	7.918111957612335e-16	2.4729556168318243e-18	3.416056466565546e-16	6.282645237435973e-19	6.172109296272546e-16	1.9551285426301208e-18	2.014328429855988e-15	1.7333593441304472e-17	3.4903029017587727e-15	4.762189202045182e-17	nan	nan
54475.450000000106	1.4930037383370052e-15	4.006832673249507e-18	8.163946748375153e-16	2.4822102951371463e-18	3.5253855481010315e-16	6.349116722225533e-19	6.37302839926674e-16	1.9632614983718316e-18	2.0687561125947556e-15	1.733212254777409e-17	3.5024051157869354e-15	4.679916772108307e-17	nan	nan
54475.50000000011	1.5345299497213817e-15	4.005287126732789e-18	8.390655419613352e-16	2.4866408283678702e-18	3.6275617096079575e-16	6.399691218054139e-19	6.559489580163045e-16	1.967153084287243e-18	2.118050551972529e-15	1.728542752935896e-17	3.5107855798179857e-15	4.599903418721323e-17	nan	nan
54475.55000000011	1.5727783876058424e-15	3.997395997627591e-18	8.598617067861132e-16	2.4868438898191027e-18	3.7228944906169623e-16	6.434632313049533e-19	6.731752045718712e-16	1.967190577317794e-18	2.162225063731036e-15	1.719747176112901e-17	3.515273906117029e-15	4.5211540769587184e-17	nan	nan
54475.600000000115	1.6077702221993338e-15	3.983985269854445e-18	8.788308156290005e-16	2.4833434032114512e-18	3.811686456363862e-16	6.454457294015439e-19	6.890144061383957e-16	1.9637051523013225e-18	2.2013298188055063e-15	1.7072094835674343e-17	3.5157182306718328e-15	4.442830972805768e-17	nan	nan
54475.65000000012	1.6395462123863012e-15	3.965856712462286e-18	8.960287708812362e-16	2.4766129900786872e-18	3.894231516713054e-16	6.459925587784416e-19	7.035052556206007e-16	1.9569952810628785e-18	2.2354477477712207e-15	1.6912914738252734e-17	3.5119860736149654e-15	4.364252755319517e-17	nan	nan
