spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/2008D_10.75.txt	54504.95	1.2080196632306737e-15	2.838504334431529e-17	True	1.6562842111875764e-15	2.1384099522148558e-17	True	1.1545149965398366e-15	1.4669912010756962e-17	True	1.6097520414324549e-15	1.9665386682322695e-17	True	3.9651980149466286e-16	5.1545633712012555e-17	True	8.345323997929896e-16	7.924012146314921e-16	False	1.7499930052130446e-15	4.9589153104612543e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/2008D_12.74.txt	54506.94	1.0022288847300588e-15	4.046045988928188e-17	True	1.4509156169219885e-15	3.045461063167836e-17	True	1.0702687476475452e-15	1.6224907869848874e-17	True	1.448485102099378e-15	2.2074169945909597e-17	True	2.914640411198403e-16	3.3081175916500526e-17	True	9.984146500399652e-16	9.637505923380453e-16	False	1.5258798549394057e-15	3.894693383052236e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/SN2008D_y2008m02d12.txt	54508.0	9.050636349017118e-16	3.8743286989044433e-17	True	1.34823131718331e-15	2.9373567048040265e-17	True	1.032292009893905e-15	1.552230824583739e-17	True	1.3689775374518979e-15	2.1504858301851215e-17	True	2.4211331406985756e-16	2.900054697772383e-17	True	1.0867558837657252e-15	1.0404283149424452e-15	False	1.3952879888991801e-15	3.6661280730563534e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/SN2008D_y2008m02d16.txt	54512.0	6.616490832514908e-16	8.121854660881391e-17	True	1.0229585008351972e-15	5.399226741808795e-17	True	8.97266870851416e-16	2.832316564225623e-17	True	1.124924135390909e-15	4.223449862317453e-17	True	2.0152583817964807e-16	2.0096505106740892e-17	True	1.402209970411597e-15	1.252482120445559e-15	False	1.1196522239468904e-15	3.944740780111571e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/2008D_18.71.txt	54512.91	6.259132908854923e-16	9.914945286675527e-17	True	9.641575763260978e-16	6.632217197850099e-17	True	8.686278845921528e-16	3.4590336973801444e-17	True	1.0791265319277284e-15	5.174910610125275e-17	True	1.924925479612205e-16	1.894816630206218e-17	True	1.4673992088966128e-15	1.2866241445307398e-15	False	1.0900167625424065e-15	4.3392996699630906e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/2008D_26.68.txt	54520.88	4.549209010196766e-16	6.524194940066962e-17	True	6.659396016086795e-16	2.7985753037858215e-17	True	6.611912464191751e-16	1.5519100992417112e-17	True	7.792010964017261e-16	2.1869030100467443e-17	True	1.2972526393206025e-16	1.8564871860343945e-17	True	1.9089507955533956e-15	1.4490833789224305e-15	False	8.35671451375653e-16	5.164504417987771e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/2008D_28.67.txt	54522.87	4.268040822632685e-16	5.301277517068426e-17	True	6.416227834350488e-16	2.137277677996505e-17	True	6.149620099730324e-16	1.1601338345069746e-17	True	7.270463963203859e-16	1.6270919467671572e-17	True	1.1743918022525168e-16	1.826997197071616e-17	True	1.9852476317626676e-15	1.466154673350605e-15	False	7.73885875783249e-16	6.382822465951079e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/SN2008D_y2008m02d29.txt	54525.0	4.0355796931823876e-16	5.1293495370339204e-17	True	6.173599743398879e-16	2.854778514354818e-17	True	5.695502720738984e-16	1.5970312469413557e-17	True	6.999732584008322e-16	2.2965590157332205e-17	True	1.0557512541415227e-16	1.7238980682936835e-17	True	2.0544112380783395e-15	1.4789927005688209e-15	False	7.102579130291788e-16	7.576830470334633e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/SN2008D_y2008m03d10.txt	54535.0	4.121353042364767e-16	4.010310473282819e-17	True	5.367461721425045e-16	2.1915532465542732e-17	True	4.672153032773794e-16	1.5439114234560332e-17	True	5.645985849846697e-16	2.1819528980854004e-17	True	6.403481006147788e-17	1.6510489048155083e-17	True	2.2518236696030398e-15	1.5019586952624754e-15	False	4.566550709422696e-16	1.1577164640727789e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008D/SN2008D_y2008m04d28.txt	54584.0	1.9215306776848495e-16	9.80154742270216e-18	True	2.2149897091699047e-16	6.210174192243954e-18	True	1.7259629721990319e-16	4.2143588278762825e-18	True	2.278635434268962e-16	2.0571082615239245e-18	True	5.525806361498133e-18	1.6068201362241812e-17	True	2.3719811981135572e-15	1.50591481196187e-15	False	3.323424859054488e-17	1.4883361305474828e-15	False
