MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err
53341.65069998104	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53341.70069998104	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53341.75069998104	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53341.800699981046	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53341.85069998105	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53341.90069998105	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53341.950699981055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.00069998106	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.05069998106	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.10069998106	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.150699981066	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.20069998107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.25069998107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.300699981075	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.35069998108	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.40069998108	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.450699981084	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.50069998109	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.55069998109	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.60069998109	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.650699981095	nan	nan	6.049615300499285e-17	6.099546978390177e-18	nan	nan	nan	nan	nan	nan	nan	nan
53342.7006999811	nan	nan	6.908959319793273e-17	6.126631223456949e-18	nan	nan	3.571470037429885e-17	3.494284471992162e-18	5.717511685766482e-17	5.489393658343665e-18	nan	nan
53342.7506999811	nan	nan	7.771176959394767e-17	6.460734328078136e-18	nan	nan	4.0026659201593574e-17	3.757528454819109e-18	6.354690069265253e-17	6.578155311449107e-18	nan	nan
53342.800699981104	nan	nan	8.636485825774329e-17	7.028782771572891e-18	nan	nan	4.4361070864740924e-17	4.4091841534762785e-18	6.998203510334024e-17	8.242913432123798e-18	nan	nan
53342.85069998111	nan	nan	9.50510354032074e-17	7.754209211911634e-18	nan	nan	4.8719002202635425e-17	5.2605969432142756e-18	7.648156405831895e-17	1.0109103290070125e-17	nan	nan
53342.90069998111	nan	nan	1.0377247740487879e-16	8.575448114789768e-18	nan	nan	5.310152034462663e-17	6.1923800312098904e-18	8.304653470217876e-17	1.2007417584263656e-17	nan	nan
53342.95069998111	nan	nan	1.12531360806462e-16	9.448916831520635e-18	nan	nan	5.750969272349039e-17	7.142353530946716e-18	8.967799740380315e-17	1.386295953476174e-17	nan	nan
53343.000699981116	nan	nan	1.2132986233290444e-16	1.0345375885729382e-17	nan	nan	6.194458708877061e-17	8.078600277529469e-18	9.637700580477247e-17	1.5640098562483653e-17	nan	nan
53343.05069998112	nan	nan	1.3017015890073566e-16	1.1245522324236283e-17	nan	nan	6.64072715196664e-17	8.984098674232727e-18	1.0314461686792482e-16	1.73206401120425e-17	nan	nan
53343.10069998112	nan	nan	1.3905442762749447e-16	1.2136608634196486e-17	nan	nan	7.08988144381902e-17	9.84938903810703e-18	1.0998189092598844e-16	1.8894886996706285e-17	nan	nan
53343.150699981124	nan	nan	1.4798484584419696e-16	1.3010176771550434e-17	nan	nan	7.542028462227593e-17	1.0669079721174627e-17	1.168898917303797e-16	2.0357675325292155e-17	nan	nan
53343.20069998113	nan	nan	1.569635911038513e-16	1.3860606118386788e-17	nan	nan	7.997275121897144e-17	1.1440108874002192e-17	1.2386968650015256e-16	2.1706472851409374e-17	nan	nan
53343.25069998113	nan	nan	1.6599284119144945e-16	1.4684190890871014e-17	nan	nan	8.45572837573131e-17	1.216083375287739e-17	1.3092234597096815e-16	2.2940403763697963e-17	nan	nan
53343.30069998113	nan	nan	1.7507477413908536e-16	1.5478549450317093e-17	nan	nan	8.91749521616676e-17	1.2830529806202536e-17	1.3804894444433596e-16	2.4059721646687646e-17	nan	nan
53343.350699981136	nan	nan	1.8421156822990817e-16	1.6242240513953902e-17	nan	nan	9.382682676474063e-17	1.3449103412541314e-17	1.45250559836886e-16	2.50655140749431e-17	nan	nan
53343.40069998114	nan	nan	1.9340540201297962e-16	1.6974509402422182e-17	nan	nan	9.851397832072864e-17	1.401692159555757e-17	1.525282737298374e-16	2.595953430599366e-17	nan	nan
53343.45069998114	nan	nan	2.0265845431300513e-16	1.7675117193227663e-17	nan	nan	1.0323747801838661e-16	1.453470874460601e-17	1.5988317141853887e-16	2.67441067499973e-17	nan	nan
53343.500699981145	nan	nan	2.1197290423937e-16	1.8344223627323088e-17	nan	nan	1.0799839749417059e-16	1.5003483343837206e-17	1.6731634196221727e-16	2.7422077719182943e-17	nan	nan
53343.55069998115	nan	nan	2.2135093119930252e-16	1.898230545558073e-17	nan	nan	1.1279780884546112e-16	1.5424519538279758e-17	1.7482887823383007e-16	2.7996795622904665e-17	nan	nan
53343.60069998115	nan	nan	2.3079471490530256e-16	1.959009852715448e-17	nan	nan	1.1763678464359362e-16	1.5799324681841467e-17	1.8242187697003074e-16	2.847211151260734e-17	nan	nan
