MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
54552.90010000011	nan	nan	3.154843760907325e-16	1.2110616140838327e-17	1.6780472802450607e-16	6.047487089212361e-18	2.6109716546581695e-16	9.455636635580372e-18	nan	nan	nan	nan	nan	nan
54552.95010000011	nan	nan	3.3050811488760065e-16	1.2637190507642773e-17	1.7582074677549698e-16	6.313230677101981e-18	2.7387002603550334e-16	9.875217652553388e-18	nan	nan	nan	nan	nan	nan
54553.000100000114	nan	nan	3.4538397875559e-16	1.3151727018780444e-17	1.8376744318168697e-16	6.573217336468685e-18	2.8653507070041236e-16	1.0285711931606736e-17	nan	nan	nan	nan	nan	nan
54553.05010000012	nan	nan	3.601109538267146e-16	1.3654374941466108e-17	1.9164389659768616e-16	6.827512424126075e-18	2.990908106382819e-16	1.068724192448478e-17	nan	nan	nan	nan	nan	nan
54553.10010000012	nan	nan	3.7468814639214334e-16	1.414529615765397e-17	1.9944918679245985e-16	7.076192230845627e-18	3.1153575354441876e-16	1.1079941852579078e-17	nan	nan	nan	nan	nan	nan
54553.15010000012	nan	nan	3.8911466173836986e-16	1.4624669106500355e-17	2.071823945190669e-16	7.319341925085575e-18	3.23868428340377e-16	1.1463954498425062e-17	nan	nan	nan	nan	nan	nan
54553.200100000126	nan	nan	4.033896044486152e-16	1.509268640897011e-17	2.1484279066779398e-16	7.557042014838369e-18	3.3608781832207013e-16	1.1839404425743077e-17	nan	nan	nan	nan	nan	nan
54553.25010000013	nan	nan	4.175120810149833e-16	1.5549552897486064e-17	2.2243003733200126e-16	7.789354522887608e-18	3.48193395486593e-16	1.2206394776397442e-17	nan	nan	nan	nan	nan	nan
54553.30010000013	nan	nan	4.314811953676563e-16	1.5995484044251482e-17	2.299438440487157e-16	8.016343782464003e-18	3.6018465222813755e-16	1.2565033385016317e-17	nan	nan	nan	nan	nan	nan
54553.350100000134	nan	nan	4.4529605364710185e-16	1.6430704531679525e-17	2.3738392035496414e-16	8.238078919820406e-18	3.7206108376000688e-16	1.2915433680148661e-17	nan	nan	nan	nan	nan	nan
54553.40010000014	nan	nan	4.589558512089458e-16	1.685543852973675e-17	2.447499748554745e-16	8.454633159932611e-18	3.838221864563143e-16	1.3257713975907338e-17	nan	nan	nan	nan	nan	nan
54553.45010000014	nan	nan	4.724604875354339e-16	1.726984992863354e-17	2.520417186928999e-16	8.666083564945949e-18	3.954674512187813e-16	1.3591997027847839e-17	nan	nan	nan	nan	nan	nan
54553.50010000014	nan	nan	4.858101953595779e-16	1.767407748916053e-17	2.592588599022298e-16	8.872510488617461e-18	4.069963745873513e-16	1.3918409691890762e-17	nan	nan	nan	nan	nan	nan
54553.550100000146	nan	nan	4.990052084190647e-16	1.806826591808178e-17	2.6640110910817347e-16	9.073997323612527e-18	4.1840845044868694e-16	1.4237082489411915e-17	nan	nan	nan	nan	nan	nan
54553.60010000015	nan	nan	5.120457609036856e-16	1.8452565829477942e-17	2.734681824256461e-16	9.270629409588055e-18	4.2970323238827153e-16	1.4548143926133792e-17	nan	nan	nan	nan	nan	nan
54553.65010000015	nan	nan	5.249320862999588e-16	1.882713349143926e-17	2.80459983517071e-16	9.462476466598214e-18	4.408806811043814e-16	1.4851690358173627e-17	nan	nan	nan	nan	nan	nan
54553.700100000155	nan	nan	5.376644202544541e-16	1.9192130464058563e-17	2.873766134851093e-16	9.649591336856473e-18	4.519409257786319e-16	1.5147805651211812e-17	nan	nan	nan	nan	nan	nan
54553.75010000016	nan	nan	5.502429948973785e-16	1.95477233635931e-17	2.9421818239285263e-16	9.832028108491442e-18	4.628841005675399e-16	1.5436576600705194e-17	nan	nan	nan	nan	nan	nan
54553.80010000016	nan	nan	5.626680459255356e-16	1.989408349393592e-17	3.0098479859417757e-16	1.0009843003068377e-17	4.737103366426814e-16	1.5718092843641197e-17	nan	nan	nan	nan	nan	nan
54553.85010000016	nan	nan	5.749398052681972e-16	2.0231386562212852e-17	3.07676573239858e-16	1.0183094188114444e-17	4.844197673314233e-16	1.5992446524222323e-17	nan	nan	nan	nan	nan	nan
54553.900100000166	nan	nan	5.870585123394652e-16	2.0559811698268445e-17	3.1429361561606957e-16	1.0351841825614399e-17	4.950125229761913e-16	1.6259732407233095e-17	nan	nan	nan	nan	nan	nan
54553.95010000017	nan	nan	5.99024631902091e-16	2.0879504296159598e-17	3.2083603542334317e-16	1.0516147896326709e-17	5.054887375676723e-16	1.6520047831126937e-17	nan	nan	nan	nan	nan	nan
54554.00010000017	nan	nan	6.108389914568093e-16	2.1190553704887092e-17	3.273039430873312e-16	1.0676076160720933e-17	5.158485404533117e-16	1.6773492439186774e-17	nan	nan	nan	nan	nan	nan
54554.050100000175	nan	nan	6.225024518595721e-16	2.14930475692311e-17	3.3369744836035886e-16	1.0831692052905975e-17	5.260920672820971e-16	1.7020168120352017e-17	nan	nan	nan	nan	nan	nan
54554.10010000018	nan	nan	6.340158721579155e-16	2.1787077205838786e-17	3.4001665969989154e-16	1.0983062594260708e-17	5.362194520447153e-16	1.72601782411428e-17	nan	nan	nan	nan	nan	nan
54554.15010000018	nan	nan	6.45380113157558e-16	2.207273758564639e-17	3.462617235804812e-16	1.1130250589754605e-17	5.46230998541833e-16	1.749360516158634e-17	nan	nan	nan	nan	nan	nan
54554.200100000184	nan	nan	6.565960345088409e-16	2.2350127415086366e-17	3.5243294103115776e-16	1.1273295701913303e-17	5.561272097360166e-16	1.7720505323795884e-17	nan	nan	nan	nan	nan	nan
54554.25010000019	nan	nan	6.67664496263976e-16	2.261934908444662e-17	3.5853065322160806e-16	1.1412232330831482e-17	5.659085998662765e-16	1.7940935722636315e-17	nan	nan	nan	nan	nan	nan
54554.30010000019	nan	nan	6.785863578221359e-16	2.2880508591187144e-17	3.6455520121793007e-16	1.1547096347244438e-17	5.755756828399625e-16	1.8154955269575716e-17	nan	nan	nan	nan	nan	nan
54554.35010000019	nan	nan	6.893624800392726e-16	2.3133715545324752e-17	3.705069275364649e-16	1.1677925075749329e-17	5.851289712377849e-16	1.836262503498885e-17	nan	nan	nan	nan	nan	nan
54554.400100000195	nan	nan	6.99993722264325e-16	2.3379082958183913e-17	3.763861745381705e-16	1.1804757289394705e-17	5.94568980791224e-16	1.8564008178239103e-17	nan	nan	nan	nan	nan	nan
54554.4501000002	nan	nan	7.104809448509074e-16	2.3616727185958103e-17	3.8219328230505137e-16	1.1927633277744761e-17	6.038962245784803e-16	1.8759169970956508e-17	nan	nan	nan	nan	nan	nan
54554.5001000002	nan	nan	7.208250068967899e-16	2.3846767740435296e-17	3.879285951662524e-16	1.2046594763641343e-17	6.131112170043936e-16	1.894817780888002e-17	nan	nan	nan	nan	nan	nan
54554.550100000204	nan	nan	7.310267900547013e-16	2.4069319989849198e-17	3.93592453048395e-16	1.2161684938952682e-17	6.22214473137125e-16	1.913110101699247e-17	nan	nan	nan	nan	nan	nan
54554.60010000021	nan	nan	7.410873499368823e-16	2.4284443094419266e-17	3.991851982088483e-16	1.227294842858809e-17	6.312065053915539e-16	1.9308011130088212e-17	nan	nan	nan	nan	nan	nan
54554.65010000021	nan	nan	7.510078280553041e-16	2.4492170021899755e-17	4.0470717331933647e-16	1.2380431247176174e-17	6.400878278408606e-16	1.9478981504837297e-17	nan	nan	nan	nan	nan	nan
54554.70010000021	nan	nan	7.60789366725678e-16	2.4692536602544253e-17	4.101587191869857e-16	1.2484180779968622e-17	6.488589557190358e-16	1.964408748731315e-17	nan	nan	nan	nan	nan	nan
54554.750100000216	nan	nan	7.704331087158191e-16	2.4885581902877053e-17	4.1554018205733347e-16	1.2584244439618876e-17	6.575204594814797e-16	1.9803392410138718e-17	nan	nan	nan	nan	nan	nan
54554.80010000022	nan	nan	7.799401953869972e-16	2.5071348278279576e-17	4.2085197001842643e-16	1.2680652371340131e-17	6.66073034785286e-16	1.995693021657975e-17	nan	nan	nan	nan	nan	nan
54554.85010000022	nan	nan	7.89311770662404e-16	2.524988151808195e-17	4.260945360640524e-16	1.277342197745385e-17	6.7451739586051525e-16	2.0104732441999252e-17	nan	nan	nan	nan	nan	nan
54554.900100000224	nan	nan	7.985489756019068e-16	2.5421230925703435e-17	4.3126833624386864e-16	1.286257162727813e-17	6.828542549472673e-16	2.024683270152022e-17	nan	nan	nan	nan	nan	nan
54554.95010000023	nan	nan	8.076529536263595e-16	2.5585449312583143e-17	4.363738252608781e-16	1.294812109890564e-17	6.910843290947135e-16	2.0383266561791647e-17	nan	nan	nan	nan	nan	nan
54555.00010000023	nan	nan	8.166248454439933e-16	2.5742593048786085e-17	4.414114588539717e-16	1.3030091608248179e-17	6.992083295479732e-16	2.0514071827758183e-17	nan	nan	nan	nan	nan	nan
54555.05010000023	nan	nan	8.254657938728569e-16	2.589272207613536e-17	4.46381691415386e-16	1.3108505843379682e-17	7.072269712004273e-16	2.0639288415627876e-17	nan	nan	nan	nan	nan	nan
54555.100100000236	nan	nan	8.341769417309992e-16	2.6035899840614388e-17	4.51284978684012e-16	1.3183388011732516e-17	7.15140968282136e-16	2.075895850530499e-17	nan	nan	nan	nan	nan	nan
54555.15010000024	nan	nan	8.42759430831794e-16	2.6172193338454977e-17	4.561217756218244e-16	1.325476387345172e-17	7.229510320382189e-16	2.0873126449593437e-17	nan	nan	nan	nan	nan	nan
54555.20010000024	nan	nan	8.512144032397838e-16	2.6301672959054395e-17	4.608925373979759e-16	1.3322660706669417e-17	7.306578793520172e-16	2.0981838897700082e-17	nan	nan	nan	nan	nan	nan
54555.250100000245	nan	nan	8.595430012204459e-16	2.6424412483738856e-17	4.655977195441798e-16	1.3387107360043308e-17	7.38262222795291e-16	2.1085144821431473e-17	nan	nan	nan	nan	nan	nan
54555.30010000025	nan	nan	8.677463775883479e-16	2.6540475398880444e-17	4.702377763490839e-16	1.344813427235512e-17	7.457647759347804e-16	2.1183095387827518e-17	nan	nan	nan	nan	nan	nan
54555.35010000025	nan	nan	8.75825729313532e-16	2.664987118053085e-17	4.748131633961958e-16	1.3505773433656842e-17	7.531662528347158e-16	2.127574401898446e-17	nan	nan	nan	nan	nan	nan
54555.40010000025	nan	nan	8.837822654723773e-16	2.6752597596149406e-17	4.793243355956962e-16	1.3560058379197625e-17	7.604673672276676e-16	2.1363146489778174e-17	nan	nan	nan	nan	nan	nan
54555.45010000026	nan	nan	8.916171949905615e-16	2.6848655975165674e-17	4.837717494633917e-16	1.361102408184765e-17	7.676688464442705e-16	2.1445352755644007e-17	nan	nan	nan	nan	nan	nan
54555.50010000026	nan	nan	8.993317263416578e-16	2.6938051395024996e-17	4.881558705273143e-16	1.3658696769249635e-17	7.747714702174584e-16	2.1522385313272786e-17	nan	nan	nan	nan	nan	nan
54555.55010000026	nan	nan	9.069270696569546e-16	2.7020792888744832e-17	4.924771885034785e-16	1.370308571526087e-17	7.817760310490789e-16	2.159426204537455e-17	nan	nan	nan	nan	nan	nan
54555.600100000265	nan	nan	9.144044332593242e-16	2.7096893537784153e-17	4.967361931596934e-16	1.3744199895961386e-17	7.886833204459996e-16	2.166100317983285e-17	nan	nan	nan	nan	nan	nan
54555.65010000027	nan	nan	9.217650255721063e-16	2.7166370637190982e-17	5.009333759211889e-16	1.378204993438596e-17	7.954941307442384e-16	2.1722631569608332e-17	nan	nan	nan	nan	nan	nan
54555.70010000027	nan	nan	9.290100555209786e-16	2.7229245797775873e-17	5.050692271773067e-16	1.3816648255067306e-17	8.022092527873425e-16	2.1779172618887595e-17	nan	nan	nan	nan	nan	nan
54555.750100000274	nan	nan	9.361407327851254e-16	2.728554506454776e-17	5.09144238405071e-16	1.3848009061825264e-17	8.088294794088201e-16	2.1830654396225456e-17	nan	nan	nan	nan	nan	nan
54555.80010000028	nan	nan	9.431582653357824e-16	2.7335298985005586e-17	5.131588997348518e-16	1.387614845744586e-17	8.153556012863884e-16	2.1877107905076473e-17	nan	nan	nan	nan	nan	nan
54555.85010000028	nan	nan	9.50063862199095e-16	2.7378542685502446e-17	5.171137027990562e-16	1.3901084478276342e-17	8.217884109218952e-16	2.191856690489676e-17	nan	nan	nan	nan	nan	nan
54555.90010000028	nan	nan	9.568587325016753e-16	2.741531594187424e-17	5.210091374690824e-16	1.3922837160736884e-17	8.281287003196984e-16	2.1955068090362995e-17	nan	nan	nan	nan	nan	nan
54555.950100000286	nan	nan	9.635440847673315e-16	2.7445663224498372e-17	5.248456947558047e-16	1.3941428544294174e-17	8.343772623133059e-16	2.198665117819974e-17	nan	nan	nan	nan	nan	nan
54556.00010000029	nan	nan	9.701211280724421e-16	2.746963372113377e-17	5.286238651003595e-16	1.3956882759945353e-17	8.405348872487748e-16	2.201335891617236e-17	nan	nan	nan	nan	nan	nan
54556.05010000029	nan	nan	9.765910706896456e-16	2.74872813776421e-17	5.323441407048924e-16	1.396922606343386e-17	8.466023674621231e-16	2.2035237132775903e-17	nan	nan	nan	nan	nan	nan
54556.100100000294	nan	nan	9.829551211929837e-16	2.7498664880914966e-17	5.360070108192687e-16	1.3978486847550364e-17	8.525804949577084e-16	2.2052334858617197e-17	nan	nan	nan	nan	nan	nan
54556.1501000003	nan	nan	9.892144839368614e-16	2.7503839983752996e-17	5.39612966350774e-16	1.3984695672218844e-17	8.584700607449082e-16	2.2064704208180202e-17	nan	nan	nan	nan	nan	nan
54556.2001000003	nan	nan	9.953703327837917e-16	2.7502819279816355e-17	5.431624981031055e-16	1.3987885301787092e-17	8.642718564964199e-16	2.207240057154909e-17	nan	nan	nan	nan	nan	nan
54556.2501000003	nan	nan	1.0014238295904186e-15	2.74956018866268e-17	5.4665609817482e-16	1.3988090743861708e-17	8.699866762065622e-16	2.2075479029146588e-17	nan	nan	nan	nan	nan	nan
54556.300100000306	nan	nan	1.0073761365650226e-15	2.7482192103389596e-17	5.500942549870723e-16	1.3985346048956185e-17	8.756153151962939e-16	2.2073973206719266e-17	nan	nan	nan	nan	nan	nan
54556.35010000031	nan	nan	1.0132284147605075e-15	2.7462599752001052e-17	5.534774529210543e-16	1.3979670051244545e-17	8.81158572269005e-16	2.206790955099229e-17	nan	nan	nan	nan	nan	nan
54556.40010000031	nan	nan	1.0189818274400629e-15	2.7436840366217293e-17	5.568061748559205e-16	1.397107792948759e-17	8.866172450672752e-16	2.2057318049601516e-17	nan	nan	nan	nan	nan	nan
54556.450100000315	nan	nan	1.024637535957995e-15	2.740493549268489e-17	5.6008090341185335e-16	1.3959587328247515e-17	8.91992129741214e-16	2.2042232394549535e-17	nan	nan	nan	nan	nan	nan
54556.50010000032	nan	nan	1.0301967020202468e-15	2.7366912862051388e-17	5.633021220377455e-16	1.3945218473258013e-17	8.972840289083024e-16	2.202269009675965e-17	nan	nan	nan	nan	nan	nan
54556.55010000032	nan	nan	1.0356604880862673e-15	2.7322806658488246e-17	5.664703127322466e-16	1.3927994273276275e-17	9.024937380553296e-16	2.1998732669825267e-17	nan	nan	nan	nan	nan	nan
54556.60010000032	nan	nan	1.041030056615506e-15	2.727265773424374e-17	5.695859573904176e-16	1.3907940404603435e-17	9.07622053829895e-16	2.1970405689591746e-17	nan	nan	nan	nan	nan	nan
54556.650100000326	nan	nan	1.0463065676561914e-15	2.721651381374183e-17	5.726495402898618e-16	1.388508541887488e-17	9.126697770253492e-16	2.193775920723434e-17	nan	nan	nan	nan	nan	nan
54556.70010000033	nan	nan	1.0514911854761882e-15	2.7154429731362095e-17	5.756615418236023e-16	1.3859460861613253e-17	9.176377037918016e-16	2.1900847382382374e-17	nan	nan	nan	nan	nan	nan
54556.75010000033	nan	nan	1.056585070575829e-15	2.7086467593039948e-17	5.786224474087192e-16	1.3831101362084598e-17	9.225266326009821e-16	2.1859729129273487e-17	nan	nan	nan	nan	nan	nan
54556.800100000335	nan	nan	1.061589385615498e-15	2.701269706299641e-17	5.815327374382356e-16	1.3800044701601171e-17	9.273373627537711e-16	2.1814467951426257e-17	nan	nan	nan	nan	nan	nan
54556.85010000034	nan	nan	1.0665052916480988e-15	2.6933195469455376e-17	5.843928956200167e-16	1.3766331931112076e-17	9.320706922244083e-16	2.1765132106726497e-17	nan	nan	nan	nan	nan	nan
54556.90010000034	nan	nan	1.0713339507814447e-15	2.684804809414022e-17	5.872034044188612e-16	1.3730007464395357e-17	9.367274184896434e-16	2.1711794894985308e-17	nan	nan	nan	nan	nan	nan
54556.950100000344	nan	nan	1.0760765249224135e-15	2.6757348334744922e-17	5.899647460405967e-16	1.3691119195809491e-17	9.41308339357886e-16	2.1654534503092372e-17	nan	nan	nan	nan	nan	nan
54557.00010000035	nan	nan	1.0807341764802205e-15	2.666119788206276e-17	5.926774032089944e-16	1.3649718507099764e-17	9.458142534666963e-16	2.1593434462475154e-17	nan	nan	nan	nan	nan	nan
54557.05010000035	nan	nan	1.0853080660054322e-15	2.6559706943753555e-17	5.953418586478255e-16	1.3605860468429174e-17	9.502459569661835e-16	2.152858349563781e-17	nan	nan	nan	nan	nan	nan
54557.10010000035	nan	nan	1.089799355907264e-15	2.645299422363251e-17	5.979585947183004e-16	1.3559603839527039e-17	9.546042506496983e-16	2.146007577910978e-17	nan	nan	nan	nan	nan	nan
54557.150100000355	nan	nan	1.0942091813179993e-15	2.6341167495638896e-17	6.005280942995737e-16	1.3511011228422874e-17	9.5888993066735e-16	2.138801038017762e-17	nan	nan	nan	nan	nan	nan
54557.20010000036	nan	nan	1.0985386278896677e-15	2.622430743326354e-17	6.030508397528557e-16	1.3460148937395904e-17	9.631037835511044e-16	2.1312476777184316e-17	nan	nan	nan	nan	nan	nan
54557.25010000036	nan	nan	1.1027887759495203e-15	2.6102500456711515e-17	6.055273042199542e-16	1.3407078606026638e-17	9.672465815715424e-16	2.123355458159112e-17	nan	nan	nan	nan	nan	nan
54557.300100000364	nan	nan	1.1069607058750418e-15	2.597584307821331e-17	6.079579470653681e-16	1.3351853765640272e-17	9.71319098491715e-16	2.115132885260177e-17	nan	nan	nan	nan	nan	nan
54557.35010000037	nan	nan	1.1110554988976907e-15	2.5844442330782778e-17	6.103432252192593e-16	1.3294531316518158e-17	9.753221069138636e-16	2.1065890985765838e-17	nan	nan	nan	nan	nan	nan
54557.40010000037	nan	nan	1.1150742354954197e-15	2.5708416271335302e-17	6.126835990302199e-16	1.3235172565169678e-17	9.792563815960196e-16	2.0977338781022275e-17	nan	nan	nan	nan	nan	nan
54557.45010000037	nan	nan	1.1190179961964142e-15	2.5567894465927894e-17	6.149795260499447e-16	1.3173843499983874e-17	9.83122693150463e-16	2.0885776972938167e-17	nan	nan	nan	nan	nan	nan
54557.500100000376	nan	nan	1.122887861629328e-15	2.5423018484825603e-17	6.172314641926891e-16	1.311061482370887e-17	9.869218150085855e-16	2.0791317191277724e-17	nan	nan	nan	nan	nan	nan
54557.55010000038	nan	nan	1.1266849124730487e-15	2.5273942365646428e-17	6.19439872305008e-16	1.3045562323396017e-17	9.906545214309282e-16	2.0694078386952516e-17	nan	nan	nan	nan	nan	nan
54557.60010000038	nan	nan	1.130410228401788e-15	2.5120833149647432e-17	6.216052087155117e-16	1.2978766827987101e-17	9.94321584522242e-16	2.0594186953634466e-17	nan	nan	nan	nan	nan	nan
54557.650100000385	nan	nan	1.134064891199576e-15	2.4963871369487962e-17	6.237279321671664e-16	1.2910314540092737e-17	9.979237773822583e-16	2.0491777029412994e-17	nan	nan	nan	nan	nan	nan
54557.70010000039	nan	nan	1.1376499808420274e-15	2.4803251582295343e-17	6.258084998491059e-16	1.284029712233073e-17	1.0014618732765377e-15	2.0386990672516183e-17	nan	nan	nan	nan	nan	nan
54557.75010000039	nan	nan	1.1411665780582634e-15	2.4639182857186875e-17	6.27847371281212e-16	1.2768811885106906e-17	1.0049366443098314e-15	2.0279978047607507e-17	nan	nan	nan	nan	nan	nan
54557.80010000039	nan	nan	1.1446157636276386e-15	2.4471889281135843e-17	6.298450042223571e-16	1.2695961968855452e-17	1.0083488637477004e-15	2.017089781880905e-17	nan	nan	nan	nan	nan	nan
54557.850100000396	nan	nan	1.1479986164708585e-15	2.4301610524679753e-17	6.3180185751909585e-16	1.262185646594553e-17	1.0116993055190259e-15	2.005991701402358e-17	nan	nan	nan	nan	nan	nan
54557.9001000004	nan	nan	1.151316219326395e-15	2.4128602283614704e-17	6.337183880497958e-16	1.2546610565437466e-17	1.0149887417285589e-15	1.9947211592876906e-17	nan	nan	nan	nan	nan	nan
54557.9501000004	nan	nan	1.1545696514163564e-15	2.3953136812524227e-17	6.355950556968995e-16	1.2470345749868639e-17	1.0182179454760306e-15	1.983296631036446e-17	nan	nan	nan	nan	nan	nan
54558.000100000405	nan	nan	1.1577599933693956e-15	2.3775503396799616e-17	6.374323182192793e-16	1.23931898485131e-17	1.021387690524492e-15	1.9717375085657812e-17	nan	nan	nan	nan	nan	nan
54558.05010000041	nan	nan	1.1608883259146342e-15	2.3596008775832937e-17	6.392306344116955e-16	1.2315277214834613e-17	1.0244987476520535e-15	1.960064110842256e-17	nan	nan	nan	nan	nan	nan
54558.10010000041	nan	nan	1.163955728575583e-15	2.341497764204093e-17	6.409904621884035e-16	1.2236748763889191e-17	1.027551891285087e-15	1.9482976778385122e-17	nan	nan	nan	nan	nan	nan
54558.150100000414	nan	nan	1.1669632841409468e-15	2.323275295189821e-17	6.427122591010982e-16	1.2157752144199472e-17	1.0305478955183032e-15	1.9364603962105366e-17	nan	nan	nan	nan	nan	nan
54558.20010000042	nan	nan	1.1699120704765228e-15	2.3049696282866533e-17	6.443964852393997e-16	1.207844168991683e-17	1.0334875269840617e-15	1.9245750309966714e-17	nan	nan	nan	nan	nan	nan
54558.25010000042	nan	nan	1.1728031556525241e-15	2.2866177524289893e-17	6.460435964457876e-16	1.1998977846797481e-17	1.0363715395458065e-15	1.912663624469076e-17	nan	nan	nan	nan	nan	nan
54558.30010000042	nan	nan	1.1756375670498185e-15	2.2682556578353677e-17	6.47654041156143e-16	1.1919518633138295e-17	1.0392006817604201e-15	1.900748705782178e-17	nan	nan	nan	nan	nan	nan
