MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
54551.0001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.0501	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.1001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.150100000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.20010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.25010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.300100000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.35010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.40010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.450100000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.50010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.55010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.60010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.650100000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.70010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.75010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.800100000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.85010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.90010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54551.95010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54552.000100000056	nan	nan	nan	nan	nan	nan	1.5815631532582328e-17	1.2091948181838143e-18	nan	nan	nan	nan	nan	nan
54552.05010000006	nan	nan	4.081830632790423e-17	1.9070661991032224e-18	2.2523960880766044e-17	1.0348267742227854e-18	2.99589311049449e-17	1.3328235474159238e-18	nan	nan	nan	nan	nan	nan
54552.10010000006	nan	nan	5.771167505786359e-17	2.319838959694125e-18	3.141086096589705e-17	1.2202238494643444e-18	4.40858698837703e-17	1.6866020246315864e-18	nan	nan	nan	nan	nan	nan
54552.150100000064	nan	nan	7.45628337152778e-17	2.8830696459257096e-18	4.02783553482471e-17	1.4823397386697979e-18	5.818230007764738e-17	2.1490813696591267e-18	nan	nan	nan	nan	nan	nan
54552.20010000007	nan	nan	9.135565309365919e-17	3.51333468162006e-18	4.911891995949014e-17	1.7823457063631065e-18	7.223664956762819e-17	2.655624365464384e-18	nan	nan	nan	nan	nan	nan
54552.25010000007	nan	nan	1.0807681245559605e-16	4.170845666737753e-18	5.792692360929832e-17	2.099735732945119e-18	8.6240252738194e-17	3.1784158143015504e-18	nan	nan	nan	nan	nan	nan
54552.30010000007	nan	nan	1.247163388926379e-16	4.836698396975548e-18	6.669720182664667e-17	2.424116314043885e-18	1.0018509353016386e-16	3.704998454050549e-18	nan	nan	nan	nan	nan	nan
54552.350100000076	nan	nan	1.4126446756456988e-16	5.501389021451347e-18	7.542500366696828e-17	2.7500200839663716e-18	1.1406390493872946e-16	4.229298559421441e-18	nan	nan	nan	nan	nan	nan
54552.40010000008	nan	nan	1.5771199559625451e-16	6.159844705334813e-18	8.410686190980248e-17	3.0744035904003623e-18	1.2787134889431892e-16	4.748105346748676e-18	nan	nan	nan	nan	nan	nan
54552.45010000008	nan	nan	1.7405250909093134e-16	6.809181398766183e-18	9.273955929444393e-17	3.395501573716157e-18	1.4160239543960843e-16	5.259639395077589e-18	nan	nan	nan	nan	nan	nan
54552.500100000085	nan	nan	1.902804620405181e-16	7.447724199308042e-18	1.0131988016581359e-16	3.712261633899917e-18	1.5525201577808454e-16	5.762891049790437e-18	nan	nan	nan	nan	nan	nan
54552.55010000009	nan	nan	2.0639030507127066e-16	8.074511534278599e-18	1.0984477528422695e-16	4.0240438804497025e-18	1.688155457735317e-16	6.257281611549854e-18	nan	nan	nan	nan	nan	nan
54552.60010000009	nan	nan	2.223764914216004e-16	8.689016938330278e-18	1.1831209254073353e-16	4.3304391186928314e-18	1.8228971376473265e-16	6.7424621750474886e-18	nan	nan	nan	nan	nan	nan
54552.65010000009	nan	nan	2.382338577642117e-16	9.290976908261019e-18	1.2671997246472058e-16	4.631194359605031e-18	1.9567157875560608e-16	7.218244292562988e-18	nan	nan	nan	nan	nan	nan
54552.7001000001	nan	nan	2.539591088648904e-16	9.880239884721799e-18	1.3506655517122019e-16	4.926166030245167e-18	2.0895819925258055e-16	7.684551906048688e-18	nan	nan	nan	nan	nan	nan
54552.7501000001	nan	nan	2.6954951642764226e-16	1.0456759518286036e-17	1.4334998336498424e-16	5.215286058412227e-18	2.221466307771435e-16	8.141385781820507e-18	nan	nan	nan	nan	nan	nan
54552.8001000001	nan	nan	2.850023495443173e-16	1.1020580015481901e-17	1.5156840197792363e-16	5.4985393894436976e-18	2.3523396251428416e-16	8.588800005061914e-18	nan	nan	nan	nan	nan	nan
54552.850100000105	nan	nan	3.0031487976821985e-16	1.1571812069363898e-17	1.5972030633103858e-16	5.7759348655962356e-18	2.4821798079855634e-16	9.02686076281594e-18	nan	nan	nan	nan	nan	nan
