# wavelength flux
3845.56943 8.26717e-18
3846.84513 7.68367e-18
3848.11079 7.49401e-18
3849.37644 7.86270e-18
3850.65215 8.52654e-18
3851.91780 8.88510e-18
3853.19351 8.82632e-18
3854.45916 8.73107e-18
3855.73487 8.99526e-18
3857.00052 9.80384e-18
3858.26618 1.08344e-17
3859.54188 1.14014e-17
3860.80754 1.10781e-17
3862.08324 9.90155e-18
3863.34890 8.28024e-18
3864.62460 7.64387e-18
3865.89026 8.74309e-18
3867.15592 1.08095e-17
3868.43162 1.18456e-17
3869.69728 1.15271e-17
3870.97298 1.08763e-17
3872.23864 1.03845e-17
3873.51434 9.90342e-18
3874.78000 9.64923e-18
3876.04565 1.01158e-17
3877.32136 1.08104e-17
3878.58701 1.08966e-17
3879.86271 1.05928e-17
3881.12837 1.07368e-17
3882.40407 1.11632e-17
3883.66973 1.13813e-17
3884.93539 1.14569e-17
3886.21109 1.23457e-17
3887.47675 1.36820e-17
3888.75245 1.42726e-17
3890.01811 1.36773e-17
3891.29381 1.26784e-17
3892.55947 1.24175e-17
3893.82513 1.29743e-17
3895.10083 1.33457e-17
3896.36649 1.31353e-17
3897.64219 1.32094e-17
3898.90785 1.43765e-17
3900.18355 1.60892e-17
3901.44920 1.71342e-17
3902.71486 1.72444e-17
3903.99056 1.67061e-17
3905.25622 1.63874e-17
3906.53192 1.68420e-17
3907.79758 1.77349e-17
3909.07328 1.83424e-17
3910.33894 1.83398e-17
3911.61464 1.84217e-17
3912.88030 1.91239e-17
3914.14596 1.99770e-17
3915.42166 2.01745e-17
3916.68732 1.94267e-17
3917.96302 1.87096e-17
3919.22868 1.93959e-17
3920.50438 2.12525e-17
3921.77004 2.25062e-17
3923.03570 2.23863e-17
3924.31140 2.16415e-17
3925.57705 2.11827e-17
3926.85276 2.12166e-17
3928.11841 2.18674e-17
3929.39412 2.30322e-17
3930.65977 2.40490e-17
3931.92543 2.42461e-17
3933.20113 2.38754e-17
3934.46679 2.38324e-17
3935.74249 2.48076e-17
3937.00815 2.60634e-17
3938.28385 2.64062e-17
3939.54951 2.60573e-17
3940.81517 2.56974e-17
3942.09087 2.55911e-17
3943.35653 2.53570e-17
3944.63223 2.56064e-17
3945.89789 2.64951e-17
3947.17359 2.70732e-17
3948.43925 2.72097e-17
3949.70490 2.72669e-17
3950.98061 2.70906e-17
3952.24626 2.63571e-17
3953.52197 2.59249e-17
3954.78762 2.65140e-17
3956.06333 2.75633e-17
3957.32898 2.83668e-17
3958.60469 2.88365e-17
3959.87034 2.91884e-17
3961.13600 2.94352e-17
3962.41170 2.95885e-17
3963.67736 2.92125e-17
3964.95306 2.79241e-17
3966.21872 2.63778e-17
3967.49442 2.59747e-17
3968.76008 2.67347e-17
3970.02574 2.74174e-17
3971.30144 2.75883e-17
3972.56710 2.77702e-17
3973.84280 2.79793e-17
3975.10846 2.82783e-17
3976.38416 2.84889e-17
3977.64982 2.88160e-17
3978.91547 2.89145e-17
3980.19118 2.91554e-17
3981.45683 2.98554e-17
3982.73254 3.03685e-17
3983.99819 3.00998e-17
3985.27390 2.90546e-17
3986.53955 2.80298e-17
3987.80521 2.73547e-17
3989.08091 2.71196e-17
3990.34657 2.73854e-17
3991.62227 2.79739e-17
3992.88793 2.79193e-17
3994.16363 2.70277e-17
3995.42929 2.65880e-17
3996.69495 2.70925e-17
3997.97065 2.76088e-17
3999.23631 2.72864e-17
4000.51201 2.70957e-17
4001.77767 2.76592e-17
4003.05337 2.81368e-17
4004.31903 2.78513e-17
4005.59473 2.73491e-17
4006.86039 2.70190e-17
4008.12604 2.70660e-17
4009.40175 2.74987e-17
4010.66740 2.79768e-17
4011.94310 2.80086e-17
4013.20876 2.75255e-17
4014.48446 2.68440e-17
4015.75012 2.67030e-17
4017.01578 2.72194e-17
4018.28144 2.78795e-17
4019.54709 2.79007e-17
4020.82280 2.74080e-17
4022.08845 2.69670e-17
4023.36416 2.67514e-17
4024.62981 2.62522e-17
4025.89547 2.58972e-17
4027.17117 2.62931e-17
4028.43683 2.70266e-17
4029.71253 2.71623e-17
4030.97819 2.65715e-17
4032.25389 2.59390e-17
4033.51955 2.57425e-17
4034.78521 2.58478e-17
4036.06091 2.59356e-17
4037.32657 2.58792e-17
4038.60227 2.59016e-17
4039.86793 2.61753e-17
4041.14363 2.63923e-17
4042.40929 2.58786e-17
4043.67494 2.49588e-17
4044.95065 2.43916e-17
4046.21630 2.41859e-17
4047.49201 2.38170e-17
4048.75766 2.34935e-17
4050.03337 2.35914e-17
4051.29902 2.36953e-17
4052.57473 2.32608e-17
4053.84038 2.27464e-17
4055.10604 2.26426e-17
4056.38174 2.26546e-17
4057.64740 2.25123e-17
4058.92310 2.21337e-17
4060.18876 2.15211e-17
4061.46446 2.08523e-17
4062.73012 2.06203e-17
4063.99578 2.08785e-17
4065.27148 2.09980e-17
4066.53714 2.08160e-17
4067.81284 2.06441e-17
4069.07850 2.03298e-17
4070.35420 1.99338e-17
4071.61986 1.95274e-17
4072.88551 1.93693e-17
4074.16122 1.92500e-17
4075.42687 1.90706e-17
4076.70258 1.88591e-17
4077.96823 1.87377e-17
4079.24393 1.89602e-17
4080.50959 1.90263e-17
4081.77525 1.86386e-17
4083.05095 1.81433e-17
4084.31661 1.80897e-17
4085.59231 1.82078e-17
4086.85797 1.79259e-17
4088.13367 1.73789e-17
4089.39933 1.72687e-17
4090.66499 1.76635e-17
4091.94069 1.81095e-17
4093.20635 1.77754e-17
4094.48205 1.67143e-17
4095.74771 1.60617e-17
4097.02341 1.62562e-17
4098.28907 1.68728e-17
4099.56477 1.71550e-17
4100.83043 1.71019e-17
4102.09608 1.68115e-17
4103.37178 1.63423e-17
4104.63744 1.59838e-17
4105.91314 1.61615e-17
4107.17880 1.67507e-17
4108.45450 1.71158e-17
4109.72016 1.68422e-17
4110.98582 1.62599e-17
4112.26152 1.59741e-17
4113.52718 1.61035e-17
4114.80288 1.61044e-17
4116.06854 1.57285e-17
4117.34424 1.51636e-17
4118.60990 1.48609e-17
4119.87556 1.51441e-17
4121.15126 1.58719e-17
4122.41692 1.65035e-17
4123.69262 1.66563e-17
4124.95827 1.59356e-17
4126.23398 1.48093e-17
4127.49963 1.38793e-17
4128.76529 1.34863e-17
4130.04099 1.32515e-17
4131.30665 1.30477e-17
4132.58235 1.34341e-17
4133.84801 1.44198e-17
4135.12371 1.51672e-17
4136.38937 1.50473e-17
4137.66507 1.45002e-17
4138.93073 1.41029e-17
4140.19639 1.39965e-17
4141.47209 1.39645e-17
4142.73775 1.37723e-17
4144.01345 1.35679e-17
4145.27911 1.33601e-17
4146.55481 1.33407e-17
4147.82047 1.37591e-17
4149.08612 1.47049e-17
4150.36183 1.56175e-17
4151.62748 1.60610e-17
4152.90319 1.58845e-17
4154.16884 1.54007e-17
4155.44455 1.48929e-17
4156.71020 1.47725e-17
4157.97586 1.50403e-17
4159.25156 1.51764e-17
4160.51722 1.47709e-17
4161.79292 1.39504e-17
4163.05858 1.31162e-17
4164.33428 1.27352e-17
4165.59994 1.31668e-17
4166.86560 1.42252e-17
4168.14130 1.51462e-17
4169.40696 1.51125e-17
4170.68266 1.42765e-17
4171.94832 1.37929e-17
4173.22402 1.43607e-17
4174.48968 1.53779e-17
4175.75533 1.58504e-17
4177.03104 1.57717e-17
4178.29669 1.56503e-17
4179.57240 1.55635e-17
4180.83805 1.55191e-17
4182.11376 1.55505e-17
4183.37941 1.58649e-17
4184.64507 1.61642e-17
4185.92077 1.61084e-17
4187.18643 1.57151e-17
4188.46213 1.53055e-17
4189.72779 1.51331e-17
4191.00349 1.52218e-17
4192.26915 1.55504e-17
4193.53481 1.58808e-17
4194.81051 1.59464e-17
4196.07617 1.58694e-17
4197.35187 1.58896e-17
4198.61753 1.59130e-17
4199.89323 1.57119e-17
4201.15889 1.52641e-17
4202.43459 1.50133e-17
4203.70025 1.50068e-17
4204.96590 1.50367e-17
4206.24161 1.49869e-17
4207.50726 1.50375e-17
4208.78297 1.53935e-17
4210.04862 1.57477e-17
4211.32433 1.58212e-17
4212.58998 1.56864e-17
4213.85564 1.54354e-17
4215.13134 1.50575e-17
4216.39700 1.48439e-17
4217.67270 1.52449e-17
4218.93836 1.62556e-17
4220.21406 1.68155e-17
4221.47972 1.63492e-17
4222.74538 1.56136e-17
4224.02108 1.56696e-17
4225.28674 1.61601e-17
4226.56244 1.60843e-17
4227.82810 1.50962e-17
4229.10380 1.44421e-17
4230.36946 1.45952e-17
4231.64516 1.53776e-17
4232.91082 1.61838e-17
4234.17647 1.65022e-17
4235.45217 1.62013e-17
4236.71783 1.54338e-17
4237.99353 1.50245e-17
4239.25919 1.51214e-17
4240.52485 1.52325e-17
4241.80055 1.50980e-17
4243.06621 1.50832e-17
4244.34191 1.53007e-17
4245.60757 1.54858e-17
4246.88327 1.54721e-17
4248.14893 1.54915e-17
4249.42463 1.55792e-17
4250.69029 1.57965e-17
4251.95595 1.60424e-17
4253.23165 1.59453e-17
4254.49731 1.55248e-17
4255.77301 1.51770e-17
4257.03866 1.52865e-17
4258.31437 1.56213e-17
4259.58002 1.56266e-17
4260.84568 1.49574e-17
4262.12138 1.40779e-17
4263.38704 1.38519e-17
4264.65270 1.41847e-17
4265.91836 1.44202e-17
4267.19406 1.41379e-17
4268.45972 1.38384e-17
4269.72537 1.38741e-17
4271.00108 1.42876e-17
4272.26673 1.49317e-17
4273.54244 1.54453e-17
4274.80809 1.54877e-17
4276.08380 1.51462e-17
4277.34945 1.49633e-17
4278.62516 1.50822e-17
4279.89081 1.51088e-17
4281.15647 1.49238e-17
4282.43217 1.47908e-17
4283.69783 1.47078e-17
4284.97353 1.44064e-17
4286.23919 1.40493e-17
4287.50485 1.42947e-17
4288.78055 1.50848e-17
4290.04621 1.56491e-17
4291.32191 1.54851e-17
4292.58757 1.48523e-17
4293.86327 1.43041e-17
4295.12893 1.41871e-17
4296.40463 1.44815e-17
4297.67029 1.49264e-17
4298.93594 1.52875e-17
4300.21165 1.55291e-17
4301.47730 1.57210e-17
4302.75300 1.60063e-17
4304.01866 1.63087e-17
4305.29436 1.64078e-17
4306.56002 1.62244e-17
4307.82568 1.60289e-17
4309.10138 1.61888e-17
4310.36704 1.67752e-17
4311.64274 1.71060e-17
4312.90840 1.66930e-17
4314.18410 1.60087e-17
4315.44976 1.59182e-17
4316.71542 1.63912e-17
4317.99112 1.68328e-17
4319.25678 1.69671e-17
4320.53248 1.69021e-17
4321.79814 1.68387e-17
4323.07384 1.68605e-17
4324.33949 1.69613e-17
4325.60515 1.69075e-17
4326.88085 1.68592e-17
