# wavelength flux
3201.02837 3.75894e-18
3202.72596 1.69131e-17
3204.42355 1.48712e-17
3206.12114 1.12970e-17
3207.81873 9.50092e-18
3209.51631 8.54841e-18
3211.21390 1.27476e-18
3212.91149 8.00045e-18
3214.60908 1.74700e-17
3216.30667 1.63797e-17
3218.00425 1.00302e-17
3219.70184 -1.91268e-18
3221.39943 -9.78043e-18
3223.09702 -1.02971e-17
3224.79461 -6.19550e-18
3226.49219 -7.76091e-18
3228.18978 -4.54670e-18
3229.88737 2.86555e-18
3231.58496 -9.25913e-19
3233.28255 -5.49947e-18
3234.98013 -4.62174e-18
3236.67772 -7.31637e-19
3238.37531 -1.76000e-18
3240.07290 9.92736e-19
3241.78053 4.16298e-18
3243.47812 1.62841e-17
3245.17571 1.77294e-17
3246.87330 1.53764e-17
3248.57088 1.36097e-17
3250.26847 1.32908e-17
3251.96606 1.00348e-17
3253.66365 1.31470e-17
3255.36124 1.44624e-17
3257.05883 1.53922e-17
3258.75641 1.78054e-17
3260.45400 1.98647e-17
3262.15159 1.83375e-17
3263.84918 1.94685e-17
3265.54677 2.26663e-17
3267.24435 2.19342e-17
3268.94194 1.93574e-17
3270.63953 2.44734e-17
3272.33712 2.98204e-17
3274.03471 2.60938e-17
3275.73229 2.59920e-17
3277.42988 2.18670e-17
3279.12747 1.40049e-17
3280.82506 6.06690e-18
3282.52265 2.36722e-18
3284.22023 7.51139e-18
3285.91782 1.71282e-17
3287.61541 1.69623e-17
3289.31300 1.61227e-17
3291.01059 2.24359e-17
3292.70818 1.78516e-17
3294.40576 6.95763e-18
3296.10335 3.80945e-18
3297.81098 4.94016e-18
3299.50857 5.53985e-18
3301.20616 5.15256e-18
3302.90375 6.84868e-18
3304.60134 1.21827e-17
3306.29892 1.86132e-17
3307.99651 2.00350e-17
3309.69410 1.99613e-17
3311.39169 2.54228e-17
3313.08928 2.82475e-17
3314.78687 2.66367e-17
3316.48445 2.64626e-17
3318.18204 2.94470e-17
3319.87963 2.58564e-17
3321.57722 2.59252e-17
3323.27481 2.70908e-17
3324.97239 2.72364e-17
3326.66998 2.78168e-17
3328.36757 3.03764e-17
3330.06516 3.17286e-17
3331.76275 2.85824e-17
3333.46033 2.28058e-17
3335.15792 1.27181e-17
3336.85551 7.14096e-18
3338.55310 4.77447e-18
3340.25069 8.38758e-19
3341.94827 -8.29620e-19
3343.64586 3.34425e-18
3345.34345 5.34607e-18
3347.04104 8.46690e-18
3348.73863 8.57075e-18
3350.43622 8.53608e-18
3352.13380 8.26686e-18
3353.83139 9.25776e-18
3355.53902 7.81906e-18
3357.23661 1.28989e-17
3358.93420 1.57706e-17
3360.63179 1.74822e-17
3362.32938 1.60005e-17
3364.02697 1.36666e-17
3365.72455 1.10449e-17
3367.42214 1.27135e-17
3369.11973 1.60809e-17
3370.81732 1.72572e-17
3372.51491 1.57680e-17
3374.21249 1.52199e-17
3375.91008 1.29801e-17
3377.60767 1.23421e-17
3379.30526 1.31210e-17
3381.00285 1.12295e-17
3382.70043 7.61153e-18
3384.39802 8.11288e-18
3386.09561 1.19637e-17
3387.79320 1.57289e-17
3389.49079 1.74730e-17
3391.18837 2.30854e-17
3392.88596 2.56862e-17
3394.58355 2.08504e-17
3396.28114 1.75112e-17
3397.97873 1.97097e-17
3399.67632 1.96061e-17
3401.37390 1.84164e-17
3403.07149 2.02206e-17
3404.76908 2.27501e-17
3406.46667 2.17878e-17
3408.16426 2.05847e-17
3409.86184 2.02028e-17
3411.56948 1.65587e-17
3413.26706 1.18378e-17
3414.96465 1.00914e-17
3416.66224 1.13490e-17
3418.35983 1.37924e-17
3420.05742 1.73836e-17
3421.75501 2.08206e-17
3423.45259 1.94554e-17
3425.15018 1.51092e-17
3426.84777 1.37112e-17
3428.54536 9.69100e-18
3430.24295 5.42533e-18
3431.94053 8.03285e-18
3433.63812 1.13797e-17
3435.33571 8.87701e-18
3437.03330 9.61582e-18
3438.73089 1.24110e-17
3440.42847 1.16815e-17
3442.12606 1.19171e-17
3443.82365 1.65991e-17
3445.52124 1.95243e-17
3447.21883 1.67583e-17
3448.91642 1.83338e-17
3450.61400 1.83032e-17
3452.31159 1.38881e-17
3454.00918 1.54039e-17
3455.70677 2.07685e-17
3457.40436 2.16377e-17
3459.10194 2.15388e-17
3460.79953 2.34030e-17
3462.49712 2.03704e-17
3464.19471 1.94031e-17
3465.90234 2.05529e-17
3467.59993 2.23002e-17
3469.29752 2.27014e-17
3470.99511 2.43017e-17
3472.69269 2.46600e-17
3474.39028 2.20483e-17
3476.08787 2.04782e-17
3477.78546 2.03635e-17
3479.48305 2.09646e-17
3481.18063 2.23377e-17
3482.87822 2.29329e-17
3484.57581 2.41097e-17
3486.27340 2.57144e-17
3487.97099 2.38626e-17
3489.66857 1.94506e-17
3491.36616 1.92449e-17
3493.06375 2.05083e-17
