MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
54430.119899998295	5.611219379498021e-16	5.647693939405518e-18	1.6013910234321775e-16	6.496161694773325e-19	2.7748754778532714e-16	2.4676864998546913e-18	4.746793152383528e-16	1.787172451847513e-17	4.354042068537584e-16	7.258530223687933e-18
54430.1698999983	6.139903685787111e-16	5.440263896743638e-18	1.8757539638086068e-16	7.002238647021045e-19	3.031192912920701e-16	2.3550191576687283e-18	5.417582777355308e-16	1.754134026716332e-17	4.659277463469129e-16	7.032580369768375e-18
54430.2198999983	6.669132592263932e-16	5.3571139117042024e-18	2.13933643804721e-16	8.118841910052876e-19	3.2877433210212363e-16	2.2993030908555377e-18	6.083758015374271e-16	1.8784341752938475e-17	4.965454869313628e-16	6.878499458744094e-18
54430.269899998304	7.197860200791306e-16	5.386586404269176e-18	2.38654239972077e-16	9.258488257565106e-19	3.543987214547871e-16	2.296046122849115e-18	6.739213133027486e-16	2.0737386622558333e-17	5.272270860220141e-16	6.794845847759141e-18
54430.31989999831	7.725078190083816e-16	5.5117870404972465e-18	2.6171547897074346e-16	1.008930192390844e-18	3.7994296429161146e-16	2.337554811941175e-18	7.378910089982872e-16	2.2887314214581487e-17	5.579426304145656e-16	6.778027569713592e-18
54430.36989999831	8.249984552847327e-16	5.7129225303515755e-18	2.831651942347851e-16	1.0747594454268759e-18	4.053585860597084e-16	2.4149622964215317e-18	7.998933142201732e-16	2.501952202645408e-17	5.886629980068031e-16	6.8228313260799276e-18
54430.41989999831	8.771868695444365e-16	5.9708258885336046e-18	3.030705017118136e-16	1.1557270186255984e-18	4.306080407551023e-16	2.5192168857507232e-18	8.59794387733808e-16	2.7005228792684684e-17	6.193637295729748e-16	6.922555174878008e-18
54430.469899998316	9.290034507838746e-16	6.269178600705385e-18	3.2158612494053164e-16	1.2333640628764594e-18	4.556609969400987e-16	2.6422401112588754e-18	9.17496005081262e-16	2.8825520866170966e-17	6.500220779583421e-16	7.069824336734743e-18
54430.51989999832	9.80395523730778e-16	6.594461290326365e-18	3.3889160634274394e-16	1.2920343043623245e-18	4.804872486149419e-16	2.7776628605123176e-18	9.729098078776099e-16	3.053220005206485e-17	6.806153075188002e-16	7.257278161070446e-18
54430.56989999832	1.031321592248014e-15	6.936071761589516e-18	3.5516646712917686e-16	1.3445492229221571e-18	5.050583021310313e-16	2.9207172495470084e-18	1.0260544019838272e-15	3.2131902625538283e-17	7.111227352855118e-16	7.477876428784609e-18
54430.619899998324	1.081740351411342e-15	7.286328940077062e-18	3.705829884394022e-16	1.4183391922623032e-18	5.293559590034804e-16	3.0676268430256124e-18	1.0770116418899169e-15	3.361377566752971e-17	7.415282846217884e-16	7.725030487788835e-18
54430.66989999833	1.1316124817617217e-15	7.639827272917e-18	3.8525537951606506e-16	1.5004349105896214e-18	5.53365843129312e-16	3.215620257207538e-18	1.1258637503111564e-15	3.500347325667525e-17	7.718165050188323e-16	7.992968009914297e-18
