spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	sdss_u_fitflux	sdss_u_fitfluxerr	sdss_u_inrange	sdss_z_fitflux	sdss_z_fitfluxerr	sdss_z_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-17_00-00-00_Ekar_BC-Ekar_None.dat	56003.0	1.9209024516913787e-14	2.334696167914679e-16	True	3.3157437679249296e-15	8.493301364399379e-17	True	5.156959063904507e-15	3.0604199228141564e-17	True	4.3459379489305886e-14	2.485811314389641e-15	False	9.131747443237033e-15	5.4490175779565946e-17	True	2.1419466693042105e-14	1.1285089309311174e-15	False	4.948340269241851e-15	2.7265296296332953e-16	False	9.493554620313686e-15	5.122849236559523e-16	False	6.159365944089386e-14	5.342522728781317e-15	False	3.1215307456351738e-15	1.361954899869059e-16	False	3.310141338011839e-14	1.5107730385174451e-15	False	5.818769344754935e-14	3.0949415256700548e-15	False	1.489672937541093e-13	7.635719247616044e-15	False	7.001885871907179e-14	6.053952058536665e-15	False	1.1144240392132722e-13	1.2186860069727707e-14	False	1.619171350674007e-14	8.230623562871743e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-19_00-00-00_NOT_ALFOSC_None.dat	56005.0	2.6672189771795536e-14	2.1503187918063958e-16	True	4.92084112785479e-15	5.144076786603781e-17	True	9.269748267425963e-15	9.562303373840934e-17	True	4.540112239798075e-14	1.602373905374703e-15	True	1.4768346169570064e-14	1.2598951083945222e-16	True	2.3308236699660556e-14	5.769431507955567e-16	True	6.227086952146203e-15	9.942924393610645e-17	True	1.1392854542455773e-14	2.239388541497918e-16	True	5.886077221749464e-14	4.062303053798509e-15	False	3.867427707018054e-15	5.792703052166345e-17	True	3.33589831980064e-14	1.1907216163414813e-15	True	5.76853802567136e-14	2.159885010635873e-15	True	1.2295922445219968e-13	4.8203541265672256e-15	True	7.994489678822672e-14	3.573467449725315e-15	True	1.1402630368368685e-13	5.68576601939156e-15	True	1.6833559700095006e-14	6.594243751671432e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-20_20-38-27_TNG_DOLORES_None.dat	56006.86	3.1430206824313525e-14	2.288438791368811e-16	True	6.144193971019038e-15	7.442795806314594e-17	True	1.1548960331612269e-14	1.003920176554398e-16	True	4.667943415437221e-14	1.0555558556102779e-15	True	1.7530529090509986e-14	1.4572926316720503e-16	True	2.5158288525837734e-14	3.624382633432017e-16	True	7.48732468177529e-15	7.344528176472005e-17	True	1.3303033820670455e-14	1.4128939766103443e-16	True	5.59853878696991e-14	3.0273807238973974e-15	False	4.585389794921769e-15	4.12157931205882e-17	True	3.35623736485296e-14	9.948514052990932e-16	True	5.692209010349304e-14	1.7120788297028754e-15	True	9.767575774044188e-14	3.673767909434983e-15	True	7.699785056360766e-14	2.8312151193204066e-15	True	8.469003739354887e-14	2.694794245296248e-15	True	1.7452094911043528e-14	5.562199248686058e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2011-03-21_00-00-00_Swift-UVOT_UV-grism_None.txt	56007.0	3.169916885578745e-14	2.291914793050018e-16	True	6.217302105751424e-15	7.576071613819536e-17	True	1.1677087087778629e-14	1.0014168520192909e-16	True	4.674241486630806e-14	1.0312251332393901e-15	True	1.7688539152644443e-14	1.4700248190189054e-16	True	2.5296321194131654e-14	3.5699818360983674e-16	True	7.576127106137408e-15	7.405568298001462e-17	True	1.3443391211936665e-14	1.4102652250258892e-16	True	5.575529864937667e-14	2.958676194579254e-15	True	4.63643839622921e-15	4.1398570636999447e-17	True	3.35755317866707e-14	9.840264631718647e-16	True	5.684971359308736e-14	1.6940972370584814e-15	True	9.575096152965561e-14	3.638737943053227e-15	True	7.626135915318733e-14	2.8310383145238146e-15	True	8.161288164350418e-14	2.5646943569900025e-15	True	1.7499217370944928e-14	5.503648214722126e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-21_22-25-29_Ekar_BC-Ekar_None.dat	56007.93	3.31934198924973e-14	2.282838704641488e-16	True	6.642016424492079e-15	7.972110877180701e-17	True	1.2444659551769689e-14	1.0155772946345117e-16	True	4.698031586097293e-14	9.206059333715465e-16	True	1.8604462588542498e-14	1.5004634346363586e-16	True	2.6203721989879312e-14	3.3496285339165333e-16	True	8.117261474913138e-15	7.797420302565543e-17	True	1.4316391943727808e-14	1.4224684898848325e-16	True	5.4176551187717605e-14	2.5474738559175025e-15	True	4.9544847986842935e-15	4.345835026405983e-17	True	3.3650828617735855e-14	9.221604518156552e-16	True	5.629748868490007e-14	1.6014007900592194e-15	True	8.302890331699741e-14	3.467542169354214e-15	True	7.050648356275161e-14	2.6474847803463826e-15	True	6.329403111841359e-14	2.3161576164972365e-15	True	1.7812359749784185e-14	5.167126735078825e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-22_20-57-40_Ekar_BC-Ekar_None.dat	56008.87	3.421956916618721e-14	2.2482268727144095e-16	True	6.973614154837986e-15	7.591672527966948e-17	True	1.3103928458563634e-14	9.985372361567717e-17	True	4.685140474044085e-14	8.737390499637075e-16	True	1.932378582588686e-14	1.449971302356932e-16	True	2.706642165860816e-14	3.220851276614657e-16	True	8.564181726616935e-15	8.07286681528639e-17	True	1.5047194139863975e-14	1.4575756442193323e-16	True	5.2488617302791373e-14	2.2303578876421853e-15	True	5.232286840963e-15	4.564838365696735e-17	True	3.36999156704883e-14	8.722897895464459e-16	True	5.558990202224308e-14	1.5228292873359965e-15	True	7.046159232724316e-14	3.2819163387628552e-15	True	6.416268147220187e-14	2.148058134899991e-15	True	5.009188522017333e-14	2.0235265235284192e-15	True	1.8126676687507614e-14	4.898628025780285e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2011-03-23_00-00-00_Swift-UVOT_UV-grism_None.txt	56009.0	3.432536698186806e-14	2.245867127350174e-16	True	7.012375258224845e-15	7.502440583550552e-17	True	1.3188973003558364e-14	9.949318334368086e-17	True	4.680293891216484e-14	8.705501480354367e-16	True	1.94090293483356e-14	1.4414733515698724e-16	True	2.7178753045685214e-14	3.2063892751946757e-16	True	8.617869953638596e-15	8.109262413359296e-17	True	1.5134115269041802e-14	1.4655480589988367e-16	True	5.224728884245899e-14	2.1955945888802413e-15	True	5.26702163481077e-15	4.595207184697301e-17	True	3.370412235301516e-14	8.660231128247384e-16	True	5.54783805339069e-14	1.5112135709336627e-15	True	6.87606748052236e-14	3.2484254472027385e-15	True	6.331402372594781e-14	2.0778535975109894e-15	True	4.861869998410364e-14	1.8844985151804863e-15	True	1.8169783886236114e-14	4.865592598230324e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-23_00-18-46_Ekar_BC-Ekar_None.dat	56009.01	3.4333152620219386e-14	2.2457433362127775e-16	True	7.015288321914049e-15	7.495478406636106e-17	True	1.3195474135649155e-14	9.947154628386695e-17	True	4.679889699594551e-14	8.703294067636712e-16	True	1.9415449156093472e-14	1.4408516677578467e-16	True	2.718731069330313e-14	3.205338186697521e-16	True	8.621920108906985e-15	8.11221382131184e-17	True	1.5140652986560345e-14	1.4662175510422345e-16	True	5.222864123757504e-14	2.1930178052768455e-15	True	5.269656197771055e-15	4.597588562612997e-17	True	3.370441754060653e-14	8.655456110676692e-16	True	5.546965438295574e-14	1.5103052587512146e-15	True	6.863028489052747e-14	3.2457467851926183e-15	True	6.324938365857569e-14	2.072699907546618e-15	True	4.850849681266752e-14	1.8736848145928378e-15	True	1.8173095153617684e-14	4.863084833416299e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2012-03-24_21-00-34_CA-2.2m_CAFOS_None.dat	56010.88	3.49270479039585e-14	2.4403423863407494e-16	True	7.403421264617102e-15	7.467609467865496e-17	True	1.4192180317022343e-14	1.245352575925548e-16	True	4.524520237234022e-14	8.757212281516625e-16	True	2.0188574634779863e-14	1.530239591567505e-16	True	2.849824596628891e-14	3.3181196696832427e-16	True	9.200731647908677e-15	9.279943213348671e-17	True	1.602710226411031e-14	1.7362606217535573e-16	True	4.851768380713859e-14	1.9613687703556425e-15	True	5.6729191552721705e-15	5.2187854205634295e-17	True	3.367696038174672e-14	7.815119724622047e-16	True	5.341985768004614e-14	1.2918017213872925e-15	True	4.573407834260185e-14	2.447685530953882e-15	True	5.2746090875764245e-14	1.5550269449132694e-15	True	3.3792625620976324e-14	2.121752342955309e-15	True	1.877577268578704e-14	4.449501807781303e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2012aw/2012aw_2011-03-25_00-00-00_Swift-UVOT_UV-grism_None.txt	56011.0	3.4911117803663975e-14	2.4692977300024514e-16	True	7.418868107159656e-15	7.610117155449299e-17	True	1.4232698784077035e-14	1.2796986032822253e-16	True	4.5095983625238925e-14	8.795442360847262e-16	True	2.0206726361502066e-14	1.56343366854225e-16	True	2.8558967405120954e-14	3.3462298340385396e-16	True	9.226647994402856e-15	9.394860825483383e-17	True	1.606427216298613e-14	1.7589716565251475e-16	True	4.826496733983415e-14	1.961572026972646e-15	True	5.693146100552865e-15	5.268909054743388e-17	True	3.366881589513954e-14	7.761822519733701e-16	True	5.325669752041181e-14	1.2747249292146062e-15	True	4.438992493842742e-14	2.376410041231153e-15	True	5.2103536108704586e-14	1.5018606434022336e-15	True	3.311298332759614e-14	1.983677579366168e-15	True	1.8812999653743365e-14	4.425255524072767e-16	True
