MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56003.39879999864	2.0854235354877426e-14	2.1229405495918025e-16	3.638376250077085e-15	6.67109913525061e-17	6.114540903359785e-15	4.238178748358457e-17	nan	nan	1.058719417934401e-14	6.173674331489092e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.448799998645	2.1056388983540352e-14	2.1059939055571284e-16	3.679088392234282e-15	6.481820200945909e-17	6.230545202869587e-15	4.461191641723102e-17	nan	nan	1.0757240953205515e-14	6.333840182073176e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.49879999865	2.1257484870656846e-14	2.0910080067253593e-16	3.719835281085424e-15	6.302194814164143e-17	6.345559989833081e-15	4.687291646079138e-17	nan	nan	1.0924437979624406e-14	6.507246141613462e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.54879999865	2.1457483025274712e-14	2.0779179687304448e-16	3.760608272489876e-15	6.132467412113379e-17	6.459563235007127e-15	4.9144052497582887e-17	nan	nan	1.108877128684217e-14	6.693867608409643e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.598799998654	2.165634346021035e-14	2.066657424023757e-16	3.801398680803873e-15	5.972884951728403e-17	6.5725329052612145e-15	5.1409640941481735e-17	nan	nan	1.1250229428406224e-14	6.893750324809165e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.64879999866	2.185402618666505e-14	2.0571589162934326e-16	3.842197820444911e-15	5.82369423991609e-17	6.684446963494712e-15	5.3658009648905905e-17	nan	nan	1.1408832174733367e-14	7.105728281896686e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.69879999866	2.2050491225665357e-14	2.0493542569280123e-16	3.88299700585088e-15	5.685136531534793e-17	6.795283368552056e-15	5.588066368097948e-17	nan	nan	1.1564620347519517e-14	7.327856199616789e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.74879999866	2.2245702023955223e-14	2.0431693623177124e-16	3.923787551440201e-15	5.557441132094616e-17	6.9050200751353026e-15	5.807162457949664e-17	nan	nan	1.1717635163482726e-14	7.558321185622992e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.798799998665	2.2439630441054543e-14	2.038516586735838e-16	3.964560771565483e-15	5.4408180870296934e-17	7.01363503373358e-15	6.022690810213083e-17	nan	nan	1.1867917836915344e-14	7.795476099263469e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.84879999867	2.2632249595865885e-14	2.035306882380686e-16	4.005307980478282e-15	5.335450124382709e-17	7.121106190508229e-15	6.234410918716176e-17	nan	nan	1.2015509583760151e-14	8.03784376087956e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.89879999867	2.282353262317375e-14	2.0334523602448193e-16	4.046020478637801e-15	5.241480736765829e-17	7.227411487260911e-15	6.442206828988573e-17	nan	nan	1.216045161643553e-14	8.284112721597363e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.948799998674	2.3013453958734425e-14	2.032864446085069e-16	4.086689593379052e-15	5.1589223100937766e-17	7.332530733333629e-15	6.646014759474997e-17	nan	nan	1.2302785322247752e-14	8.533077717281884e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56003.99879999868	2.3201998555569563e-14	2.0334379351682709e-16	4.127308420828493e-15	5.0874282229696774e-17	7.436458687223755e-15	6.845486603703896e-17	nan	nan	1.2442553465484787e-14	8.783285200206134e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.04879999868	2.3389156398511384e-14	2.0350613607462735e-16	4.167870982489334e-15	5.026476420617306e-17	7.539197269181687e-15	7.040166321958314e-17	nan	nan	1.2579799472768372e-14	9.033233129165407e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.09879999868	2.357491750604024e-14	2.0376265612850196e-16	4.2083713054139626e-15	4.9755060897468485e-17	7.640748439894763e-15	7.229655664062462e-17	nan	nan	1.2714566772860558e-14	9.281556157514657e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.148799998686	2.37592718964346e-14	2.041029303386395e-16	4.2488034163447035e-15	4.933928275390697e-17	7.741114155501822e-15	7.413610356312975e-17	nan	nan	1.284689879401924e-14	9.527022771851663e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.19879999869	2.3942209586357824e-14	2.0451697049171034e-16	4.289161341675227e-15	4.901136376541716e-17	7.840296367573906e-15	7.591735900196516e-17	nan	nan	1.2976838964825735e-14	9.768529709258205e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
