time,mag,mag_err
53344.81,-8.253044881126314,0.023171370144526155
53345.01,-10.860317295443341,0.009895252051360333
53345.31,-11.69361382704458,0.005496953137855066
53346.71,-13.761707825287717,0.001779025995736579
53348.61,-14.988554860799667,0.0014011543375346926
53350.51,-15.648807675277228,0.0006955406103007169
53352.4,-16.117225215628757,0.0003896415239417078
53354.3,-16.48033487117514,0.00022153909141259977
53356.2,-16.772392731138684,8.665427043284509e-05
53358.28,-17.095689593746403,0.00028231722481612505
53360.37,-17.336994642194497,0.0002841743779408754
53362.45,-17.49026072614654,0.00020211763192086107
53364.53,-17.55765212632746,0.0002343373474891002
53366.62,-17.545420239538007,0.00028032211754203123
53368.7,-17.45896856855061,0.00019427889073115863
53370.79,-17.32002917650599,0.00026907574619705035
53372.87,-17.155584172476864,0.00026006281885698084
53374.95,-16.95522550778033,0.00038278219712498265
53377.04,-16.75718520119429,0.00047062354951723476
53379.12,-16.555211162648956,0.00025862429894614003
53381.05,-16.433576727906182,0.00018131046110010822
53383.12,-16.28842234153311,0.0003218379340705126
53385.19,-16.13593086062927,0.00018847398642396964
53387.19,-16.046913806557125,0.0005642338867344154
53389.18,-15.958065491367908,0.0009778445488935286
53391.18,-15.874218571690818,0.0011605214241027816
53393.17,-15.804073244578731,0.0010225850147267115
53395.17,-15.783978922795786,0.0005741208043930397
53397.16,-15.727788503481033,0.0005934579743655613
53399.16,-15.71462670595178,0.0
53401.15,-15.690139080739392,0.0
53403.15,-15.664842766886572,0.0
53405.14,-15.639859238960899,0.0
53407.14,-15.614930159437197,0.0
53409.13,-15.590940151168013,0.0
53411.13,-15.565434144009668,0.0
53413.12,-15.53828475765104,0.0
53415.12,-15.526088863646306,0.0
53417.14,-15.47686477905608,0.0
53419.17,-15.445795488947757,0.0
53421.19,-15.414284819777698,0.0
53423.21,-15.384409503898532,0.0
53425.23,-15.354923197737968,0.0
53427.26,-15.324477764080484,0.0
53429.28,-15.295057910224202,0.0
53431.3,-15.264796157934025,0.0
53433.33,-15.235719429888114,0.0
53435.35,-15.205017985255525,0.0
53437.37,-15.173439977933239,0.0
53439.4,-15.13780937015715,0.0
53441.42,-15.099295612857093,0.0
53443.44,-15.055363623348724,0.0
53445.46,-15.009819534727635,0.0
53447.49,-14.962773465958692,0.0
53449.51,-14.916228964375621,0.0
53451.53,-14.870947298625328,0.0
53453.56,-14.82463772641969,0.0
53455.58,-14.779210691192846,0.0
53457.6,-14.732627477450137,0.0
53459.62,-14.68687042464759,0.0
53461.65,-14.639961451276013,0.0
53463.67,-14.593922861672882,0.0
53465.69,-14.54680690547072,0.0
53467.72,-14.500656261011446,0.0
53469.74,-14.453531656745728,0.0
53471.76,-14.407487496075191,0.0
53473.78,-14.361582827081115,0.0
53475.81,-14.314876156358029,0.0
53477.83,-14.269414247813499,0.0
53479.85,-14.22325723286012,0.0
53481.88,-14.178449859890229,0.0
53483.9,-14.133062002153817,0.0
53485.92,-14.089154521015328,0.0
53487.95,-14.044810020488294,0.0
53489.97,-14.002031008526899,0.0
53491.99,-13.958691297427956,0.0
53494.01,-13.916270936438863,0.0
53496.04,-13.871673276885424,0.0
