MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_UVW1	swift_UVW1_err
55080.55000000421	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.60000000421	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.650000004214	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.70000000422	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.75000000422	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.80000000422	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.850000004226	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.90000000423	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55080.95000000423	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.000000004235	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.05000000424	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.10000000424	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.15000000424	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.200000004246	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.25000000425	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.30000000425	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.350000004255	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.40000000426	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.45000000426	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.500000004264	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55081.55000000427	nan	nan	-1.9838064398551624e-18	6.0982562753283695e-18	nan	nan	nan	nan	nan	nan	nan	nan
55081.60000000427	-1.0203017027739243e-17	3.422146959660702e-17	-9.274028375966784e-19	5.973296647175898e-18	-1.3649807794758134e-18	3.5267655931968866e-18	-2.9210872299754333e-18	7.47106637709122e-18	nan	nan	nan	nan
55081.65000000427	-8.243452735627041e-18	3.3804968487420265e-17	1.3292657265569923e-19	5.869452613175987e-18	-8.919923207380083e-19	3.4734083835934315e-18	-2.0200855400321074e-18	7.361306599544435e-18	nan	nan	nan	nan
55081.700000004275	-6.2755601054802366e-18	3.340581801512682e-17	1.1975207578220863e-18	5.78613389635344e-18	-4.177005948965017e-19	3.4249990392635043e-18	-1.1163535629548526e-18	7.26045499227193e-18	nan	nan	nan	nan
55081.75000000428	-4.29918388578738e-18	3.3024002622606e-17	2.2667187093931166e-18	5.7225711842187654e-18	5.7974242529917e-20	3.3814707893309882e-18	-2.0975515967426116e-19	7.168411496167619e-18	nan	nan	nan	nan
55081.80000000428	-2.3141687539963245e-18	3.265949362075548e-17	3.3408594453646275e-18	5.67783037291288e-18	5.35112040029409e-19	3.342741434004191e-18	6.998458196191196e-19	7.085053275248044e-18	nan	nan	nan	nan
55081.850000004284	-3.20359315058594e-19	3.231224865491609e-17	4.4202820122792646e-18	5.650835057977167e-18	1.0137926503445466e-18	3.308713535401265e-18	1.6125855358799211e-18	7.010234774527115e-18	nan	nan	nan	nan
55081.90000000429	1.6823998996781478e-18	3.1982211219984946e-17	5.5053254870237036e-18	5.640395453479814e-18	1.4940959308339851e-18	3.279274915915748e-18	2.5286001618077116e-18	6.943788156336676e-18	nan	nan	nan	nan
55081.95000000429	3.694264433676527e-18	3.166931023324466e-17	6.596328978931345e-18	5.645241310864031e-18	1.9761017436057116e-18	3.2542994588614892e-18	3.4480258823295847e-18	6.885524118821682e-18	nan	nan	nan	nan
55082.00000000429	5.715389906696727e-18	3.13734596731389e-17	7.69363163156427e-18	5.6640561928623154e-18	2.4598899555646325e-18	3.2336481927064968e-18	4.3709988950430255e-18	6.835233086238331e-18	nan	nan	nan	nan
55082.050000004296	7.7459320158882e-18	3.1094558292152226e-17	8.797572624871933e-18	5.695510628193551e-18	2.945540439135919e-18	3.217170626511276e-18	5.297655410797795e-18	6.792686746000033e-18	nan	nan	nan	nan
55082.1000000043	9.786046537114765e-18	3.083248941067274e-17	9.908491176937482e-18	5.7382921426520346e-18	3.433133071969959e-18	3.2047062937460396e-18	6.228131654186466e-18	6.7576398938271406e-18	nan	nan	nan	nan
55082.1500000043	1.1835889326255963e-17	3.058712079822506e-17	1.1026726546065174e-17	5.79113079430388e-18	3.9227477375514885e-18	3.196086453634945e-18	7.162563864042889e-18	6.7298325368826644e-18	nan	nan	nan	nan
