MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_UVW1	swift_UVW1_err
55082.200000004304	1.3895616320346236e-17	3.0358304646806233e-17	1.2152618032547054e-17	5.8528194998335256e-18	4.414464325094897e-18	3.1911358936285423e-18	8.10108829388507e-18	6.7089921965781375e-18	nan	nan	nan	nan
55082.25000000431	1.5965383539050332e-17	3.014587763980878e-17	1.3286504980811476e-17	5.922229019719907e-18	4.908362730153363e-18	3.189674776066855e-18	9.043841212564566e-18	6.6948363460915825e-18	nan	nan	nan	nan
55082.30000000431	1.80453470857036e-17	2.994966111880769e-17	1.4428726781311963e-17	5.9983179116143675e-18	5.404522854628367e-18	3.1915204734941194e-18	9.99095890458028e-18	6.687074917339632e-18	nan	nan	nan	nan
55082.35000000431	2.0135663148866494e-17	2.9769461348242635e-17	1.5579622872410983e-17	6.080138045266368e-18	5.903024606969567e-18	3.19648934216054e-18	1.0942577670783465e-17	6.685412811031715e-18	nan	nan	nan	nan
55082.400000004316	2.2236488003230392e-17	2.9605069876888865e-17	1.6739532742375735e-17	6.166836416263484e-18	6.403947902526951e-18	3.204398390107684e-18	1.1898833828711366e-17	6.689552350191715e-18	nan	nan	nan	nan
55082.45000000432	2.4347978011164183e-17	2.945626399286029e-17	1.7908795931328105e-17	6.257654027232469e-18	6.9073726637221585e-18	3.215066804956924e-18	1.2859863713218754e-17	6.699195621277961e-18	nan	nan	nan	nan
55082.50000000432	2.647028962398399e-17	2.932280726763205e-17	1.908775203317426e-17	6.351922558976589e-18	7.413378820343525e-18	3.2283173151574976e-18	1.3825803676928742e-17	6.714046658409073e-18	nan	nan	nan	nan
55082.550000004325	2.860357938303302e-17	2.920445018245831e-17	2.027674069751388e-17	6.449059466968703e-18	7.922046309726922e-18	3.2439773682974012e-18	1.479679009070146e-17	6.733813432901618e-18	nan	nan	nan	nan
55082.60000000433	3.074799773563196e-17	2.910090259396676e-17	2.1476069596782292e-17	6.548524194423676e-18	8.433450141334497e-18	3.2618732076742535e-18	1.5772951411432302e-17	6.758196889351496e-18	nan	nan	nan	nan
55082.65000000433	3.290367047980537e-17	2.901175004357466e-17	2.268591832317618e-17	6.649698861205505e-18	8.947645590652717e-18	3.2818100426542837e-18	1.675438438406832e-17	6.786854460810484e-18	nan	nan	nan	nan
55082.70000000433	3.5070717321600286e-17	2.893654027853223e-17	2.390643449440079e-17	6.751997825649135e-18	9.464683005617929e-18	3.3035937925359334e-18	1.774117784038025e-17	6.8194402593393436e-18	nan	nan	nan	nan
55082.75000000434	3.724925806188884e-17	2.887481357572726e-17	2.5137765789440014e-17	6.854901808383371e-18	9.984612742675303e-18	3.327038890871563e-18	1.873342063214931e-17	6.855619664223141e-18	nan	nan	nan	nan
55082.80000000434	3.943941259695764e-17	2.8826104827639424e-17	2.6380059949584838e-17	6.957953809269921e-18	1.0507485166559919e-17	3.3519689596949717e-18	1.9731201631334013e-17	6.895070849244949e-18	nan	nan	nan	nan
55082.85000000434	4.164130091968648e-17	2.878994560144672e-17	2.7633464778978095e-17	7.060754865003175e-18	1.103335065065845e-17	3.3782172830711268e-18	2.0734609730548798e-17	6.93748599452206e-18	nan	nan	nan	nan
55082.900000004345	4.385504312043046e-17	2.876586614845553e-17	2.889812814572437e-17	7.162959803822897e-18	1.1562259577123365e-17	3.4056271018015173e-18	2.174373384333013e-17	6.982572203819277e-18	nan	nan	nan	nan
55082.95000000435	4.6080759388206573e-17	2.875339734351355e-17	3.017419798251623e-17	7.264273105196192e-18	1.209426233705377e-17	3.4340517524774155e-18	2.2758662904452286e-17	7.030052151794364e-18	nan	nan	nan	nan
55083.00000000435	4.831857001116052e-17	2.875207253557597e-17	3.146182228764229e-17	7.364444934728526e-18	1.262940933049541e-17	3.463354673750014e-18	2.3779485870298707e-17	7.079664489146689e-18	nan	nan	nan	nan
55083.050000004354	5.0568595378101403e-17	2.876142929431393e-17	3.276114912577637e-17	7.463267396401567e-18	1.3167750966764263e-17	3.4934093019049405e-18	2.4806291719144022e-17	7.13116403478445e-18	nan	nan	nan	nan
55083.10000000436	5.283095597923348e-17	2.878101103938248e-17	3.4072326628700454e-17	7.560571022648887e-18	1.370933766448462e-17	3.524098876303571e-18	2.5839169451563148e-17	7.184321783720176e-18	nan	nan	nan	nan
55083.15000000436	5.510577240689589e-17	2.881036854249111e-17	3.539550299642986e-17	7.65622150661989e-18	1.4254219851731838e-17	3.5553161726220975e-18	2.6878208090613992e-17	7.238924758715968e-18	nan	nan	nan	nan
55083.20000000436	5.739316535686396e-17	2.8849061294347005e-17	3.6730826497681635e-17	7.750116671621957e-18	1.4802447966279822e-17	3.586963180893618e-18	2.7923496682316075e-17	7.294775731701818e-18	nan	nan	nan	nan
55083.250000004366	5.969325562936977e-17	2.889665873194678e-17	3.807844547108629e-17	7.842183664619578e-18	1.53540724556581e-17	3.618950742018836e-18	2.897512429589282e-17	7.351692838959215e-18	nan	nan	nan	nan
55083.30000000437	6.200616412962819e-17	2.895274132335518e-17	3.9438508325778385e-17	7.932376356493205e-18	1.5909143777266068e-17	3.651198154623611e-18	3.003318002413099e-17	7.409509111513842e-18	nan	nan	nan	nan
55083.35000000437	6.433201186928461e-17	2.9016901509466014e-17	4.0811163542338404e-17	8.020672928579375e-18	1.6467712398610908e-17	3.6836327626947664e-18	3.1097752983748126e-17	7.46807193925805e-18	nan	nan	nan	nan
55083.400000004374	6.667091996709532e-17	2.908874450454494e-17	4.2196559673673564e-17	8.107073625376336e-18	1.7029828797516987e-17	3.716189531743002e-18	3.216893231556727e-17	7.52724248566962e-18	nan	nan	nan	nan
55083.45000000438	6.902300965004683e-17	2.9167888958299387e-17	4.3594845345730587e-17	8.19159865095578e-18	1.7595543461992615e-17	3.748810620204289e-18	3.3246807185045256e-17	7.58689506669457e-18	nan	nan	nan	nan
55083.50000000438	7.138840225423407e-17	2.92539674843949e-17	4.5006169258519045e-17	8.274286189309213e-18	1.816490689066785e-17	3.781444951346556e-18	3.433146678251897e-17	7.646916505308417e-18	nan	nan	nan	nan
55083.55000000438	7.3767219225873e-17	2.9346627060663334e-17	4.643068018682922e-17	8.355190527825712e-18	1.8737969592775458e-17	3.8140477891259055e-18	3.54230003234496e-17	7.70720547175546e-18	nan	nan	nan	nan
55083.600000004386	7.615957423597248e-17	2.944551175690102e-17	4.7868508471168466e-17	8.434354493849615e-18	1.9314778261636652e-17	3.846576084229402e-18	3.652149053472094e-17	7.767664089518837e-18	nan	nan	nan	nan
55083.65000000439	7.85655495218582e-17	2.9550210364447785e-17	4.9319710489078473e-17	8.5117306951977e-18	1.9895364294042743e-17	3.878975387711009e-18	3.7626994112199716e-17	7.828174145679965e-18	nan	nan	nan	nan
55083.70000000439	8.098521954715193e-17	2.966030957060105e-17	5.078432418491769e-17	8.58725827899214e-18	2.047975527092106e-17	3.9111922956766295e-18	3.8739561263639954e-17	7.888619842725733e-18	nan	nan	nan	nan
55083.750000004395	8.341865888871729e-17	2.977541202187779e-17	5.226238757994835e-17	8.660888424629741e-18	2.1067978784496456e-17	3.94317845484521e-18	3.9859242223022206e-17	7.94889514623174e-18	nan	nan	nan	nan
55083.8000000044	8.586594223712257e-17	2.989513671251911e-17	5.375393877254015e-17	8.73258405272096e-18	2.1660062438005743e-17	3.9748903330467525e-18	4.098608725072832e-17	8.008903397993268e-18	nan	nan	nan	nan
55083.8500000044	8.832714439749122e-17	3.001911925790757e-17	5.525901593845021e-17	8.802319524897874e-18	2.225603384602132e-17	4.006288993762369e-18	4.212014663373405e-17	8.068556926461514e-18	nan	nan	nan	nan
55083.9000000044	9.08023402897905e-17	3.014701206264557e-17	5.677765733093005e-17	8.87008033455981e-18	2.2855920634527302e-17	4.037339875872243e-18	4.326147068577591e-17	8.127776658458089e-18	nan	nan	nan	nan
55083.950000004406	9.329160494973339e-17	3.027848439260552e-17	5.830990128099538e-17	8.935862789719242e-18	2.34597504407958e-17	4.068012579647311e-18	4.441010974758746e-17	8.186491734862786e-18	nan	nan	nan	nan
55084.00000000441	9.579501352907133e-17	3.0413222360178796e-17	5.985578619770616e-17	8.999673686628631e-18	2.406755091377713e-17	4.098280659631681e-18	4.556611418702844e-17	8.244639132756375e-18	nan	nan	nan	nan
55084.05000000441	9.831264129632194e-17	3.055092883167947e-17	6.141535056811059e-17	9.061529974011453e-18	2.4679349713909483e-17	4.128121424246312e-18	4.672953439929724e-17	8.302163295430292e-18	nan	nan	nan	nan
55084.100000004415	1.0084456363727938e-16	3.069132326551482e-17	6.298863295786619e-17	9.121458406342936e-18	2.52951745132807e-17	4.1575157428648525e-18	4.7900420807079837e-17	8.359015771623224e-18	-1.993722379043098e-18	3.348202248739517e-17	nan	nan
55084.15000000442	1.0339085605572229e-16	3.083414148909679e-17	6.457567201101586e-17	9.179495184332819e-18	2.5915052995809126e-17	4.186447859915754e-18	4.907882386080404e-17	8.415154864515984e-18	-8.684274319460656e-19	3.265407813426207e-17	nan	nan
55084.20000000442	1.0595159417392807e-16	3.097913542216945e-17	6.617650645048682e-17	9.235685581213717e-18	2.6539012857176975e-17	4.2149052157425634e-18	5.0264794038738735e-17	8.470545290945728e-18	2.6715413933898785e-19	3.191309224700175e-17	nan	nan
55084.250000004424	1.0852685373323453e-16	3.11260727533913e-17	6.779117507826362e-17	9.290083551862582e-18	2.7167081805039736e-17	4.2428782742957505e-18	5.1458381847248124e-17	8.525157850861341e-18	1.4134730384855329e-18	3.1256242646019195e-17	nan	nan
55084.30000000443	1.1111671059466886e-16	3.127473657666409e-17	6.941971677539335e-17	9.342751322884195e-18	2.77992875588358e-17	4.270360356753173e-18	5.265963782090491e-17	8.578969106936917e-18	2.5709803740847698e-18	3.0680273940682805e-17	nan	nan
55084.35000000443	1.1372124073946963e-16	3.1424924993087694e-17	7.106217050257107e-17	9.393758961115627e-18	2.8435657850462216e-17	4.2973474812026404e-18	5.386861252277628e-17	8.631961073989972e-18	3.740127676235192e-18	3.018154514226403e-17	nan	nan
55084.40000000443	1.1634052026983856e-16	3.157645068367466e-17	7.2718575299926e-17	9.443183917526886e-18	2.9076220423665594e-17	4.32383820728947e-18	5.508535654451921e-17	8.684120917433789e-18	4.921366913168712e-18	2.975609254616446e-17	nan	nan
55084.450000004435	1.18974625409407e-16	3.172914045757354e-17	7.438897028757135e-17	9.491110543823672e-18	2.972100303441323e-17	4.349833485837212e-18	5.630992050660295e-17	8.73544066090509e-18	6.115150507883756e-18	2.9399704939315154e-17	nan	nan
55084.50000000444	1.2162363250382152e-16	3.188283478007048e-17	7.607339466562474e-17	9.537629579635272e-18	3.037003345115016e-17	4.3753365126494925e-18	5.754235505843603e-17	8.785916901350515e-18	7.321931354783863e-18	2.910800721321333e-17	nan	nan
55084.55000000444	1.2428761802123437e-16	3.203738728395304e-17	7.777188771449324e-17	9.582837606555897e-18	3.102333945458971e-17	4.4003525858803896e-18	5.878271087868809e-17	8.835550531618457e-18	8.542162836345436e-18	2.8876547905408407e-17	nan	nan
55084.600000004444	1.2696665265905004e-16	3.219265110311797e-17	7.94844787719656e-17	9.626814627587264e-18	3.168094625955953e-17	4.424885495039691e-18	6.003103421514291e-17	8.88434020134992e-18	9.77629883978001e-18	2.870088610429013e-17	nan	nan
55084.65000000445	1.2966078366124578e-16	3.23484389289315e-17	8.12111571641833e-17	9.669558131182594e-18	3.234286877993999e-17	4.4489269891229264e-18	6.128735350453581e-17	8.932263281210976e-18	1.1024793773725883e-17	2.857667350329789e-17	nan	nan
55084.70000000445	1.3237005250187784e-16	3.250456222589966e-17	8.295190227469492e-17	9.711048759759276e-18	3.3009119363839995e-17	4.472467134732211e-18	6.2551692753044e-17	8.97929454362341e-18	1.2288102584942092e-17	2.849972808594927e-17	nan	nan
55084.75000000445	1.3509450077911406e-16	3.2660844163495464e-17	8.470669356752691e-17	9.751272452338433e-18	3.3679710372046034e-17	4.495497750617381e-18	6.382407599650092e-17	9.025412341447673e-18	1.356668077504695e-17	2.846609682777878e-17	nan	nan
55084.800000004456	1.378341702161673e-16	3.281711936706091e-17	8.647551058703597e-17	9.790220700080068e-18	3.4354654177812766e-17	4.518012369532059e-18	6.510452730063458e-17	9.07059851813652e-18	1.4860984417206318e-17	2.847210577610265e-17	nan	nan
55084.85000000446	1.4058910266118873e-16	3.297323365497886e-17	8.825833295762384e-17	9.827890756268995e-18	3.503396316731988e-17	4.540006199796854e-18	6.63930707610001e-17	9.11483831743825e-18	1.6171470172934282e-17	2.8514396790793595e-17	nan	nan
55084.90000000446	1.433593400874419e-16	3.3129043764471574e-17	9.005514038390036e-17	9.86428580330981e-18	3.5717649739167686e-17	4.561476085971975e-18	6.768973050314045e-17	9.158120292856382e-18	1.749859530880889e-17	2.8589951016559876e-17	nan	nan
55084.950000004465	1.4614492459407397e-16	3.3284417068212597e-17	9.186591265019457e-17	9.899415078104348e-18	3.640572630506233e-17	4.5824204688602415e-18	6.89945306826402e-17	9.200436216752544e-18	1.8842817713290584e-17	2.8696099762051136e-17	nan	nan
55085.00000000447	1.48945898406092e-16	3.343923128361758e-17	9.369062962081957e-17	9.933293957357867e-18	3.7098205289301904e-17	4.602839344890574e-18	7.030749548524259e-17	9.241780989209741e-18	2.0204595913505146e-17	2.883052387596056e-17	nan	nan
55085.05000000447	1.5176230387463593e-16	3.3593374176505645e-17	9.552927123951748e-17	9.965944003756386e-18	3.779509912895723e-17	4.622734224719241e-18	7.162864912689129e-17	9.282152546377979e-18	2.1584389092049866e-17	2.8991242951549124e-17	nan	nan
55085.10000000447	1.5459418347759556e-16	3.3746743260291e-17	9.73818175297039e-17	9.997392974027384e-18	3.8496420274109826e-17	4.6421080909742484e-18	7.295801585389523e-17	9.321551768439049e-18	2.2982656770353498e-17	2.91765932916653e-17	nan	nan
55085.150000004476	1.5744157981943266e-16	3.3899245492271034e-17	9.924824859410637e-17	1.0027674788753034e-17	3.920218118770914e-17	4.660965355047327e-18	7.429561994287298e-17	9.359982386597299e-18	2.4399762303046712e-17	2.9384478921326836e-17	nan	nan
55085.20000000448	1.603045356321341e-16	3.40507969675249e-17	1.0112854461466256e-16	1.005682946507459e-17	3.9912394345515447e-17	4.679311812953639e-18	7.564148570099701e-17	9.397450889472263e-18	2.5835839124091734e-17	2.9611357715235895e-17	nan	nan
55085.25000000448	1.6318309377478875e-16	3.420132261160356e-17	1.0302268585248973e-16	1.0084903011238254e-17	4.062707223638536e-17	4.697154599931127e-18	7.69956374660255e-17	9.4339664281298e-18	2.72909877869192e-17	2.9853736454519665e-17	nan	nan
55085.300000004485	1.6607729723446158e-16	3.435075587243404e-17	1.0493065264775746e-16	1.011194728336315e-17	4.134622736216717e-17	4.714502143821714e-18	7.835809960628841e-17	9.469540719922224e-18	2.8765309555141174e-17	3.010844154992304e-17	nan	nan
55085.35000000449	1.689871891262846e-16	3.44990384119117e-17	1.068524254193058e-16	1.013801980354083e-17	4.2069872237672253e-17	4.73136411701576e-18	7.97288965209556e-17	9.504187950673244e-18	3.0258906405851974e-17	3.037262952164517e-17	nan	nan
55085.40000000449	1.7191281269361521e-16	3.464611979783386e-17	1.087879846649456e-16	1.0163183538979131e-17	4.279801939084642e-17	4.747751386847086e-18	8.110805263994943e-17	9.537924674951557e-18	3.1771881032936827e-17	3.0643790301162484e-17	nan	nan
55085.45000000449	1.7485421130885083e-16	3.479195719599978e-17	1.10737310960868e-16	1.0187506640751918e-17	4.35306813627699e-17	4.763675964224422e-18	8.249559242414934e-17	9.570769714313135e-18	3.3304336850460006e-17	3.091974480360687e-17	nan	nan
55085.5000000045	1.7781142847307707e-16	3.493651506302416e-17	1.1270038496189897e-16	1.0211062142082996e-17	4.4267870707552646e-17	4.779150950435598e-18	8.389154036544743e-17	9.602744052871355e-18	3.4856377995951064e-17	3.119863805453853e-17	nan	nan
55085.5500000045	1.80784507816831e-16	3.507976483968646e-17	1.146771874011938e-16	1.0233927614193231e-17	4.5009599992562775e-17	4.794190481838099e-18	8.529592098674055e-17	9.633870730460975e-18	3.6428109333864395e-17	3.1478928958157094e-17	nan	nan
55085.6000000045	1.837734892083721e-16	3.522167376890699e-17	1.1666769442720497e-16	1.0256164917906063e-17	4.575588012418736e-17	4.808806511695896e-18	8.670875591268847e-17	9.664169051979422e-18	3.801963645893564e-17	3.17593775899319e-17	nan	nan
55085.650000004505	1.8677839707792928e-16	3.536217200233982e-17	1.1867186361525265e-16	1.0277760363167413e-17	4.650671532490545e-17	4.8229992839133665e-18	8.813005508091618e-17	9.693637460318759e-18	3.963106569962519e-17	3.203903070211002e-17	nan	nan
55085.70000000451	1.8979925209382172e-16	3.5501185083020745e-17	1.206896479555978e-16	1.029868451904082e-17	4.7262108156329296e-17	4.836766816677801e-18	8.955982553080369e-17	9.722270569328257e-18	4.126250412154878e-17	3.231720595490455e-17	nan	nan
55085.75000000451	1.928360750545242e-16	3.563864471243379e-17	1.2272100051604151e-16	1.0318912429475203e-17	4.802206119320555e-17	4.8501080773718944e-18	9.099807433304156e-17	9.750064858534354e-18	4.291405953096555e-17	3.259347523496628e-17	nan	nan
55085.800000004514	1.9588888688892812e-16	3.57744886374093e-17	1.24765874441635e-16	1.0338423921978992e-17	4.8786577023729376e-17	4.863022993603175e-18	9.244480858968056e-17	9.777018682670709e-18	4.458584047822895e-17	3.286764729653207e-17	nan	nan
55085.85000000452	1.9895770865635336e-16	3.590866053326863e-17	1.268242229543026e-16	1.0357203872249717e-17	4.9555658249125664e-17	4.87551246117627e-18	9.390003543406021e-17	9.80313227621469e-18	4.6277956261337165e-17	3.313974985964501e-17	nan	nan
55085.90000000452	2.0204256154656028e-16	3.6041109883565474e-17	1.2889599935267392e-16	1.0375242426312783e-17	5.0329307484124924e-17	4.8875783491515284e-18	9.53637620309676e-17	9.828407753455933e-18	4.7990516929418846e-17	3.341001122169801e-17	nan	nan
55085.95000000452	2.0514346688013322e-16	3.6171791856883293e-17	1.3098115701176812e-16	1.0392535181095028e-17	5.110752735658257e-17	4.899223501933706e-18	9.683599557646859e-17	9.852849103865927e-18	4.972363328630744e-17	3.3678841381366164e-17	nan	nan
55086.000000004526	2.0826044610836592e-16	3.6300667180657294e-17	1.3307964938265794e-16	1.0409083324258394e-17	5.189032050777396e-17	4.910451738476202e-18	9.83167432981323e-17	9.876462182982655e-18	5.147741689411441e-17	3.3946812635227926e-17	nan	nan
55086.05000000453	2.1139352081359764e-16	3.642770201245484e-17	1.3519142999224052e-16	1.0424893734578937e-17	5.267768959210888e-17	4.921267848791169e-18	9.980601245494758e-17	9.899254698823368e-18	5.3251980076803156e-17	3.421463958474286e-17	nan	nan
55086.10000000453	2.1454271270910248e-16	3.655286780868863e-17	1.373164524429065e-16	1.0439979042961104e-17	5.346963727747419e-17	4.9316775874101485e-18	1.013038103373251e-16	9.921236193730292e-18	5.504743574586426e-17	3.448315663553225e-17	nan	nan
55086.150000004534	2.177080436394098e-16	3.667614119100731e-17	1.394546704122498e-16	1.0454357654822717e-17	5.426616624498633e-17	4.941687664236585e-18	1.0281014426717079e-16	9.94241802184435e-18	5.686384590306401e-17	3.475276249012561e-17	nan	nan
55086.20000000454	2.20889535580403e-16	3.6797503810219307e-17	1.416060376528488e-16	1.0468053733754784e-17	5.5067279189067503e-17	4.951305732452152e-18	1.0432502159790964e-16	9.962813322126713e-18	5.870115026883862e-17	3.50226671382102e-17	nan	nan
55086.25000000454	2.240872106392682e-16	3.691694220800343e-17	1.4377050799195558e-16	1.0481097146814984e-17	5.587297881743611e-17	4.960540373540031e-18	1.0584844971446788e-16	9.9824369865861e-18	6.055927141048072e-17	3.529198775104115e-17	nan	nan
55086.30000000454	2.273010910549015e-16	3.703444767626059e-17	1.4594803533120076e-16	1.0493523370895881e-17	5.668326785120197e-17	4.969401079522001e-18	1.0738043603328486e-16	1.0001305624165685e-17	6.24381326595866e-17	3.555994215591671e-17	nan	nan
55086.350000004546	2.3053119919790137e-16	3.7150016114023485e-17	1.4813857364622188e-16	1.0505373360361828e-17	5.749814902479014e-17	4.9778982321137684e-18	1.0892098800246202e-16	1.0019437519764564e-17	6.433765810849956e-17	3.5825854616356686e-17	nan	nan
55086.40000000455	2.3377755757058024e-16	3.7263647881985916e-17	1.503420769865512e-16	1.0516693374656529e-17	5.831762508594098e-17	4.986043079046364e-18	1.1047011310160797e-16	1.0036852588474923e-17	6.625777260679782e-17	3.6089160064556064e-17	nan	nan
55086.45000000455	2.37040188807368e-16	3.7375347654494016e-17	1.525584994752392e-16	1.05275347663305e-17	5.914169879574816e-17	4.993847707196711e-18	1.1202781884191594e-16	1.0053572324966474e-17	6.819840175776813e-17	3.6349406941980094e-17	nan	nan
55086.500000004555	2.403191156746499e-16	3.748512426892464e-17	1.5478779530852338e-16	1.053795372776412e-17	5.997037292866816e-17	5.001325012641028e-18	1.1359411276634455e-16	1.0069619747650661e-17	7.015947191491498e-17	3.660625878409019e-17	nan	nan
55086.55000000456	2.4361436107116216e-16	3.759299057218262e-17	1.5702991875560954e-16	1.054801099639115e-17	6.080365027251085e-17	5.0084886675035116e-18	1.1516900244936944e-16	1.0085019338030423e-17	7.214091017850652e-17	3.685949466453144e-17	nan	nan
55086.60000000456	2.4692594564901824e-16	3.769895372295838e-17	1.5928482290483194e-16	1.0557752658003721e-17	6.164153262457923e-17	5.015350071103197e-18	1.1675249371497218e-16	1.0099791564809371e-17	7.414264439212032e-17	3.71090085930121e-17	nan	nan
55086.65000000456	2.5025388067718795e-16	3.7802986438635326e-17	1.6155245590184401e-16	1.0567153351126422e-17	6.248401777977502e-17	5.021909287481141e-18	1.1834458528971282e-16	1.011393660923777e-17	7.616460313921528e-17	3.7354807940607975e-17	nan	nan
55086.70000000457	2.53598175178327e-16	3.7905055580116975e-17	1.6383276471087773e-16	1.057617307644709e-17	6.333110254240741e-17	5.028164098269174e-18	1.1994527414957385e-16	1.0127450615361213e-17	7.820671573971543e-17	3.7597010947064e-17	nan	nan
55086.75000000457	2.569588383074853e-16	3.800513167954404e-17	1.661256963678096e-16	1.0584776406770729e-17	6.418278373024365e-17	5.034113041689042e-18	1.2155455730219788e-16	1.0140331141152093e-17	8.026891224665646e-17	3.7835843346869014e-17	nan	nan
55086.80000000457	2.603358793524398e-16	3.810318892143602e-17	1.6843119798000792e-16	1.0592932794433542e-17	6.503905817426156e-17	5.03975543580159e-18	1.2317243178690942e-16	1.0152577194089742e-17	8.235112344277944e-17	3.8071634135856394e-17	nan	nan
55086.850000004575	2.637293077333417e-16	3.819920511885725e-17	1.707492167258439e-16	1.0600616836495184e-17	6.589992271892551e-17	5.04509139833373e-18	1.2479889467465138e-16	1.0164189261361538e-17	8.445328083722762e-17	3.830481048643003e-17	nan	nan
55086.90000000458	2.671391330030651e-16	3.8293161684727594e-17	1.7307969985454423e-16	1.0607808499073156e-17	6.676537422180577e-17	5.05012186310951e-18	1.2643394306796525e-16	1.0175169334355918e-17	8.657531666219363e-17	3.853589180968415e-17	nan	nan
