time,mag,mag_err
49073.55,-9.729957585772539,0.005032547017406538
49073.75,-10.90477703738757,0.001973892662089292
49074.05,-11.624636119326757,0.0008423101851309787
49076.0,-12.623819089849544,4.2678878353046045e-05
49077.0,-12.404713630022798,0.00011427973053491363
49078.0,-12.088820438305008,9.264529699225681e-06
49078.85,-11.688032170163002,9.339278249608764e-07
49080.57,-11.055459036686377,0.00035495809270940336
49082.28,-10.904808542306668,0.0004992325044979194
49084.0,-11.002103986567544,0.00012900230172311117
49086.5,-11.120824569939153,0.0003722256698838852
49089.0,-11.330246769098508,0.00013141556293499727
49090.0,-11.342516094463136,4.473788088628023e-05
49091.0,-11.352816152395611,8.774679099497454e-05
49092.0,-11.371400137687328,0.00010413295548176387
49092.94,-11.340447324856353,0.00010816980000846719
49094.97,-11.426357092946999,0.0005049526428583902
49097.0,-11.087515370340153,0.00012151634260913107
49098.0,-10.965440449830144,0.00013307981053630138
49099.0,-10.835838761372687,0.0001257991711337819
49100.0,-10.627026822279845,0.00011360162733273785
49101.0,-10.45963531296553,0.00012131743914667595
49103.0,-10.154811196058581,0.00017800178631029355
49105.0,-9.898235512952514,0.0002133599044297146
49107.0,-9.760313105954339,7.310744247185752e-05
49108.5,-9.6278055894959,0.00013923026317986972
49110.0,-9.536891480936578,2.250652420997667e-05
49111.0,-9.492256941992633,2.438043026793748e-06
49112.5,-9.426162223001553,0.000409063719003764
49114.0,-9.348586757017978,7.501201342996635e-05
49116.0,-9.274982745507574,0.0002524342319625746
49118.0,-9.118601849411714,0.00022826508248646274
49120.0,-9.089582023967917,0.0004822639833808457
49122.0,-8.994607322361885,1.7789737592130799e-06
49123.0,-8.972288491027358,0.00012066221595045632
49124.0,-8.932024909616926,7.695220855236155e-06
49126.0,-8.900305300870656,1.3652982869101816e-06
49127.5,-8.829522030082165,0.0010364201781092798
49129.0,-8.864786627196574,0.00021976767174963405
49130.0,-8.7700118864132,0.00011568162701858425
49131.0,-8.720902875200082,0.0001477437203724783
49132.0,-8.678482898042457,2.818288621520268e-05
49134.01,-8.635784747178102,0.0006508429908123444
49136.03,-8.579323363497938,5.70601186292948e-05
49138.02,-8.606625404555627,0.0009517041886939441
49140.02,-8.555211016744838,0.0009287395541573355
49142.01,-8.472160222359026,3.758978604640028e-06
