MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56405.02139998185	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.769992423221517e-14	1.3916513534880923e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.071399981854	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.927200267426669e-14	1.3858522033576553e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.12139998186	3.17777299293657e-14	7.99055929793433e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.0854602647917774e-14	1.3924197585093054e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.17139998186	3.223727718033887e-14	7.796461485207377e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.2445051230620115e-14	1.4086637908279647e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.22139998186	3.269695990074506e-14	7.6068347213649e-16	1.879594978424099e-14	3.877944034375166e-16	nan	nan	nan	nan	nan	nan	4.4040586940753254e-14	1.4319939977019262e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.271399981866	3.315670460115983e-14	7.421751965097483e-16	1.8975855278509135e-14	3.795032773424853e-16	nan	nan	nan	nan	nan	nan	4.5638434900739834e-14	1.460343077196432e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.32139998187	3.3616436662755864e-14	7.241288939651344e-16	1.9155822051655747e-14	3.713683706508716e-16	nan	nan	nan	nan	1.2963627415918897e-14	2.9136432817807897e-16	4.723580861813746e-14	1.4919887886551845e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.37139998187	3.407605731294853e-14	7.065510191310325e-16	1.9335831567907197e-14	3.6339299933545625e-16	nan	nan	6.627283816693773e-15	1.631171282300147e-16	1.3115492169112446e-14	2.8444181503467804e-16	4.882990988548313e-14	1.5255296688771526e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.421399981875	3.453544488182197e-14	6.894469795962118e-16	1.9515865293504874e-14	3.5558063847879626e-16	nan	nan	6.7254130971145874e-15	1.5889343955731993e-16	1.3267415598969607e-14	2.776540326842728e-16	5.0417943322897e-14	1.5600267031349455e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.47139998188	3.49944768020131e-14	6.728224685023565e-16	1.96959041437668e-14	3.4793489656505435e-16	nan	nan	6.8235770312666835e-15	1.5475709753500265e-16	1.3419385796322086e-14	2.710038943717062e-16	5.199713983328903e-14	1.594694038664094e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.52139998188	3.545302958385916e-14	6.566834588131266e-16	1.9875922235765867e-14	3.404592149310092e-16	nan	nan	6.921770953642223e-15	1.5071023885087455e-16	1.3571390852819636e-14	2.6449446669714694e-16	5.3564739475770664e-14	1.6290212594583817e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
