spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-11-15_00-00-00_SALT_RSS_None.ascii	55880.5	1.4631073352032777e-15	1.6392420407378842e-17	True	5.993013997895743e-16	3.887264589000773e-18	True	1.0656125876132267e-15	6.351765476224549e-18	True	1.2864976370712883e-15	7.414227301285038e-18	True	1.3786300603155016e-15	1.4326221870859506e-17	True	7.278915049277406e-16	9.29977786027209e-18	True	1.1263897227486093e-15	1.4730404067107797e-17	True	1.0042590254968306e-15	9.114854482301858e-17	False	4.755313906757462e-16	5.8188141201245396e-18	True	1.292762498490136e-15	1.0138717440346253e-16	True	1.2077487908254666e-15	7.120305388333631e-17	True	5.58812632890834e-16	4.336943376540919e-17	True	2.85100250207426e-16	3.68818398706566e-17	True	1.1246638212791748e-15	9.686500866964994e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-11-16_00-00-00_SOAR_Goodman_None.ascii	55881.5	1.653920823629744e-15	1.3337920291568562e-17	True	7.248772557193112e-16	5.259321393778128e-18	True	1.2816453004644518e-15	9.18537158452993e-18	True	1.5670368553990963e-15	1.0844266517790265e-17	True	1.6657853666217415e-15	2.0238822121814815e-17	True	8.863893615156001e-16	1.1222528306122154e-17	True	1.3801912616926285e-15	1.7405254269406835e-17	True	1.1091958854631977e-15	7.643895297062568e-17	False	5.82458358284629e-16	7.715949138291093e-18	True	1.5410715546092308e-15	8.128342327248524e-17	True	1.1584564887451936e-15	5.583047390418106e-17	True	5.341826261434025e-16	3.5560483039189884e-17	True	2.771971217798921e-16	3.2204962880415184e-17	True	1.436045753837293e-15	8.111285769994902e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-11-17_00-00-00_ESO-NTT_EFOSC2-NTT_None.ascii	55882.5	1.8184978444130866e-15	1.3955097452786623e-17	True	8.560724009796729e-16	6.558223522552519e-18	True	1.5111479700558339e-15	1.155743224053947e-17	True	1.8521716799793795e-15	1.342513619313389e-17	True	1.9633984538381406e-15	2.4685213531549895e-17	True	1.0644376908116894e-15	1.1939611147710471e-17	True	1.6696192144179623e-15	1.8541455293507177e-17	True	1.1805816794233244e-15	6.364015144487349e-17	True	7.11053837880162e-16	9.343114769277216e-18	True	1.7918516744971282e-15	1.0640128605107569e-16	True	1.096165649025333e-15	5.4800673470592376e-17	True	5.047929788131326e-16	3.2710281320945125e-17	True	2.67113257204126e-16	2.9715725717358496e-17	True	1.7528521797518966e-15	1.0841512028734368e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-11-18_00-00-00_LCO-duPont_WFCCD_None.ascii	55883.5	1.931818009774303e-15	1.616297666165765e-17	True	9.860139336532507e-16	8.332340557066467e-18	True	1.740872186214858e-15	1.4410600197068353e-17	True	2.124378437488708e-15	1.6699662183600412e-17	True	2.2063009146371664e-15	3.150558632131998e-17	True	1.2443866053908529e-15	1.3169360218192298e-17	True	1.96306538117244e-15	2.049890674822718e-17	True	1.188241284214992e-15	6.233560043443108e-17	True	8.365600502348302e-16	1.0950837154892109e-17	True	1.9933014091138698e-15	1.138364397443681e-16	True	1.0215844609579772e-15	5.65754032451045e-17	True	4.712639540795326e-16	3.2281811911982666e-17	True	2.548732819643978e-16	2.880023258971824e-17	True	2.0629187951681353e-15	1.1722726944174474e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-11-27_00-00-00_LCO-duPont_WFCCD_None.ascii	55892.5	1.2647888841830326e-15	1.920022061536233e-17	True	1.4513298136131146e-15	2.2437656830080513e-17	True	2.393163814117644e-15	2.776469535016236e-17	True	2.476235812043712e-15	2.5672405890785942e-17	True	1.9793375260296974e-15	3.0238721637940606e-17	True	1.8581822743842548e-15	3.966542221620548e-17	True	2.5990196228764963e-15	7.11579744923829e-17	True	3.983615047942184e-16	7.85676725214683e-17	True	1.2353994106336886e-15	2.4875864834089306e-17	True	1.2247738998018591e-15	1.7526288576603873e-16	True	1.7199055051645122e-16	7.436346188655539e-17	True	1.5898913045247023e-16	4.940585801285943e-17	True	1.2711100584288148e-16	4.4187528796319544e-17	True	2.436179821665182e-15	2.321414903951442e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-11-28_00-00-00_LCO-duPont_WFCCD_None.ascii	55893.5	1.128298970894327e-15	1.5488882208157646e-17	True	1.4166448096703626e-15	2.2116941257435783e-17	True	2.29413299764591e-15	2.980555247724299e-17	True	2.3185931464871293e-15	2.4892040218894124e-17	True	1.8214146710565728e-15	2.3785229161787808e-17	True	1.7945114500720374e-15	3.689595859584286e-17	True	2.4417618046347713e-15	6.30725566052967e-17	True	3.4982369271869054e-16	6.083447894224253e-17	True	1.188616378115916e-15	3.6597055008940105e-17	True	1.1153383701194085e-15	2.8732965072226703e-16	False	1.1394309910214787e-16	1.123075843325163e-16	False	1.3540789480434837e-16	6.454638867589686e-17	False	1.1668336388495526e-16	5.179695143745144e-17	False	2.335817182554523e-15	3.5254586609792456e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-12-01_00-00-00_SALT_RSS_None.ascii	55896.5	7.841591046032396e-16	1.2914819168855401e-17	True	1.2356666916795742e-15	2.096140646732509e-17	True	1.8969433509797548e-15	3.307722548951153e-17	True	1.779366010249674e-15	2.252709119790638e-17	True	1.3421669981582208e-15	2.3672301303803426e-17	True	1.5164022962028819e-15	2.861740472812766e-17	True	1.9101842079285426e-15	3.9724577270327477e-17	True	2.377395855393096e-16	3.241328024291315e-17	True	1.0200358955225457e-15	4.615796255866012e-17	True	8.329873929588833e-16	6.253135959529814e-16	False	-2.1231924462629767e-17	2.4813433166148933e-16	False	7.705874279802023e-17	1.1860357491066877e-16	False	9.002492432908661e-17	7.82962999978587e-17	False	2.013746924157285e-15	7.481083311817939e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-12-18_00-00-00_SOAR_Goodman_None.ascii	55913.5	3.0707867823006685e-16	4.5769205957899305e-18	True	4.618133684255504e-16	5.734809709061912e-18	True	6.249817900838401e-16	9.1455834616121e-18	True	5.416871533223923e-16	6.7567260724721645e-18	True	4.690977683190051e-16	1.4619334705939826e-16	True	5.833085743891322e-16	1.3199606176408174e-16	True	5.829633644834537e-16	1.8719140043294216e-16	True	1.3381394214513004e-16	6.609591853407576e-18	True	4.117379364455296e-16	3.154467970982643e-16	False	1.308833241033311e-16	1.2917374915710005e-15	False	-2.0851269084137162e-16	8.170865159989002e-16	False	-4.745575994448178e-17	3.669314767185649e-16	False	1.865575657802972e-17	1.9039117810307337e-16	False	6.187338270602892e-16	1.8258209852105308e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-12-19_00-00-00_ESO-NTT_EFOSC2-NTT_None.ascii	55914.5	3.0218785597192754e-16	4.411976392112285e-18	True	4.4241649675549634e-16	4.119838549709536e-18	True	6.073528793762919e-16	6.44378549517868e-18	True	5.245545102924163e-16	4.095770429776678e-18	True	4.625613286842226e-16	1.435118877150726e-16	True	5.758008699404865e-16	1.2117152677434835e-16	True	5.7684846940799645e-16	1.6923667274809522e-16	True	1.319541128183388e-16	6.558486176665515e-18	True	3.9082389325408624e-16	3.4587205784759624e-16	False	1.1659404577686127e-16	1.2977734366285426e-15	False	-2.058104825879496e-16	8.353542319431624e-16	False	-4.894074175630309e-17	3.7597968936337274e-16	False	1.6870111039307888e-17	1.9405776813703962e-16	False	5.713258621192952e-16	1.843927455806752e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011hs/2011hs_2011-12-21_00-00-00_ESO-NTT_EFOSC2-NTT_None.ascii	55916.5	2.929783253991883e-16	3.680168101391867e-18	True	4.2038325224101943e-16	3.4478903443018005e-18	True	5.82230373451868e-16	5.5619651190302924e-18	True	5.047620410195038e-16	3.8150345379483004e-18	True	4.486507522107675e-16	8.914454791869817e-17	True	5.647214205420413e-16	7.503195306346752e-17	True	5.722938923866776e-16	9.422551502729975e-17	True	1.2831160134201596e-16	6.458653923636128e-18	True	3.520040616443755e-16	4.0291795045291845e-16	False	9.238170122671729e-17	1.3067764112943529e-15	False	-1.9882690891069317e-16	8.679722000529554e-16	False	-5.096685995185576e-17	3.924734395670993e-16	False	1.3740560108991577e-17	2.0063200178058777e-16	False	4.8607240300047445e-16	1.8732969280531075e-15	False
