MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55873.49001598858	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.54001598858	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.590015988586	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.64001598859	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.69001598859	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.740015988595	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.7900159886	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.8400159886	nan	nan	nan	nan	nan	nan	nan	nan	5.046882648102626e-17	8.837792465986252e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.8900159886	nan	nan	nan	nan	nan	nan	nan	nan	5.580429316672876e-17	8.558983985205469e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.940015988606	nan	nan	nan	nan	5.341729621078819e-17	3.119142044670083e-18	nan	nan	6.118428340949341e-17	8.537606729225129e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55873.99001598861	nan	nan	nan	nan	5.818045391905602e-17	3.0388306676258435e-18	nan	nan	6.66114585474921e-17	8.70983932486045e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.04001598861	nan	nan	nan	nan	6.295592941973791e-17	2.9951190795765544e-18	nan	nan	7.208848142454595e-17	9.008123386332974e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.090015988615	nan	nan	nan	nan	6.77458018081294e-17	2.9822871736378745e-18	nan	nan	7.761801647471635e-17	9.372908236685185e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.14001598862	nan	nan	nan	nan	7.255215021478671e-17	2.9940757764968205e-18	nan	nan	8.320272980671961e-17	9.757505391766534e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.19001598862	nan	nan	2.8454433786780413e-17	3.885333049089253e-18	7.737705379686096e-17	3.0242395903618655e-18	nan	nan	8.884528928848637e-17	1.0127967733924063e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.240015988624	nan	nan	3.1478244842760156e-17	3.7827617094579246e-18	8.222259174736156e-17	3.0669779766339734e-18	nan	nan	9.454836463182514e-17	1.046091132483109e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.29001598863	nan	nan	3.4508488424084896e-17	3.6932227101758446e-18	8.709084329366214e-17	3.1171963509799226e-18	5.540098448962259e-17	5.5977795134009945e-18	1.003146274768506e-16	1.0741068891489343e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.34001598863	nan	nan	3.754598700246098e-17	3.615911840939538e-18	9.198388771378618e-17	3.1706139386420568e-18	6.155480616498208e-17	5.421909619210881e-18	1.0614675147691417e-16	1.0959264844946055e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.39001598863	nan	nan	4.059156306038316e-17	3.549936109667839e-18	9.69038043274424e-17	3.2237630770152122e-18	6.772512318801095e-17	5.285408589257834e-18	1.1204741238311841e-16	1.1110937120641888e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.440015988635	nan	nan	4.364603909096196e-17	3.4943334494757514e-18	1.0185267250513883e-16	3.273926952701653e-18	7.391449248266422e-17	5.184403248978391e-18	1.180192881291163e-16	1.1195131036132321e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.49001598864	nan	nan	4.6710237600771834e-17	3.4480955115231347e-18	1.068325716743085e-16	3.3190514267331472e-18	8.012547101985867e-17	5.114491838141626e-18	1.2406505891616447e-16	1.1213851615043319e-17	3.7768131481463215e-17	6.623030200478716e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.54001598864	nan	nan	4.97849811104553e-17	3.4101918740880672e-18	1.1184558131303434e-16	3.357653111785992e-18	8.636061582025465e-17	5.070974789917679e-18	1.3018740729759197e-16	1.117167440169637e-17	4.1183931248629846e-17	6.44132273142803e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.590015988644	nan	nan	5.287109215739846e-17	3.3795940211220904e-18	1.1689378097036877e-16	3.3887353677246546e-18	9.262248396080125e-17	5.049094607372321e-18	1.3638901826416587e-16	1.1075536494147391e-17	4.462150422302839e-17	6.410831714369549e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.64001598865	nan	nan	5.596939329383224e-17	3.355297617921179e-18	1.2197925025871393e-16	3.4117169196496064e-18	9.891363258291776e-17	5.044251594246766e-18	1.4267257932872775e-16	1.09346443694819e-17	4.8082225268629174e-17	6.499698160784517e-18	6.036048395011385e-17	9.740408223201386e-18	nan	nan	2.763384433388083e-17	2.2980866662898583e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.69001598865	nan	nan	5.908070709218346e-17	3.3363419909683022e-18	1.2710406885815447e-16	3.426373956124096e-18	1.0523661889233016e-16	5.052173702430314e-18	1.4904078061162712e-16	1.0760438545634096e-17	5.156746967137491e-17	6.673222358891633e-18	6.573462103178096e-17	9.604531255474903e-18	nan	nan	2.990553192582099e-17	2.4848526385050772e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.74001598865	nan	nan	6.220585614127731e-17	3.3218261328726617e-18	1.3227031652347983e-16	3.432794588556753e-18	1.115940001718341e-16	5.069032423830045e-18	1.5549631492530346e-16	1.056654598563705e-17	5.5078613164063705e-17	6.8991112314281674e-18	7.114919309128229e-17	9.663764394152703e-18	nan	nan	3.2193170115492554e-17	2.7873457663377976e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.790015988656	nan	nan	6.534566305168835e-17	3.310920965613269e-18	1.374800730910571e-16	3.431343707730532e-18	1.1798833378325857e-16	5.091507695056881e-18	1.6204187786003693e-16	1.0368630321529204e-17	5.861703195135321e-17	7.15032188388676e-18	7.660634763634814e-17	9.866877769781378e-18	nan	nan	3.4497827613677355e-17	3.135173618024734e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.84001598866	nan	nan	6.850095045668995e-17	3.3028779415358184e-18	1.4273541847150993e-16	3.4226359492158108e-18	1.244221771753202e-16	5.1168112372680145e-18	1.686801678688246e-16	1.0184023239460397e-17	6.218410273486599e-17	7.405746028604098e-18	8.210823321642458e-17	1.0163772525832423e-17	nan	nan	3.6820573466700865e-17	3.4851372112186696e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
