spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-10-30_00-00-00_CTIO-0.9_CASS-DI_SUSPECT.dat	51481.0	2.907170733134165e-14	4.915800056664973e-16	True	4.5367659370392485e-15	3.442647532133699e-17	True	9.467365822066996e-15	1.8289496105674987e-17	True	4.9268292942405877e-14	1.0041668531084804e-15	True	1.4857116024312013e-14	1.5738287080062564e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-03_04-04-04_ESO-NTT_EMMI_SUSPECT.dat	51485.17	2.841535360378113e-14	2.5729969689392025e-16	True	5.03197606959543e-15	4.724341899909661e-17	True	1.0350224721195202e-14	9.444710279931158e-17	True	3.963877344787968e-14	6.17996324623677e-16	True	1.5410972006260532e-14	1.448829322892315e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-05_00-00-00_Lick-3m_KAST_SUSPECT.dat	51487.0	2.714287651258016e-14	2.4209959426810703e-16	True	5.124317234168657e-15	4.742138639020766e-17	True	1.0358718744943245e-14	9.464725259776135e-17	True	3.538521283217931e-14	5.111987488278151e-16	True	1.5078485381066826e-14	1.406970884104538e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-06_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat	51488.0	2.6381354597506653e-14	2.3736242206067674e-16	True	5.172333766117629e-15	4.795365298854412e-17	True	1.0325763374655722e-14	9.467885446467842e-17	True	3.3063425417212316e-14	4.666529014779486e-16	True	1.4886704523074633e-14	1.3958920834089904e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/SN1999em_1999-11-07_00-00-00_Keck1_LRIS_None.ascii	51489.0	2.56630434171504e-14	2.3749026216429535e-16	True	5.227760814197096e-15	4.926128901351927e-17	True	1.0321705929210228e-14	9.648620931756833e-17	True	3.075147482110436e-14	4.2973627085068427e-16	True	1.4762073364804643e-14	1.4126234264365253e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-08_00-00-00_Keck1_LRIS_SUSPECT.dat	51490.0	2.503679014451805e-14	2.45899724057306e-16	True	5.309892298284265e-15	5.2512229259394173e-17	True	1.0400569984207193e-14	1.0231165977237998e-16	True	2.845818864395534e-14	3.9842428839122393e-16	True	1.4766755021389102e-14	1.495290934255856e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-09_00-00-00_Keck1_LRIS_SUSPECT.dat	51491.0	2.4455996443681348e-14	2.5668869620020417e-16	True	5.415155861119701e-15	5.67032727932434e-17	True	1.0550437466087119e-14	1.0994915296699737e-16	True	2.6195341881446652e-14	3.706435399059807e-16	True	1.4868841904333652e-14	1.6075511809089186e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-14_04-09-17_ESO-NTT_EMMI_SUSPECT.dat	51496.17	2.0132806945188144e-14	2.881263985724822e-16	True	5.6780025206895424e-15	7.122153971839983e-17	True	1.093349705223606e-14	1.5612329934336052e-16	True	1.5639238105399666e-14	2.325920208134578e-16	True	1.482605501254335e-14	2.060395037672089e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-19_03-52-14_ESO-NTT_EMMI_SUSPECT.dat	51501.16	1.6002825451466618e-14	1.6413449792328932e-16	True	5.7306600842034e-15	5.2182731594543683e-17	True	1.078703271061486e-14	1.0708811709394143e-16	True	9.052706858589509e-15	1.5123449610470148e-16	True	1.4271646162073485e-14	1.3929003434290819e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1999em/1999em_1999-11-22_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat	51504.0	1.4538517616228487e-14	1.9431434421669541e-16	True	5.867043343308409e-15	6.658511395470549e-17	True	1.0788504093294551e-14	1.2378758634363348e-16	True	7.083274755783732e-15	1.5175927111390333e-16	True	1.4193787877525639e-14	1.711301285935055e-16	True
