spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	sdss_z_fitflux	sdss_z_fitfluxerr	sdss_z_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-07-27_00-00-00_IRTF_SpeX_None.asci	56500.5	5.080807995843021e-14	7.909250631151625e-16	True	9.94187300258136e-15	2.1300532413523863e-16	True	1.5716998605371953e-14	2.079873678212449e-16	True	8.195361330789006e-14	5.650938835936819e-15	True	2.6748966488305575e-14	3.987677612292366e-16	True	5.126694688749781e-14	7.015903760528773e-16	True	1.212376153471583e-14	2.0369995472217186e-16	True	2.3802310268687742e-14	3.463700808685896e-16	True	7.389592068343067e-15	2.2063030070168213e-16	True	1.1278397308183453e-13	4.1165657015077725e-15	False	1.9215960453132814e-13	9.245674828986807e-15	False	2.659079221328454e-13	1.762030187027354e-14	False	2.3945074056575554e-13	1.0989172164402106e-14	False	2.1003017173703316e-13	1.1939243265985758e-14	False	4.324670446032584e-14	2.241559908595609e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-07-31_00-00-00_ANU-2.3m_WiFeS_None.dat	56504.5	8.5982713329973e-14	1.2697935054299115e-15	True	1.3503053163004322e-14	1.9068188964684847e-16	True	2.990638624705368e-14	4.477367258410918e-16	True	9.547739203354652e-14	1.2306211607668697e-14	True	4.574499211207275e-14	5.903839907515709e-16	True	6.717051418406795e-14	8.243191823129047e-16	True	1.8081813882049138e-14	2.659012578746619e-16	True	3.500411956498177e-14	4.520458534660363e-16	True	1.019079013215704e-14	2.2396964747085167e-16	True	1.0130774287284734e-13	2.182908027276088e-15	False	1.559916841699133e-13	4.304137459890103e-15	False	1.6793224229239733e-13	2.3137104855298564e-15	True	1.72568440119967e-13	2.1994321269289072e-15	True	1.3134522224209266e-13	1.987376429431044e-15	True	4.7014273502175985e-14	1.1305581418767454e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-01_00-00-00_HET_HET-LRS_TS3.flm	56505.5	8.929239627099325e-14	1.3925752373296385e-15	True	1.4296716954675117e-14	2.0870156569944614e-16	True	3.162794102979668e-14	4.901262770538868e-16	True	9.571329542026771e-14	1.2073650537591552e-14	True	4.8139282188673144e-14	6.32161890092894e-16	True	6.967361641163781e-14	8.988769501792208e-16	True	1.9126109800793862e-14	2.952484841982217e-16	True	3.693563256286361e-14	5.007052222942234e-16	True	1.0803646665714068e-14	2.5528698329408913e-16	True	9.831278761886626e-14	1.7975841521272277e-15	False	1.4655788863604263e-13	3.3433152188226217e-15	False	1.4025518592918619e-13	1.9488515921187607e-15	True	1.542769268554465e-13	2.263609930806089e-15	True	1.1023989795007952e-13	1.4370638859990845e-15	True	4.797419361011152e-14	1.059083069043889e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-02_00-00-00_Galileo_BC-Asi_None.dat	56506.5	9.089430648455246e-14	1.4544133696410483e-15	True	1.503052936792136e-14	2.1800486310326102e-16	True	3.2848793587983916e-14	4.94105529563932e-16	True	9.607038422735202e-14	9.530775211396624e-15	True	4.982077540510128e-14	6.451070889057841e-16	True	7.150210378422602e-14	9.196669141769688e-16	True	2.0004734401835928e-14	3.059767574846306e-16	True	3.854746207964194e-14	5.068907945636122e-16	True	1.1366729244769452e-14	2.7566405544233367e-16	True	9.52662707819512e-14	1.4695954343951877e-15	True	1.3696351412792917e-13	2.547467037372595e-15	True	1.1364938916302727e-13	1.7924834824614023e-15	True	1.3574769572447846e-13	2.9147085980768662e-15	True	9.083934042498102e-14	1.0295372263101878e-15	True	4.889377605330889e-14	1.0376292084856801e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-03_00-00-00_Galileo_BC-Asi_None.dat	56507.5	9.105898187174514e-14	1.4564925824642374e-15	True	1.5696875271149624e-14	2.1983581638681028e-16	True	3.3692415900919607e-14	4.675148526064712e-16	True	9.607077878058736e-14	5.666236250498214e-15	True	5.091365669913129e-14	6.337425425135361e-16	True	7.265824162503134e-14	9.352295317409558e-16	True	2.0740921320668064e-14	3.103380097656794e-16	True	3.987906832313141e-14	4.905056083519341e-16	True	1.1875760584676932e-14	2.858674991967114e-16	True	9.216728688982369e-14	1.213328568410893e-15	True	1.2720694745123873e-13	1.9639975725652775e-15	True	9.021859702342353e-14	1.5759838818572779e-15	True	1.174475137156654e-13	3.2833068218031695e-15	True	7.507524809177795e-14	8.103064944708813e-16	True	4.973876335822161e-14	1.0232050531164189e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-05_09-37-29_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56509.4	8.830772245829792e-14	1.3594343182646595e-15	True	1.675389892999583e-14	2.1654950575606126e-16	True	3.465959636854065e-14	4.1944216386423334e-16	True	9.070648711987667e-14	3.889580851534703e-15	True	5.177491601168326e-14	5.905850521398847e-16	True	7.320040794237518e-14	9.899229894699868e-16	True	2.1805847571945898e-14	3.249549463020282e-16	True	4.1691202789631914e-14	4.697185529496195e-16	True	1.2681672806886519e-14	2.8976662961808457e-16	True	8.606722576018345e-14	9.31906784661308e-16	True	1.0835997423489854e-13	1.3561816490315277e-15	True	5.693701222039617e-14	1.764099180513252e-15	True	8.498625960027584e-14	2.767258155239071e-15	True	5.352588282538267e-14	8.543650095438482e-16	True	5.101523976248099e-14	9.328445605023923e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-07_00-00-00_Galileo_BC-Asi_None_0.dat	56511.5	8.218959319041939e-14	1.2781273382976133e-15	True	1.7607159718492008e-14	2.1762283987828412e-16	True	3.5192465984772237e-14	4.536762853020751e-16	True	7.686391609670722e-14	4.550002370471253e-15	True	5.1546727954641086e-14	5.997650059609446e-16	True	7.180904447685642e-14	1.1462039622542062e-15	True	2.257717049921693e-14	3.3372105792508306e-16	True	4.2726320463238136e-14	4.976701414857904e-16	True	1.3333595190135286e-14	2.870410711260643e-16	True	7.896196785079786e-14	8.048903880083062e-16	True	8.79237497730959e-14	8.737898876864455e-16	True	3.396377128165019e-14	1.2907818678737038e-15	True	5.5913597030347164e-14	1.136461515806249e-15	True	3.517316846184229e-14	6.050155095455241e-16	True	5.1680347164189603e-14	7.315075528816739e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-09_00-00-00_FTS_FLOYDS-S_None.asci	56513.5	7.479046102101837e-14	1.1768507820790463e-15	True	1.816561784972772e-14	2.2132518772479338e-16	True	3.5419472283991386e-14	4.517210902501407e-16	True	6.778598634070036e-14	3.0388849107911507e-15	True	5.067451199800902e-14	6.243552712689625e-16	True	6.901693520134961e-14	1.1462850855002317e-15	True	2.3027545785413963e-14	2.99832080619522e-16	True	4.303623223245633e-14	4.451942250241638e-16	True	1.3744279647408729e-14	2.8067438542021066e-16	True	7.214589275329523e-14	7.239194133242695e-16	True	7.032845877926365e-14	7.463034939327193e-16	True	2.0039509272639163e-14	8.46767032241815e-16	True	3.7691364451570004e-14	8.71564757287289e-16	True	2.1724130595682027e-14	4.798792830308131e-16	True	5.1360304002687e-14	5.94260731935653e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-12_00-00-00_Gemini-S_GMOS-S_None.dat	56516.5	6.309048874884672e-14	9.79811907779732e-16	True	1.8656790264969912e-14	2.401683023511886e-16	True	3.554453214089783e-14	4.882439604430719e-16	True	5.2469563260377116e-14	5.559993123103493e-15	True	4.879332420770405e-14	6.457031664756945e-16	True	6.30110800633985e-14	7.279258003055759e-16	True	2.3330730989714867e-14	2.4731684971422007e-16	True	4.2876728863285695e-14	3.577660151490824e-16	True	1.4030931641878348e-14	2.769307521393836e-16	True	6.254669011341781e-14	6.27687598919986e-16	True	4.8242517612514274e-14	6.745352885063235e-16	True	8.15944403794927e-15	9.76292298382874e-16	True	2.044680077539846e-14	7.756236934196004e-16	True	9.723857488035376e-15	8.177749618917537e-16	True	4.984014959329099e-14	5.531474946100111e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-13_00-00-00_Ekar_AFOSC_None.dat	56517.5	5.940248170116868e-14	9.079723067489498e-16	True	1.874083784651758e-14	2.4413769607509857e-16	True	3.5521157531112945e-14	4.990481632923972e-16	True	4.8210526997186326e-14	3.800976612919757e-15	True	4.8080800416886524e-14	6.497221875755929e-16	True	6.072978923754113e-14	6.475935841995871e-16	True	2.337346552266836e-14	2.4405508875668615e-16	True	4.274459202954778e-14	3.537043689469857e-16	True	1.405304390507325e-14	2.7344493320306376e-16	True	5.951263511299621e-14	5.986530296749064e-16	True	4.2004930555658393e-14	6.072550985253305e-16	True	5.6623323667281436e-15	6.093574636630211e-16	True	1.617824299749473e-14	7.291196371526072e-16	True	7.83272696533097e-15	6.169465519063564e-16	True	4.924125373614827e-14	5.482354677849232e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-17_00-00-00_FTS_FLOYDS-S_None.asci	56521.5	4.6269921938979125e-14	7.072210188361693e-16	True	1.867877522192564e-14	2.324999633637582e-16	True	3.48035398744292e-14	4.797354675715511e-16	True	3.33185369953047e-14	1.7117826335830444e-15	True	4.45903522259723e-14	6.146429651158954e-16	True	5.075594660622384e-14	5.938381287726711e-16	True	2.3224751491805134e-14	2.942161423845256e-16	True	4.1584839203858114e-14	3.829175405632299e-16	True	1.3874282303042068e-14	2.57089052711334e-16	True	4.806785637487852e-14	5.077512496326677e-16	True	2.3053775786810465e-14	3.993829633528797e-16	True	1.891427647154949e-15	3.4143374106326136e-16	True	7.547346412406183e-15	4.579975596770202e-16	True	3.1701360518254567e-15	3.0235905940527546e-16	True	4.5799411423684706e-14	5.776964807978933e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-19_00-00-00_ANU-2.3m_WiFeS_None.dat	56523.5	4.0437868100268634e-14	6.684141949462823e-16	True	1.840563334614638e-14	2.2195207369239026e-16	True	3.3889623413573626e-14	4.128017258523219e-16	True	2.620882855203691e-14	2.3780086103872676e-15	True	4.238596471791619e-14	5.740787659183754e-16	True	4.54782179922072e-14	5.300436817148888e-16	True	2.2861093317732696e-14	2.8446278927404265e-16	True	4.049509201243715e-14	3.9947035866032396e-16	True	1.3668983578695314e-14	2.5255771747205625e-16	True	4.269453074776821e-14	4.885261801034552e-16	True	1.675878232842594e-14	3.593974353583056e-16	True	1.2873554780411066e-15	4.1741615917624145e-16	True	5.786513214012408e-15	4.106792772580904e-16	True	2.5502614058263696e-15	3.30538878436424e-16	True	4.3150956875749027e-14	6.398390582869028e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-22_00-00-00_Galileo_BC-Asi_None.dat	56526.5	3.296913167201424e-14	5.399081007070646e-16	True	1.778702627333832e-14	2.0955421276623154e-16	True	3.200292712203108e-14	4.143616109014709e-16	True	1.9449916369363202e-14	1.2126741652733291e-15	True	3.8761123544419293e-14	5.710896747526656e-16	True	4.011517681618734e-14	5.334817128221234e-16	True	2.204285654171326e-14	2.2979191209469686e-16	True	3.8522719362124856e-14	4.426631913989569e-16	True	1.3271505909474142e-14	2.440386268212116e-16	True	3.58115453008813e-14	4.853565975390946e-16	True	1.1586498025095875e-14	2.525513961554736e-16	True	6.547221633005807e-16	1.4026219478936887e-16	True	3.928373170398854e-15	1.9817876158751197e-16	True	1.7020014006962987e-15	1.8987621031641964e-16	True	3.895289712140491e-14	5.941694075516161e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-27_18-30-49_HCT-2m_HFOSC_None.txt	56531.27	2.5356867213639135e-14	8.16099941787699e-16	True	1.6654131598115564e-14	2.5040147098960034e-16	True	2.914255999268006e-14	5.614972212693465e-16	True	1.226821921687885e-14	5.857067663069138e-15	True	3.3569116337651675e-14	6.370490147561019e-16	True	3.448763088360668e-14	5.862140851570311e-16	True	2.0367862301558713e-14	3.008134614779123e-16	True	3.494406527367857e-14	4.883601829463912e-16	True	1.2508189648496969e-14	2.6026160347943705e-16	True	2.8188847173849103e-14	5.172780848376756e-16	True	7.507733018556721e-15	3.440613175198853e-16	True	4.499488843748322e-16	1.3244971691243076e-15	True	2.7272600084737427e-15	6.252298259642846e-16	True	1.1823211417288065e-15	7.6591784079072195e-16	True	3.431203288272732e-14	6.379428863504772e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ej/SN2013ej_2013-08-30_12-00-00_Lick-3m_KAST_None.flm	56534.5	2.207882932659101e-14	5.539499093226472e-16	True	1.5866635285491484e-14	2.46709234484215e-16	True	2.744886991042665e-14	3.9124803765570394e-16	True	1.0984081511711902e-14	1.0048326035382973e-15	True	3.0765702399878656e-14	5.162175952337868e-16	True	3.033759857108329e-14	4.1940976228228843e-16	True	1.916907643381222e-14	3.108916869781194e-16	True	3.253894405169828e-14	4.309478678208219e-16	True	1.1974708542626955e-14	2.6749492263345765e-16	True	2.4369372749634804e-14	7.527645574159421e-16	True	5.610655184415388e-15	1.3899864727168265e-15	True	4.2020264820582912e-16	7.011896538823057e-15	True	1.900471700778296e-15	3.371396252651224e-15	True	6.702348466377885e-16	4.330338923441532e-15	True	3.182467603288828e-14	8.915452392301222e-16	True
