MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56498.850000000166	2.69559132329809e-14	6.048844531663944e-16	nan	nan	7.093347422999412e-15	1.0784074417568999e-16	nan	nan	1.4579607518270505e-14	3.307543534481462e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56498.90000000017	2.7707633233019243e-14	6.13175283896593e-16	nan	nan	7.337877665980475e-15	1.117313055929609e-16	nan	nan	1.4966806480544827e-14	3.3368672314016487e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56498.95000000017	2.84588543322849e-14	6.213437091325612e-16	nan	nan	7.584596020257093e-15	1.1565508220775624e-16	nan	nan	1.5353369465312683e-14	3.3659801278190304e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.000000000175	2.920944990188284e-14	6.293781554029439e-16	nan	nan	7.833392274275495e-15	1.1959444452356546e-16	nan	nan	1.5739246527542846e-14	3.394807139961214e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.05000000018	2.995929322502411e-14	6.372683737120972e-16	nan	nan	8.084156221689232e-15	1.235335534177343e-16	nan	nan	1.6124387731183792e-14	3.4232806383296725e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.10000000018	3.0708257613045816e-14	6.450053564779608e-16	nan	nan	8.336777661127458e-15	1.2745823185853823e-16	nan	nan	1.6508743156646757e-14	3.4513400091501965e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.15000000018	3.1456216384955816e-14	6.525812692690168e-16	nan	nan	8.591146395566002e-15	1.3135583658277675e-16	nan	nan	1.6892262878356513e-14	3.478931322611282e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.200000000186	3.2203042870309215e-14	6.599893571401004e-16	nan	nan	8.847152232337712e-15	1.3521513534148297e-16	nan	nan	1.7274896970737836e-14	3.506006987344156e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.25000000019	3.294861036733895e-14	6.672238999611295e-16	nan	nan	9.104684982726956e-15	1.3902619313592186e-16	nan	nan	1.7656595520188422e-14	3.532525413645621e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.30000000019	3.369279222509659e-14	6.742801323511802e-16	nan	nan	9.363634461907557e-15	1.4278026881008675e-16	nan	nan	1.803730858467028e-14	3.558450803061856e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
