MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54146.62799998172	1.1441268986619115e-16	6.593565234773116e-18	1.6294189592748383e-16	1.1583608355080445e-17	nan	nan	7.500433883080977e-17	6.207686250051273e-18	1.5557618721632742e-16	1.2188851984379215e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.569635284761675e-16	2.8850753963688666e-17
54146.67799998172	1.218759289968555e-16	7.101587948309942e-18	1.698498422734721e-16	1.1869782342178361e-17	nan	nan	7.79992726403995e-17	6.435464118617718e-18	1.6126009767297285e-16	1.2498935233609038e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.639121144432782e-16	2.9692698716892533e-17
54146.727999981726	1.293786861432694e-16	7.914222401178265e-18	1.768053838842275e-16	1.2114133210182208e-17	nan	nan	8.100824531044453e-17	6.652621103933892e-18	1.669696143981984e-16	1.2793215883315415e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7091675873484163e-16	3.047759051171303e-17
54146.77799998173	1.369249363729398e-16	8.879609569807785e-18	1.838100368169079e-16	1.231732367001232e-17	nan	nan	8.403156163302502e-17	6.859078325774984e-18	1.727050231449971e-16	1.307347929229924e-17	nan	nan	1.1707452888219013e-16	2.2790447221342708e-17	nan	nan	nan	nan	nan	nan	nan	nan	1.7797838411773358e-16	3.1201364850004583e-17
54146.82799998173	1.4451865516127588e-16	9.896547793526966e-18	1.908653175615961e-16	1.2480778445659737e-17	nan	nan	8.706952648224054e-17	7.054971683242235e-18	1.784666098591158e-16	1.3341694172231362e-17	nan	nan	1.2451499380921495e-16	2.3127819300167444e-17	nan	nan	nan	nan	nan	nan	nan	nan	1.8509791478704204e-16	3.186210588483079e-17
54146.877999981734	1.5216381843000328e-16	1.0903895605173562e-17	1.9797274305413065e-16	1.2606591026221173e-17	nan	nan	9.012244481616347e-17	7.240613981331238e-18	1.8425466068118655e-16	1.3599979185473948e-17	nan	nan	1.3201664013960968e-16	2.4202397288537167e-17	nan	nan	nan	nan	nan	nan	nan	nan	1.922762763884309e-16	3.24596837506936e-17
54146.92799998174	1.5986440258354078e-16	1.1865502415431205e-17	2.051338306899061e-16	1.2697461116523816e-17	nan	nan	9.319062167832887e-17	7.416466204679154e-18	1.9006946194868466e-16	1.3850570571156646e-17	nan	nan	1.395824133886495e-16	2.579728843461073e-17	nan	nan	nan	nan	nan	nan	nan	nan	1.9951439604075902e-16	3.299547851243081e-17
54146.97799998174	1.676243845473285e-16	1.2759879067574756e-17	2.1235009833669346e-16	1.2756652393407027e-17	nan	nan	9.627436219970638e-17	7.583115231709644e-18	1.959113001981009e-16	1.4095789432718747e-17	nan	nan	1.472152610318713e-16	2.7714605693821222e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.0681320235848757e-16	3.347216843614178e-17
54147.02799998174	1.7544774180466381e-16	1.357417634652377e-17	2.1962306434847526e-16	1.2787962323437216e-17	nan	nan	9.937397160033844e-17	7.74125602231179e-18	2.017804621669402e-16	1.4338007760719208e-17	nan	nan	1.5491813259486107e-16	2.9799072227416564e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.1417362547433637e-16	3.389356464472395e-17
54147.077999981746	1.8333845243454162e-16	1.4300797800645252e-17	2.269542475783357e-16	1.2795696877610104e-17	nan	nan	1.0248975519107732e-16	7.89167683064739e-18	2.076772046430321e-16	1.4579437769260217e-17	nan	nan	1.6269397974301647e-16	3.193820525173243e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.2159659706173239e-16	3.426447773011122e-17
