spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	sdss_u_fitflux	sdss_u_fitfluxerr	sdss_u_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007Y/2007Y_-14.73.txt	54150.07	8.808002407586363e-16	1.3608099828785554e-17	True	7.773165658198507e-16	1.3244045594415286e-17	True	1.1000177567889185e-15	4.708802925282158e-16	False	3.205177663285047e-16	1.470252761632715e-17	True	6.038391679532427e-16	2.7255018931444496e-17	True	2.0185156581353286e-16	6.772822534903864e-16	False	8.508016961416297e-16	5.28776424855957e-17	True	4.1153403219058417e-16	1.1520082679557342e-17	True	8.57591775796198e-17	2.3504325627642364e-17	False	3.909677167772687e-17	1.5961482338677638e-16	True	3.0957782967706035e-17	9.78114593331325e-17	True	7.840163219413266e-16	4.5696050826313166e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007Y/2007Y_-8.76.txt	54156.04	3.5154164662070926e-15	5.328316726877963e-17	True	2.303993216704578e-15	3.4679725831431134e-17	True	3.0284963000526735e-15	1.0371028162175196e-16	True	8.965398615892668e-16	1.3281507810619673e-17	True	1.5700853980347081e-15	2.4125681101220998e-17	True	3.783722464128932e-15	2.0669530576595795e-16	True	3.624690500285725e-15	1.296139591185024e-16	True	3.3518153157360326e-15	1.5328402558801281e-16	True	1.0269786722295498e-16	1.732499681985042e-17	True	6.966264917045534e-16	5.140341259352838e-17	True	1.8226909263294975e-16	3.0848087207279237e-17	True	2.360772795489635e-15	8.433439243001086e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007Y/2007Y_-1.79.txt	54163.01	5.352458232809559e-15	6.314069573062067e-17	True	3.77181735587304e-15	4.327746961686556e-17	True	4.82515643342752e-15	6.876950095669293e-17	True	1.5880743109159125e-15	1.7533672029369288e-17	True	2.675172150136515e-15	3.057855207548303e-17	True	5.814041952483078e-15	1.641818631723598e-16	True	5.5966269444040804e-15	1.61242502908329e-16	True	5.242871175094474e-15	1.8413706900625844e-16	True	1.0137444456010512e-16	1.6139022817096316e-17	True	1.2722939914161835e-15	7.475137554708557e-17	True	2.6464848840286033e-16	3.714291035531393e-17	True	3.695166685447119e-15	1.1549443146872926e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007Y/2007Y_5.18.txt	54169.98	2.9240607712557308e-15	3.368201699344529e-17	True	2.9941128980880074e-15	3.227836936268503e-17	True	3.091927638820486e-15	4.711356699813405e-17	True	1.6165437450872823e-15	1.6437056441558205e-17	True	2.4905333367051233e-15	2.6172144046771486e-17	True	1.1997374982381578e-15	6.055124616334124e-17	True	2.9857827308741976e-15	1.341708389090746e-16	True	8.84374035593587e-16	1.1512499951209288e-16	True	8.130161779743722e-17	2.1862417173387354e-17	False	3.201621329002919e-16	6.03313256088336e-17	True	1.1712501630876514e-16	6.128026206184629e-17	True	2.8298367056255044e-15	1.1311144719230013e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007Y/2007Y_8.16.txt	54172.96	1.8738773160043245e-15	4.0602976858263154e-17	True	2.257020701325185e-15	3.650779326258842e-17	True	2.1490866801442304e-15	7.22116703473729e-17	True	1.459029034281996e-15	1.998311377182727e-17	True	2.064249964489217e-15	3.060587679394124e-17	True	4.803760699931064e-16	7.015821336736719e-17	True	1.8591874709728073e-15	8.968135636247852e-17	True	3.8895890914004415e-16	4.203311393085632e-17	True	7.741068257794213e-17	2.372374249179249e-17	False	1.3457683308323094e-16	3.0749513468520613e-17	True	6.840553811515137e-17	1.6000844550388142e-16	False	2.0653770259921754e-15	8.918332044612648e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007Y/2007Y_13.14.txt	54177.94	1.115345059271359e-15	4.672730847911042e-17	True	1.5440188192325178e-15	3.7554918331569505e-17	True	1.3671411683629296e-15	7.875903315600216e-17	True	1.2211030033516112e-15	2.1672239787442856e-17	True	1.5439144499307556e-15	3.14034914179621e-17	True	3.993455666428931e-16	1.679446813061072e-17	True	9.670829224953193e-16	1.1187548307307644e-16	True	2.1273920281672043e-16	5.313361004475636e-16	False	7.424433689346892e-17	2.4741846714402214e-17	False	1.3943704510967917e-16	2.072603464203466e-16	False	2.034047006194381e-17	2.0192609613013574e-16	False	1.4801909174669003e-15	9.595523940578435e-17	True
