#wls	flux	flux_err
3351.6416	1.1266e-16	4.5114e-18
3353.3392	1.1265e-16	4.5114e-18
3355.0368	1.1269e-16	4.5114e-18
3356.7344	1.1276e-16	4.5114e-18
3358.4320	1.1282e-16	4.5114e-18
3360.1295	1.1282e-16	4.5114e-18
3361.8271	1.1275e-16	4.5114e-18
3363.5147	1.1258e-16	4.5114e-18
3365.2123	1.1240e-16	4.5114e-18
3366.9099	1.1227e-16	4.5114e-18
3368.6074	1.1217e-16	4.5114e-18
3370.3050	1.1209e-16	4.5114e-18
3372.0026	1.1211e-16	4.5114e-18
3373.7002	1.1220e-16	4.5114e-18
3375.3978	1.1230e-16	4.5114e-18
3377.0954	1.1242e-16	4.5148e-18
3378.7930	1.1251e-16	4.5379e-18
3380.4805	1.1251e-16	4.5421e-18
3382.1781	1.1248e-16	4.5035e-18
3383.8757	1.1245e-16	4.4892e-18
3385.5733	1.1243e-16	4.4363e-18
3387.2709	1.1246e-16	4.5183e-18
3388.9684	1.1250e-16	4.6812e-18
3390.6660	1.1246e-16	4.7995e-18
3392.3636	1.1240e-16	4.8969e-18
3394.0612	1.1235e-16	4.9131e-18
3395.7588	1.1232e-16	4.8350e-18
3397.4564	1.1234e-16	4.6427e-18
3399.1439	1.1245e-16	4.5499e-18
3400.8415	1.1258e-16	4.7089e-18
3402.5391	1.1269e-16	4.7687e-18
3404.2367	1.1282e-16	4.7436e-18
3405.9343	1.1293e-16	4.7098e-18
3407.6319	1.1300e-16	4.7235e-18
3409.3295	1.1310e-16	4.8041e-18
3411.0271	1.1317e-16	4.7872e-18
3412.7246	1.1325e-16	4.6046e-18
3414.4222	1.1330e-16	4.5317e-18
3416.1198	1.1335e-16	4.5718e-18
3417.8074	1.1347e-16	4.4854e-18
3419.5050	1.1364e-16	4.4945e-18
3421.2025	1.1378e-16	4.6260e-18
3422.9001	1.1401e-16	4.6622e-18
3424.5977	1.1434e-16	4.6610e-18
3426.2953	1.1462e-16	4.6697e-18
3427.9929	1.1485e-16	4.7178e-18
3429.6905	1.1510e-16	4.7667e-18
3431.3881	1.1529e-16	4.7692e-18
3433.0856	1.1542e-16	4.7598e-18
3434.7732	1.1556e-16	4.6884e-18
3436.4708	1.1567e-16	4.5124e-18
3438.1684	1.1572e-16	4.3682e-18
3439.8660	1.1577e-16	4.2561e-18
3441.5635	1.1576e-16	4.0326e-18
3443.2611	1.1572e-16	3.9362e-18
3444.9587	1.1567e-16	3.9602e-18
3446.6563	1.1558e-16	4.0121e-18
3448.3539	1.1544e-16	4.0144e-18
3450.0515	1.1529e-16	3.8237e-18
3451.7491	1.1515e-16	3.7050e-18
3453.4366	1.1503e-16	3.7182e-18
3455.1342	1.1488e-16	3.7337e-18
3456.8318	1.1472e-16	3.6612e-18
3458.5294	1.1459e-16	3.5149e-18
3460.2270	1.1447e-16	3.4179e-18
3461.9246	1.1446e-16	3.4050e-18
3463.6222	1.1456e-16	3.3280e-18
3465.3197	1.1470e-16	3.1175e-18
3467.0173	1.1487e-16	3.0326e-18
3468.7149	1.1510e-16	2.8065e-18
3470.4125	1.1534e-16	2.5003e-18
3472.1000	1.1555e-16	2.5401e-18
3473.7976	1.1573e-16	2.5426e-18
3475.4952	1.1593e-16	2.6394e-18
3477.1928	1.1615e-16	2.5330e-18
3478.8904	1.1635e-16	2.3718e-18
3480.5880	1.1656e-16	2.3583e-18
3482.2856	1.1685e-16	2.3615e-18
3483.9832	1.1713e-16	2.3743e-18
3485.6807	1.1730e-16	2.3727e-18
3487.3783	1.1739e-16	2.3749e-18
3489.0659	1.1746e-16	2.3090e-18
3490.7635	1.1749e-16	2.3093e-18
3492.4611	1.1751e-16	2.2796e-18
3494.1586	1.1754e-16	2.2113e-18
3495.8562	1.1763e-16	2.0730e-18
3497.5538	1.1773e-16	2.0036e-18
3499.2514	1.1786e-16	2.0516e-18
3500.9490	1.1809e-16	2.1469e-18
3502.6466	1.1833e-16	2.1652e-18
3504.3442	1.1851e-16	2.1173e-18
3506.0418	1.1863e-16	2.0921e-18
3507.7293	1.1866e-16	2.1960e-18
3509.4269	1.1854e-16	2.3420e-18
3511.1245	1.1836e-16	2.4259e-18
3512.8221	1.1824e-16	2.4329e-18
3514.5197	1.1821e-16	2.3933e-18
3516.2173	1.1830e-16	2.3036e-18
3517.9148	1.1844e-16	2.3005e-18
3519.6124	1.1859e-16	2.3236e-18
3521.3100	1.1873e-16	2.1930e-18
3523.0076	1.1876e-16	2.1905e-18
3524.7052	1.1865e-16	2.0844e-18
3526.3927	1.1852e-16	2.0764e-18
3528.0903	1.1835e-16	2.0758e-18
3529.7879	1.1814e-16	2.0844e-18
3531.4855	1.1800e-16	2.0891e-18
3533.1831	1.1793e-16	2.0799e-18
3534.8807	1.1785e-16	2.0930e-18
3536.5783	1.1771e-16	2.0363e-18
3538.2758	1.1753e-16	2.0002e-18
3539.9734	1.1733e-16	2.0268e-18
3541.6710	1.1721e-16	2.0837e-18
3543.3586	1.1716e-16	2.0905e-18
3545.0561	1.1715e-16	2.0918e-18
3546.7537	1.1721e-16	2.1011e-18
3548.4513	1.1727e-16	2.0320e-18
3550.1489	1.1728e-16	1.8511e-18
3551.8465	1.1728e-16	1.7973e-18
3553.5441	1.1728e-16	1.7813e-18
3555.2417	1.1726e-16	1.7871e-18
3556.9393	1.1724e-16	1.7792e-18
3558.6369	1.1726e-16	1.6904e-18
3560.3344	1.1727e-16	1.5663e-18
3562.0220	1.1731e-16	1.5978e-18
3563.7196	1.1737e-16	1.5855e-18
3565.4172	1.1747e-16	1.4902e-18
3567.1148	1.1765e-16	1.4534e-18
3568.8123	1.1779e-16	1.7254e-18
3570.5099	1.1788e-16	2.0491e-18
3572.2075	1.1807e-16	2.2527e-18
3573.9051	1.1819e-16	2.2965e-18
3575.6027	1.1812e-16	2.2935e-18
3577.3003	1.1807e-16	2.2947e-18
3578.9979	1.1806e-16	2.2804e-18
3580.6854	1.1800e-16	2.2755e-18
3582.3830	1.1796e-16	2.2675e-18
3584.0806	1.1801e-16	2.2968e-18
3585.7782	1.1808e-16	2.3014e-18
3587.4758	1.1808e-16	2.3150e-18
3589.1734	1.1810e-16	2.3134e-18
3590.8709	1.1814e-16	2.2684e-18
3592.5685	1.1818e-16	2.2896e-18
3594.2661	1.1817e-16	2.3179e-18
3595.9637	1.1817e-16	2.3314e-18
3597.6512	1.1816e-16	2.3550e-18
3599.3488	1.1809e-16	2.3735e-18
3601.0464	1.1795e-16	2.3563e-18
3602.7440	1.1779e-16	2.3727e-18
3604.4416	1.1763e-16	2.4020e-18
3606.1392	1.1751e-16	2.3971e-18
3607.8368	1.1741e-16	2.3641e-18
3609.5344	1.1738e-16	2.3667e-18
3611.2319	1.1739e-16	2.3327e-18
3612.9295	1.1736e-16	2.3377e-18
3614.6271	1.1726e-16	2.3519e-18
3616.3147	1.1713e-16	2.3424e-18
3618.0123	1.1698e-16	2.1982e-18
3619.7099	1.1680e-16	2.0069e-18
3621.4074	1.1664e-16	1.8179e-18
3623.1050	1.1648e-16	1.8680e-18
3624.8026	1.1632e-16	1.9695e-18
3626.5002	1.1617e-16	1.9656e-18
3628.1978	1.1602e-16	1.9771e-18
3629.8954	1.1589e-16	2.0203e-18
3631.5930	1.1576e-16	2.1458e-18
3633.2906	1.1557e-16	2.1650e-18
3634.9781	1.1538e-16	2.1519e-18
3636.6757	1.1524e-16	2.1474e-18
3638.3733	1.1515e-16	2.1367e-18
3640.0709	1.1515e-16	2.1305e-18
3641.7685	1.1526e-16	2.1230e-18
3643.4660	1.1537e-16	2.1066e-18
3645.1636	1.1549e-16	2.1017e-18
3646.8612	1.1564e-16	2.0846e-18
3648.5588	1.1576e-16	2.0656e-18
3650.2564	1.1587e-16	2.0567e-18
3651.9439	1.1599e-16	2.0426e-18
3653.6415	1.1610e-16	2.0149e-18
3655.3391	1.1621e-16	1.9832e-18
3657.0367	1.1627e-16	1.9530e-18
3658.7343	1.1627e-16	1.9509e-18
3660.4319	1.1632e-16	1.9484e-18
3662.1295	1.1641e-16	1.9882e-18
3663.8270	1.1645e-16	2.0237e-18
3665.5246	1.1650e-16	2.0330e-18
3667.2222	1.1653e-16	2.0128e-18
3668.9198	1.1645e-16	1.9734e-18
3670.6074	1.1627e-16	2.0033e-18
3672.3050	1.1605e-16	2.0007e-18
3674.0025	1.1584e-16	1.9571e-18
3675.7001	1.1568e-16	1.9628e-18
3677.3977	1.1550e-16	1.9437e-18
3679.0953	1.1528e-16	1.8732e-18
3680.7929	1.1508e-16	1.6809e-18
3682.4905	1.1487e-16	1.5310e-18
3684.1881	1.1456e-16	1.6564e-18
3685.8857	1.1428e-16	1.9213e-18
3687.5732	1.1408e-16	2.3196e-18
3689.2708	1.1384e-16	2.6632e-18
3690.9684	1.1356e-16	2.8358e-18
3692.6660	1.1325e-16	2.8682e-18
3694.3636	1.1292e-16	2.8717e-18
3696.0611	1.1258e-16	2.8708e-18
3697.7587	1.1229e-16	2.8783e-18
