MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55766.16399999586	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.21399999586	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.26399999586	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.313999995866	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.36399999587	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.41399999587	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.463999995874	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.51399999588	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.56399999588	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.61399999588	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.663999995886	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.71399999589	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.76399999589	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.813999995895	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.8639999959	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.9139999959	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55766.9639999959	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55767.01399999591	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55767.06399999591	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55767.11399999591	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55767.163999995915	nan	nan	nan	nan	7.472370199808862e-18	7.458437378857117e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55767.21399999592	nan	nan	4.330839429547856e-18	3.990852175372582e-19	1.0267544493132825e-17	7.74621880767111e-19	1.4207380864705334e-17	1.1326109856270316e-18	1.915429799056262e-17	1.7289677427386307e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.26399999592	nan	nan	5.625861772652363e-18	3.9657091736511185e-19	1.3073840933817593e-17	9.047292282399241e-19	1.8281398893928938e-17	1.1611128904909226e-18	2.450597072772398e-17	1.795664403640128e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.313999995924	nan	nan	6.921171893581207e-18	4.0206491856048547e-19	1.589160013117813e-17	1.0850420908491973e-18	2.235947415169567e-17	1.2357749959504354e-18	2.9876033169973685e-17	1.9913963892163248e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.36399999593	nan	nan	8.216764317803806e-18	4.1487083200214867e-19	1.8721162780299717e-17	1.2829803732280944e-18	2.6441696781760164e-17	1.3451082216430914e-18	3.526474217374913e-17	2.2674423630141713e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.41399999593	nan	nan	9.512633547243206e-18	4.339965807992514e-19	2.1562869664735576e-17	1.4827087688770143e-18	3.052815692630576e-17	1.4782056814315873e-18	4.0672354702467827e-17	2.5857297487015894e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.46399999593	nan	nan	1.0808773995523577e-17	4.583402318933327e-19	2.4417061658853308e-17	1.676959368983937e-18	3.461894472856334e-17	1.626525323830843e-18	4.60991278279912e-17	2.9224793812597318e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.513999995936	nan	nan	1.2105180276413217e-17	4.868406811623743e-19	2.7284079730516556e-17	1.86250969627053e-18	3.87141503354301e-17	1.7839958966881827e-18	5.1545318732195686e-17	3.2639618931389225e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.56399999594	nan	nan	1.3401846803536291e-17	5.185644651824112e-19	3.0164264943500613e-17	2.038141215878731e-18	4.281386389511264e-17	1.946492078688438e-18	5.701118470809158e-17	3.602423848063338e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.61399999594	nan	nan	1.46987681141354e-17	5.527360443719477e-19	3.305795846006499e-17	2.2037104353196272e-18	4.691817555948389e-17	2.111263853297327e-18	6.249698316156195e-17	3.933555119245861e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.663999995944	nan	nan	1.5995938651267675e-17	5.887336673970617e-19	3.5965501543414285e-17	2.3596992172041427e-18	5.102717547963114e-17	2.2764953109235037e-18	6.800297161266481e-17	4.255066997310717e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.71399999595	nan	nan	1.7293352916856163e-17	6.260692498189845e-19	3.8887235560292027e-17	2.5069786369819594e-18	5.514095381135553e-17	2.441000031759906e-18	7.352940769707453e-17	4.5659020486045525e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.76399999595	nan	nan	1.8591005489349606e-17	6.643641334233302e-19	4.1823501983449484e-17	2.6466720963143438e-18	5.92596007124223e-17	2.604018995622118e-18	7.907654916753933e-17	4.8657849358178064e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.81399999595	nan	nan	1.98888907647124e-17	7.033264219112497e-19	4.477464239419433e-17	2.7800657734924766e-18	6.338320634112047e-17	2.7650875955795486e-18	8.464465389523337e-17	5.154957639514046e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.863999995956	nan	nan	2.118700326841396e-17	7.427318856420676e-19	4.774098058919834e-17	2.908497483668225e-18	6.751186085966725e-17	2.9239475161990975e-18	9.023397987137041e-17	5.4340164132729435e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.91399999596	nan	nan	2.248533748471756e-17	7.824086383968025e-19	5.072252252491508e-17	3.0325663160118793e-18	7.164565443132735e-17	3.0804874367724077e-18	9.584478520848834e-17	5.703806190226035e-18	nan	nan	nan	nan	nan	nan	nan	nan
55767.96399999596	nan	nan	2.378388796263898e-17	8.222252999158189e-19	5.371900100311688e-17	3.1522253250356967e-18	7.57846549117213e-17	3.234679733842532e-18	1.0147732814193692e-16	5.965348096244126e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.013999995965	nan	nan	2.508264910402921e-17	8.620818569924559e-19	5.673014004271107e-17	3.2674404573444072e-18	7.992880028058306e-17	3.3864433761932023e-18	1.0713186701081613e-16	6.2197862246861685e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.06399999597	nan	nan	2.638161493988393e-17	9.01902364243788e-19	5.975566377191425e-17	3.3782198761742106e-18	8.407798163617437e-17	3.53570979200485e-18	1.1280858706241458e-16	6.4680876605155914e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.11399999597	nan	nan	2.7680768881786817e-17	9.416234950989067e-19	6.279529642610537e-17	3.484618026949825e-18	8.823209002503551e-17	3.6824578616486415e-18	1.1850743603128244e-16	6.710434835142422e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.16399999597	nan	nan	2.898008515235139e-17	9.81191204495281e-19	6.584876234577726e-17	3.58673718255352e-18	9.23910164884692e-17	3.826704827615303e-18	1.242283136503714e-16	6.946888537715435e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.213999995976	nan	nan	3.027953761510906e-17	1.0205633493031002e-18	6.891578597433119e-17	3.68472701355897e-18	9.655465207484889e-17	3.968499459698098e-18	1.2997111977834102e-16	7.177557611331617e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.26399999598	nan	nan	3.157910004529236e-17	1.0597075957106166e-18	7.199609185607088e-17	3.778782518232025e-18	1.0072288783032205e-16	4.107916831215594e-18	1.3573575439894391e-16	7.402598363321289e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.31399999598	nan	nan	3.2878746359412014e-17	1.0985995106356104e-18	7.508940463401046e-17	3.869140507076585e-18	1.0489561480810697e-16	4.2450543053693645e-18	1.4152211762047276e-16	7.622213563677271e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.363999995985	nan	nan	3.417845035036033e-17	1.1372212064440979e-18	7.819544904781262e-17	3.9560747442474326e-18	1.0907272406155283e-16	4.38002833614414e-18	1.4733010967507337e-16	7.836651070816424e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.41399999599	nan	nan	3.5478185940534636e-17	1.1755601536738578e-18	8.131394993163905e-17	4.039889789920724e-18	1.132541066426994e-16	4.512971905526601e-18	1.5315963091814868e-16	8.046202095874702e-18	nan	nan	nan	nan	nan	nan	nan	nan
55768.46399999599	nan	nan	3.677792692871383e-17	1.2136082877233622e-18	8.444463157989167e-17	4.120911457501438e-18	1.1743965361065732e-16	4.6440323920936285e-18	1.590105818277038e-16	8.251199105090836e-18	nan	nan	nan	nan	nan	nan	nan	nan
