#MJD	band	Flux	Flux_err	FilterSet	Source
56462.04	Bessell_V	1.2057791562352929e-15	2.2146964094117623e-17	Std	LCOGT
56462.06	Bessell_U	1.166265218455493e-15	7.522545956627077e-17	Std	LCOGT
56462.08	Bessell_R	8.94495206812551e-16	1.6491728954227637e-17	Std	LCOGT
56462.09	Bessell_I	4.481546596503502e-16	8.247797482164424e-18	Std	LCOGT
56462.09	sdss_z'	3.707905467761427e-16	1.0251268057928653e-17	Std	LCOGT
56462.2	Bessell_B	1.5441701986155138e-15	3.130074726923339e-17	Std	LCOGT
56462.21	Bessell_V	1.2398514086877815e-15	2.2904125259728484e-17	Std	LCOGT
56462.21	sdss_g'	1.3057334209288758e-15	2.414858863583682e-17	Std	LCOGT
56462.22	sdss_r'	1.037579886786599e-15	1.9085917649920717e-17	Std	LCOGT
56462.23	sdss_i'	5.23284907775233e-16	1.0116841550321171e-17	Std	LCOGT
56462.32	Bessell_R	9.382934655265365e-16	1.7350848644386586e-17	Std	LCOGT
56462.33	Bessell_I	4.262578521755774e-16	1.4510284419949447e-17	Std	LCOGT
56462.33	sdss_z'	3.898753543307972e-16	1.5813126259570793e-17	Std	LCOGT
56463.0	Bessell_B	2.0635307458976086e-15	4.173432969231118e-17	Std	LCOGT
56463.0	Bessell_V	1.5559661953303152e-15	2.858283400180993e-17	Std	LCOGT
56463.01	sdss_g'	1.7758829341929555e-15	3.269676160427463e-17	Std	LCOGT
56463.01	sdss_r'	1.3446896526080505e-15	2.4811692944896932e-17	Std	LCOGT
56463.01	sdss_i'	7.143976567018398e-16	1.3832922779449637e-17	Std	LCOGT
56463.06	Bessell_R	1.2229821471674427e-15	2.2572948721823323e-17	Std	LCOGT
56463.07	Bessell_I	5.722365686740628e-16	1.4232924858602324e-17	Std	LCOGT
56463.07	sdss_z'	4.893889937229238e-16	2.3447049281432557e-17	Std	LCOGT
56464.97	Bessell_U	2.8683088899369433e-15	1.3259163736500963e-16	Std	LCOGT
56465.07	Bessell_B	3.4778608076925983e-15	6.37607814743643e-17	Std	LCOGT
56465.07	Bessell_V	2.5554189339366492e-15	4.7133282559275965e-17	Std	LCOGT
56465.08	Bessell_R	1.819312285042477e-15	3.3522513400319714e-17	Std	LCOGT
56465.08	Bessell_I	8.583548530110942e-16	1.576570138183642e-17	Std	LCOGT
56465.08	sdss_g'	3.013230971374329e-15	5.5349419970634833e-17	Std	LCOGT
56465.08	sdss_r'	2.064749273036878e-15	3.799832695756943e-17	Std	LCOGT
56465.09	sdss_i'	1.069321333279824e-15	1.971798203211023e-17	Std	LCOGT
56465.09	sdss_z'	6.788738687298497e-16	2.317440917350892e-17	Std	LCOGT
56467.07	Bessell_B	5.1240482566670954e-15	9.459781396923868e-17	Std	LCOGT
56467.07	Bessell_V	3.46401233266968e-15	6.398011849411758e-17	Std	LCOGT
56467.08	Bessell_R	2.392058745148442e-15	4.4135168396400823e-17	Std	LCOGT
56467.08	Bessell_I	1.1561514346680043e-15	2.1312892608778867e-17	Std	LCOGT
56467.08	sdss_g'	4.188604754534528e-15	7.714726104015126e-17	Std	LCOGT
56467.08	sdss_r'	2.7067301394433017e-15	4.9623385889793865e-17	Std	LCOGT
56467.09	sdss_i'	1.4500300632844137e-15	2.669511413578e-17	Std	LCOGT
56467.09	sdss_z'	9.392451717969203e-16	3.108097230329432e-17	Std	LCOGT
56467.28	sdss_i'	1.4227282420091844e-15	2.624008378119284e-17	Std	P60
56467.28	sdss_i'	1.4227282420091844e-15	2.624008378119284e-17	Std	P60
56467.28	sdss_r'	2.6720284709889007e-15	4.9102860862977847e-17	Std	P60
56467.28	sdss_r'	2.6720284709889007e-15	4.9102860862977847e-17	Std	P60
56467.28	sdss_g'	4.29545691664e-15	7.928430428226072e-17	Std	P60
56467.28	sdss_g'	4.29545691664e-15	7.928430428226072e-17	Std	P60
56468.09	Bessell_B	5.703691724615862e-15	1.0503139639231647e-16	Std	LCOGT
56468.1	Bessell_V	4.012954177737552e-15	7.401250393846147e-17	Std	LCOGT
56468.1	sdss_g'	4.594642970535324e-15	8.48406167117453e-17	Std	LCOGT
56468.1	sdss_r'	2.845536813260907e-15	5.239951936614598e-17	Std	LCOGT
56468.11	sdss_i'	1.5319355271101026e-15	2.8211881984403865e-17	Std	LCOGT
56468.11	Bessell_U	5.790736815533074e-15	2.668068457997949e-16	Std	LCOGT
56469.07	Bessell_B	5.935549111795369e-15	1.0920482936154759e-16	Std	LCOGT
56469.07	Bessell_V	4.088670294298638e-15	7.533753597828047e-17	Std	LCOGT
56469.08	Bessell_R	2.7963503640467698e-15	5.137872656832921e-17	Std	LCOGT
56469.08	Bessell_I	1.3415444046210806e-15	2.4670403088244034e-17	Std	LCOGT
56469.08	sdss_g'	4.8510881595884584e-15	8.932840752017515e-17	Std	LCOGT
56469.08	sdss_r'	3.0710976582145157e-15	5.639021123840212e-17	Std	LCOGT
56469.09	sdss_i'	1.6684446334862502e-15	3.079038732706444e-17	Std	LCOGT
56469.09	sdss_z'	1.055117217664465e-15	2.044800809427258e-17	Std	LCOGT
56469.26	sdss_i'	1.7139476689449662e-15	3.1700448036238753e-17	Std	P60
56469.26	sdss_i'	1.7139476689449662e-15	3.1700448036238753e-17	Std	P60
56469.26	sdss_r'	3.19255349780492e-15	5.899283637248222e-17	Std	P60
56469.26	sdss_r'	3.19255349780492e-15	5.899283637248222e-17	Std	P60
56469.26	sdss_g'	5.257126375589255e-15	9.680805886755823e-17	Std	P60
56469.26	sdss_g'	5.257126375589255e-15	9.680805886755823e-17	Std	P60
56470.22	sdss_i'	1.8504567753211136e-15	3.397559980917455e-17	Std	P60
56470.22	sdss_i'	1.8504567753211136e-15	3.397559980917455e-17	Std	P60
56470.22	sdss_r'	3.418114342758529e-15	6.281001990246637e-17	Std	P60
56470.22	sdss_r'	3.418114342758529e-15	6.281001990246637e-17	Std	P60
56470.22	sdss_g'	5.556312429484578e-15	1.0236437129704281e-16	Std	P60
56470.22	sdss_g'	5.556312429484578e-15	1.0236437129704281e-16	Std	P60
56470.91	Bessell_B	7.0252788315390485e-15	1.2937642204616467e-16	Std	LCOGT
56470.92	Bessell_V	4.978334663891398e-15	9.161650103891394e-17	Std	LCOGT
56470.93	sdss_r'	3.6783768561665385e-15	6.784176182835456e-17	Std	LCOGT
56470.93	sdss_i'	1.9566305247247845e-15	3.79191962155966e-17	Std	LCOGT
56471.07	Bessell_B	6.492006841026184e-15	1.198702691718049e-16	Std	LCOGT
56471.08	Bessell_V	4.864760489049769e-15	8.972359812488679e-17	Std	LCOGT
56471.08	sdss_r'	3.556921016576134e-15	6.558615337881847e-17	Std	LCOGT
56471.09	sdss_i'	1.971798203211023e-15	3.6250751582110346e-17	Std	LCOGT
56471.09	sdss_z'	1.3127621196522996e-15	3.5034253868187015e-17	Std	LCOGT
56471.18	sdss_i'	1.971798203211023e-15	3.6250751582110346e-17	Std	P60
56471.18	sdss_i'	1.971798203211023e-15	3.6250751582110346e-17	Std	P60
56471.19	sdss_r'	3.643675187712137e-15	6.714772845926653e-17	Std	P60
56471.19	sdss_r'	3.643675187712137e-15	6.714772845926653e-17	Std	P60
56471.19	sdss_g'	5.8554984833799014e-15	1.0792068372652739e-16	Std	P60
56471.19	sdss_g'	5.8554984833799014e-15	1.0792068372652739e-16	Std	P60
56472.17	Bessell_B	7.094836047692901e-15	1.307675663692417e-16	Std	LCOGT
56472.17	Bessell_V	5.148695926153841e-15	9.464514570135737e-17	Std	LCOGT
56472.18	sdss_g'	5.834128050958808e-15	1.0749327507810549e-16	Std	LCOGT
56472.18	sdss_r'	3.8171835299841435e-15	7.044438696243466e-17	Std	LCOGT
56472.19	sdss_i'	2.062804274128455e-15	3.8070873000458984e-17	Std	LCOGT
56472.19	sdss_i'	2.047636595642216e-15	3.7767519430734205e-17	Std	P60
56472.19	sdss_i'	2.047636595642216e-15	3.7767519430734205e-17	Std	P60
56472.19	sdss_r'	3.851885198438546e-15	7.079140364697867e-17	Std	P60
56472.19	sdss_r'	3.851885198438546e-15	7.079140364697867e-17	Std	P60
56472.2	sdss_g'	6.0478323751697525e-15	1.1155365723811345e-16	Std	P60
56472.2	sdss_g'	6.0478323751697525e-15	1.1155365723811345e-16	Std	P60
56473.28	sdss_i'	2.168978023532125e-15	3.989099441880762e-17	Std	P60
56473.28	sdss_r'	3.99069187225615e-15	7.339402878105876e-17	Std	P60
56473.28	sdss_r'	3.99069187225615e-15	7.339402878105876e-17	Std	P60
56473.28	sdss_i'	2.168978023532125e-15	3.989099441880762e-17	Std	P60
56473.28	sdss_g'	6.2401662669596035e-15	1.1497292642548858e-16	Std	P60
56473.28	sdss_g'	6.2401662669596035e-15	1.1497292642548858e-16	Std	P60
56473.28	sdss_i'	2.1538103450458866e-15	3.958764084908285e-17	Std	P60
56473.28	sdss_i'	2.1538103450458866e-15	3.958764084908285e-17	Std	P60
56473.29	sdss_r'	3.99069187225615e-15	7.339402878105876e-17	Std	P60
56473.29	sdss_r'	3.99069187225615e-15	7.339402878105876e-17	Std	P60
56473.29	sdss_g'	6.197425402117415e-15	1.1390440480443385e-16	Std	P60
56473.29	sdss_g'	6.197425402117415e-15	1.1390440480443385e-16	Std	P60
56474.21	sdss_i'	2.2448164159633186e-15	4.1407762267431485e-17	Std	P60
56474.21	sdss_i'	2.2448164159633186e-15	4.1407762267431485e-17	Std	P60
56474.21	sdss_r'	4.1815510487553574e-15	7.70377039687709e-17	Std	P60
56474.21	sdss_r'	4.1815510487553574e-15	7.70377039687709e-17	Std	P60
56474.21	sdss_g'	6.3256479966439815e-15	1.1625515237075426e-16	Std	P60
56474.21	sdss_g'	6.3256479966439815e-15	1.1625515237075426e-16	Std	P60
56474.95	Bessell_B	7.118021786410852e-15	1.3123128114360071e-16	Std	LCOGT
56474.96	Bessell_V	5.565134567239813e-15	1.0240604764886867e-16	Std	LCOGT
56474.96	sdss_g'	6.282907131801792e-15	1.1561403939812142e-16	Std	LCOGT
56474.96	sdss_r'	4.285656054118561e-15	7.911980407603497e-17	Std	LCOGT
56474.96	sdss_i'	2.3509901653669887e-15	4.33795604706425e-17	Std	LCOGT
56475.05	Bessell_B	7.002093092821099e-15	1.2914456465898515e-16	Std	LCOGT
56475.05	Bessell_V	5.451560392398184e-15	1.0051314473484153e-16	Std	LCOGT
56475.06	Bessell_R	3.908152316017172e-15	7.193021719566089e-17	Std	LCOGT
56475.06	Bessell_I	1.9123211861301585e-15	3.518087067613498e-17	Std	LCOGT
56475.06	sdss_g'	6.36838886148617e-15	1.17323673991809e-16	Std	LCOGT
56475.06	sdss_r'	4.3377085568001635e-15	7.981383744512301e-17	Std	LCOGT
56475.07	sdss_i'	2.3661578438532275e-15	4.33795604706425e-17	Std	LCOGT
56475.07	sdss_z'	1.5267846043723526e-15	3.0944652249332506e-17	Std	LCOGT
56475.19	sdss_r'	4.303006888345762e-15	7.911980407603497e-17	Std	P60
56475.19	sdss_i'	2.3509901653669887e-15	4.33795604706425e-17	Std	P60
56475.19	sdss_i'	2.3509901653669887e-15	4.33795604706425e-17	Std	P60
56475.19	sdss_r'	4.303006888345762e-15	7.911980407603497e-17	Std	P60
56475.19	sdss_g'	6.4111297263283595e-15	1.1817849128865276e-16	Std	P60
56475.19	sdss_g'	6.4111297263283595e-15	1.1817849128865276e-16	Std	P60
56475.19	sdss_i'	2.3661578438532275e-15	4.368291404036728e-17	Std	P60
56475.19	sdss_i'	2.3661578438532275e-15	4.368291404036728e-17	Std	P60
56475.19	sdss_r'	4.303006888345762e-15	7.929331241830699e-17	Std	P60
56475.19	sdss_r'	4.303006888345762e-15	7.929331241830699e-17	Std	P60
56475.19	sdss_g'	6.3470184290650766e-15	1.1689626534338708e-16	Std	P60
56475.19	sdss_g'	6.3470184290650766e-15	1.1689626534338708e-16	Std	P60
56476.05	Bessell_B	6.816607183077493e-15	1.2566670385129256e-16	Std	LCOGT
56476.05	Bessell_V	5.565134567239813e-15	1.0240604764886867e-16	Std	LCOGT
56476.06	Bessell_R	4.009225220741755e-15	7.37832204489449e-17	Std	LCOGT
56476.06	Bessell_I	2.043702030978796e-15	3.7662508856609235e-17	Std	LCOGT
56476.06	sdss_g'	5.9409802130642794e-15	1.0920290967179306e-16	Std	LCOGT
56476.06	sdss_r'	4.25095438566416e-15	7.842577070694695e-17	Std	LCOGT
56476.07	sdss_i'	2.3509901653669887e-15	4.33795604706425e-17	Std	LCOGT
56476.07	sdss_z'	1.6358406475418063e-15	3.3125773112721576e-17	Std	LCOGT
56476.22	sdss_g'	6.282907131801792e-15	1.1582774372233237e-16	Std	P60
56476.22	sdss_g'	6.282907131801792e-15	1.1582774372233237e-16	Std	P60
56477.22	sdss_i'	2.5026669502293754e-15	4.595806581330307e-17	Std	P60
56477.22	sdss_r'	4.441813562163368e-15	8.189593755238708e-17	Std	P60
56477.22	sdss_i'	2.5026669502293754e-15	4.595806581330307e-17	Std	P60
56477.22	sdss_r'	4.441813562163368e-15	8.189593755238708e-17	Std	P60
56477.24	Bessell_V	4.959405634751126e-15	1.8266513120361972e-16	Std	LCOGT
56477.24	Bessell_R	3.908152316017172e-15	7.193021719566089e-17	Std	LCOGT
56477.24	Bessell_I	2.1020935175781895e-15	6.963184776977753e-17	Std	LCOGT
56477.24	sdss_g'	5.9409802130642794e-15	1.0963031832021496e-16	Std	LCOGT
56477.25	sdss_r'	4.52856773329937e-15	9.994080514867577e-17	Std	LCOGT
56477.25	sdss_i'	2.472331593256898e-15	7.978198883761524e-17	Std	LCOGT
56478.24	sdss_g'	5.5990532943267675e-15	1.0300548426967564e-16	Std	LCOGT
56478.25	sdss_r'	4.355059391027365e-15	8.016085412966702e-17	Std	LCOGT
56478.25	sdss_i'	2.5026669502293754e-15	4.610974259816546e-17	Std	LCOGT
56478.25	sdss_z'	1.7312646853150781e-15	4.457665764551422e-17	Std	LCOGT
56479.23	Bessell_B	5.263162688974798e-15	9.691638784103375e-17	Std	LCOGT
56479.24	Bessell_V	5.224412042714927e-15	9.615946803257909e-17	Std	LCOGT
56479.24	Bessell_R	3.9923797366209905e-15	7.361476560773725e-17	Std	LCOGT
56479.24	Bessell_I	2.1020935175781895e-15	3.868435987209863e-17	Std	LCOGT
56479.24	sdss_g'	5.299867240431444e-15	9.766287616440202e-17	Std	LCOGT
56479.25	sdss_i'	2.5330023072018523e-15	4.671644973761501e-17	Std	P60
56479.25	sdss_i'	2.5330023072018523e-15	4.671644973761501e-17	Std	P60
56479.25	sdss_r'	4.3377085568001635e-15	7.998734578739501e-17	Std	P60
56479.25	sdss_r'	4.372410225254564e-15	8.068137915648304e-17	Std	LCOGT
56479.25	sdss_r'	4.3377085568001635e-15	7.998734578739501e-17	Std	P60
56479.25	sdss_g'	5.363978537694728e-15	9.873139778545674e-17	Std	P60
56479.25	sdss_g'	5.363978537694728e-15	9.873139778545674e-17	Std	P60
56479.25	sdss_i'	2.472331593256898e-15	4.550303545871591e-17	Std	LCOGT
56479.25	sdss_z'	1.8539527338807136e-15	3.926017554100335e-17	Std	LCOGT
56479.76	Bessell_U	3.0577255147440995e-15	1.401683023572959e-16	Std	LCOGT
56479.86	Bessell_B	5.2399769502568485e-15	9.668453045385423e-17	Std	LCOGT
56479.86	Bessell_V	5.167624955294113e-15	1.1433133600723972e-16	Std	LCOGT
56479.86	sdss_g'	5.086162916220499e-15	1.126221788591682e-16	Std	LCOGT
56479.87	sdss_r'	4.25095438566416e-15	1.136479641881643e-16	Std	LCOGT
56479.87	sdss_i'	2.5026669502293754e-15	4.595806581330307e-17	Std	LCOGT
56480.05	Bessell_B	4.984933824359391e-15	9.204738271026411e-17	Std	LCOGT
56480.05	Bessell_V	5.1108378678732985e-15	9.426656511855193e-17	Std	LCOGT
56480.06	Bessell_R	4.026070704862518e-15	7.42885849725678e-17	Std	LCOGT
56480.06	Bessell_I	2.0582999026286442e-15	3.79544662896062e-17	Std	LCOGT
56480.06	sdss_g'	4.936569889272837e-15	9.082433778965176e-17	Std	LCOGT
56480.06	sdss_r'	4.25095438566416e-15	7.825226236467494e-17	Std	LCOGT
56480.07	sdss_i'	2.4571639147706596e-15	4.535135867385353e-17	Std	LCOGT
56480.07	sdss_z'	1.6222086421456246e-15	3.2716812950836127e-17	Std	LCOGT
56480.2	sdss_i'	2.5026669502293754e-15	4.610974259816546e-17	Std	P60
56480.2	sdss_i'	2.5026669502293754e-15	4.610974259816546e-17	Std	P60
56480.2	sdss_r'	4.1815510487553574e-15	7.721121231104291e-17	Std	P60
56480.2	sdss_r'	4.1815510487553574e-15	7.721121231104291e-17	Std	P60
56480.21	sdss_g'	5.000681186536121e-15	9.210656373491743e-17	Std	P60
56480.21	sdss_g'	5.000681186536121e-15	9.210656373491743e-17	Std	P60
56480.23	Bessell_B	4.6603334823080815e-15	8.601909064359695e-17	Std	LCOGT
56480.24	Bessell_V	4.88368951819004e-15	8.99128884162895e-17	Std	LCOGT
56480.24	Bessell_R	3.8913068318964085e-15	7.159330751324562e-17	Std	LCOGT
56480.24	Bessell_I	2.1020935175781895e-15	3.868435987209863e-17	Std	LCOGT
56480.24	sdss_g'	4.8724585920095535e-15	8.95421118443861e-17	Std	LCOGT
56480.25	sdss_r'	4.216252717209759e-15	7.773173733785893e-17	Std	LCOGT
56480.25	sdss_i'	2.4419962362844207e-15	4.5048005104128754e-17	Std	LCOGT
56480.25	sdss_z'	1.6903686691265331e-15	4.8257299102483285e-17	Std	LCOGT
56481.19	sdss_i'	2.4571639147706596e-15	4.535135867385353e-17	Std	P60
56481.19	sdss_i'	2.4571639147706596e-15	4.535135867385353e-17	Std	P60
56481.19	sdss_r'	3.99069187225615e-15	7.339402878105876e-17	Std	P60
56481.19	sdss_r'	3.99069187225615e-15	7.339402878105876e-17	Std	P60
56481.19	Bessell_B	4.2893616628208716e-15	7.883151164103223e-17	Std	LCOGT
56481.2	Bessell_V	4.6186831102262396e-15	8.518063113122163e-17	Std	LCOGT
56481.2	Bessell_R	3.672315538326481e-15	6.771884616546997e-17	Std	LCOGT
56481.2	Bessell_I	2.043702030978796e-15	3.751653014011075e-17	Std	LCOGT
56481.21	sdss_g'	4.57327253811423e-15	8.44132080633234e-17	Std	LCOGT
56481.21	sdss_r'	3.9733410380289496e-15	7.322052043878676e-17	Std	LCOGT
56481.21	sdss_i'	2.4268285577981822e-15	4.45929747495416e-17	Std	LCOGT
56481.21	sdss_z'	1.6631046583341696e-15	4.430401753759058e-17	Std	LCOGT
56482.23	sdss_g'	4.10312302485015e-15	7.54376264464637e-17	Std	P60
56482.23	sdss_g'	4.10312302485015e-15	7.54376264464637e-17	Std	P60
56482.7	Bessell_B	3.2923748979489934e-15	6.051477805385122e-17	Std	LCOGT
56482.7	Bessell_V	3.956167090316738e-15	7.287676219004517e-17	Std	LCOGT
56482.7	sdss_g'	3.825307403375921e-15	7.052242698961195e-17	Std	LCOGT
56482.71	sdss_r'	3.643675187712137e-15	6.697422011699452e-17	Std	LCOGT
56482.71	sdss_i'	2.168978023532125e-15	4.004267120367001e-17	Std	LCOGT
56483.21	sdss_g'	3.5047509170595035e-15	6.453870591170549e-17	Std	LCOGT
56483.21	sdss_r'	3.4007635085313278e-15	6.263651156019435e-17	Std	LCOGT
56485.19	sdss_i'	1.9262951677523068e-15	3.534069087293603e-17	Std	P60
56485.19	sdss_i'	1.9262951677523068e-15	3.534069087293603e-17	Std	P60
56485.19	sdss_r'	2.8802384817153085e-15	5.2920044392961996e-17	Std	P60
56485.19	sdss_r'	2.8802384817153085e-15	5.2920044392961996e-17	Std	P60
56485.19	sdss_g'	2.7567857823211948e-15	5.064792483799404e-17	Std	P60
56485.19	sdss_g'	2.7567857823211948e-15	5.064792483799404e-17	Std	P60
56485.19	Bessell_B	2.2188751953078778e-15	4.0806900143593153e-17	Std	LCOGT
56485.2	Bessell_V	3.104360779004522e-15	5.716566800361986e-17	Std	LCOGT
56485.2	Bessell_R	2.7458139116844788e-15	5.0536452362291025e-17	Std	LCOGT
56485.2	Bessell_I	1.6057658814833392e-15	2.948770073269405e-17	Std	LCOGT
56485.21	sdss_g'	2.778156214742289e-15	5.107533348641593e-17	Std	LCOGT
56485.21	sdss_r'	2.862887647488108e-15	5.2746536050689986e-17	Std	LCOGT
56485.21	sdss_i'	1.9262951677523068e-15	3.5492367657798414e-17	Std	LCOGT
56485.21	sdss_z'	1.3577477374596993e-15	4.375873732174332e-17	Std	LCOGT
56485.85	Bessell_U	6.710760421739263e-16	6.19662958297698e-17	Std	LCOGT
56486.19	sdss_i'	1.7897860613761593e-15	3.2913862315137845e-17	Std	P60
56486.19	sdss_i'	1.7897860613761593e-15	3.2913862315137845e-17	Std	P60
56486.19	sdss_r'	2.619975968307299e-15	4.8408827493889824e-17	Std	P60
56486.19	sdss_r'	2.619975968307299e-15	4.8408827493889824e-17	Std	P60
56486.19	sdss_g'	2.4789701608469653e-15	4.5732725381142296e-17	Std	P60
56486.19	sdss_g'	2.4789701608469653e-15	4.5732725381142296e-17	Std	P60
56487.08	Bessell_B	1.8432662280770774e-15	3.3851178528207955e-17	Std	LCOGT
56487.09	Bessell_V	2.479702817375563e-15	4.580825051945697e-17	Std	LCOGT
56487.09	sdss_g'	2.2438954042149257e-15	4.145863889692339e-17	Std	LCOGT
56487.09	sdss_r'	2.446467626035292e-15	4.493866064844969e-17	Std	LCOGT
56487.09	sdss_i'	1.6987799904587275e-15	3.1245417681651594e-17	Std	LCOGT
56487.19	Bessell_B	1.7203818128719389e-15	3.1764462043592396e-17	Std	LCOGT
56487.2	Bessell_V	2.479702817375563e-15	4.542966993665153e-17	Std	LCOGT
56487.2	Bessell_R	2.324676808665387e-15	4.295598450794737e-17	Std	LCOGT
56487.2	Bessell_I	1.3940967425605355e-15	2.569225410373343e-17	Std	LCOGT
56487.21	sdss_g'	2.2011545393727367e-15	4.0390117275868666e-17	Std	LCOGT
56487.21	sdss_r'	2.39441512335369e-15	4.407111893708966e-17	Std	LCOGT
56487.21	sdss_i'	1.6684446334862502e-15	3.063871054220205e-17	Std	LCOGT
56487.21	sdss_z'	1.254144496448718e-15	2.5355530036897996e-17	Std	LCOGT
56487.22	sdss_i'	1.6532769550000115e-15	3.048703375733966e-17	Std	P60
56487.22	sdss_i'	1.6532769550000115e-15	3.048703375733966e-17	Std	P60
56487.22	sdss_g'	2.1584136745305477e-15	3.953529997902488e-17	Std	P60
56487.22	sdss_r'	2.39441512335369e-15	4.4244627279361667e-17	Std	P60
56487.22	sdss_g'	2.1584136745305477e-15	3.953529997902488e-17	Std	P60
56487.22	sdss_r'	2.39441512335369e-15	4.4244627279361667e-17	Std	P60
56488.18	sdss_r'	2.220906781081684e-15	4.094796877619354e-17	Std	P60
56488.18	sdss_i'	1.547103205596341e-15	2.851523555412864e-17	Std	P60
56488.18	sdss_r'	2.220906781081684e-15	4.094796877619354e-17	Std	P60
56488.18	sdss_i'	1.547103205596341e-15	2.851523555412864e-17	Std	P60
56488.19	sdss_g'	1.9959983881302292e-15	3.67571437642826e-17	Std	P60
56488.19	sdss_g'	1.9959983881302292e-15	3.67571437642826e-17	Std	P60
56488.22	Bessell_I	1.2685550463718381e-15	5.839148659939416e-17	Std	LCOGT
56488.23	sdss_g'	1.957531609772259e-15	3.611603079164976e-17	Std	LCOGT
56488.23	sdss_r'	2.1688542784000818e-15	4.008042706483351e-17	Std	LCOGT
56488.23	sdss_z'	1.292314111558027e-15	5.943554352735229e-17	Std	LCOGT
56494.21	Bessell_U	4.3565823705646023e-16	2.056523355049129e-16	Std	LCOGT
56494.21	Bessell_B	8.926509406411002e-16	6.909350137949295e-17	Std	LCOGT
56495.2	Bessell_B	9.274295487180263e-16	4.266175924102921e-17	Std	LCOGT
