MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_UVM2	swift_UVM2_err	swift_UVW2	swift_UVW2_err
54916.88339995242	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54916.933399952424	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54916.98339995243	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.03339995243	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.08339995243	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.133399952436	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.18339995244	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.23339995244	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.283399952445	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.33339995245	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.38339995245	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.43339995245	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.483399952456	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.53339995246	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.58339995246	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.633399952465	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.68339995247	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.73339995247	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.783399952474	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.83339995248	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.88339995248	5.220701065736481e-15	1.1721098894509642e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54917.93339995248	5.3470334692410004e-15	1.1614976626057055e-17	nan	nan	nan	nan	nan	nan	2.8844336523861965e-15	2.6639568626590752e-17	nan	nan	nan	nan
54917.983399952485	5.474434668248616e-15	1.3155418646288042e-17	nan	nan	nan	nan	nan	nan	2.9491326638232512e-15	2.5595175056217e-17	nan	nan	nan	nan
54918.03339995249	5.60265647038563e-15	1.4344262237826647e-17	nan	nan	nan	nan	nan	nan	3.014060629366325e-15	2.4648749423385807e-17	nan	nan	nan	nan
54918.08339995249	5.731450734984784e-15	1.458061488374377e-17	nan	nan	1.9642447695831612e-15	1.0580610733999606e-17	nan	nan	3.0792107027261866e-15	2.3800219574087705e-17	nan	nan	nan	nan
54918.133399952494	5.860569355164612e-15	1.3957846109402232e-17	nan	nan	2.0076123172028265e-15	9.997241057896933e-18	nan	nan	3.1445760392373725e-15	2.30491058194462e-17	nan	nan	nan	nan
54918.1833999525	5.989764239915781e-15	1.3010816876475335e-17	nan	nan	2.0509990499991837e-15	9.519048998919779e-18	nan	nan	3.2101497958057725e-15	2.2394449362962117e-17	nan	nan	nan	nan
54918.2333999525	6.118787987072071e-15	1.2660592245907069e-17	nan	nan	2.0944021382109198e-15	9.139806928478446e-18	nan	nan	3.275925130855951e-15	2.1834748386689328e-17	nan	nan	nan	nan
54918.2833999525	6.247478454285102e-15	1.3351792286767383e-17	nan	nan	2.1378187518998196e-15	8.852035112444126e-18	nan	nan	3.341895099969569e-15	2.1367797476454266e-17	nan	nan	nan	nan
54918.333399952506	6.3758400062848594e-15	1.4329147514019167e-17	nan	nan	2.1812460616331046e-15	8.647377376983262e-18	nan	nan	3.4080513054254055e-15	2.0989229936216078e-17	nan	nan	nan	nan
54918.38339995251	6.503896238397882e-15	1.4947129107601114e-17	nan	nan	2.224681237523103e-15	8.517078858421405e-18	nan	nan	3.4743842828936095e-15	2.0693023142104903e-17	nan	nan	nan	nan
54918.43339995251	6.631670715946478e-15	1.4951966970284455e-17	nan	nan	2.2681214548628656e-15	8.452284408444212e-18	nan	nan	3.540884544688082e-15	2.0472794645191265e-17	nan	nan	nan	nan
54918.483399952514	6.759186975773492e-15	1.44434980654599e-17	nan	nan	2.311563967869332e-15	8.441589678447196e-18	nan	nan	3.6075426043276694e-15	2.0322027621306304e-17	nan	nan	nan	nan
54918.53339995252	6.886468527759214e-15	1.3870081278312448e-17	nan	nan	2.3550060958343753e-15	8.47224516973454e-18	nan	nan	3.674348976465185e-15	2.0234264748453853e-17	nan	nan	nan	nan
54918.58339995252	7.013538670621045e-15	1.3948211923850522e-17	nan	nan	2.3984451596925346e-15	8.533255042872314e-18	nan	nan	3.7412941768157296e-15	2.0203281352915864e-17	nan	nan	nan	nan
54918.63339995252	7.140414591252296e-15	1.4781115746505357e-17	nan	nan	2.441878480529981e-15	8.61580228563346e-18	nan	nan	3.808368654406912e-15	2.022310963687091e-17	nan	nan	nan	nan
