spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-04_00-00-00_Other_Other_None.ascii	54408.0	1.5179402127864636e-14	1.3872300994153566e-16	True	3.590484482674933e-15	4.131566416208459e-17	False	6.0190468892613545e-15	8.096672876190757e-17	True	1.0045484317404847e-14	2.0549579124529095e-15	False	9.07545670570494e-15	1.4061258388645902e-16	True	4.420727090828424e-15	7.208234326473902e-17	True	7.044845379466203e-15	1.056798373024267e-16	True	1.492520550858594e-14	5.332492231785844e-16	True	1.9102222838949953e-14	8.532744354637028e-16	True	1.0713587394505223e-14	7.804348678797585e-16	True	1.4135137959619539e-14	8.347121265007199e-16	True	1.0838378027593805e-14	7.149679024443548e-16	True	8.868430406631636e-15	2.7141440993493357e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-05_00-00-00_Other_Other_None.ascii	54409.0	1.4660885780220492e-14	1.2126646337515624e-16	True	3.574434324516501e-15	3.8865717895041725e-17	False	5.9871513206954456e-15	7.399497681580134e-17	True	1.001434978978887e-14	1.9133177341910804e-15	False	9.034347152143536e-15	9.75893585853152e-17	True	4.4104368602651934e-15	6.075763251966495e-17	True	7.023091693280652e-15	8.697389031935111e-17	True	1.4525349847431925e-14	4.429657080608637e-16	True	1.808495721843071e-14	6.301246970471832e-16	True	9.915459982126132e-15	5.511562916222884e-16	True	1.3157665757954039e-14	5.626777898860728e-16	True	1.00719636394513e-14	4.826146580289282e-16	True	8.743153644933032e-15	2.4461650456277286e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-06_00-00-00_Other_Other_None.ascii	54410.0	1.4141677050271647e-14	1.0646428875686124e-16	True	3.558310070118641e-15	3.65717774269048e-17	True	5.95469897554755e-15	6.763084910044482e-17	True	9.970239501152428e-15	1.7698134798202985e-15	False	8.89467198480715e-15	1.1071581303332437e-16	True	4.349593961244704e-15	6.086641453927995e-17	True	6.9334542348722415e-15	8.793119238667993e-17	True	1.4108329672746096e-14	3.7105771613927403e-16	True	1.6992786698473433e-14	4.712101694611877e-16	True	8.976912602116413e-15	3.8610789555867214e-16	True	1.2036820404853372e-14	3.772338747664176e-16	True	9.162292136491006e-15	3.208490732851899e-16	True	8.615380741651446e-15	2.20906732928151e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-07_00-00-00_Other_Other_None.ascii	54411.0	1.3622268876374589e-14	9.438021435712238e-17	True	3.5421114955993927e-15	3.444656505973646e-17	True	5.9215939528666055e-15	6.19502131859125e-17	True	9.912331571506625e-15	1.6247623223042966e-15	False	8.667852441723722e-15	8.537468584143433e-17	True	4.2589125003417834e-15	5.337152637959708e-17	True	6.812271697578971e-15	7.861874624798408e-17	True	1.3673985380908098e-14	3.2031263109804364e-16	True	1.5829104239828212e-14	3.9377304149953596e-16	True	7.917187855033997e-15	3.0194359087177287e-16	True	1.0796230681652344e-14	3.158128410282378e-16	True	8.119201638237189e-15	2.486892553389937e-16	True	8.485180000918927e-15	2.006350820293234e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-08_00-00-00_Other_Other_None.ascii	54412.0	1.3103364746927291e-14	8.499820038269984e-17	True	3.5258395018882303e-15	3.250283624304046e-17	True	5.887774731486627e-15	5.703248227815694e-17	True	9.839764027649575e-15	1.478569466766468e-15	False	8.345747820061248e-15	7.681664342469311e-17	True	4.165218938127877e-15	4.532050497508301e-17	True	6.694516555753991e-15	6.893464869124913e-17	True	1.3222861043473853e-14	2.888324086865844e-16	True	1.461144382274143e-14	3.7674002161805965e-16	True	6.813471401153007e-15	2.684379675631222e-16	True	9.522567461903555e-15	3.386429787943051e-16	True	7.002021430237994e-15	2.232037056631486e-16	True	8.352827028390894e-15	1.8393669943025346e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-09_00-00-00_Other_Other_None.ascii	54413.0	1.258615445631812e-14	7.814060259947228e-17	True	3.5095005025988958e-15	3.075066415135034e-17	True	5.853350342370142e-15	5.293659836777511e-17	True	9.751633052709728e-15	1.3317636124633772e-15	False	8.010375584841057e-15	8.315078316117404e-17	True	4.091877452823912e-15	5.773347580533513e-17	True	6.601060448225863e-15	8.112523595882749e-17	True	1.2756978916036618e-14	2.7033593388588337e-16	True	1.3368855152671627e-14	3.715302081343953e-16	True	5.7421425249243784e-15	2.3924421839813185e-16	True	8.270846714338713e-15	3.5774844571026495e-16	True	5.897541960769272e-15	1.9333651006331917e-16	True	8.218775337826543e-15	1.707090398497423e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-10_00-00-00_Other_Other_None.ascii	54414.0	1.2072534108847218e-14	7.33420391844686e-17	True	3.493097437735322e-15	2.919683307939285e-17	True	5.818525438150711e-15	4.9691886764700056e-17	True	9.646991163842282e-15	1.1850554354417631e-15	False	7.832422940983123e-15	1.2471316859454892e-16	True	4.0399689942771165e-15	6.509938570439746e-17	True	6.525763145358868e-15	8.47105475953146e-17	True	1.2279169261656597e-14	2.580047214199672e-16	True	1.21361319868971e-14	3.4563680783491653e-16	True	4.773521191316957e-15	2.1039814995288858e-16	True	7.073789498382474e-15	3.2428984938416564e-16	True	4.902280204799458e-15	1.7717520419903792e-16	True	8.083567867286811e-15	1.607057154699257e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-11_00-00-00_Other_Other_None.ascii	54415.0	1.1564295711233396e-14	7.003709226422483e-17	True	3.476618154583242e-15	2.784222201814684e-17	True	5.78351286110192e-15	4.7271772961509585e-17	True	9.52484531524412e-15	1.0394392751492122e-15	False	7.760392658085542e-15	1.176296897871704e-16	True	4.001066971844701e-15	5.59809178211452e-17	True	6.454994367514835e-15	7.746473670835951e-17	True	1.1792264830138409e-14	2.4846056873573724e-16	True	1.0948144240498072e-14	3.0070233493895253e-16	True	3.933757302907662e-15	1.8003182511679646e-16	True	5.9640845240462045e-15	2.5181829561539584e-16	True	4.050352301779694e-15	1.7140842167508418e-16	True	7.947748452067138e-15	1.536591126342664e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-13_00-00-00_Other_Other_None.ascii	54417.0	1.0571594141610473e-14	6.617060317156416e-17	True	3.4433682385522763e-15	2.572107439550791e-17	True	5.71365879141489e-15	4.466390697868839e-17	True	9.223829812508446e-15	7.58174786653449e-16	False	7.536932694758797e-15	8.856834735845335e-17	True	3.930988522811215e-15	6.577119569621861e-17	True	6.3210219075349445e-15	1.0147149585033533e-16	True	1.0804586091285286e-14	2.3869039688660105e-16	True	8.823832143756018e-15	2.4933217562468604e-16	True	2.6076271698564753e-15	1.3587676452637247e-16	True	4.135543133303259e-15	1.8942996492577693e-16	True	2.711406917045676e-15	1.5232906391294647e-16	True	7.676382094046434e-15	1.4721721875771995e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-14_00-00-00_Other_Other_None.ascii	54418.0	1.0092121246317511e-14	6.491111361001893e-17	True	3.4265557233985944e-15	2.4940471091570334e-17	True	5.6790064534031134e-15	4.429253944860553e-17	True	9.042728073897122e-15	6.286815991440211e-16	False	7.396069486270368e-15	9.20833215039286e-17	True	3.889909269979921e-15	6.876188807367191e-17	True	6.252505043481944e-15	1.0435652450495249e-16	True	1.031413660387966e-14	2.3855415885212114e-16	True	7.906850894116734e-15	2.593882959670668e-16	True	2.1328186361746704e-15	1.639010742017814e-16	True	3.472820692563934e-15	2.2241572266893146e-16	True	2.2350558075457737e-15	1.8255314918528891e-16	True	7.54176336667932e-15	1.4696742510371676e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-11-15_00-00-00_Other_Other_None.ascii	54419.0	9.62730582764832e-15	6.378669065282244e-17	True	3.409529546790076e-15	2.4326909154892663e-17	True	5.644473381446656e-15	4.4371073954048966e-17	True	8.839653841160251e-15	5.147535187151697e-16	True	7.262135917124128e-15	9.322199324843879e-17	True	3.8414671112601755e-15	5.629143946088262e-17	True	6.17974899559516e-15	8.492718782748186e-17	True	9.832286088977124e-15	2.3983137360419735e-16	True	7.086385346351452e-15	2.7109836650787977e-16	True	1.775991978316413e-15	2.1596248748807344e-16	True	2.9751030680141105e-15	2.6693434663798914e-16	True	1.8803100450234773e-15	2.297404944047847e-16	True	7.408341195676948e-15	1.4803646079703763e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007od/2007od_2007-12-06_00-00-00_Other_Other_None.ascii	54440.0	4.459793675535719e-15	5.2904732460184044e-17	True	2.9308058575747883e-15	2.248570865343733e-17	True	4.833045870052994e-15	4.537357731656543e-17	True	2.2692919732273904e-15	1.3503466382088743e-16	True	5.124023114085536e-15	7.35977264132519e-17	True	3.3338324694034574e-15	1.1493805490036293e-16	True	5.304739582951114e-15	1.7155531360513179e-16	True	4.469877503768082e-15	2.296037381120955e-16	True	1.7022641584547377e-15	3.5964103457434715e-16	True	2.720647636212204e-16	4.241909900274681e-16	True	6.488317242738981e-16	4.813564276586432e-16	True	3.116458294407275e-16	4.337359495172863e-16	True	5.1989516087641085e-15	1.7226327355502192e-16	True
