MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54399.619799999535	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.66979999954	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.71979999954	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.76979999954	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.81979999955	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.86979999955	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.91979999955	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54399.969799999555	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.01979999956	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7853882066466082e-15	6.993233388320658e-17	2.8650082304902545e-15	1.115614801785899e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.06979999956	nan	nan	nan	nan	nan	nan	nan	nan	3.623798831338785e-15	1.4236395926113287e-16	1.8169567210573285e-15	6.839645117980439e-17	2.914430440040404e-15	1.0919876467972684e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.119799999564	nan	nan	nan	nan	nan	nan	nan	nan	3.6948622585209574e-15	1.3913807659410678e-16	1.8486463880078348e-15	6.70994714631395e-17	2.9640353658464406e-15	1.0719314360006895e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.16979999957	nan	nan	nan	nan	nan	nan	nan	nan	3.766439044449842e-15	1.366975750297514e-16	1.8804308828913195e-15	6.604319794076872e-17	3.0137844185393757e-15	1.0554720646839033e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.21979999957	nan	nan	nan	nan	nan	nan	nan	nan	3.838414051933459e-15	1.3503196185920867e-16	1.9122842687149626e-15	6.522632240505849e-17	3.0636394750021862e-15	1.0425914446563483e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.26979999957	nan	nan	nan	nan	nan	nan	nan	nan	3.910681654032342e-15	1.341155179794846e-16	1.944181847689682e-15	6.464468140441656e-17	3.1135641459086574e-15	1.0332312428315343e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.319799999575	nan	nan	nan	nan	nan	nan	nan	nan	3.98313997337664e-15	1.3391118309364613e-16	1.9761004564981757e-15	6.429155032487188e-17	3.163524233851434e-15	1.0272970024655652e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
