MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err
53342.936599986446	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53342.98659998645	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.03659998645	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.086599986455	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.13659998646	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.18659998646	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.23659998646	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.286599986466	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.33659998647	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.38659998647	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.436599986475	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.48659998648	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.53659998648	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.58659998648	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.63659998649	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.68659998649	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.73659998649	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.786599986495	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.8365999865	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.8865999865	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53343.936599986504	nan	nan	3.712210003192316e-17	3.83860133989954e-18	nan	nan	nan	nan	nan	nan	nan	nan
53343.98659998651	nan	nan	4.6117084705769944e-17	3.825859475274691e-18	nan	nan	nan	nan	3.342131957236487e-17	3.1845653694328157e-18	nan	nan
53344.03659998651	nan	nan	5.5130833460890915e-17	3.979112571360198e-18	nan	nan	2.6128594195277326e-17	2.321617340984822e-18	4.0748146474416467e-17	3.208104285236146e-18	nan	nan
53344.08659998651	nan	nan	6.416696768331435e-17	4.265286326056165e-18	nan	nan	3.008763184871748e-17	2.6284016035310784e-18	4.808817819265962e-17	3.3389867801224996e-18	nan	nan
53344.136599986516	nan	nan	7.322910878163756e-17	4.646744885524089e-18	nan	nan	3.40656611165722e-17	3.0795010584186055e-18	5.544383852808245e-17	3.556395916982639e-18	nan	nan
53344.18659998652	nan	nan	8.23208781960107e-17	5.090848080170887e-18	nan	nan	3.806455490666518e-17	3.595408918308162e-18	6.281755129759508e-17	3.837778930421556e-18	nan	nan
53344.23659998652	nan	nan	9.144589742004845e-17	5.57301158068642e-18	nan	nan	4.20861862876494e-17	4.131175626944655e-18	7.021174033421269e-17	4.163331521513008e-18	nan	nan
53344.286599986524	nan	nan	1.00607787991408e-16	6.0759599890611294e-18	nan	nan	4.613242850312233e-17	4.663056264684646e-18	7.76288294929118e-17	4.517571568697434e-18	nan	nan
53344.33659998653	nan	nan	1.098101714915699e-16	6.587915610211484e-18	nan	nan	5.020515498636806e-17	5.1783975830982524e-18	8.50712426481597e-17	4.889120331825397e-18	nan	nan
53344.38659998653	nan	nan	1.1905666957081743e-16	7.100939343393876e-18	nan	nan	5.4306239374311726e-17	5.670324834136615e-18	9.254140369537851e-17	5.2698620202622945e-18	nan	nan
53344.43659998653	nan	nan	1.2835090393399398e-16	7.60970641141009e-18	nan	nan	5.843755552243846e-17	6.13511132807688e-18	1.0004173655579498e-16	5.654082762478504e-18	nan	nan
53344.486599986536	nan	nan	1.3769649636416769e-16	8.110671354516932e-18	nan	nan	6.260097751897289e-17	6.570850390334413e-18	1.075746651842185e-16	6.037781694061561e-18	nan	nan
53344.53659998654	nan	nan	1.4709706870466382e-16	8.601513730623293e-18	nan	nan	6.679837969902648e-17	6.976757042199005e-18	1.1514261355659628e-16	6.418169537368433e-18	nan	nan
53344.58659998654	nan	nan	1.5655624288974115e-16	9.080771457555858e-18	nan	nan	7.103163665964508e-17	7.352784699731964e-18	1.227480056897787e-16	6.793317551733614e-18	nan	nan
53344.636599986545	nan	nan	1.6607764092202298e-16	9.547596310379687e-18	nan	nan	7.530262327361873e-17	7.699406492216394e-18	1.3039326563017243e-16	7.161914894532598e-18	nan	nan
53344.68659998655	nan	nan	1.7566488491128077e-16	1.0001588581707676e-17	nan	nan	7.96132147042719e-17	8.017486410705146e-18	1.3808081746197603e-16	7.523100845171356e-18	nan	nan
53344.73659998655	nan	nan	1.8532159704572982e-16	1.0442683331748645e-17	nan	nan	8.396528641967525e-17	8.30820140131226e-18	1.4581308530864418e-16	7.876347910324398e-18	nan	nan
53344.78659998655	nan	nan	1.95051399615913e-16	1.0871070585902192e-17	nan	nan	8.836071420730735e-17	8.572993232782221e-18	1.5359249333325345e-16	8.22137942633628e-18	nan	nan
53344.83659998656	nan	nan	2.048579150230273e-16	1.1287138136337113e-17	nan	nan	9.28013741881859e-17	8.813538050204384e-18	1.6142146574646348e-16	8.558110658786045e-18	nan	nan
53344.88659998656	nan	nan	2.1474476576796784e-16	1.169142955793637e-17	nan	nan	9.728914283159384e-17	9.031726331107186e-18	1.6930242680066055e-16	8.886606027329909e-18	nan	nan
53344.93659998656	nan	nan	2.247155744754308e-16	1.208461256754841e-17	nan	nan	1.0182589696914625e-16	9.229648571012508e-18	1.7723780079819313e-16	9.207047503085104e-18	nan	nan
53344.986599986565	nan	nan	2.3477396388142383e-16	1.24674544589551e-17	nan	nan	1.0641351380980586e-16	9.40958346449257e-18	1.8523001208981624e-16	9.519710812902207e-18	nan	nan
53345.03659998657	nan	nan	2.449235568549585e-16	1.2840802375978226e-17	nan	nan	1.110538709534837e-16	9.573986143297848e-18	1.9328148507963283e-16	9.824947147887625e-18	nan	nan
53345.08659998657	nan	nan	2.5516797638512234e-16	1.3205566924833137e-17	nan	nan	1.1574884640634394e-16	9.725474489196936e-18	2.0139464422930294e-16	1.0123168777197776e-17	nan	nan
53345.136599986574	nan	nan	2.655108456025526e-16	1.3562708029054524e-17	nan	nan	1.2050031859453332e-16	9.86681181136016e-18	2.0957191405200442e-16	1.0414837446373704e-17	nan	nan
53345.18659998658	nan	nan	2.759557749286671e-16	1.391321802948088e-17	nan	nan	1.2531016637914822e-16	1.0000884398573688e-17	2.1781571912524374e-16	1.0700454760610589e-17	nan	nan
53345.23659998658	nan	nan	2.865053648938612e-16	1.4257779030355008e-17	nan	nan	1.3018026907043032e-16	1.0130672689236439e-17	2.261284840834439e-16	1.0980554000121678e-17	nan	nan
53345.28659998658	nan	nan	2.971604947976665e-16	1.4596520171177446e-17	nan	nan	1.351125064421229e-16	1.0259215124823807e-17	2.3451263241418565e-16	1.1255692589614655e-17	nan	nan
53345.336599986585	nan	nan	3.079218761902769e-16	1.49295338565249e-17	nan	nan	1.4010875874616463e-16	1.0389564195132176e-17	2.429700826966633e-16	1.1526304654540482e-17	nan	nan
53345.38659998659	nan	nan	3.1879022077088603e-16	1.525693253761898e-17	nan	nan	1.4517077560526145e-16	1.0524490268335633e-17	2.5150147016787904e-16	1.1792478778075087e-17	nan	nan
53345.43659998659	nan	nan	3.2976624038834406e-16	1.5578849348574364e-17	nan	nan	1.5029918846588743e-16	1.0664593908403458e-17	2.601072292693327e-16	1.205426026785754e-17	nan	nan
53345.486599986594	nan	nan	3.408506470501421e-16	1.5895438434111024e-17	nan	nan	1.5549406270933627e-16	1.0809343266230746e-17	2.68787794508408e-16	1.231170736898466e-17	nan	nan
53345.5365999866	nan	nan	3.5204415291496183e-16	1.6206875005997948e-17	nan	nan	1.6075545981966867e-16	1.0958160320080166e-17	2.775436004613013e-16	1.2564891150210716e-17	nan	nan
53345.5865999866	nan	nan	3.633474702933329e-16	1.6513355168983336e-17	nan	nan	1.6608344179256384e-16	1.1110463125923756e-17	2.86375081775675e-16	1.281389533546725e-17	nan	nan
53345.6365999866	nan	nan	3.747613116568359e-16	1.6815095518415367e-17	nan	nan	1.714780711356411e-16	1.1265694362715833e-17	2.952826731679121e-16	1.305881605426298e-17	nan	nan
53345.686599986606	nan	nan	3.8628638963284364e-16	1.7112332552091744e-17	nan	nan	1.769394108690225e-16	1.142334471594394e-17	3.042668094231168e-16	1.3299761539600799e-17	nan	nan
53345.73659998661	nan	nan	3.9792341701021805e-16	1.7405321882786652e-17	nan	nan	1.8246752452560613e-16	1.1582971495711618e-17	3.133279254007873e-16	1.3536851763298623e-17	nan	nan
53345.78659998661	nan	nan	4.096731067305455e-16	1.7694337282468853e-17	nan	nan	1.8806247615145199e-16	1.1744212923306381e-17	3.224664560251164e-16	1.377021801376077e-17	nan	nan
53345.836599986615	nan	nan	4.215361719010648e-16	1.7979669548543722e-17	nan	nan	1.937243303062803e-16	1.1906798524976069e-17	3.31682836298443e-16	1.4000002425021602e-17	nan	nan
53345.88659998662	nan	nan	4.33513325785026e-16	1.8261625209238163e-17	nan	nan	1.9945315206387353e-16	1.207055604762577e-17	3.4097750129182686e-16	1.422635743664901e-17	nan	nan
53345.93659998662	nan	nan	4.4560528181418e-16	1.8540525062156566e-17	nan	nan	2.052490070123817e-16	1.2235415270789859e-17	3.5035088614733607e-16	1.44494452122785e-17	nan	nan
53345.98659998662	nan	nan	4.57812753577823e-16	1.881670255324688e-17	nan	nan	2.111119612549977e-16	1.2401409040322406e-17	3.598034260823482e-16	1.4669436992255465e-17	nan	nan
53346.036599986626	nan	nan	4.701364548352855e-16	1.9090502000909542e-17	nan	nan	2.170420814101019e-16	1.2568671793768878e-17	3.693355563834191e-16	1.4886512393920702e-17	nan	nan
53346.08659998663	nan	nan	4.825770504986025e-16	1.936225801365652e-17	nan	nan	2.2303943461184107e-16	1.2737435799792365e-17	3.7894771241570823e-16	1.5100858652012127e-17	nan	nan
53346.13659998663	nan	nan	4.951346089017946e-16	1.9632085361004402e-17	nan	nan	2.291040885104818e-16	1.2908025289500838e-17	3.886403296141023e-16	1.5312669804372454e-17	nan	nan
53346.186599986635	nan	nan	5.078088003223278e-16	1.9899954469833844e-17	nan	nan	2.3523611127302164e-16	1.3080848623781376e-17	3.984138434875163e-16	1.5522145810913783e-17	nan	nan
53346.23659998664	nan	nan	5.20599287947483e-16	2.016584131977416e-17	nan	nan	2.4143557158323717e-16	1.3256388619598501e-17	4.082686790371615e-16	1.572948829918891e-17	nan	nan
53346.28659998664	nan	nan	5.335057351354525e-16	2.0429731197997228e-17	nan	nan	2.477025386427613e-16	1.3435191146730617e-17	4.182049360331965e-16	1.5934800714317496e-17	nan	nan
53346.336599986644	nan	nan	5.465278053982483e-16	2.069161946358704e-17	nan	nan	2.5403708016679366e-16	1.3617842874943832e-17	4.282223358414325e-16	1.613807134999436e-17	nan	nan
53346.38659998665	nan	nan	5.596651624264629e-16	2.0951512096125717e-17	nan	nan	2.60439155935998e-16	1.380446727985505e-17	4.383205785997965e-16	1.633928609222059e-17	nan	nan
53346.43659998665	nan	nan	5.729174700614414e-16	2.1209426064625097e-17	nan	nan	2.669085645922733e-16	1.399447611587997e-17	4.484993645142045e-16	1.6538435595346304e-17	nan	nan
53346.48659998665	nan	nan	5.86284392314125e-16	2.1465389497713466e-17	nan	nan	2.734450921152006e-16	1.4187263570469965e-17	4.587583938708228e-16	1.6735515651425443e-17	nan	nan
53346.536599986655	nan	nan	5.997655933600121e-16	2.171944172309352e-17	nan	nan	2.800485249984714e-16	1.4382277225800616e-17	4.690973670260945e-16	1.6930527470203493e-17	nan	nan
53346.58659998666	nan	nan	6.133607375345561e-16	2.1971633134781584e-17	nan	nan	2.8671865024906774e-16	1.45790258971703e-17	4.795159844123208e-16	1.712347787944631e-17	nan	nan
53346.63659998666	nan	nan	6.270694893349189e-16	2.2222024939171468e-17	nan	nan	2.9345525538449707e-16	1.4777085325032126e-17	4.900139465318049e-16	1.7314379442541107e-17	nan	nan
53346.686599986664	nan	nan	6.408915134212853e-16	2.2470688764280793e-17	nan	nan	3.002581284320525e-16	1.4976101973454523e-17	5.005909539684733e-16	1.7503250510291564e-17	nan	nan
53346.73659998667	nan	nan	6.548264746111662e-16	2.271770615844229e-17	nan	nan	3.0712705792622466e-16	1.5175795164525296e-17	5.112467073685676e-16	1.7690115205344267e-17	nan	nan
53346.78659998667	nan	nan	6.688740378914497e-16	2.2963167971536402e-17	nan	nan	3.1406183290757646e-16	1.5375957753201986e-17	5.219809074580314e-16	1.7875003347579952e-17	nan	nan
53346.83659998667	nan	nan	6.830338486715847e-16	2.3207165774308968e-17	nan	nan	3.2106224292057254e-16	1.5576455518192275e-17	5.327932550314373e-16	1.8057950325242495e-17	nan	nan
53346.886599986676	nan	nan	6.973052477828101e-16	2.3449677629103386e-17	nan	nan	3.281280780123415e-16	1.577722541639198e-17	5.436834509564714e-16	1.8238996906311313e-17	nan	nan
53346.93659998668	nan	nan	7.116873366474689e-16	2.3690594085266135e-17	nan	nan	3.3525912873029653e-16	1.59782728237506e-17	5.546511961739326e-16	1.841818900927557e-17	nan	nan
53346.98659998668	nan	nan	7.26179210377337e-16	2.3929811636540092e-17	nan	nan	3.424551861209619e-16	1.6179667860244312e-17	5.65696191694256e-16	1.8595577416208684e-17	nan	nan
53347.036599986684	nan	nan	7.407799642461179e-16	2.416723582387382e-17	nan	nan	3.497160417282044e-16	1.6381540879766534e-17	5.768181317712704e-16	1.877121519089076e-17	nan	nan
53347.08659998669	nan	nan	7.554886936833069e-16	2.440278163253166e-17	nan	nan	3.5704148759099886e-16	1.658407718761188e-17	5.880165291217067e-16	1.8945099482874383e-17	nan	nan
