spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-01_00-00-00_ESO-NTT_EMMI_SUSPECT.dat	50934.0	8.696524545141238e-15	6.300203174237138e-16	True	2.593852219540112e-15	3.9598169985586754e-16	False	3.0800906735842126e-15	2.0314520562258659e-16	True	9.691779847996772e-15	1.8125349857962653e-15	False	5.8561842098484295e-15	4.04514886905918e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-03_09-30-00_Danish-1.54m_DFOSC_SUSPECT.dat	50936.4	1.2178773871101923e-14	6.517159272754296e-16	True	2.9245722323329142e-15	2.50088280977194e-16	True	4.9131263517239436e-15	2.5782660401236046e-16	True	1.112658459824157e-14	1.0986135948760191e-15	True	8.83057129349731e-15	4.683555157491968e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-04_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.dat	50937.0	1.2990212881873221e-14	6.419507040444623e-16	True	3.0135575978152537e-15	2.2002903343007544e-16	True	5.371972183585039e-15	2.6809828722030204e-16	True	1.1516289232724355e-14	9.57618365185634e-16	True	9.557939370456417e-15	4.710486076915976e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-07_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50940.0	1.623667497019851e-14	6.056547636063154e-16	True	3.479761459736221e-15	1.3717692673828678e-16	True	7.361749506873481e-15	2.952268302994528e-16	True	1.345826564278774e-14	6.834145834463367e-16	True	1.2684256352512695e-14	4.737394123727874e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-08_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50941.0	1.692228785163521e-14	6.095910680460929e-16	True	3.625495867274385e-15	1.3345419188136595e-16	True	7.869308334396893e-15	3.0037790637204146e-16	True	1.3910423848952368e-14	6.884068716775225e-16	True	1.3469701952513368e-14	4.789747400041452e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-09_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50942.0	1.7372841796681476e-14	6.273247974483624e-16	True	3.755895090634551e-15	1.378635094335002e-16	True	8.290369538092156e-15	3.1108286685415326e-16	True	1.4175303713484904e-14	7.078753066221658e-16	True	1.410459349171275e-14	4.908002860455146e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-11_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50944.0	1.7546898413214245e-14	7.00972073307158e-16	True	3.953824679604649e-15	1.6027230877178335e-16	True	8.874608856345005e-15	3.647897018535735e-16	True	1.4047459607614719e-14	7.627388967016347e-16	True	1.490517969097105e-14	5.355923379066497e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-13_09-30-00_Danish-1.54m_DFOSC_SUSPECT.dat	50946.4	1.6621813535765093e-14	7.390364813279558e-16	True	4.072537526154395e-15	1.7964612494022961e-16	True	9.157120246455765e-15	4.0727767449329305e-16	True	1.2804468224022129e-14	7.593250429226677e-16	True	1.502925648781928e-14	5.461641697980566e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-14_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50947.0	1.623545540784306e-14	7.246183925884045e-16	True	4.082950181124863e-15	1.7985805295767534e-16	True	9.163670241027893e-15	4.0701746197749997e-16	True	1.2346165914080746e-14	7.309139160562904e-16	True	1.4922915357711174e-14	5.36243773203997e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-16_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50949.0	1.4618466703913504e-14	6.172352894990274e-16	True	4.066185138399084e-15	1.6734078325768165e-16	True	9.027121460314346e-15	3.7605974212592106e-16	True	1.0524369947454923e-14	5.771859518727296e-16	True	1.4229385501485965e-14	4.841725753892378e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-19_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50952.0	1.1635491970782516e-14	4.3141142611286603e-16	True	3.909592253752774e-15	1.3059489364034333e-16	True	8.440481149165974e-15	3.0178649521730205e-16	True	7.437719619301648e-15	3.502023977496761e-16	True	1.2511951998818774e-14	4.000266156900359e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1998bw/1998bw_1998-05-21_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat	50954.0	9.670541550859455e-15	3.417830000032755e-16	True	3.733036392552833e-15	1.1990401568290303e-16	True	7.86170392377206e-15	2.7966545353955123e-16	True	5.682347936710571e-15	2.812702962060686e-16	True	1.1178559164736084e-14	3.614740618499256e-16	True
