time,logL_BVRI,logL_BVRI_err
53767.04,1.1696102729022588,0.00023195685393673349
53767.24,1.229517366101189,0.00017949363301789035
53767.54,1.306510764158527,0.00012657061938865704
53769.04,1.551463034470937,4.839508231866698e-05
53771.03,1.706185154837762,3.4024601911431645e-05
53773.03,1.7861607939420074,3.746481780722911e-05
53775.03,1.839610341938238,3.698930305289168e-05
53777.02,1.8826968750907647,3.42750757526476e-05
53779.02,1.920900809313733,5.319551581522456e-05
53781.02,1.9475621130453893,5.7996184125836694e-05
53783.02,1.9677505298691995,4.7076928218413124e-05
53785.01,1.9847386717041677,4.569820735510444e-05
53787.01,2.0020135681843034,4.4098510061801366e-05
53789.01,2.020696990694532,4.2111526476578727e-05
53791.0,2.041905599593042,5.0733050355183385e-05
53793.0,2.0637634903853153,8.856437120727225e-06
53795.0,2.088419967391808,5.4834583513501803e-05
53797.0,2.1101986918383493,5.2746378550062485e-05
53799.0,2.1296278048477886,2.3050180747440587e-07
53801.0,2.1500200670058867,4.594848662885112e-05
53803.0,2.167787335378632,4.53377266669535e-05
53805.0,2.1832278120657267,5.110007919038384e-05
53807.0,2.195920436653558,6.66839321153324e-05
53809.0,2.206494491624269,5.457267389954879e-07
53811.25,2.2149558646045446,9.839862225656865e-05
53813.5,2.221280778191839,0.00010834879049379781
53815.75,2.2255899690696594,0.00010966522805333614
53818.0,2.229907591029013,4.915016109827184e-07
53820.0,2.2292838900798992,8.527837812293625e-05
53822.0,2.229030435973489,6.680313380968649e-05
53824.0,2.227718807530171,2.2396410665877598e-07
53825.93,2.2240642803412856,6.458008955135997e-05
53827.86,2.219902183089463,6.802143552036255e-05
53829.79,2.214404099593849,6.653223933848682e-05
53831.71,2.2079403508937943,6.0071137714297846e-05
53833.64,2.200170134961232,4.815228076448316e-05
53835.57,2.1914694966705635,4.4194952531274516e-05
53837.5,2.1822354780354507,5.021063374332661e-05
53839.43,2.171939477362532,5.1538556345479905e-05
53841.36,2.1613509003839755,5.404227694141992e-05
53843.29,2.1499523388144666,5.556880668577472e-05
53845.21,2.1384709090050213,5.3531380241106864e-05
53847.14,2.1262919018752644,6.261659713468116e-05
53849.07,2.1137016737498575,8.332546206639888e-05
53851.0,2.1024676602920307,5.260333811271137e-07
53852.98,2.0876975134343203,0.00011468214809445659
53854.95,2.0740725256976424,0.00011817162711123133
53856.93,2.0595282637928425,0.00011075785692579787
53858.91,2.0448868608444917,8.967226450598782e-05
53860.89,2.0293215852615005,5.818279578453705e-05
53862.86,2.0119138820742495,5.643905444973596e-05
53864.84,1.9922611834283943,6.784327656442016e-05
53866.82,1.9719995994285158,6.601411856625068e-05
53868.8,1.9519283917445047,6.726690651790577e-05
53870.77,1.933162936546609,6.425049409253787e-05
53872.75,1.9175370176536495,4.66520235038417e-05
53874.73,1.8982469545700056,8.002003695808496e-05
53876.7,1.8787514895686215,0.00010400059413244846
53878.68,1.8584985874333486,0.00011752100968472171
53880.66,1.838628219851699,0.00012356429690484405
53882.64,1.81824766327726,0.00012474400932904528
53884.61,1.7983370410874653,0.00012196076434711317
53886.59,1.7779152797932016,0.00011263545824929702
53888.57,1.7573520166760126,9.175953512310929e-05
53890.55,1.737691091693686,5.541080353927682e-05
53892.52,1.7101044761401043,5.1540732819685994e-05
53894.5,1.6911868034158974,4.460958890808822e-05
53896.48,1.6718682080223817,3.2439181222474946e-05
53898.45,1.6530670208377543,2.5936214580311602e-05
53900.43,1.6339687961699203,3.3927535433639614e-05
53902.41,1.615380871743554,4.5619235875074624e-05
53904.39,1.5965130524215962,5.76863943754481e-05
53906.36,1.578157720954196,6.71865626937774e-05
53908.34,1.559523949727362,7.531078803586038e-05
53910.32,1.54102261828895,8.198889430353921e-05
53912.29,1.5230649515475223,8.739787251512905e-05
53914.27,1.5048634158045102,9.237266678621095e-05
53916.25,1.4872210945208968,9.667464303885414e-05
53918.23,1.4693457366633558,0.00010086264212819381
53920.2,1.4520300057301068,0.0001047844871481715
53922.18,1.4344806718930978,0.000109020512800366
53924.16,1.4175036235720821,0.00011330264185472667
53926.14,1.4002889301726154,0.00011741791130124588
53928.11,1.3834243858375033,0.00012826324959296326
