FilterSet	Flux	Flux_err	Instr	MJD	Source	band
GeneralFilters	4.785176706153998e-16	2.6283629020071996e-17	LCOGT	56528.71	nan	Bessell_I
GeneralFilters	4.829964255985407e-16	1.6014821321500597e-17	LCOGT	56530.01	nan	Bessell_I
GeneralFilters	4.47449386319958e-16	4.121161147236132e-18	Nickel	56531.19	nan	Bessell_I
GeneralFilters	3.62029463560806e-17	2.0006487504474826e-18	Nickel	56675.58	nan	Bessell_I
GeneralFilters	1.0733563174980702e-17	1.8783356346716816e-18	Nickel	56738.49	nan	Bessell_I
GeneralFilters	6.326285798455245e-16	1.3401466463660328e-17	LCOGT	56461.08	nan	Bessell_R
GeneralFilters	1.1232833000813276e-15	1.5810176388386065e-16	LCOGT	56462.63	nan	Bessell_R
GeneralFilters	1.819486375355097e-15	2.681294211067063e-17	LCOGT	56465.08	nan	Bessell_R
GeneralFilters	2.3963420457051634e-15	2.2071125888632767e-17	LCOGT	56467.08	nan	Bessell_R
GeneralFilters	2.789644150792021e-15	2.3124214930864347e-17	LCOGT	56469.08	nan	Bessell_R
GeneralFilters	3.90075620367549e-15	2.1556375406421738e-17	LCOGT	56475.06	nan	Bessell_R
GeneralFilters	4.0063492685248974e-15	4.0589824453459333e-17	LCOGT	56476.06	nan	Bessell_R
GeneralFilters	3.904350587927666e-15	6.832475590801664e-17	LCOGT	56477.24	nan	Bessell_R
GeneralFilters	3.982252719723402e-15	6.372076944814647e-17	LCOGT	56479.94499999999	nan	Bessell_R
GeneralFilters	3.674081686819539e-15	2.3687680022960907e-17	LCOGT	56481.2	nan	Bessell_R
GeneralFilters	2.7412510299463653e-15	2.777264053384401e-17	LCOGT	56485.2	nan	Bessell_R
GeneralFilters	2.3288890979597628e-15	1.9304875152689092e-17	LCOGT	56487.2	nan	Bessell_R
GeneralFilters	1.1629172372397207e-15	1.7137381727103433e-17	LCOGT	56499.21	nan	Bessell_R
GeneralFilters	8.455974203310875e-16	2.550570547018494e-17	LCOGT	56510.55	nan	Bessell_R
GeneralFilters	8.154756583487123e-16	2.288660874125546e-17	LCOGT	56512.61	nan	Bessell_R
GeneralFilters	7.246571614676067e-16	3.647815967452012e-17	LCOGT	56518.61	nan	Bessell_R
GeneralFilters	6.714533789160354e-16	8.340065220266227e-18	LCOGT	56523.625	nan	Bessell_R
GeneralFilters	6.46173000842191e-16	1.2498093881551003e-17	LCOGT	56526.4	nan	Bessell_R
GeneralFilters	5.672037525543434e-16	5.3432412309396534e-18	LCOGT	56528.8575	nan	Bessell_R
GeneralFilters	6.047123076644002e-16	1.6708818542144e-17	LCOGT	56530.01	nan	Bessell_R
GeneralFilters	5.560947664749557e-16	5.121822078309658e-18	Nickel	56531.19	nan	Bessell_R
GeneralFilters	4.711387310169325e-17	2.6036088450479836e-18	Nickel	56675.58	nan	Bessell_R
GeneralFilters	2.3396387616074872e-17	1.9393982407666257e-18	Nickel	56724.53	nan	Bessell_R
GeneralFilters	1.982206098030663e-17	2.5559509990264903e-18	Nickel	56738.49	nan	Bessell_R
