MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
49076.89,10.77,0.1,3.1293068249e-13,2.88219809857e-14,Bessell_B,Rich1994,GeneralFilters
49076.89,9.95,0.1,4.15583773437e-13,3.82766800642e-14,Bessell_U,Rich1994,GeneralFilters
49077.06,10.02,0.1,3.89635556669e-13,3.58867609795e-14,Bessell_U,Rich1994,GeneralFilters
49077.98,10.69,0.1,6.05974537562e-14,5.58123174769e-15,Bessell_I,Rich1994,GeneralFilters
49077.98,10.83,0.1,1.03434474229e-13,9.52666713844e-15,Bessell_R,Rich1994,GeneralFilters
49077.98,10.55,0.1,2.39143500545e-13,2.20259303776e-14,Bessell_U,Rich1994,GeneralFilters
49077.98,11.02,0.1,1.42829037136e-13,1.31550404702e-14,Bessell_V,Rich1994,GeneralFilters
49078.9,11.57,0.1,1.49778041451e-13,1.37950674201e-14,Bessell_B,Rich1994,GeneralFilters
49078.9,10.84,0.1,5.27781758657e-14,4.86104963935e-15,Bessell_I,Rich1994,GeneralFilters
49078.9,11.05,0.1,1.50889348053e-13,1.38974225408e-14,Bessell_U,Rich1994,GeneralFilters
49079.99,11.91,0.1,1.09508579952e-13,1.00861129501e-14,Bessell_B,Rich1994,GeneralFilters
49079.99,11.32,0.1,6.58666098964e-14,6.06653896294e-15,Bessell_R,Rich1994,GeneralFilters
49079.99,11.48,0.1,1.01545008922e-13,9.35264095246e-15,Bessell_U,Rich1994,GeneralFilters
49079.99,11.62,0.1,8.21895321795e-14,7.56993566386e-15,Bessell_V,Rich1994,GeneralFilters
49080.16,11.93,0.1,1.07509823111e-13,9.90202064184e-15,Bessell_B,Rich1994,GeneralFilters
49080.16,10.97,0.1,4.68224760236e-14,4.31250941236e-15,Bessell_I,Rich1994,GeneralFilters
49080.16,11.26,0.1,6.96089866111e-14,6.41122459636e-15,Bessell_R,Rich1994,GeneralFilters
49080.16,11.64,0.1,8.0689404155e-14,7.43176876679e-15,Bessell_V,Rich1994,GeneralFilters
49080.9,12.14,0.1,8.86029429642e-14,8.16063262659e-15,Bessell_B,Rich1994,GeneralFilters
49080.9,11.19,0.1,3.82344085042e-14,3.52151916245e-15,Bessell_I,Rich1994,GeneralFilters
49080.9,11.41,0.1,6.0626892872e-14,5.58394319046e-15,Bessell_R,Rich1994,GeneralFilters
49080.9,11.76,0.1,7.84618569073e-14,7.22660408334e-15,Bessell_U,Rich1994,GeneralFilters
49081.09,12.19,0.1,8.46151536305e-14,7.79334365564e-15,Bessell_B,Rich1994,GeneralFilters
49081.09,11.23,0.1,3.68514326175e-14,3.39414237602e-15,Bessell_I,Rich1994,GeneralFilters
49081.09,11.47,0.1,5.73674190136e-14,5.28373455377e-15,Bessell_R,Rich1994,GeneralFilters
49081.09,11.8,0.1,7.56238149347e-14,6.96521075776e-15,Bessell_U,Rich1994,GeneralFilters
49081.09,11.81,0.1,6.89948235754e-14,6.35465809034e-15,Bessell_V,Rich1994,GeneralFilters
49081.95,11.27,0.1,3.55184803189e-14,3.27137293232e-15,Bessell_I,Rich1994,GeneralFilters
49081.95,11.52,0.1,5.47854598372e-14,5.04592732536e-15,Bessell_R,Rich1994,GeneralFilters
49082.08,12.29,0.1,7.71699372848e-14,7.10761388877e-15,Bessell_B,Rich1994,GeneralFilters
49082.08,11.28,0.1,3.5192844934e-14,3.241380805e-15,Bessell_I,Rich1994,GeneralFilters
49082.08,11.51,0.1,5.52923834557e-14,5.09261671605e-15,Bessell_R,Rich1994,GeneralFilters
49082.08,11.92,0.1,6.23471360135e-14,5.74238343902e-15,Bessell_V,Rich1994,GeneralFilters
49082.91,12.27,0.1,7.86046335349e-14,7.23975429671e-15,Bessell_B,Rich1994,GeneralFilters
49082.91,11.47,0.1,5.73674190136e-14,5.28373455377e-15,Bessell_R,Rich1994,GeneralFilters
49082.91,11.86,0.1,6.58895449884e-14,6.06865136298e-15,Bessell_V,Rich1994,GeneralFilters
49082.97,12.27,0.1,7.86046335349e-14,7.23975429671e-15,Bessell_B,Rich1994,GeneralFilters
