MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
55759.94,19.24,0.08,1.28070217566e-16,9.43656236233e-18,Bessell_B,LTetal,GeneralFilters
55759.94,17.17,0.06,1.55043789963e-16,8.56803646872e-18,Bessell_I,LTetal,GeneralFilters
55759.94,17.45,0.06,2.32629780667e-16,1.28555967636e-17,Bessell_R,LTetal,GeneralFilters
55759.94,19.32,0.33,7.42435247555e-17,2.25656684026e-17,Bessell_U,LTetal,GeneralFilters
55759.94,18.04,0.08,2.22237072979e-16,1.63750326833e-17,Bessell_V,LTetal,GeneralFilters
55759.94,18.71,0.18,1.60173293371e-16,2.65545099081e-17,sdss_g',LTetal,GeneralFilters
55759.94,17.64,0.08,1.74487248358e-16,1.28566955836e-17,sdss_i',LTetal,GeneralFilters
55759.94,17.74,0.14,2.30037899195e-16,2.96621829006e-17,sdss_r',LTetal,GeneralFilters
55759.94,20.22,0.65,7.11718730008e-17,4.26086163911e-17,sdss_u',LTetal,GeneralFilters
55759.94,17.39,0.05,1.51452999971e-16,6.97466840045e-18,sdss_z',LTetal,GeneralFilters
55774.88,19.4,0.22,1.10521850367e-16,2.23947649292e-17,Bessell_B,LTetal,GeneralFilters
55774.88,17.18,0.08,1.53622339952e-16,1.13193123176e-17,Bessell_I,LTetal,GeneralFilters
55774.88,17.68,0.09,1.88219801564e-16,1.56021159344e-17,Bessell_R,LTetal,GeneralFilters
55774.88,18.23,0.08,1.86559130287e-16,1.37461847155e-17,Bessell_V,LTetal,GeneralFilters
55901.57,20.7,0.23,3.33770652158e-17,7.07052501886e-18,Bessell_B,LTetal,GeneralFilters
55901.57,18.71,0.17,3.75365519016e-17,5.87731512987e-18,Bessell_I,LTetal,GeneralFilters
55901.57,19.08,0.27,5.18400380005e-17,1.28915386618e-17,Bessell_R,LTetal,GeneralFilters
55901.57,19.63,0.23,5.13826511506e-17,1.08847892452e-17,Bessell_V,LTetal,GeneralFilters
55909.19,20.2,0.61,4.06059901867e-17,2.28136944364e-17,sdss_g',LTetal,GeneralFilters
55909.19,19.46,0.31,3.26410179225e-17,9.31968143977e-18,sdss_i',LTetal,GeneralFilters
55909.19,19.43,0.36,4.85064389795e-17,1.60833892764e-17,sdss_r',LTetal,GeneralFilters
55909.19,19.67,0.98,1.85471797192e-17,1.67409321391e-17,sdss_z',LTetal,GeneralFilters
55910.61,20.92,0.61,2.72551230629e-17,1.53127665776e-17,Bessell_B,LTetal,GeneralFilters
55910.61,18.61,0.23,4.11580107185e-17,8.71882361828e-18,Bessell_I,LTetal,GeneralFilters
55910.61,18.97,0.34,5.73674190136e-17,1.79646974828e-17,Bessell_R,LTetal,GeneralFilters
55910.61,19.8,0.6,4.39355946186e-17,2.4279706853e-17,Bessell_V,LTetal,GeneralFilters
55913.22,20.75,0.26,3.18748498242e-17,7.63303362085e-18,Bessell_B,LTetal,GeneralFilters
55913.22,18.84,0.09,3.33007776907e-17,2.76040347465e-18,Bessell_I,LTetal,GeneralFilters
55913.22,19.13,0.22,4.95068519495e-17,1.00314490584e-17,Bessell_R,LTetal,GeneralFilters
55913.22,20.0,0.25,3.65440358656e-17,8.41457522221e-18,Bessell_V,LTetal,GeneralFilters
55917.17,20.86,0.62,2.88036912686e-17,1.64480916343e-17,Bessell_B,LTetal,GeneralFilters
55917.17,18.85,0.43,3.29954743257e-17,1.30676806188e-17,Bessell_I,LTetal,GeneralFilters
55917.17,19.16,0.51,4.81576527918e-17,2.26209670601e-17,Bessell_R,LTetal,GeneralFilters
55917.17,19.88,0.5,4.08146905839e-17,1.87958596227e-17,Bessell_V,LTetal,GeneralFilters
55919.17,19.09,0.39,2.6451747958e-17,9.50155448295e-18,Bessell_I,LTetal,GeneralFilters
55919.17,19.36,0.19,4.00557908936e-17,7.00962189197e-18,Bessell_R,LTetal,GeneralFilters
55919.17,20.05,0.19,3.4899283315e-17,6.10725128331e-18,Bessell_V,LTetal,GeneralFilters
55927.26,19.1,0.21,2.6209236875e-17,5.06931584269e-18,Bessell_I,LTetal,GeneralFilters
55927.26,19.36,0.23,4.00557908936e-17,8.48533176397e-18,Bessell_R,LTetal,GeneralFilters
55927.26,20.15,0.17,3.1828524669e-17,4.98357627757e-18,Bessell_V,LTetal,GeneralFilters
55927.27,20.47,0.27,3.16657738152e-17,7.87461898446e-18,sdss_g',LTetal,GeneralFilters
55927.27,19.65,0.08,2.74008284652e-17,2.01896765311e-18,sdss_i',LTetal,GeneralFilters
55927.27,19.51,0.26,4.50608513543e-17,1.0790670239e-17,sdss_r',LTetal,GeneralFilters
55927.27,19.77,0.16,1.69152289434e-17,2.49272025662e-18,sdss_z',LTetal,GeneralFilters
55948.33,21.07,0.41,2.37382198275e-17,8.96412046189e-18,Bessell_B,LTetal,GeneralFilters
55948.33,19.08,0.06,2.66965029684e-17,1.47530327448e-18,Bessell_I,LTetal,GeneralFilters
55948.33,19.38,0.12,3.93246903158e-17,4.34632539397e-18,Bessell_R,LTetal,GeneralFilters
55948.33,20.35,0.12,2.64738137073e-17,2.92599402227e-18,Bessell_V,LTetal,GeneralFilters
