MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
55682.91,15.95,0.07,4.7692970845e-16,3.07487946383e-17,Bessell_I,LTetal,GeneralFilters
55682.91,16.15,0.06,7.70309601624e-16,4.25688817365e-17,Bessell_R,LTetal,GeneralFilters
55682.91,16.58,0.17,8.5273975119e-16,1.33518397072e-16,Bessell_V,LTetal,GeneralFilters
55684.87,17.41,0.27,6.90952428044e-16,1.71825490165e-16,Bessell_B,LTetal,GeneralFilters
55684.87,15.96,0.05,4.72557190601e-16,2.17620628533e-17,Bessell_I,LTetal,GeneralFilters
55684.87,16.14,0.06,7.77437188611e-16,4.29627667497e-17,Bessell_R,LTetal,GeneralFilters
55684.87,17.56,0.08,3.75542058154e-16,2.76709614367e-17,Bessell_U,LTetal,GeneralFilters
55684.87,16.61,0.2,8.29500225574e-16,1.52799588323e-16,Bessell_V,LTetal,GeneralFilters
55684.87,17.02,0.06,7.59609006341e-16,4.19775449881e-17,sdss_g',LTetal,GeneralFilters
55684.87,16.41,0.05,5.41706059896e-16,2.4946485966e-17,sdss_i',LTetal,GeneralFilters
55684.87,16.34,0.07,8.35217129632e-16,5.38484383389e-17,sdss_r',LTetal,GeneralFilters
55684.87,18.4,0.1,3.80459466977e-16,3.5041611886e-17,sdss_u',LTetal,GeneralFilters
55684.87,16.51,0.02,3.40626067153e-16,6.27456403609e-18,sdss_z',LTetal,GeneralFilters
55688.99,17.58,0.16,5.90810421408e-16,8.70650412236e-17,Bessell_B,LTetal,GeneralFilters
55688.99,16.12,0.09,4.07806718082e-16,3.38043481156e-17,Bessell_I,LTetal,GeneralFilters
55688.99,16.24,0.14,7.09031142932e-16,9.14258542503e-17,Bessell_R,LTetal,GeneralFilters
55688.99,17.71,0.17,3.27083459149e-16,5.12133498097e-17,Bessell_U,LTetal,GeneralFilters
55688.99,16.63,0.14,8.14360140192e-16,1.05007477072e-16,Bessell_V,LTetal,GeneralFilters
55689.1,17.61,0.05,5.74709197203e-16,2.64663366057e-17,Bessell_B,LTetal,GeneralFilters
55689.1,15.99,0.04,4.59678695233e-16,1.69351889794e-17,Bessell_I,LTetal,GeneralFilters
55689.1,16.15,0.05,7.70309601624e-16,3.54740681138e-17,Bessell_R,LTetal,GeneralFilters
55689.1,17.83,0.04,2.92859004716e-16,1.07893244577e-17,Bessell_U,LTetal,GeneralFilters
55689.1,16.65,0.05,7.99496392511e-16,3.6818169506e-17,Bessell_V,LTetal,GeneralFilters
55689.1,17.27,0.04,6.03378881087e-16,2.22292994723e-17,sdss_g',LTetal,GeneralFilters
55689.1,16.39,0.03,5.51777127467e-16,1.52461654603e-17,sdss_i',LTetal,GeneralFilters
55689.1,16.33,0.04,8.42945298582e-16,3.10552524596e-17,sdss_r',LTetal,GeneralFilters
55689.1,18.71,0.2,2.85962045626e-16,5.26761554737e-17,sdss_u',LTetal,GeneralFilters
55689.1,16.49,0.03,3.46958778548e-16,9.58682533643e-18,sdss_z',LTetal,GeneralFilters
