MJD,Mag,Mag_err,band,Instr,Flux,Flux_err
56482.708,15.353,0.009,sdss_i',LCOGT,1.02183061132e-15,8.47026695945e-18
56483.21,16.184,0.007,sdss_g',LCOGT,1.79701593008e-15,1.15857898589e-17
56483.213,15.414,0.01,sdss_r',LCOGT,1.71819620363e-15,1.58251718613e-17
56485.191,15.488,0.01,sdss_i',P60,9.02358074486e-16,8.31102500341e-18
56485.192,15.596,0.01,sdss_r',P60,1.45302389094e-15,1.33828446042e-17
56485.193,16.449,0.01,sdss_g',P60,1.40783554815e-15,1.29666445862e-17
56485.195,17.056,0.018,Bessell_B,LCOGT,9.57300194835e-16,1.58707091387e-17
56485.198,15.869,0.011,Bessell_V,LCOGT,1.64140785894e-15,1.66297175771e-17
56485.2,15.338,0.011,Bessell_R,LCOGT,1.62729133238e-15,1.64866977611e-17
56485.203,15.045,0.019,Bessell_I,LCOGT,1.09762597499e-15,1.92080667785e-17
56485.205,16.437,0.012,sdss_g',LCOGT,1.42348182691e-15,1.5732902567e-17
56485.209,15.599,0.008,sdss_r',LCOGT,1.44901457918e-15,1.06767339826e-17
56485.211,15.484,0.011,sdss_i',LCOGT,9.05688615804e-16,9.17587046483e-18
56485.213,15.345,0.035,sdss_z',LCOGT,6.19856292158e-16,1.99818060137e-17
56485.846,18.01,0.1,Bessell_U,LCOGT,2.48118177273e-16,2.28525286516e-17
56486.191,15.569,0.01,sdss_i',P60,8.3748860919e-16,7.7135551483e-18
56486.192,15.694,0.01,sdss_r',P60,1.32761684793e-15,1.2227803053e-17
56486.193,16.561,0.01,sdss_g',P60,1.26984854894e-15,1.16957373566e-17
56487.084,17.258,0.018,Bessell_B,LCOGT,7.94782227904e-16,1.31763867131e-17
56487.087,16.113,0.01,Bessell_V,LCOGT,1.3110417092e-15,1.20751403836e-17
56487.089,16.666,0.015,sdss_g',LCOGT,1.15279458295e-15,1.59264457319e-17
56487.092,15.773,0.02,sdss_r',LCOGT,1.23444787132e-15,2.27393701327e-17
56487.094,15.625,0.013,sdss_i',LCOGT,7.95387769851e-16,9.52352971445e-18
56487.195,17.332,0.016,Bessell_B,LCOGT,7.42417409291e-16,1.09406672602e-17
56487.198,16.118,0.011,Bessell_V,LCOGT,1.30501801971e-15,1.32216261684e-17
56487.2,15.515,0.009,Bessell_R,LCOGT,1.38250054511e-15,1.14599705264e-17
56487.203,15.196,0.016,Bessell_I,LCOGT,9.55112163559e-16,1.40750529917e-17
56487.205,16.694,0.008,sdss_g',LCOGT,1.12344528797e-15,8.2778507932e-18
56487.209,15.794,0.011,sdss_r',LCOGT,1.21080095582e-15,1.22670778184e-17
56487.211,15.644,0.015,sdss_i',LCOGT,7.81589846395e-16,1.07980627749e-17
56487.213,15.431,0.022,sdss_z',LCOGT,5.72652306231e-16,1.16035098414e-17
56487.221,15.651,0.01,sdss_i',P60,7.76566959706e-16,7.15244602053e-18
56487.222,16.714,0.01,sdss_g',P60,1.10294010056e-15,1.01584537361e-17
56487.222,15.791,0.01,sdss_r',P60,1.21415114883e-15,1.11827453438e-17
56488.185,15.721,0.01,sdss_i',P60,7.28079677255e-16,6.70586164543e-18
56488.185,15.874,0.01,sdss_r',P60,1.12479338904e-15,1.03597299612e-17
56488.186,16.796,0.01,sdss_g',P60,1.02270864491e-15,9.41949472096e-18
56488.216,15.299,0.05,Bessell_I,LCOGT,8.68669105442e-16,4.00036906587e-17
56488.226,16.817,0.014,sdss_g',LCOGT,1.00311777723e-15,1.2934678626e-17
56488.23,15.899,0.019,sdss_r',LCOGT,1.09918996566e-15,1.92354360626e-17
56488.234,15.399,0.05,sdss_z',LCOGT,5.89781321295e-16,2.71604335708e-17
56494.205,18.481,0.513,Bessell_U,LCOGT,1.6078983224e-16,7.59716619725e-17
56494.208,18.046,0.084,Bessell_B,LCOGT,3.84634421509e-16,2.97579571033e-17
56495.199,18.003,0.05,Bessell_B,LCOGT,4.00173335603e-16,1.84286631435e-17
56499.208,18.172,0.053,Bessell_B,LCOGT,3.42490198565e-16,1.67185919051e-17
56499.211,16.949,0.023,Bessell_V,LCOGT,6.07038880749e-16,1.28593798347e-17
56499.214,16.269,0.016,Bessell_R,LCOGT,6.90343613103e-16,1.01732794405e-17
56499.216,15.823,0.018,Bessell_I,LCOGT,5.36110577454e-16,8.88796961167e-18
56499.226,17.537,0.02,sdss_g',LCOGT,5.16835012716e-16,9.52045276654e-18
56499.229,16.608,0.022,sdss_r',LCOGT,5.7210106354e-16,1.15923401492e-17
56499.232,16.381,0.024,sdss_i',LCOGT,3.96441315746e-16,8.76326269328e-18
56499.234,15.84,0.043,sdss_z',LCOGT,3.92908128931e-16,1.55609156902e-17
56503.736,18.244,0.035,Bessell_B,LCOGT,3.20514843637e-16,1.03321778146e-17
56503.74,17.064,0.023,Bessell_V,LCOGT,5.46030005128e-16,1.15669810613e-17
56503.745,17.656,0.013,sdss_g',LCOGT,4.63182270225e-16,5.54588627195e-18
56503.795,16.67,0.024,sdss_r',LCOGT,5.40347013077e-16,1.19442717826e-17
56503.797,16.474,0.02,sdss_i',LCOGT,3.6389736332e-16,6.70323715329e-18
56504.192,16.503,0.01,sdss_i',P60,3.54306327864e-16,3.26328187557e-18
56504.193,16.733,0.01,sdss_r',P60,5.09885609587e-16,4.69622001507e-18
56504.194,17.694,0.01,sdss_g',P60,4.47251624866e-16,4.11933969693e-18
56504.449,16.73,0.028,sdss_r',LCOGT,5.11296423806e-16,1.31857994638e-17
56504.451,16.498,0.032,sdss_i',LCOGT,3.55941731567e-16,1.0490702401e-17
56505.177,16.523,0.01,sdss_i',P60,3.47839508579e-16,3.20372026884e-18
56505.178,16.76,0.01,sdss_r',P60,4.97362176784e-16,4.58087493633e-18
56505.179,17.736,0.01,sdss_g',P60,4.30280759992e-16,3.96303225504e-18
56506.181,16.524,0.01,sdss_i',P60,3.47519284044e-16,3.20077089187e-18
56506.182,16.794,0.01,sdss_r',P60,4.82028542626e-16,4.4396469466e-18
56506.183,17.743,0.01,sdss_g',P60,4.2751556094e-16,3.93756383057e-18
56506.42,17.738,0.022,sdss_g',LCOGT,4.2948888311e-16,8.70262535873e-18
56506.425,16.616,0.035,sdss_i',LCOGT,3.19285288902e-16,1.02925416529e-17
56507.164,16.574,0.01,sdss_i',P60,3.31878339761e-16,3.05671247129e-18
56507.165,16.82,0.01,sdss_r',P60,4.70622574331e-16,4.33459409633e-18
56507.166,17.782,0.01,sdss_g',P60,4.12431594341e-16,3.79863536404e-18
56508.02,18.379,0.028,Bessell_B,LCOGT,2.83040216201e-16,7.29931084448e-18
56508.027,17.125,0.015,Bessell_V,LCOGT,5.16198226923e-16,7.13154205405e-18
56508.03,17.731,0.008,sdss_g',LCOGT,4.32266845741e-16,3.18505982463e-18
56508.036,16.859,0.01,sdss_r',LCOGT,4.54017669527e-16,4.18165727123e-18
56508.04,16.576,0.009,sdss_i',LCOGT,3.31267559989e-16,2.74597828352e-18
56508.149,15.98,0.05,Bessell_I,LCOGT,4.63932049832e-16,2.13648604421e-17
56508.152,15.981,0.05,sdss_z',LCOGT,3.45057136607e-16,1.58904683797e-17
56508.193,16.61,0.01,sdss_i',P60,3.21054608923e-16,2.95702222617e-18
56508.194,16.855,0.01,sdss_r',P60,4.55693417382e-16,4.19709147935e-18
56508.195,17.793,0.01,sdss_g',P60,4.08274191107e-16,3.76034426518e-18
56508.196,16.581,0.01,sdss_i',P60,3.29745523806e-16,3.03706851038e-18
56508.197,16.851,0.01,sdss_r',P60,4.57375350306e-16,4.21258265407e-18
56508.198,17.788,0.01,sdss_g',P60,4.10158699149e-16,3.77770122569e-18
56509.161,16.655,0.01,sdss_i',P60,3.08019994552e-16,2.8369689912e-18
56509.162,16.876,0.01,sdss_r',P60,4.46964216267e-16,4.11669256591e-18
56509.163,17.813,0.01,sdss_g',P60,4.00822347307e-16,3.69171024739e-18
56509.966,18.377,0.028,Bessell_B,LCOGT,2.8356207605e-16,7.31276906363e-18
56509.972,17.253,0.011,Bessell_V,LCOGT,4.58792709908e-16,4.64820072028e-18
56509.976,17.774,0.01,sdss_g',LCOGT,4.15481725933e-16,3.82672811418e-18
56509.982,16.913,0.009,sdss_r',LCOGT,4.31989066518e-16,3.58088970564e-18
56509.985,16.675,0.016,sdss_i',LCOGT,3.02397996061e-16,4.45630155443e-18
56510.139,19.026,0.492,Bessell_U,LCOGT,9.73326576998e-17,4.41061718108e-17
56510.145,16.558,0.049,Bessell_R,LCOGT,5.29011741302e-16,2.3874653171e-17
56510.147,15.923,0.129,Bessell_I,LCOGT,4.88938657732e-16,5.80924598176e-17
56510.149,16.044,0.071,sdss_z',LCOGT,3.25604961596e-16,2.1292420914e-17
56510.162,18.447,0.065,Bessell_B,LCOGT,2.6585702911e-16,1.59161192345e-17
56510.165,17.297,0.023,Bessell_V,LCOGT,4.40571610258e-16,9.33297332402e-18
56510.167,17.841,0.016,sdss_g',LCOGT,3.90617707661e-16,5.75635526861e-18
56510.171,16.931,0.018,sdss_r',LCOGT,4.24886326576e-16,7.04402583689e-18
56510.173,16.692,0.026,sdss_i',LCOGT,2.97700050861e-16,7.12898887267e-18
56510.964,16.622,0.018,Bessell_R,LCOGT,4.98729791211e-16,8.26824803526e-18
56510.966,16.067,0.018,Bessell_I,LCOGT,4.28207604806e-16,7.09908802224e-18
56510.968,16.075,0.05,sdss_z',LCOGT,3.16439736413e-16,1.45725883979e-17
56511.457,18.377,0.049,Bessell_B,LCOGT,2.8356207605e-16,1.27973458613e-17
56511.46,17.218,0.02,Bessell_V,LCOGT,4.73823404038e-16,8.72814965479e-18
56511.462,17.743,0.019,sdss_g',LCOGT,4.2751556094e-16,7.48137127809e-18
56512.154,19.101,0.341,Bessell_U,LCOGT,9.08361214063e-17,2.85291374312e-17
56512.161,16.686,0.026,Bessell_R,LCOGT,4.70181255391e-16,1.12593764366e-17
56512.163,16.048,0.023,Bessell_I,LCOGT,4.35767037393e-16,9.23119429574e-18
56512.165,16.038,0.034,sdss_z',LCOGT,3.27409302095e-16,1.0252873785e-17
56512.18,18.538,0.05,Bessell_B,LCOGT,2.44482707967e-16,1.12588447772e-17
56512.184,17.26,0.022,Bessell_V,LCOGT,4.55844278827e-16,9.23665812215e-18
56512.186,17.892,0.014,sdss_g',LCOGT,3.72693593173e-16,4.80568878661e-18
56512.189,16.996,0.021,sdss_r',LCOGT,4.00196010707e-16,7.74047709564e-18
56512.191,16.672,0.029,sdss_i',LCOGT,3.0323470803e-16,8.0993951333e-18
56512.423,18.372,0.049,Bessell_B,LCOGT,2.84870939124e-16,1.2856415726e-17
56512.456,17.246,0.028,Bessell_V,LCOGT,4.61760211637e-16,1.19083124144e-17
56512.458,17.79,0.015,sdss_g',LCOGT,4.09403854355e-16,5.65612327231e-18
56512.462,16.997,0.016,sdss_r',LCOGT,3.99827586251e-16,5.89207705516e-18
56512.464,16.719,0.027,sdss_i',LCOGT,2.90388162641e-16,7.22134930836e-18
56513.057,16.625,0.024,Bessell_R,LCOGT,4.97353651954e-16,1.09939114074e-17
56513.059,16.062,0.035,Bessell_I,LCOGT,4.30184121306e-16,1.38674976295e-17
56513.062,15.999,0.05,sdss_z',LCOGT,3.39383726569e-16,1.5629198192e-17
56514.453,18.333,0.04,Bessell_B,LCOGT,2.95289597127e-16,1.08788707914e-17
56514.457,17.251,0.02,Bessell_V,LCOGT,4.59638616181e-16,8.46685620626e-18
56515.069,18.508,0.066,Bessell_B,LCOGT,2.513322084e-16,1.52780442263e-17
56515.074,17.9,0.022,sdss_g',LCOGT,3.69957577528e-16,7.49635746689e-18
56515.078,17.036,0.021,sdss_r',LCOGT,3.85720530258e-16,7.46049648148e-18
56515.08,16.691,0.025,sdss_i',LCOGT,2.97974369049e-16,6.86111340267e-18
56516.407,18.437,0.037,Bessell_B,LCOGT,2.68316973913e-16,9.14377543207e-18
56516.411,17.302,0.02,Bessell_V,LCOGT,4.38547367582e-16,8.07834104932e-18
56516.413,17.835,0.013,sdss_g',LCOGT,3.92782316413e-16,4.70295647413e-18
56516.416,17.055,0.02,sdss_r',LCOGT,3.79029275308e-16,6.98197727306e-18
56516.418,16.804,0.02,sdss_i',LCOGT,2.68521403727e-16,4.94634705097e-18
56517.968,19.366,0.31,Bessell_U,LCOGT,7.11637101436e-17,2.03187017692e-17
56517.977,18.419,0.022,Bessell_B,LCOGT,2.72802375228e-16,5.52772600629e-18
56517.982,17.376,0.02,Bessell_V,LCOGT,4.09653347874e-16,7.54609353688e-18
56517.985,16.739,0.016,Bessell_R,LCOGT,4.47780638439e-16,6.5987393472e-18
56517.987,16.23,0.017,Bessell_I,LCOGT,3.68514326175e-16,5.77004203923e-18
56518.036,17.926,0.014,sdss_g',LCOGT,3.61203480982e-16,4.65752980474e-18
56518.041,17.116,0.018,sdss_r',LCOGT,3.583214073e-16,5.94047182284e-18
56518.044,16.833,0.019,sdss_i',LCOGT,2.61444138092e-16,4.57518005016e-18
56518.046,16.079,0.027,sdss_z',LCOGT,3.15276074202e-16,7.84025987727e-18
56518.408,19.123,0.348,Bessell_U,LCOGT,8.90140542804e-17,2.85307708758e-17
56518.417,18.466,0.036,Bessell_B,LCOGT,2.61245096318e-16,8.66216252736e-18
56518.421,17.35,0.016,Bessell_V,LCOGT,4.19581671233e-16,6.18318400943e-18
56518.424,16.713,0.018,Bessell_R,LCOGT,4.58633011537e-16,7.60349905575e-18
56518.427,16.179,0.019,Bessell_I,LCOGT,3.86237445364e-16,6.75901883879e-18
56519.009,18.544,0.046,Bessell_B,LCOGT,2.43135372847e-16,1.03010538858e-17
56519.012,17.897,0.021,sdss_g',LCOGT,3.70981221657e-16,7.17541297844e-18
56519.014,17.481,0.029,Bessell_V,LCOGT,3.71891719456e-16,9.93322302136e-18
56519.014,17.117,0.02,sdss_r',LCOGT,3.57991533024e-16,6.59444773887e-18
56519.017,16.837,0.014,Bessell_R,LCOGT,4.09133754424e-16,5.27556559027e-18
56519.017,16.875,0.019,sdss_i',LCOGT,2.51523697577e-16,4.40157584598e-18
56519.019,16.23,0.021,Bessell_I,LCOGT,3.68514326175e-16,7.12769898964e-18
56522.114,18.026,0.039,sdss_g',LCOGT,3.29421489869e-16,1.18329277854e-17
56522.118,17.258,0.028,sdss_r',LCOGT,3.14392918393e-16,8.10786420902e-18
56522.121,16.957,0.034,sdss_i',LCOGT,2.33227044497e-16,7.30354157682e-18
56522.124,16.176,0.033,sdss_z',LCOGT,2.88330784811e-16,8.76356140384e-18
56523.21,18.7,0.06,Bessell_B,Nickel,2.10595044351e-16,1.16379122347e-17
56523.21,16.27,0.01,Bessell_I,Nickel,3.55184803189e-16,3.27137293232e-18
56523.21,16.88,0.02,Bessell_R,Nickel,3.93246903158e-16,7.24387565662e-18
56523.21,17.49,0.03,Bessell_V,Nickel,3.68821736663e-16,1.01909211937e-17
56524.033,18.484,0.064,Bessell_B,LCOGT,2.56949719134e-16,1.51462039789e-17
56524.039,17.507,0.033,Bessell_V,LCOGT,3.63091856406e-16,1.10358586265e-17
56524.043,16.853,0.018,Bessell_R,LCOGT,4.03148744103e-16,6.6836468767e-18
56524.046,16.273,0.064,Bessell_I,LCOGT,3.54204745932e-16,2.0879016137e-17
56525.116,18.072,0.053,sdss_g',LCOGT,3.15756229211e-16,1.54135784317e-17
56525.122,17.243,0.03,sdss_r',LCOGT,3.18766559553e-16,8.80784553807e-18
56525.125,17.049,0.031,sdss_i',LCOGT,2.14278653592e-16,6.11809593549e-18
56525.129,16.155,0.034,sdss_z',LCOGT,2.93961878569e-16,9.20546245723e-18
56526.4,17.516,0.025,Bessell_V,LCOGT,3.60094516876e-16,8.29148266628e-18
56526.403,16.907,0.021,Bessell_R,LCOGT,3.83588263899e-16,7.41925479372e-18
56526.407,16.298,0.043,Bessell_I,LCOGT,3.46142061563e-16,1.37087706774e-17
56526.411,18.082,0.073,sdss_g',LCOGT,3.12861358701e-16,2.1035385101e-17
56526.42,17.09,0.101,sdss_i',LCOGT,2.06337853743e-16,1.91944628324e-17
56526.425,16.158,0.069,sdss_z',LCOGT,2.93150753009e-16,1.86301256871e-17
56528.16,17.051,0.01,sdss_i',P60,2.13884301049e-16,1.96994721288e-18
56528.161,17.302,0.01,sdss_r',P60,3.01906702784e-16,2.78066349323e-18
56528.162,18.155,0.01,sdss_g',P60,2.92517549818e-16,2.6941861986e-18
56528.382,18.619,0.051,Bessell_B,LCOGT,2.26907132385e-16,1.06584488027e-17
56528.388,17.591,0.021,Bessell_V,LCOGT,3.36059756568e-16,6.49997196096e-18
56528.391,17.044,0.021,Bessell_R,LCOGT,3.38115679784e-16,6.53973704142e-18
56528.394,16.405,0.026,Bessell_I,LCOGT,3.1365656063e-16,7.51109757659e-18
56528.405,18.046,0.013,sdss_g',LCOGT,3.23408870065e-16,3.8723175044e-18
56528.411,17.322,0.012,sdss_r',LCOGT,2.96396284442e-16,3.27589279765e-18
56528.415,17.055,0.012,sdss_i',LCOGT,2.13097771893e-16,2.35524361398e-18
56528.418,16.248,0.025,sdss_z',LCOGT,2.69830485066e-16,6.21307652549e-18
56528.97,18.596,0.046,Bessell_B,LCOGT,2.31765157814e-16,9.81932555324e-18
56528.976,17.627,0.016,Bessell_V,LCOGT,3.25099654884e-16,4.79084556207e-18
56528.976,17.324,0.014,sdss_r',LCOGT,2.95850804869e-16,3.81484125703e-18
56528.979,17.125,0.024,sdss_i',LCOGT,1.99792374688e-16,4.41637385904e-18
56528.98,17.031,0.021,Bessell_R,LCOGT,3.42188422145e-16,6.61851086255e-18
56529.008,18.095,0.05,sdss_g',LCOGT,3.091376684e-16,1.42363157388e-17
56529.025,17.604,0.021,Bessell_V,LCOGT,3.32059957867e-16,6.4226089953e-18
56529.028,17.058,0.014,Bessell_R,LCOGT,3.33783843491e-16,4.3039679329e-18
56529.031,16.287,0.029,Bessell_I,LCOGT,3.49666781367e-16,9.33959521216e-18
56529.37,18.099,0.015,sdss_g',LCOGT,3.08000858507e-16,4.25518911257e-18
56529.376,17.386,0.013,sdss_r',LCOGT,2.79429822658e-16,3.34573690979e-18
56529.379,17.088,0.018,sdss_i',LCOGT,2.06718292405e-16,3.4271025015e-18
56529.383,16.305,0.035,sdss_z',LCOGT,2.56030093069e-16,8.25343505922e-18
56530.001,18.512,0.043,Bessell_B,LCOGT,2.50407969881e-16,9.91727332818e-18
56530.007,17.539,0.024,Bessell_V,LCOGT,3.52546581991e-16,7.79297764107e-18
56530.01,17.079,0.026,sdss_i',LCOGT,2.08438965396e-16,4.99146392701e-18
56530.011,16.979,0.03,Bessell_R,LCOGT,3.58975915046e-16,9.91887108875e-18
56530.013,16.25,0.042,sdss_z',LCOGT,2.6933389646e-16,1.04187588124e-17
56530.014,16.347,0.036,Bessell_I,LCOGT,3.30867702624e-16,1.09706549733e-17
56531.097,18.058,0.031,sdss_g',LCOGT,3.19854103689e-16,9.13249200949e-18
56531.103,17.388,0.026,sdss_r',LCOGT,2.78915567694e-16,6.67915901512e-18
56531.107,17.157,0.034,sdss_i',LCOGT,1.93989806054e-16,6.07482128434e-18
56531.19,18.97,0.05,Bessell_B,Nickel,1.64228356712e-16,7.56299532023e-18
56531.19,16.43,0.01,Bessell_I,Nickel,3.06516865645e-16,2.82312466234e-18
56531.19,17.07,0.01,Bessell_R,Nickel,3.30115040024e-16,3.04047188053e-18
56531.19,17.65,0.02,Bessell_V,Nickel,3.1828524669e-16,5.86303091479e-18
56533.144,17.126,0.02,sdss_i',P60,1.99608443827e-16,3.67692341753e-18
56533.145,17.428,0.02,sdss_r',P60,2.68826919284e-16,4.95197485551e-18
56533.146,18.197,0.02,sdss_g',P60,2.81418035506e-16,5.18391178764e-18
56535.99,18.163,0.012,sdss_g',LCOGT,2.90370121991e-16,3.20928918887e-18
56535.996,17.485,0.016,sdss_r',LCOGT,2.55077854331e-16,3.75896617558e-18
56536.001,17.131,0.05,sdss_i',LCOGT,1.98691326334e-16,9.15007372248e-18
56537.162,17.249,0.02,sdss_i',P60,1.78229220978e-16,3.28310357889e-18
56537.163,17.53,0.01,sdss_r',P60,2.44721854531e-16,2.25397157669e-18
56537.173,18.232,0.01,sdss_g',P60,2.72490852133e-16,2.50973349639e-18
56539.72,18.276,0.025,sdss_g',LCOGT,2.61668790528e-16,6.02514656371e-18
56539.726,17.608,0.017,sdss_r',LCOGT,2.27757535677e-16,3.56613152397e-18
56539.729,17.305,0.015,sdss_i',LCOGT,1.69269576972e-16,2.3385456278e-18
56540.72,18.187,0.02,sdss_g',LCOGT,2.84021964528e-16,5.23187793284e-18
56540.726,17.56,0.019,sdss_r',LCOGT,2.38052504592e-16,4.16583472802e-18
56540.73,17.263,0.021,sdss_i',LCOGT,1.75945801858e-16,3.40309351649e-18
56541.164,17.289,0.02,sdss_i',P60,1.71782496037e-16,3.16435051689e-18
56541.165,17.6,0.01,sdss_r',P60,2.29441913072e-16,2.11323811499e-18
56542.089,18.294,0.028,sdss_g',LCOGT,2.57366446987e-16,6.63721121581e-18
56542.095,17.672,0.037,sdss_r',LCOGT,2.14720126883e-16,7.31728817723e-18
56542.099,17.32,0.033,sdss_i',LCOGT,1.66947111309e-16,5.0742110736e-18
56542.146,17.331,0.02,sdss_i',P60,1.65264246877e-16,3.04427993011e-18
56542.146,17.633,0.02,sdss_r',P60,2.22573141216e-16,4.09994877652e-18
56542.147,18.372,0.02,sdss_g',P60,2.39525594655e-16,4.41222450915e-18
56544.722,18.269,0.028,sdss_g',LCOGT,2.6336128165e-16,6.79181172542e-18
56544.729,17.699,0.021,sdss_r',LCOGT,2.09446330114e-16,4.05105117902e-18
56544.733,17.386,0.02,sdss_i',LCOGT,1.57100985301e-16,2.8939070948e-18
56675.58,20.6,0.17,Bessell_B,Nickel,3.65972242603e-17,5.73023916582e-18
56675.58,19.16,0.06,Bessell_I,Nickel,2.48001539022e-17,1.3705071523e-18
56675.58,19.75,0.06,Bessell_R,Nickel,2.79682511728e-17,1.54558267746e-18
56675.58,20.94,0.17,Bessell_V,Nickel,1.53750489973e-17,2.40736038652e-18
56685.228,21.093,0.043,sdss_g',NOT,1.95412313782e-17,7.73919986808e-19
56685.24,20.349,0.08,sdss_r',NOT,1.82420127579e-17,1.34412117256e-18
56698.224,21.377,0.077,sdss_g',NOT,1.50436051873e-17,1.06688677631e-18
56698.239,20.576,0.094,sdss_r',NOT,1.48003762195e-17,1.28137512458e-18
56721.174,20.07,0.15,sdss_i',NOT,1.32610804218e-17,1.83208596578e-18
56724.53,20.51,0.09,Bessell_R,Nickel,1.38888187768e-17,1.15128673469e-18
56738.49,20.48,0.19,Bessell_I,Nickel,7.35282747543e-18,1.28671883116e-18
56738.49,20.69,0.14,Bessell_R,Nickel,1.17669880178e-17,1.51729150715e-18
56752.455,21.419,0.21,sdss_r',NOT,6.8088341404e-18,1.31694527936e-18
56752.463,22.231,0.311,sdss_g',NOT,6.85096781141e-18,1.96240208258e-18
56779.008,22.941,0.289,sdss_g',NOT,3.56247583431e-18,9.48255673528e-19
56779.023,21.712,0.177,sdss_r',NOT,5.19843664102e-18,8.47464864327e-19
56812.948,21.995,0.281,sdss_r',NOT#,4.0056477465e-18,1.03670395427e-18
