MJD,Mag,Mag_err,band,Instr,Flux,Flux_err
56460.834,17.627,0.009,sdss_g',LCOGT,4.75720566121e-16,3.94339350233e-18
56460.841,17.207,0.014,sdss_r',LCOGT,3.29513153263e-16,4.24889961803e-18
56460.846,17.317,0.014,sdss_i',LCOGT,1.6740904111e-16,2.15865194996e-18
56460.85,17.114,0.043,sdss_z',LCOGT,1.21532103295e-16,4.81321376111e-18
56461.0,17.838,0.021,Bessell_B,LCOGT,4.65852196252e-16,9.01038031007e-18
56461.01,17.215,0.019,Bessell_V,LCOGT,4.75134436911e-16,8.31468478415e-18
56461.014,17.569,0.016,sdss_g',LCOGT,5.01824576816e-16,7.3951602552e-18
56461.024,17.125,0.015,sdss_r',LCOGT,3.55363448041e-16,4.90952746833e-18
56461.029,17.367,0.021,sdss_i',LCOGT,1.59874393093e-16,3.09224491202e-18
56461.064,17.68,0.06,Bessell_U,LCOGT,3.36247126853e-16,1.85817029245e-17
56461.084,16.93,0.023,Bessell_R,LCOGT,3.75547876992e-16,7.95552467806e-18
56461.089,16.861,0.016,Bessell_I,LCOGT,2.06088793103e-16,3.03703669013e-18
56461.094,17.189,0.041,sdss_z',LCOGT,1.13420358085e-16,4.2830244226e-18
56461.171,17.226,0.01,sdss_i',P60,1.82045064397e-16,1.67669700613e-18
56461.174,17.058,0.01,sdss_r',P60,3.77983424279e-16,3.48135599257e-18
56461.227,17.08,0.04,sdss_r',P60,3.70401515663e-16,1.36460961342e-17
56461.271,17.055,0.04,sdss_r',P60,3.79029275308e-16,1.39639545461e-17
56461.303,17.2,0.01,sdss_i',P60,1.86457092944e-16,1.71733329078e-18
56461.305,17.042,0.01,sdss_r',P60,3.83594838747e-16,3.53303902979e-18
56461.336,17.18,0.01,sdss_i',P60,1.89923589114e-16,1.74926090041e-18
56461.337,17.487,0.01,sdss_g',P60,5.41192696447e-16,4.9845689411e-18
56461.696,16.587,0.05,Bessell_I,LCOGT,2.65249379077e-16,1.22151853238e-17
56461.7,16.857,0.065,sdss_z',LCOGT,1.53989466402e-16,9.21892009521e-18
56462.03,17.483,0.017,Bessell_B,LCOGT,6.46023248545e-16,1.01151598124e-17
56462.039,16.897,0.015,Bessell_V,LCOGT,6.36819727328e-16,8.79798966642e-18
56462.057,17.41,0.07,Bessell_U,LCOGT,4.31179974094e-16,2.77992002609e-17
56462.084,16.553,0.011,Bessell_R,LCOGT,5.31453548554e-16,5.38435488149e-18
56462.089,16.43,0.014,Bessell_I,LCOGT,3.06516865645e-16,3.95237452727e-18
56462.093,16.753,0.03,sdss_z',LCOGT,1.69469291609e-16,4.68260957494e-18
56462.198,17.45,0.022,Bessell_B,LCOGT,6.65960004093e-16,1.3494180286e-17
56462.207,16.867,0.016,Bessell_V,LCOGT,6.54661058662e-16,9.64744188568e-18
56462.212,17.256,0.013,sdss_g',LCOGT,6.69502074488e-16,8.01624458151e-18
56462.222,16.702,0.014,sdss_r',LCOGT,5.24653718304e-16,6.7651350522e-18
56462.227,16.901,0.021,sdss_i',LCOGT,2.4557203483e-16,4.74978425592e-18
56462.323,16.502,0.017,Bessell_R,LCOGT,5.57012974377e-16,8.72147444556e-18
56462.328,16.484,0.037,Bessell_I,LCOGT,2.91644893028e-16,9.93875031038e-18
56462.333,16.699,0.044,sdss_z',LCOGT,1.78111111591e-16,7.21804143183e-18
56463.0,17.135,0.022,Bessell_B,LCOGT,8.9011915567e-16,1.80362608697e-17
56463.004,16.62,0.019,Bessell_V,LCOGT,8.21895321795e-16,1.43828777613e-17
56463.006,16.922,0.013,sdss_g',LCOGT,9.10650912352e-16,1.09036263217e-17
56463.01,16.421,0.02,sdss_r',LCOGT,6.79630334923e-16,1.25192534235e-17
56463.012,16.561,0.021,sdss_i',LCOGT,3.35875950798e-16,6.49641684218e-18
56463.063,16.214,0.013,Bessell_R,LCOGT,7.26215160822e-16,8.69529545879e-18
56463.065,16.163,0.027,Bessell_I,LCOGT,3.91971396246e-16,9.74751293385e-18
56463.067,16.452,0.052,sdss_z',LCOGT,2.23609893149e-16,1.07095207775e-17
56464.967,16.43,0.05,Bessell_U,LCOGT,1.06330677754e-15,4.8967086705e-17
56465.07,16.572,0.016,Bessell_B,LCOGT,1.49502394061e-15,2.20314869716e-17
56465.073,16.08,0.014,Bessell_V,LCOGT,1.3515014266e-15,1.74269034131e-17
56465.076,15.783,0.016,Bessell_R,LCOGT,1.08010334539e-15,1.59169911167e-17
56465.078,15.722,0.016,Bessell_I,LCOGT,5.88375223023e-16,8.67061771277e-18
56465.08,16.351,0.013,sdss_g',LCOGT,1.54082007107e-15,1.84489204985e-17
56465.084,15.955,0.017,sdss_r',LCOGT,1.04393330946e-15,1.63454678798e-17
56465.086,16.124,0.016,sdss_i',LCOGT,5.02318194258e-16,7.40243447064e-18
56465.088,16.097,0.037,sdss_z',LCOGT,3.10092322717e-16,1.05674066042e-17
56467.07,16.146,0.012,Bessell_B,LCOGT,2.21334007411e-15,2.44627385297e-17
56467.073,15.748,0.009,Bessell_V,LCOGT,1.83491735556e-15,1.52101920593e-17
56467.076,15.484,0.01,Bessell_R,LCOGT,1.42254269959e-15,1.31021024569e-17
56467.078,15.4,0.016,Bessell_I,LCOGT,7.91506299912e-16,1.1664067886e-17
56467.08,15.991,0.007,sdss_g',LCOGT,2.14660396412e-15,1.38396672074e-17
56467.084,15.665,0.01,sdss_r',LCOGT,1.36355529797e-15,1.25588084103e-17
56467.086,15.793,0.012,sdss_i',LCOGT,6.81363568615e-16,7.53070846081e-18
56467.088,15.745,0.036,sdss_z',LCOGT,4.28835780434e-16,1.42190046053e-17
56467.275,15.814,0.01,sdss_i',P60,6.68311460781e-16,6.15537602829e-18
56467.277,15.679,0.01,sdss_r',P60,1.34608583801e-15,1.2397908738e-17
56467.278,15.961,0.01,sdss_g',P60,2.20674386074e-15,2.03248620712e-17
56468.094,16.032,0.014,Bessell_B,LCOGT,2.45837509347e-15,3.16994599219e-17
56468.098,15.591,0.015,Bessell_V,LCOGT,2.12039371591e-15,2.92943217692e-17
56468.1,15.888,0.008,sdss_g',LCOGT,2.36021696136e-15,1.73907212527e-17
56468.104,15.607,0.012,sdss_r',LCOGT,1.43837708331e-15,1.58975310246e-17
56468.106,15.736,0.01,sdss_i',LCOGT,7.18090049581e-16,6.61385377437e-18
56468.113,15.67,0.05,Bessell_U,LCOGT,2.14120664298e-15,9.86062099429e-17
56469.07,15.989,0.007,Bessell_B,LCOGT,2.55769142413e-15,1.64900460079e-17
56469.073,15.571,0.009,Bessell_V,LCOGT,2.15981477831e-15,1.79033663238e-17
56469.076,15.319,0.009,Bessell_R,LCOGT,1.65601898455e-15,1.37272486591e-17
56469.078,15.238,0.01,Bessell_I,LCOGT,9.1887064186e-16,8.46311136935e-18
56469.08,15.833,0.007,sdss_g',LCOGT,2.48285825731e-15,1.60075787516e-17
56469.084,15.527,0.007,sdss_r',LCOGT,1.54836289426e-15,9.98266449285e-18
56469.086,15.641,0.012,sdss_i',LCOGT,7.83752445315e-16,8.66235214647e-18
56469.088,15.619,0.021,sdss_z',LCOGT,4.81605029926e-16,9.315067126e-18
56469.259,15.608,0.01,sdss_i',P60,8.07939625804e-16,7.44139895366e-18
56469.26,15.48,0.01,sdss_r',P60,1.61686125873e-15,1.48918425271e-17
56469.261,15.745,0.01,sdss_g',P60,2.6924765346e-15,2.47986253272e-17
56470.222,15.53,0.01,sdss_i',P60,8.68118295134e-16,7.99566498132e-18
56470.223,15.411,0.01,sdss_r',P60,1.72295032022e-15,1.58689588932e-17
56470.224,15.684,0.01,sdss_g',P60,2.84807831433e-15,2.6231770681e-17
56470.908,15.805,0.006,Bessell_B,LCOGT,3.030038504e-15,1.67446115772e-17
56470.916,15.358,0.013,Bessell_V,LCOGT,2.62794643281e-15,3.14655654631e-17
56470.927,15.327,0.015,sdss_r',LCOGT,1.86154163965e-15,2.57181481767e-17
56470.931,15.467,0.021,sdss_i',LCOGT,9.19981107434e-16,1.7794012184e-17
56471.073,15.889,0.011,Bessell_B,LCOGT,2.80445287902e-15,2.84129621302e-17
56471.077,15.382,0.007,Bessell_V,LCOGT,2.57049349087e-15,1.65725839824e-17
56471.084,15.364,0.01,sdss_r',LCOGT,1.79917229597e-15,1.65709892337e-17
56471.086,15.461,0.01,sdss_i',LCOGT,9.25079184448e-16,8.5202941598e-18
56471.088,15.382,0.029,sdss_z',LCOGT,5.9908854284e-16,1.60016472383e-17
56471.185,15.462,0.01,sdss_i',P60,9.24227547286e-16,8.51245029166e-18
56471.186,15.338,0.01,sdss_r',P60,1.84277688123e-15,1.69726023057e-17
56471.187,15.626,0.01,sdss_g',P60,3.00435969477e-15,2.76711753887e-17
56472.166,15.794,0.006,Bessell_B,LCOGT,3.06089299383e-15,1.69151197892e-17
56472.173,15.322,0.008,Bessell_V,LCOGT,2.71654252847e-15,2.00162250577e-17
56472.177,15.63,0.004,sdss_g',LCOGT,2.99331158848e-15,1.10277674277e-17
56472.185,15.287,0.006,sdss_r',LCOGT,1.93140234837e-15,1.06733238142e-17
56472.189,15.41,0.006,sdss_i',LCOGT,9.69569418561e-16,5.35803861552e-18
56472.19,15.418,0.01,sdss_i',P60,9.62451622207e-16,8.86450703209e-18
56472.191,15.28,0.01,sdss_r',P60,1.94389478708e-15,1.79039326363e-17
56472.204,15.591,0.01,sdss_g',P60,3.10278674178e-15,2.85777219935e-17
56473.282,15.356,0.01,sdss_i',P60,1.01901108611e-15,9.38543894587e-18
56473.282,15.241,0.01,sdss_r',P60,2.01498935025e-15,1.85587377617e-17
56473.283,15.557,0.01,sdss_g',P60,3.20148835914e-15,2.94867974846e-17
56473.284,15.365,0.01,sdss_i',P60,1.01059910397e-15,9.3079617272e-18
56473.285,15.241,0.01,sdss_r',P60,2.01498935025e-15,1.85587377617e-17
56473.286,15.567,0.01,sdss_g',P60,3.17213693744e-15,2.92164609003e-17
56474.205,15.316,0.01,sdss_i',P60,1.05725295787e-15,9.73765960127e-18
56474.206,15.19,0.01,sdss_r',P60,2.1118971063e-15,1.94512911796e-17
56474.207,15.545,0.01,sdss_g',P60,3.23706877859e-15,2.98145052583e-17
56474.954,15.79,0.009,Bessell_B,LCOGT,3.07219053842e-15,2.54663284918e-17
56474.955,15.238,0.007,Bessell_V,LCOGT,2.93505678794e-15,1.89230104196e-17
56474.959,15.552,0.007,sdss_g',LCOGT,3.21626575798e-15,2.07360316504e-17
