#\ FILE: /surtel/filters/usno/usno_g.res
# from http://classic.sdss.org/dr2/algorithms/standardstars/Filters/response.html
# Created Tue Dec 04 11:35:03 2001
# lam    air1.0
3630 -0.00000
3680 -0.00000
3730  0.00000
3780  0.00033
3830  0.00622
3880  0.03817
3930  0.08082
3980  0.12650
4030  0.16538
4080  0.22148
4130  0.24264
4180  0.26825
4230  0.28161
4280  0.27432
4330  0.31181
4380  0.30983
4430  0.33315
4480  0.33587
4530  0.34976
4580  0.35768
4630  0.36470
4680  0.36912
4730  0.37097
4780  0.37034
4830  0.38025
4880  0.38588
4930  0.38988
4980  0.39407
5030  0.38844
5080  0.39305
5130  0.39884
5180  0.39697
5230  0.39652
5280  0.39442
5330  0.39002
5380  0.37371
5430  0.27880
5480  0.11881
5530  0.04353
5580  0.01742
5630  0.00652
5680 -0.00010
5730  0.00000
5780  0.00000
5830  0.00000
