# FILE: /surtel/filters/usno/usno_i.res
# from http://classic.sdss.org/dr2/algorithms/standardstars/Filters/response.html
# Created Tue Dec 04 11:35:03 2001
# lam    air1.0
6430  0.00263
6480  0.00263
6530  0.00263
6580  0.00263
6630  0.00263
6680  0.00261
6730  0.00649
6780  0.02423
6830  0.06684
6880  0.13282
6930  0.21827
6980  0.29924
7030  0.35119
7080  0.38879
7130  0.39395
7180  0.36630
7230  0.37914
7280  0.37495
7330  0.38286
7380  0.38130
7430  0.37834
7480  0.37102
7530  0.35889
7580  0.34955
7630  0.23602
7680  0.33562
7730  0.33130
7780  0.32538
7830  0.31759
7880  0.30933
7930  0.30295
7980  0.29803
8030  0.29150
8080  0.28000
8130  0.26115
8180  0.24468
8230  0.23574
8280  0.23241
8330  0.23466
8380  0.21789
8430  0.16597
8480  0.08657
8530  0.03302
8580  0.01177
8630  0.00448
