spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr091110.dat	55145.0	3.475001472105838e-15	6.656529637801596e-17	True	1.0906965763915853e-15	2.2319550122827254e-17	True	1.7429998229989042e-15	2.4608916110129506e-17	True	2.341985457649494e-15	1.18707411580853e-17	True	3.4222138621090557e-15	1.3067105700469627e-16	True	5.022178347234155e-15	2.0004900721885034e-16	True	5.141122094703726e-15	3.2344602159047507e-16	True	5.462600623440889e-15	2.800777149850362e-16	True	5.147860893890983e-15	3.735482956227716e-16	True	2.496368294609288e-15	9.983129996002091e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr091125.dat	55160.0	2.340309269502727e-15	2.4017191358208812e-17	True	1.3918824068354263e-15	1.4801375805110078e-17	True	1.9426797306857366e-15	1.6305204994935363e-17	True	2.1782719533001186e-15	2.2710588624584405e-17	True	2.2224094195996356e-15	6.987168059214517e-17	True	1.387006402560433e-15	7.870689399623432e-17	True	5.441228247419966e-16	1.2388400428758836e-15	False	5.650951508534321e-16	8.220856311123702e-17	True	6.273583734382182e-16	1.430020969367027e-15	False	1.9887219943695705e-15	6.071232740537189e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr091209.dat	55174.0	9.532465149319155e-16	1.5546523745370047e-17	True	1.067971472319452e-15	1.426864724109571e-17	True	1.4478040188182572e-15	1.5740185401211518e-17	True	1.470441121081652e-15	1.3870019279321204e-17	True	9.577523637381233e-16	6.626007468257693e-17	True	2.828651739894158e-16	9.406365421080837e-17	True	3.400925049757869e-16	3.894845959148893e-15	False	4.371357767754745e-17	1.6990782884876153e-15	False	3.1981296974696416e-16	4.1195901564663326e-15	False	1.2838849109240549e-15	6.295822036357313e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr091218.dat	55183.0	6.043274261649222e-16	1.9818235078678994e-17	True	9.441102450694237e-16	1.4184090798096393e-17	True	1.2405931688399175e-15	1.6249825960831716e-17	True	1.1200895365476423e-15	1.4736202268557935e-17	True	6.028403686250545e-16	5.0379412956378775e-17	True	1.7364723685917543e-16	5.315942064096515e-16	False	1.7711231843046066e-16	4.282649636857633e-15	False	-2.927585968031845e-17	3.2104336027859208e-15	False	1.4840233269203592e-16	4.427473574885316e-15	False	1.0273222881826773e-15	5.3415317105548543e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr100108.dat	55204.0	2.951551736761825e-16	1.781460666006205e-17	True	6.74574008271546e-16	1.555730853669713e-17	True	9.070736452602915e-16	1.6994906517492158e-17	True	7.279436823941917e-16	1.481893930416875e-17	True	3.2423308406213124e-16	1.3145360303291633e-16	False	3.5388469325855893e-17	2.3779532914814336e-15	False	2.857453878135017e-17	4.403336273352964e-15	False	-5.2150494947726974e-17	4.981395207777083e-15	False	1.8414018580377095e-17	4.502611717657948e-15	False	6.227898798457921e-16	8.36654964329762e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr100120.dat	55216.0	9.295847327799835e-17	1.07487916071705e-16	False	5.07288520704744e-16	4.2720118086901874e-17	True	7.595901384598037e-16	6.087079131280107e-17	True	4.675293101310263e-16	4.889996128554308e-17	True	2.3760456604392416e-16	4.890853254872257e-16	False	-7.009971369617424e-19	3.2062522393298863e-15	False	9.189901833159245e-18	4.406014378592238e-15	False	-4.0240503920639584e-17	5.327419803113468e-15	False	5.104271417120774e-18	4.5036444242194576e-15	False	3.5508504451727094e-16	9.094142729466884e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr100215.dat	55242.0	-3.473476085135858e-16	1.186123321696241e-15	False	-4.086212803330027e-17	2.836957863090669e-16	False	-5.590795237233875e-17	3.4367217071888167e-16	False	-2.2348908699524317e-17	3.075512144372387e-16	False	1.137089034804892e-16	1.3234744666939904e-15	False	-2.884972951414204e-17	4.3365170472381296e-15	False	7.031576683097966e-19	4.406315912956212e-15	False	-1.6897858651416686e-17	5.537571000933323e-15	False	2.8336038697358746e-19	4.5037291460764335e-15	False	-5.699312988817455e-17	4.1451409120820547e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009kr/sn2009kr100309.dat	55264.0	-3.221804742831236e-16	1.6909485093743008e-15	False	-9.878477107299069e-17	6.28667337960021e-16	False	-1.444024709768122e-16	8.136800691202342e-16	False	-4.3182302199044743e-17	6.255344263276182e-16	False	5.422972598899214e-17	1.897360803316689e-15	False	-2.940224532077675e-17	4.799434197446999e-15	False	7.438459403909964e-20	4.406317634222235e-15	False	-6.998804652442546e-18	5.5623113381196585e-15	False	2.2862423157800195e-20	4.50372940305069e-15	False	-2.171109022345276e-16	8.267705621957267e-16	False
