spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/SN2007gr_y2007m08d16.txt	54328.0	1.727565043557948e-14	3.5000569699461363e-16	True	4.282727830140301e-15	3.448426848124082e-17	True	8.265650470302507e-15	9.015539009360792e-17	True	1.8512678632801252e-14	1.3767342785728552e-15	True	1.2483225562947518e-14	1.4906315590434834e-16	True	2.198232279275305e-14	1.075736768124037e-15	False	4.0199314386826426e-14	1.968409498615209e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/SN2007gr_y2007m08d17.txt	54329.0	2.022680138633914e-14	3.52833125400475e-16	True	5.150804099167188e-15	4.825465740492141e-17	True	1.0052817016473802e-14	1.0078769611170941e-16	True	1.917704106260832e-14	1.0198298495721813e-15	True	1.517254565946628e-14	1.4470109152733812e-16	True	2.1512673632817746e-14	1.0166683289262997e-15	False	3.921548056020281e-14	1.8506925240436786e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-10.18.txt	54329.02	2.0283425823992215e-14	3.5260417656683907e-16	True	5.168604446734809e-15	4.851050934997084e-17	True	1.0088935982789168e-14	1.0106592466378877e-16	True	1.9190728723138047e-14	1.0137597331342152e-15	True	1.5227812684521695e-14	1.4479684787738589e-16	True	2.150326410545869e-14	1.0154978115618127e-15	False	3.919576910882074e-14	1.8483619661793707e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-9.18.txt	54330.02	2.3627585913933898e-14	3.725371011896219e-16	True	6.076947075861569e-15	5.95233640254848e-17	True	1.1885724495302335e-14	1.1249825059057662e-16	True	1.988990973740451e-14	8.559202226813197e-16	True	1.8040695417105552e-14	1.533855422597602e-16	True	2.1031959050170702e-14	9.575250789064951e-16	False	3.820845484878621e-14	1.7330480392646702e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-7.19.txt	54332.01	3.217037760709207e-14	4.3110302645193364e-16	True	7.892217011109517e-15	7.108531797109544e-17	True	1.5233057588340743e-14	1.0974923549618771e-16	True	2.122355799534732e-14	1.2169059350691086e-15	True	2.3522938804302537e-14	1.6252357936375695e-16	True	2.0089215852467847e-14	8.454842484245562e-16	False	3.6233513429664205e-14	1.510888057136676e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/SN2007gr_y2007m08d21.txt	54333.0	3.45720292916909e-14	4.287132355627432e-16	True	8.715784086329353e-15	7.513859606979157e-17	True	1.6687074892772247e-14	1.1116029272020235e-16	True	2.1704465256737403e-14	1.3794153106365917e-15	True	2.5889547097144627e-14	1.7096564387921622e-16	True	1.961780207412453e-14	7.914630724670699e-16	False	3.5245937370975246e-14	1.4041586423987897e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-6.19.txt	54333.01	3.458808485444897e-14	4.28793720788017e-16	True	8.723674927056857e-15	7.519035796304493e-17	True	1.670093756000212e-14	1.1121873091356926e-16	True	2.1708193186299067e-14	1.380761487545624e-15	True	2.5911777302666223e-14	1.7110066033874796e-16	True	1.961303212588911e-14	7.909234160153009e-16	False	3.5235944636740447e-14	1.4030938801604154e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-5.19.txt	54334.01	3.5716100111656584e-14	4.604352253739398e-16	True	9.463857905445636e-15	8.229765931444654e-17	True	1.8004926323613102e-14	1.2129148986017342e-16	True	2.192189792584146e-14	1.4958945431886285e-15	True	2.7945909202442675e-14	1.8885201537050221e-16	True	1.9135208511590174e-14	7.375788316202437e-16	False	3.42349288296338e-14	1.2979960595375965e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-4.19.txt	54335.01	3.646760662390699e-14	5.485097744325396e-16	True	1.0102586431852707e-14	9.297091273036587e-17	True	1.914059063897301e-14	1.363739420188879e-16	True	2.1786123996335743e-14	1.5799770925756585e-15	True	2.956320027558831e-14	2.1016209846989254e-16	True	1.8655740870259423e-14	6.854934432017782e-16	False	3.323045725933118e-14	1.1957001289292243e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_-1.2.txt	54338.0	3.549556943435627e-14	7.094076162880608e-16	True	1.1429588358665732e-14	1.202662421943802e-16	True	2.1428134288207556e-14	1.6377643681655645e-16	True	1.9911546773072034e-14	1.4272037039966276e-15	True	3.1913755237534544e-14	2.389351465374174e-16	True	1.7212284729175537e-14	5.377587455168135e-16	False	3.020638628881809e-14	9.077787694217785e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_3.79.txt	54342.99	2.6903301523232026e-14	3.7840210430369197e-16	True	1.1815265618767145e-14	1.1285078100792697e-16	True	2.124141904270907e-14	1.6000882817756456e-16	True	1.2808216601083756e-14	1.1264456714222637e-15	True	2.9554826636973443e-14	1.9606981048754884e-16	True	1.4770187020409596e-14	3.2182773124847095e-16	False	2.50899033903792e-14	4.976179634467731e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_5.79.txt	54344.99	2.2419157666706868e-14	5.130570938820078e-16	True	1.138477090553826e-14	1.1114940896092723e-16	True	1.991346006700445e-14	1.578856896507834e-16	True	9.691549240175179e-15	7.835912222339922e-16	True	2.6916860175678968e-14	2.1041778882491317e-16	True	1.3779665282106544e-14	2.4828844517136664e-16	False	2.3014559415488177e-14	3.645463768638621e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_6.79.txt	54345.99	2.0321163589783416e-14	4.570044252067018e-16	True	1.1091459839762809e-14	1.0874748243890975e-16	True	1.9093074781775236e-14	1.5333628509672864e-16	True	8.343309513632537e-15	4.90187635123285e-16	True	2.5372323296972795e-14	2.1712238535749532e-16	True	1.3281871420197261e-14	2.1492444621957202e-16	False	2.1971562125247304e-14	3.0674805641196237e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_7.79.txt	54346.99	1.8117087707706404e-14	3.982442656965339e-16	True	1.0772589519722036e-14	1.0422355592975893e-16	True	1.8237621769706317e-14	1.4424185179878094e-16	True	7.140737823316969e-15	2.956281354709325e-16	True	2.3722039520860137e-14	2.2397870216773827e-16	True	1.2782383230997292e-14	1.841515337890482e-16	False	2.0925002649935264e-14	2.559052752109276e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007gr/2007gr_8.79.txt	54347.99	1.5952416557020676e-14	4.626312374148983e-16	True	1.04403340445184e-14	9.830957564789203e-17	True	1.7381710711605446e-14	1.332249653610425e-16	True	6.0603281751232855e-15	2.859181710290801e-16	True	2.2030716859685654e-14	2.2621655434079843e-16	True	1.2281196459243078e-14	1.5628948100937133e-16	True	1.987503472116023e-14	2.1307002638997528e-16	True
