MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54321.46620357153	9.977594734451121e-16	7.507204751350515e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54321.51620357153	1.06586664235154e-15	7.396542886723973e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54321.566203571536	1.1348611474544954e-15	7.299656980912828e-16	2.16543592354216e-16	4.961039197182417e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54321.61620357154	1.2047451498755503e-15	7.2156203891427285e-16	2.386524930263498e-16	4.8505741692451615e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54321.66620357154	1.2755208968463427e-15	7.14347355284364e-16	2.6081284918786185e-16	4.7494032815647324e-17	nan	nan	nan	nan	6.631718753330456e-16	6.163788472657815e-17	nan	nan	nan	nan
54321.716203571545	1.3471907217657781e-15	7.082239960677801e-16	2.830284093339713e-16	4.657154291650716e-17	nan	nan	nan	nan	7.270026755605191e-16	6.116524153954106e-17	nan	nan	nan	nan
54321.76620357155	1.4197570442474523e-15	7.03094191539484e-16	3.0530292208452024e-16	4.5734190045186806e-17	nan	nan	nan	nan	7.909780705084431e-16	6.136436778362031e-17	nan	nan	nan	nan
54321.81620357155	1.493222370190553e-15	6.988615508735882e-16	3.276401361878134e-16	4.497757464329227e-17	nan	nan	nan	nan	8.551111763962093e-16	6.217041763037109e-17	nan	nan	nan	nan
54321.86620357155	1.5675892918436459e-15	6.954324313655783e-16	3.5004380052899663e-16	4.429703057354451e-17	1.8859173108272597e-16	2.1047085295682273e-16	nan	nan	9.194151097298186e-16	6.350603052062154e-17	nan	nan	nan	nan
54321.916203571556	1.6428604878835585e-15	6.927171432000796e-16	3.725176641431472e-16	4.368768346166184e-17	2.386588063840365e-16	2.0710369751131323e-16	nan	nan	9.839029873544906e-16	6.52887594410596e-17	nan	nan	nan	nan
54321.96620357156	1.7190387234948615e-15	6.906309669789816e-16	3.9506547622295366e-16	4.314451412394091e-17	2.888249966844549e-16	2.038477194318779e-16	nan	nan	1.0485879263967933e-15	6.743750564211383e-17	nan	nan	nan	nan
54322.01620357156	1.7961268504590623e-15	6.890949737347687e-16	4.176909861185415e-16	4.26624246620341e-17	3.390948141748957e-16	2.007011168338156e-16	nan	nan	1.1134830444222435e-15	6.987706008741665e-17	nan	nan	nan	nan
54322.066203571565	1.8741278072505822e-15	6.880366477864585e-16	4.4039794336033796e-16	4.22363047992483e-17	3.894727711194065e-16	1.9766200091878179e-16	nan	nan	1.1786014592630668e-15	7.254064935391361e-17	nan	nan	nan	nan
54322.11620357157	1.953044619136526e-15	6.87390321008327e-16	4.631900976487741e-16	4.186109614353787e-17	4.3996338002232973e-16	1.947283997035963e-16	nan	nan	1.2439562892778159e-15	7.537086719372258e-17	nan	nan	nan	nan
54322.16620357157	2.0328803982838973e-15	6.87097432741614e-16	4.860711988850043e-16	4.1531852418152796e-17	4.905711535839005e-16	1.9189826233756638e-16	nan	nan	1.3095606531686081e-15	7.831952300297365e-17	nan	nan	nan	nan
54322.216203571574	2.1136383438750667e-15	6.871066328512246e-16	5.090449971585134e-16	4.124379403413571e-17	5.413006046480083e-16	1.8916946400209435e-16	nan	nan	1.3754276701245451e-15	8.134688235184874e-17	nan	nan	nan	nan
54322.26620357158	2.195321742226428e-15	6.873737466805033e-16	5.3211524277050605e-16	4.099235589854499e-17	5.921562463223445e-16	1.8653981140716124e-16	nan	nan	1.4415704598230847e-15	8.442064300165559e-17	nan	nan	nan	nan
54322.31620357158	2.277933966916236e-15	6.878616203412965e-16	5.552856862272732e-16	4.077322775070512e-17	6.43142591915717e-16	1.8400704877009667e-16	nan	nan	1.5080021423657653e-15	8.751486021452374e-17	nan	nan	nan	nan
54322.36620357158	2.3614784789174972e-15	6.885398633632046e-16	5.785600782674215e-16	4.0582386736602274e-17	6.942641549354379e-16	1.8156886433443736e-16	nan	nan	1.5747358384742355e-15	9.060893678135976e-17	nan	nan	nan	nan
