MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err
57468.571599995776	8.560674061841944e-16	2.2691401997922468e-17	1.4527627352624118e-16	2.6109159105346014e-18	2.9223277910099445e-16	2.6548861402537828e-18	nan	nan	4.31420442680615e-16	1.2213894676842092e-17	nan	nan	nan	nan	nan	nan
57468.62159999578	9.087392359718534e-16	2.3526234473859833e-17	1.5407588375016636e-16	2.6998218098585835e-18	3.101865486778565e-16	2.577419513364618e-18	nan	nan	4.571914183643296e-16	1.2657299171600691e-17	nan	nan	nan	nan	nan	nan
57468.67159999578	9.62134201679706e-16	2.4569943429054448e-17	1.6301193035144807e-16	2.7892018287068666e-18	3.2839539765719016e-16	2.500112274345332e-18	nan	nan	4.833937556399022e-16	1.3086395880869676e-17	nan	nan	nan	nan	nan	nan
57468.721599995784	1.0161831581499933e-15	2.5648809848903462e-17	1.7207783366967922e-16	2.8887747921130174e-18	3.468352683788953e-16	2.5102936041763088e-18	nan	nan	5.100243581775183e-16	1.3504793743733453e-17	nan	nan	nan	nan	nan	nan
57468.77159999579	1.0708170820703276e-15	2.6640972527920407e-17	1.8126890493616218e-16	2.999061674689608e-18	3.6548933921332653e-16	2.638454532611632e-18	nan	nan	5.370801657764439e-16	1.392481821852183e-17	nan	nan	nan	nan	nan	nan
57468.82159999579	1.125967103158949e-15	2.7497445419233988e-17	1.9058209803038032e-16	3.1125815499820036e-18	3.8435222046163417e-16	2.818097037237063e-18	nan	nan	5.645581559234023e-16	1.43650350774483e-17	nan	nan	nan	nan	nan	nan
57468.87159999579	1.1815644822020575e-15	2.824275520862912e-17	2.0001442539454172e-16	3.2233994572743258e-18	4.0341953970809207e-16	2.987416103469271e-18	nan	nan	5.924586618766552e-16	1.4837859977012182e-17	nan	nan	nan	nan	nan	nan
57468.921599995796	1.2375405891188703e-15	2.8965109938079606e-17	2.0956290346018425e-16	3.3281576340783702e-18	4.22686932588509e-16	3.1111217495170924e-18	nan	nan	6.207922116997013e-16	1.5328550980599526e-17	nan	nan	nan	nan	nan	nan
57468.9715999958	1.2938265205728116e-15	2.979132868501729e-17	2.192245525441974e-16	3.42627061870424e-18	4.4215004260814207e-16	3.1796821897939808e-18	nan	nan	6.495713061924288e-16	1.5819687214940057e-17	nan	nan	nan	nan	nan	nan
57469.0215999958	1.3503442235965701e-15	3.074054544179265e-17	2.289963967449844e-16	3.519772262128703e-18	4.618045209582404e-16	3.2061846740526618e-18	nan	nan	6.788084835213795e-16	1.6298253664037218e-17	nan	nan	nan	nan	nan	nan
57469.071599995805	1.407005926439392e-15	3.171363926729918e-17	2.38875463838414e-16	3.612897296213181e-18	4.816460263344027e-16	3.223473537870234e-18	nan	nan	7.085163202493484e-16	1.675639017200186e-17	nan	nan	nan	nan	nan	nan
57469.12159999581	1.463723400647884e-15	3.2638360791430384e-17	2.48858854774972e-16	3.7110211023308736e-18	5.016702301792851e-16	3.2779028347999603e-18	nan	nan	7.387074323683735e-16	1.7191494783141457e-17	nan	nan	nan	nan	nan	nan
57469.17159999581	1.5204084026967708e-15	3.348765866818993e-17	2.5894481186084887e-16	3.814089874414415e-18	5.218733442881532e-16	3.3895353555955238e-18	nan	nan	7.693944763355729e-16	1.7605883217131844e-17	nan	nan	nan	nan	nan	nan
57469.22159999581	1.5769726461494616e-15	3.4281152507215515e-17	2.691325088633749e-16	3.9177523586741615e-18	5.422525625360487e-16	3.52419039883764e-18	nan	nan	8.005901501104656e-16	1.800610255115237e-17	nan	nan	nan	nan	nan	nan
57469.271599995816	1.6333277738059118e-15	3.50790713095728e-17	2.7942115001639993e-16	4.018809105601883e-18	5.628051896877141e-16	3.649161425035636e-18	nan	nan	8.323072054497482e-16	1.8401818412008582e-17	nan	nan	nan	nan	nan	nan
57469.32159999582	1.6893895948537196e-15	3.5956675926936866e-17	2.898099429029375e-16	4.115696664228698e-18	5.835285372496851e-16	3.746094368317193e-18	nan	nan	8.645593832133219e-16	1.8795780871725012e-17	nan	nan	nan	nan	nan	nan
57469.37159999582	1.7451119230039858e-15	3.689036803430122e-17	3.0029809842509607e-16	4.2085661303837506e-18	6.044199233552552e-16	3.8126078721478224e-18	nan	nan	8.973621155927973e-16	1.917676788736407e-17	nan	nan	nan	nan	nan	nan
57469.421599995825	1.8004684996135226e-15	3.7814092123131885e-17	3.108848307749922e-16	4.2991655594995095e-18	6.254766726483667e-16	3.861366629156751e-18	nan	nan	9.307310459178184e-16	1.9534304348532218e-17	nan	nan	nan	nan	nan	nan
57469.47159999583	1.855433095752815e-15	3.8688666459705396e-17	3.2156935760410394e-16	4.390547356738467e-18	6.466961161674279e-16	3.917310936980324e-18	nan	nan	9.64681864799338e-16	1.9860898327061657e-17	nan	nan	nan	nan	nan	nan
57469.52159999583	1.9099793237681354e-15	3.9506689156310166e-17	3.3235096826478126e-16	4.484521698495618e-18	6.68075795882476e-16	4.007053709332124e-18	nan	nan	9.992303114253683e-16	2.0152366192571592e-17	nan	nan	nan	nan	nan	nan
57469.571599995834	1.964080628096001e-15	4.0291093239246705e-17	3.4322912347369744e-16	4.57833624548568e-18	6.896148219715187e-16	4.1207125763791514e-18	nan	nan	1.0343921748577317e-15	2.0407887204655657e-17	nan	nan	nan	nan	nan	nan
57469.62159999584	2.017711887270876e-15	4.108776998441316e-17	3.5420331247734333e-16	4.669372661875554e-18	7.113130307074366e-16	4.2341851731068364e-18	nan	nan	1.0701832953327792e-15	2.0629842246201716e-17	nan	nan	nan	nan	nan	nan
57469.67159999584	2.0709241202471677e-15	4.190256994823851e-17	3.652730276833852e-16	4.7561922480902314e-18	7.331702683190377e-16	4.331741170293207e-18	nan	nan	1.1066195615543988e-15	2.0823452970101854e-17	nan	nan	nan	nan	nan	nan
57469.72159999584	2.1238760623768655e-15	4.267609705722174e-17	3.7643776464004185e-16	4.8386349546036916e-18	7.551863871329187e-16	4.408606267371077e-18	nan	nan	1.1437131886305428e-15	2.0992305089409986e-17	nan	nan	nan	nan	nan	nan
57469.771599995845	2.1767344851550725e-15	4.336181373168303e-17	3.8769702201637414e-16	4.917787915600147e-18	7.773612455577666e-16	4.4710655432070295e-18	nan	nan	1.1814658144155458e-15	2.113075952318955e-17	nan	nan	nan	nan	nan	nan
57469.82159999585	2.2296660838480167e-15	4.393636382981652e-17	3.990503007087785e-16	4.995836717846312e-18	7.996947080705852e-16	4.534908269577318e-18	nan	nan	1.2198772483438448e-15	2.1233684800245354e-17	nan	nan	nan	nan	nan	nan
57469.87159999585	2.282837526460681e-15	4.440014930913947e-17	4.1049674105514333e-16	5.074293701427204e-18	8.221867966461244e-16	4.619315348753506e-18	nan	nan	1.2589473546087173e-15	2.1298994831349798e-17	nan	nan	nan	nan	nan	nan
57469.921599995854	2.336416556589831e-15	4.4774442433763294e-17	4.220345622518239e-16	5.1515061528479796e-18	8.448390388751722e-16	4.719281184761933e-18	nan	nan	1.2986760520796533e-15	2.1328010554767572e-17	nan	nan	nan	nan	nan	nan
57469.97159999586	2.3906727128812334e-15	4.5061560382563595e-17	4.3366184183209074e-16	5.226123691184371e-18	8.676538248711535e-16	4.8181177242517565e-18	nan	nan	1.3390633142210962e-15	2.132566119867188e-17	nan	nan	nan	nan	nan	nan
57470.02159999586	2.446060701241331e-15	4.52149180876784e-17	4.453766602446018e-16	5.2978890434645735e-18	8.90633560955157e-16	4.906193654654181e-18	nan	nan	1.3801091690164965e-15	2.1300527656972347e-17	nan	nan	nan	nan	nan	nan
57470.07159999586	2.5030551183474514e-15	4.5202749058548834e-17	4.571771007847069e-16	5.367713831372463e-18	9.137806597201864e-16	4.983231058401854e-18	nan	nan	1.4218133815502122e-15	2.126459848843094e-17	nan	nan	nan	nan	nan	nan
57470.121599995866	2.5621309889273455e-15	4.502093514578462e-17	4.6906124952601e-16	5.437658986100291e-18	9.370975401189457e-16	5.05878806062584e-18	nan	nan	1.4641616660430445e-15	2.122845317894941e-17	nan	nan	nan	nan	nan	nan
57470.17159999587	2.6237639074216483e-15	4.469729890629096e-17	4.810271518163371e-16	5.5107510499469455e-18	9.60586627551142e-16	5.151311973401607e-18	nan	nan	1.5071203723777268e-15	2.1199404324115958e-17	nan	nan	nan	nan	nan	nan
57470.22159999587	2.688430179768569e-15	4.429449084553637e-17	4.930715762290269e-16	5.5887816636575175e-18	9.84249952039819e-16	5.2806024550288e-18	nan	nan	1.5506544865750117e-15	2.1187537618777115e-17	nan	nan	nan	nan	nan	nan
57470.271599995875	2.7566069653461496e-15	4.391085942558623e-17	5.051898360645642e-16	5.671971049023187e-18	1.0080876363755397e-15	5.446920989073532e-18	nan	nan	1.5947290415943628e-15	2.120612775797023e-17	nan	nan	nan	nan	nan	nan
57470.32159999588	2.828772419101881e-15	4.3677493246531236e-17	5.173771676845581e-16	5.7613298421404544e-18	1.032099240907103e-15	5.648755910331505e-18	nan	nan	1.639309114228733e-15	2.1271210953432038e-17	nan	nan	nan	nan	nan	nan
57470.37159999588	2.9053934627169934e-15	4.3746253808365524e-17	5.296288096497553e-16	5.8588311630200715e-18	1.0562843324650023e-15	5.891805357151924e-18	5.104098728303344e-15	1.3994578774483484e-16	1.6843590277773692e-15	2.1400544267898873e-17	2.8358868369416815e-15	1.7086881126352272e-16	6.039523434338367e-16	2.2948292974165488e-17	1.1505148891003451e-15	3.3921163257856606e-17
57470.42159999588	2.986537172418656e-15	4.419846629524857e-17	5.419400025549189e-16	5.967348735844051e-18	1.0806424844275906e-15	6.1890719339575136e-18	5.255884489822489e-15	1.3664601965039624e-16	1.7298009174577023e-15	2.1604083769669363e-17	2.8989677575337915e-15	1.6797954532977998e-16	6.184738114634154e-16	2.2391535538065485e-17	1.1775279032133024e-15	3.30974988403097e-17
57470.471599995886	3.0717928258918404e-15	4.5022866538061377e-17	5.543059888640105e-16	6.0904928514337545e-18	1.1051732766955687e-15	6.559051189142383e-18	5.4077050464808345e-15	1.3365067717885121e-16	1.7754885793503855e-15	2.1878785756489398e-17	2.962823892889567e-15	1.654662009848929e-16	6.331282265755352e-16	2.193236110073019e-17	1.2047943568436587e-15	3.246793595219531e-17
57470.52159999589	3.16072275120737e-15	4.62094940098804e-17	5.667213995527785e-16	6.231725145269317e-18	1.1298761183571751e-15	7.021986845736808e-18	5.559504676167919e-15	1.3094376452528007e-16	1.821269079360079e-15	2.22208780016545e-17	3.027408951950049e-15	1.6330521094338928e-16	6.479028213489358e-16	2.1561940921139947e-17	1.2322913494404384e-15	3.201153105858365e-17
57470.57159999589	3.252890312607421e-15	4.7759537380400695e-17	5.791783547730235e-16	6.392165036929088e-18	1.1547443501930807e-15	7.582005860775768e-18	5.7112276562226405e-15	1.285079853164794e-16	1.8669894881007654e-15	2.2627399778579286e-17	3.0926767276918914e-15	1.6147101438961067e-16	6.627848356124377e-16	2.1270503807801096e-17	1.2599959955354623e-15	3.1705029521087e-17
57470.621599995895	3.3478597770925024e-15	4.968389003074647e-17	5.916683325865733e-16	6.572411343458289e-18	1.1797638709420596e-15	8.223424038084608e-18	5.862818265085173e-15	1.2632498159611212e-16	1.912496867585579e-15	2.3096168469040525e-17	3.158581090678045e-15	1.5993652994046615e-16	6.777615155854856e-16	2.1047659090202007e-17	1.2878854230539533e-15	3.152392409860683e-17
57470.6715999959	3.4452115874626083e-15	5.1981449981099534e-17	6.041831966278704e-16	6.772539602949125e-18	1.204920310553538e-15	8.929498162132347e-18	6.014220781012144e-15	1.2437560865360368e-16	1.957650099062628e-15	2.362309282993141e-17	3.2250759826157467e-15	1.5867366202545183e-16	6.928201130193525e-16	2.0882734405299945e-17	1.315936771626187e-15	3.144349615614555e-17
57470.7215999959	3.5446296809856133e-15	5.4545927131581545e-17	6.167173789070777e-16	6.988706574532182e-18	1.230200513573154e-15	9.681777911987188e-18	6.165379481342454e-15	1.2264023412259238e-16	2.002387080898755e-15	2.4188636918293873e-17	3.2921154099212437e-15	1.5765381490320683e-16	7.079478843383741e-16	2.0765096970282935e-17	1.344127190899681e-15	3.143972320940318e-17
57470.771599995904	3.645840655946638e-15	5.723518672341484e-17	6.292663633675152e-16	7.215688436812427e-18	1.2555918243397315e-15	1.0463221247186984e-17	6.316238643873865e-15	1.2109904803268805e-16	2.046678042590923e-15	2.4767800361054335e-17	3.3596534372903837e-15	1.5684839056789928e-16	7.23132089781378e-16	2.0684434217827406e-17	1.372433838851603e-15	3.14899840450643e-17
57470.82159999591	3.748571696758204e-15	5.99231660110099e-17	6.418256374439443e-16	7.448761310083977e-18	1.2810815926482475e-15	1.1259987213899307e-17	6.4667425470465515e-15	1.1973237201848511e-16	2.0904932688138238e-15	2.5337477685961657e-17	3.427644181274745e-15	1.5622925082800471e-16	7.383599925435183e-16	2.0630979384361635e-17	1.4008338801021747e-15	3.157354137874802e-17
57470.87159999591	3.8525503627302505e-15	6.250354675468781e-17	6.543906887392638e-16	7.68387707666016e-18	1.306657171740143e-15	1.2061205196830311e-17	6.616835467740548e-15	1.1852095437068737e-16	2.1338029992784723e-15	2.5877045159936393e-17	3.4960418038622574e-15	1.5576912906590085e-16	7.536188579179585e-16	2.0595677235844897e-17	1.4293044842277572e-15	3.167181911855985e-17
57470.92159999591	3.957504503757929e-15	6.488968675054948e-17	6.6695700486729145e-16	7.917753553656576e-18	1.3323059177856458e-15	1.2858602221650869e-17	6.766461682560571e-15	1.1744624385043094e-16	2.1765774260781185e-15	2.636860335245646e-17	3.564800506062033e-15	1.5544198278362003e-16	7.688959524378101e-16	2.0570292770504426e-17	1.4578228240746153e-15	3.176851235718336e-17
57470.971599995915	4.063162176067362e-15	6.701297472610452e-17	6.795200732967153e-16	8.147910901910914e-18	1.358015189365612e-15	1.3646133149601396e-17	6.915565470130339e-15	1.1649063351996792e-16	2.2187866910288096e-15	2.679701312476464e-17	3.633874521492489e-15	1.5522328330689736e-16	7.841785430181311e-16	2.0547470690026835e-17	1.4863660740728015e-15	3.1849575085000815e-17
57471.02159999592	4.169251558002033e-15	6.882076858345094e-17	6.920753811932207e-16	8.372675198968672e-18	1.3837723469537022e-15	1.4419663096793814e-17	7.064091107238116e-15	1.156376716167098e-16	2.2604008830082174e-15	2.7149816411705183e-17	3.70321810997231e-15	1.5509024346682674e-16	7.994538960978757e-16	2.0520755784331434e-17	1.5149114085496764e-15	3.1903127973893634e-17
57471.07159999592	4.27550086583035e-15	7.027446977906124e-17	7.046184152638152e-16	8.59116345938119e-18	1.4095647523991113e-15	1.5176710288247684e-17	7.211982870763934e-15	1.1487223773621789e-16	2.3013900352899246e-15	2.7417105019193763e-17	3.772785551113381e-15	1.550219874494318e-16	8.14709276781772e-16	2.0484584719973012e-17	1.5434360000440851e-15	3.1919321160444894e-17
57471.121599995924	4.3816382695535476e-15	7.134794626374078e-17	7.171446615990724e-16	8.803258656193083e-18	1.4353797684082999e-15	1.5916241655999902e-17	7.359185036119464e-15	1.1418068388024677e-16	2.3417241228746866e-15	2.7591377697703978e-17	3.842531137915276e-15	1.5499966924653828e-16	8.299319479822056e-16	2.0434258788664625e-17	1.5719170176197077e-15	3.189017823832817e-17
57471.17159999593	4.487391808698029e-15	7.202635157609398e-17	7.296496055170133e-16	9.009578881529394e-18	1.4612047580275021e-15	1.663850887713069e-17	7.505641881653104e-15	1.1355094452233061e-16	2.381373059817171e-15	2.766740931124262e-17	3.9124091703604765e-15	1.550065473514231e-16	8.451091695609571e-16	2.0365905604562632e-17	1.6003316251785883e-15	3.18094396598647e-17
57471.22159999593	4.5924893080689915e-15	7.230531849416935e-17	7.421287314058173e-16	9.211441588778883e-18	1.487027084125087e-15	1.7344912406361664e-17	7.65129768167525e-15	1.1297261614318847e-16	2.4203066965494797e-15	2.7642145116459446e-17	3.9823739490097225e-15	1.5502802370222724e-16	8.602281974706913e-16	2.0276436002957072e-17	1.6286569797742504e-15	3.167241730502315e-17
57471.27159999593	4.696658293449544e-15	7.219048158240585e-17	7.545775225666744e-16	9.410821647359883e-18	1.5128341088735473e-15	1.803788240483414e-17	7.796096713065936e-15	1.124370128040092e-16	2.4584948171993814e-15	2.7514626477264144e-17	4.052379768596879e-15	1.5505165459654737e-16	8.752762828963681e-16	2.0163500770275646e-17	1.656870229924507e-15	3.14758672522246e-17
57471.321599995936	4.799625907223666e-15	7.169727577700818e-17	7.669914610575493e-16	9.610300515299075e-18	1.5386131932328973e-15	1.8720767135203763e-17	7.939983251236832e-15	1.119371992725347e-16	2.4959071369053043e-15	2.728595030135107e-17	4.1223809116226565e-15	1.5506714058795366e-16	8.902406713962825e-16	2.0025450460960622e-17	1.6849485139234685e-15	3.121788457226901e-17
57471.37159999594	4.901118823905662e-15	7.085095211377804e-17	7.793660275357755e-16	9.813003098850535e-18	1.5643516964311078e-15	1.9397721038417594e-17	8.082901571691376e-15	1.1146800690622583e-16	2.5325132991257875e-15	2.6959261884637596e-17	4.192331641946462e-15	1.5506630140328275e-16	9.051086020429848e-16	1.986130046598172e-17	1.7128689581532908e-15	3.0897821936094804e-17
57471.42159999594	5.000863165555892e-15	6.968673661113348e-17	7.916967011012356e-16	1.0022518816012565e-17	1.5900369754479107e-15	2.0073586300950575e-17	8.22479594883174e-15	1.1102603454455522e-16	2.5682828729451797e-15	2.6539778691908165e-17	4.262186198375806e-15	1.5504304082408248e-16	9.198673065635314e-16	1.9670702667877364e-17	1.740608675395091e-15	3.051623264168943e-17
57471.471599995944	5.0985844170625984e-15	6.825002529084257e-17	8.039789591390483e-16	1.024280407747251e-17	1.6156563844958622e-15	2.0753763356661345e-17	8.365610657060086e-15	1.1060963722431793e-16	2.6031853503728268e-15	2.6034839978625892e-17	4.331898788252639e-15	1.5499330534924692e-16	9.345040084797506e-16	1.9453924395238516e-17	1.768144763139045e-15	3.007483802839719e-17
57471.52159999595	5.194007341273032e-15	6.659644788367104e-17	8.162082771628658e-16	1.0478064886733997e-17	1.64119727450289e-15	2.1444067534420335e-17	8.505289971329219e-15	1.1021890409428865e-16	2.637190143639203e-15	2.545397311413752e-17	4.401423581035838e-15	1.549150393596687e-16	9.49005922247821e-16	1.9211834910583955e-17	1.795454301893747e-15	2.957651890652735e-17
57471.57159999595	5.286855893952077e-15	6.479153570465774e-17	8.283801286575381e-16	1.0732620505301598e-17	1.6666469925945043e-15	2.2150571001231668e-17	8.643778164664714e-15	1.0985562619691157e-16	2.670266582485127e-15	2.480896086198517e-17	4.47071470187938e-15	1.5480813846961836e-16	9.633602523975119e-16	1.8945899260359353e-17	1.8225143534944847e-15	2.902533036089332e-17
57471.62159999595	5.376854378763023e-15	6.290939216127625e-17	8.404899789653501e-16	1.1010740956440325e-17	1.691992881590598e-15	2.287941667678169e-17	8.781019510734553e-15	1.095232545695509e-16	2.7023841306611234e-15	2.4113857190557946e-17	4.539726225205295e-15	1.5467440178699498e-16	9.775541926708214e-16	1.8658178911848003e-17	1.849301959410527e-15	2.842653886384967e-17
57471.671599995956	5.463906887360186e-15	6.100156974209084e-17	8.525324229243354e-16	1.1314908034944713e-17	1.717222281864892e-15	2.3634537942403282e-17	8.916958282288993e-15	1.0922684675060255e-16	2.7335441149112286e-15	2.3381199688487075e-17	4.608412168271031e-15	1.545174829160266e-16	9.9157492516015e-16	1.8351338126507292e-17	1.8757941390511937e-15	2.778667979522895e-17
57471.72159999596	5.548282426928712e-15	5.906648973926404e-17	8.645003683045254e-16	1.1644071074735587e-17	1.7423226228483434e-15	2.4415331463327597e-17	9.05153875217006e-15	1.0897300051367382e-16	2.7638130223928886e-15	2.2618263974693048e-17	4.676726484730359e-15	1.543428387173676e-16	1.005409619445775e-15	1.8028654392842446e-17	1.901967888070867e-15	2.7113631885254006e-17
57471.77159999596	5.630196506016662e-15	5.710381203026769e-17	8.763893352924529e-16	1.1996108072022754e-17	1.767284231641301e-15	2.5219527368363673e-17	9.184705192026735e-15	1.087697727343803e-16	2.7932664585916292e-15	2.1834302478630856e-17	4.744623058187316e-15	1.5415767408857617e-16	1.0190454317328413e-15	1.769403038576862e-17	1.927800176672366e-15	2.6416702346232325e-17
57471.821599995965	5.709747243085925e-15	5.512735210547091e-17	8.8819822275904e-16	1.2368236358950626e-17	1.7921008962986507e-15	2.6043617401943294e-17	9.316401873875091e-15	1.0862657978139943e-16	2.8219814441542337e-15	2.1042322881133197e-17	4.812055695742329e-15	1.5397088034529505e-16	1.0324695039875194e-15	1.735200375709127e-17	1.9532679479092652e-15	2.570671201780157e-17
57471.87159999597	5.787025078793603e-15	5.317437135489766e-17	8.999261250851048e-16	1.2757664358010558e-17	1.8167666018494808e-15	2.688409850985291e-17	9.446573067895737e-15	1.0855407691090934e-16	2.850035018154682e-15	2.0260374537380015e-17	4.878978121530139e-15	1.537929641813687e-16	1.045668963072499e-15	1.7007749543428656e-17	1.978348115986407e-15	2.499606317323247e-17
