MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err
57466.671599995665	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57466.72159999567	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57466.77159999567	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57466.821599995674	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57466.87159999568	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57466.92159999568	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57466.97159999568	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.021599995685	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.07159999569	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.12159999569	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.171599995694	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.2215999957	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.2715999957	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.3215999957	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.371599995706	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.42159999571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.47159999571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.521599995714	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.57159999572	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.62159999572	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.67159999572	7.905303511222499e-17	2.720905209238154e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57467.721599995726	1.135765519293201e-16	6.9362079860613995e-18	1.9390697464620994e-17	5.354289199500081e-19	3.8794179338034425e-17	7.269726909021752e-19	nan	nan	5.663335318613197e-17	2.079169689805051e-18	nan	nan	nan	nan	nan	nan
57467.77159999573	1.489619483835319e-16	1.1810792379308768e-17	2.5790853633791285e-17	9.890662214199913e-19	5.144003189329656e-17	1.6237096594270233e-18	nan	nan	7.589822938350689e-17	3.461635974040199e-18	nan	nan	nan	nan	nan	nan
57467.82159999573	1.8524654195635255e-16	1.5504883390437466e-17	3.22627737639778e-17	1.3930256684207412e-18	6.424313824297296e-17	2.31774962258259e-18	nan	nan	9.543215635635249e-17	5.161477172129374e-18	nan	nan	nan	nan	nan	nan
57467.871599995735	2.2246791735660074e-16	1.796018107985668e-17	3.8818448298899386e-17	1.7088202557493167e-18	7.7231811221745e-17	2.7995156515664636e-18	nan	nan	1.152513363880921e-16	6.6663611457002696e-18	nan	nan	nan	nan	nan	nan
57467.92159999574	2.6066393700961454e-16	1.9239192828406394e-17	4.546987051620061e-17	1.9346235033761873e-18	9.043437108722688e-17	3.075987070856283e-18	nan	nan	1.3537199625003595e-16	7.899220534773451e-18	nan	nan	nan	nan	nan	nan
57467.97159999574	2.998727516088332e-16	1.946036459023437e-17	5.222903693237517e-17	2.0758517679753196e-18	1.0387914665210102e-16	3.1587433134316976e-18	nan	nan	1.5581038856693693e-16	8.8532956039508e-18	nan	nan	nan	nan	nan	nan
57468.02159999574	3.4013281073188573e-16	1.880727140356229e-17	5.910794770874133e-17	2.1419081690392996e-18	1.1759447641595736e-16	3.063775658485766e-18	nan	nan	1.765827931851647e-16	9.543106071977085e-18	nan	nan	nan	nan	nan	nan
57468.07159999575	3.814828735235535e-16	1.7563945459577422e-17	6.611860705622513e-17	2.1462577404003194e-18	1.3160870969709557e-16	2.8133935541783053e-18	nan	nan	1.9770551854222718e-16	9.99523117728461e-18	nan	nan	nan	nan	nan	nan
57468.12159999575	4.239620194484048e-16	1.6175539333321712e-17	7.327302364147606e-17	2.1074905116218545e-18	1.4595020776547506e-16	2.4412213224599466e-18	nan	nan	2.1919490303789e-16	1.0246924882396882e-17	nan	nan	nan	nan	nan	nan
57468.17159999575	4.676096591149433e-16	1.5295972671143325e-17	8.058321099197758e-17	2.050677723170269e-18	1.6064734497551678e-16	2.005445606543965e-18	nan	nan	2.4106731640752914e-16	1.0346950294620585e-17	nan	nan	nan	nan	nan	nan
57468.221599995755	5.124568633486215e-16	1.556063750404266e-17	8.806118790220966e-17	2.007730250842325e-18	1.7572850989883122e-16	1.6230545496579296e-18	nan	nan	2.6333916109794776e-16	1.035678927307793e-17	nan	nan	nan	nan	nan	nan
57468.27159999576	5.584740848071062e-16	1.6738185996747468e-17	9.571869014135762e-17	2.013282305291068e-18	1.9122184982422526e-16	1.5068616281279278e-18	nan	nan	2.860268736439051e-16	1.0350530754745093e-17	nan	nan	nan	nan	nan	nan
57468.32159999576	6.056059932223547e-16	1.8232724715981436e-17	1.0355904397407609e-16	2.0765418934657095e-18	2.0713689945118628e-16	1.7282147296657692e-18	nan	nan	3.0914692604870786e-16	1.0410992291842104e-17	nan	nan	nan	nan	nan	nan
57468.371599995764	6.537974815929308e-16	1.9629458224608933e-17	1.115760428884073e-16	2.176683770258406e-18	2.23452306168773e-16	2.067893973991979e-18	nan	nan	3.32713364767777e-16	1.0606629868494656e-17	nan	nan	nan	nan	nan	nan
57468.42159999577	7.029937480712924e-16	2.073247423524195e-17	1.1976297185938399e-16	2.2923369705500603e-18	2.401438227723534e-16	2.3713081353909613e-18	nan	nan	3.5672719707670384e-16	1.0924885155439025e-17	nan	nan	nan	nan	nan	nan
57468.47159999577	7.531402783806118e-16	2.1519143238533582e-17	1.2811312159811796e-16	2.407891578504441e-18	2.571872170656244e-16	2.5763427125029597e-18	nan	nan	3.811851439539889e-16	1.132342788330688e-17	nan	nan	nan	nan	nan	nan
57468.52159999577	8.041828282957524e-16	2.210108483250828e-17	1.3661978832242625e-16	2.5147650921452785e-18	2.745582708813141e-16	2.666946565037593e-18	nan	nan	4.0608396136379877e-16	1.1763098718069683e-17	nan	nan	nan	nan	nan	nan
