MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54516.86659994548	nan	nan	1.8134496503385105e-16	9.29394193804834e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6460828718456917e-16	4.718354120292339e-18
54516.916599945485	nan	nan	1.8499848457774273e-16	9.376019639395047e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6800831514367287e-16	4.9855743124381016e-18
54516.96659994549	nan	nan	1.8869320672362048e-16	9.457907914172923e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7144750722426845e-16	5.190275944808098e-18
54517.01659994549	nan	nan	1.9242943238462525e-16	9.539692989725e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7492548727358288e-16	5.332259649764786e-18
54517.066599945494	nan	nan	1.9620746258831106e-16	9.621467905061574e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7844187967668388e-16	5.411598798972699e-18
54517.1165999455	nan	nan	2.0002759847800405e-16	9.703332078067729e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8199630935097864e-16	5.4286384246404515e-18
54517.1665999455	nan	nan	2.0389014131423346e-16	9.785390810553054e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8558840174083253e-16	5.383998003635423e-18
54517.2165999455	nan	nan	2.0779539247508916e-16	9.867754733517386e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8921778281200763e-16	5.278577757211937e-18
54517.266599945506	nan	nan	2.1174365345655555e-16	9.95053919368787e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9288407904632687e-16	5.1135687898295945e-18
54517.31659994551	nan	nan	2.1573522559058052e-16	1.0033863374715188e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9658691743614986e-16	4.8904681030183645e-18
