spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-01-14_03-09-15_Galileo_BC-Asi_None.dat	56671.13	1.701464254106035e-14	3.162735349045223e-16	True	1.1144623978576963e-15	3.945662241237727e-17	True	3.60730287246418e-15	1.5684475915082472e-16	True	2.656958304218513e-14	1.1027643443616005e-15	True	5.676887530821202e-15	9.191242204869512e-17	True	9.461341586104178e-14	6.323331921505101e-15	True	4.79660581295891e-14	8.848716068146498e-15	True	1.035582225270707e-13	6.604141423303843e-15	True	5.620592954353738e-15	4.1059099273345007e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-01-15_21-53-21_Galileo_BC-Asi_None.dat	56672.41	1.7350854000683587e-14	2.530750372333098e-16	True	1.7580797006978045e-15	3.866668122748604e-17	True	4.2015164411059265e-15	8.618998276490043e-17	True	2.6848744736670662e-14	8.988646793600558e-16	True	7.407876613439698e-15	8.533067724246489e-17	True	8.880845398285063e-14	3.71834326338887e-15	True	5.698136631347259e-14	3.4067666217734944e-15	True	9.367432774420089e-14	3.5732669093507875e-15	True	7.177689952196823e-15	3.5599691843822164e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-01-21_22-11-21_Galileo_BC-Asi_None.dat	56678.42	1.859532460893118e-14	1.7684381447353963e-16	True	3.4887705887168877e-15	5.90866220646591e-17	True	6.968375615102688e-15	1.0441892907412484e-16	True	2.617065471816783e-14	6.592973076641468e-16	True	1.1246089889421874e-14	1.9956142921933785e-16	True	3.8864952589797955e-14	1.3707343555213596e-15	True	3.9052948210826826e-14	1.789642818304617e-15	True	3.275973829891793e-14	1.287308936471797e-15	True	1.1625249548548062e-14	5.625242869472306e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-01-25_22-00-17_Ekar_AFOSC_None.dat	56682.42	1.8204550943550772e-14	1.512155028807146e-16	True	4.15975121257497e-15	5.103208121003758e-17	True	8.033372262165367e-15	1.0869606060572067e-16	True	2.3137309388889836e-14	5.081501819552118e-16	True	1.2442974155952752e-14	1.5683184224664945e-16	True	1.689074439537155e-14	1.3973151951099e-15	True	2.1962602666743414e-14	3.0017469613454067e-15	True	1.50487248518696e-14	1.488855707224643e-15	True	1.1043618433338718e-14	9.97807081722962e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-01-29_05-01-00_Galileo_BC-Asi_None.dat	56686.21	1.6553032859905226e-14	1.1954055519685007e-16	True	4.346337643495842e-15	4.955651703310496e-17	True	8.080379281472617e-15	7.68810513623819e-17	True	1.8723809071960962e-14	3.538758192057075e-16	True	1.1660375812610534e-14	1.2888112189139007e-16	True	8.238974750913799e-15	6.871229931727462e-16	True	1.23312842018432e-14	1.375826555315533e-15	True	7.498511146399148e-15	6.99208206138293e-16	True	1.122179619907658e-14	6.7641501677957e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-02-06_22-31-44_Galileo_BC-Asi_None.dat	56694.44	1.1082494064555078e-14	1.4002162395549376e-16	True	3.7740433491826765e-15	1.0063467703925524e-16	True	6.6927762136137416e-15	1.2724990187069126e-16	True	9.408392273446754e-15	4.486016807097264e-16	True	8.936846424150985e-15	4.036163794011797e-16	True	1.8450021620401606e-15	2.379279912110182e-15	True	3.4326763809479452e-15	7.363557747438794e-15	True	1.8472186887830273e-15	2.6210786107302287e-15	True	8.253095874650732e-15	2.2329661399406887e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-02-17_00-48-42_Galileo_BC-Asi_None.dat	56705.53	5.896206039519174e-15	6.222339745016674e-17	True	2.9547241832773996e-15	4.130677189840703e-17	True	5.0789169296718235e-15	5.745529299368228e-17	True	3.0428635993559602e-15	9.89578043512471e-17	True	6.085269029306466e-15	8.475107144171019e-17	True	-1.0258357682765506e-16	1.9563217513919128e-14	False	4.3112497899736364e-16	1.9699543187050827e-14	False	5.787769624140405e-16	2.2254319199894575e-14	False	2.891936024810066e-15	7.652166228131107e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-02-19_00-27-12_TNG_DOLORES_None.dat	56707.52	5.3985601185546e-15	5.735909269188785e-17	True	2.8765895713963368e-15	4.831135111666708e-17	True	4.922008611296753e-15	5.6426683550834e-17	True	2.4664130592443517e-15	9.560530465556718e-17	True	5.7598651342899624e-15	9.908424044146674e-17	True	-2.5609237571532995e-16	2.5134194548481405e-14	False	2.500827805808884e-16	2.0318942405777753e-14	False	4.547366222048932e-16	2.8810771027475576e-14	False	2.0281483838467433e-15	8.202541903958905e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-02-26_04-37-27_TNG_DOLORES_None.dat	56714.19	3.966870462224813e-15	6.557161182343827e-17	True	2.5346658641196507e-15	6.322017457083656e-17	True	4.213912112549179e-15	6.71522730891443e-17	True	1.3166577323127447e-15	9.031405567370303e-17	True	4.869976450869102e-15	1.0702469570765687e-16	True	-5.429762830105018e-16	4.125457622669824e-14	False	3.6016005901942584e-17	2.066086308771485e-14	False	1.6504550061376555e-16	4.842844419857867e-14	False	5.487385705776101e-16	8.714122358349077e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-03-06_21-19-36_Galileo_BC-Asi_None.dat	56722.39	2.936181084437994e-15	5.953872902435841e-17	True	2.158692878542944e-15	5.567072823443117e-17	True	3.5450661181262673e-15	6.707535206659603e-17	True	8.339369475542627e-16	2.5503365539268535e-17	True	3.846370060026607e-15	1.9069274325590518e-16	True	-6.118556137761168e-16	5.4958836825687717e-14	False	2.907540780475065e-18	2.066930221930498e-14	False	-1.4166056648015168e-17	6.614959461419843e-14	False	9.56913587689684e-17	8.756641182690911e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-03-10_01-49-38_Ekar_AFOSC_None.dat	56726.08	2.558892150541129e-15	5.210057364527852e-17	True	2.0441201142474852e-15	5.190098278005975e-17	True	3.4138989760997627e-15	5.840031800098249e-17	True	7.112416558701489e-16	2.162224396326655e-17	True	3.5905746088350026e-15	1.6137449702631205e-16	True	-5.914892283581926e-16	5.922293941256874e-14	False	9.106461355702516e-19	2.066935704418355e-14	False	-5.591983886881957e-17	7.197113703245168e-14	False	4.2351008407585615e-17	8.757779451811456e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-03-17_19-09-29_Galileo_BC-Asi_None.dat	56733.3	2.0902986149011e-15	3.964108382888817e-17	True	1.8626836632591976e-15	3.676910625621364e-17	True	3.0473364391219018e-15	3.979183139496564e-17	True	5.219609152370689e-16	2.5897160764644492e-17	True	3.1012769274322167e-15	7.647204589691466e-17	True	-5.121288392448543e-16	6.502747051259259e-14	False	9.084619393582081e-20	2.066936312603125e-14	False	-9.658666762842816e-17	8.02903106218142e-14	False	8.304539061820663e-18	8.75805197634214e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-03-30_01-19-59_Ekar_AFOSC_None.dat	56746.06	1.4360511480395376e-15	1.1339219531083642e-16	True	1.4870347234232033e-15	4.431652540035061e-17	True	2.3998152849375554e-15	4.572660316729921e-17	True	3.0045554980835676e-16	2.0303498322987503e-17	True	2.1606491650837706e-15	7.205698723943629e-17	True	-3.442391828227838e-16	7.004828921952551e-14	False	1.4370338508803037e-21	2.066936318956181e-14	False	-1.0061153431527612e-16	8.817389477950067e-14	False	4.3309537374812996e-19	8.758063145379246e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-04-07_23-39-27_Ekar_AFOSC_None.dat	56754.49	7.803343287494395e-16	4.354978541900711e-17	True	9.885102707198406e-16	3.2201813717684416e-17	True	1.4808799636030554e-15	3.736609556252098e-17	True	2.089600894250907e-16	1.959295299306994e-17	True	1.2163652025402814e-15	7.566157388464645e-17	True	-2.500048258946327e-16	7.14301475740542e-14	False	8.973985773855715e-23	2.0669363189578324e-14	False	-8.566731057415768e-17	9.060947744480775e-14	False	5.94527339461483e-20	8.75806317613622e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-04-25_22-17-28_Ekar_AFOSC_None.dat	56772.43	3.6130434501573504e-16	8.004978660757395e-18	True	4.3489354428487925e-16	2.732468513679773e-17	True	6.279600824619151e-16	3.5874294802175065e-17	True	9.632346288029432e-17	1.844542375837364e-17	True	4.1591098441868126e-16	2.1892795817058124e-17	True	-1.1612206060487692e-16	7.244073486143127e-14	False	2.31636698481492e-25	2.066936318957839e-14	False	-5.0170501923398255e-17	9.263012823154984e-14	False	8.197070219013694e-22	8.758063176734372e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-05-11_21-50-54_TNG_DOLORES_None.dat	56788.41	2.9547686703082926e-16	1.0213248757183351e-17	True	3.308662367384482e-16	2.7597791305208555e-17	True	5.00582492059045e-16	3.5641027187709194e-17	True	4.8349365784072294e-17	1.7210590423843642e-17	True	3.251975919792736e-16	1.9744728822507716e-17	True	-5.513737529747541e-17	7.262505068465674e-14	False	1.0967202129961608e-27	2.066936318957839e-14	False	-2.780729017719417e-17	9.307861097266664e-14	False	1.725527241754472e-23	8.758063176734489e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2014G/2014G_2014-05-29_21-32-50_TNG_DOLORES_None.dat	56806.4	2.3675603186848115e-16	9.421112691166001e-18	True	2.5063837089254944e-16	2.4593077861437618e-17	True	3.9885304606508983e-16	3.531148028208485e-17	True	2.2251749640010423e-17	1.647150023221945e-17	True	2.467726129502191e-16	1.922027128679719e-17	True	-2.2823883779517317e-17	7.266588674357643e-14	False	2.561233938562027e-30	2.066936318957839e-14	False	-1.3356548637496237e-17	9.319876754058116e-14	False	2.1609119386892234e-25	8.758063176734489e-15	False
