MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56668.600099999996	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.6501	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.7001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.750100000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.80010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.85010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.90010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56668.95010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.00010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.05010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.100100000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.15010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.20010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.250100000034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.30010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.35010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.40010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.450100000045	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.50010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.55010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56669.600100000054	nan	nan	nan	nan	nan	nan	nan	nan	4.539665359343338e-16	3.374178334475525e-17	nan	nan	nan	nan	nan	nan	nan	nan
56669.65010000006	nan	nan	1.892287600323829e-16	2.628731263837538e-17	nan	nan	nan	nan	6.789677193576978e-16	3.272609323670452e-17	nan	nan	nan	nan	nan	nan	6.225076896394759e-16	1.5318672128550547e-16
56669.70010000006	nan	nan	2.2197582270365156e-16	2.595173640520455e-17	nan	nan	nan	nan	9.032140172223967e-16	3.3346185039960734e-17	nan	nan	nan	nan	nan	nan	8.797775635794475e-16	1.6156337695787782e-16
56669.75010000006	nan	nan	2.547526331957489e-16	2.57692052097684e-17	nan	nan	nan	nan	1.1259623434861884e-15	3.5250267299743685e-17	nan	nan	nan	nan	nan	nan	1.1368201206532551e-15	1.7907788542869655e-16
56669.800100000066	nan	nan	2.8753818233839407e-16	2.5729493342397388e-17	nan	nan	nan	nan	1.346598740951472e-15	3.8025647114174805e-17	nan	nan	nan	nan	nan	nan	1.3915684745080174e-15	2.0053913059340758e-16
56669.85010000007	nan	nan	3.203121503163473e-16	2.5820368538541854e-17	nan	nan	nan	nan	1.5646103199734986e-15	4.131696909164051e-17	nan	nan	nan	nan	nan	nan	1.6421652431231724e-15	2.2285768209575297e-16
56669.90010000007	nan	nan	3.530567927969334e-16	2.6028101703946616e-17	nan	nan	nan	nan	1.7795817185163874e-15	4.4864193654923846e-17	nan	nan	nan	nan	nan	nan	1.88727258904372e-15	2.444091401633734e-16
56669.950100000075	nan	nan	3.857551874968305e-16	2.6338235930099927e-17	nan	nan	nan	nan	1.991112422419989e-15	4.8493981370021043e-17	nan	nan	nan	nan	nan	nan	2.1260504877248808e-15	2.6438043529703595e-16
56670.00010000008	nan	nan	4.1839041964899304e-16	2.6736249917444632e-17	nan	nan	nan	nan	2.198906610810824e-15	5.2093326736220284e-17	nan	nan	nan	nan	nan	nan	2.357676964126455e-15	2.8249815627185035e-16
56670.05010000008	nan	nan	4.509467590203038e-16	2.7208002787360027e-17	nan	nan	nan	nan	2.4027308884288113e-15	5.559059750173354e-17	nan	nan	nan	nan	nan	nan	2.5814013979293386e-15	2.9877634265379555e-16
56670.10010000008	nan	nan	4.834109610589503e-16	2.774004225216887e-17	nan	nan	nan	nan	2.602352703366564e-15	5.89431430104015e-17	nan	nan	nan	nan	nan	nan	2.7969503949698065e-15	3.132093596043534e-16
56670.150100000086	nan	nan	5.157700941968287e-16	2.8319963812594514e-17	nan	nan	nan	nan	2.7975539354078154e-15	6.212706759085206e-17	nan	nan	nan	nan	nan	nan	3.0042399302349844e-15	3.2584489877775167e-16
56670.20010000009	nan	nan	5.480112265508913e-16	2.8936557682354004e-17	nan	nan	nan	nan	2.988212244385401e-15	6.512717876320224e-17	nan	nan	nan	nan	nan	nan	3.20318377092964e-15	3.3684271287405844e-16
56670.25010000009	nan	nan	5.801214264563011e-16	2.957984761673661e-17	nan	nan	nan	nan	3.1742443061034244e-15	6.793576889485728e-17	nan	nan	nan	nan	nan	nan	3.3936929342339664e-15	3.464527687948871e-16
56670.300100000095	nan	nan	6.12088623745746e-16	3.0241019699522617e-17	nan	nan	nan	nan	3.3555668999668666e-15	7.0551932994161e-17	nan	nan	nan	nan	nan	nan	3.575728551639262e-15	3.549397605509596e-16
56670.3501000001	nan	nan	6.439033541861379e-16	3.091226441419574e-17	nan	nan	nan	nan	3.5320968003342464e-15	7.29798446816316e-17	nan	nan	nan	nan	nan	nan	3.749503909077823e-15	3.623630000895622e-16
56670.4001000001	nan	nan	6.755566438866444e-16	3.158679748209765e-17	nan	nan	nan	nan	3.7037583073217206e-15	7.52269377803918e-17	nan	nan	nan	nan	nan	nan	3.915306266373043e-15	3.6875880564927233e-16
56670.450100000104	nan	nan	7.070395184843927e-16	3.225878578271043e-17	nan	nan	nan	nan	3.870543414273601e-15	7.729832869926404e-17	nan	nan	nan	nan	nan	nan	4.073420248854243e-15	3.7422526349280835e-16
56670.50010000011	nan	nan	7.383430031287225e-16	3.292324544951536e-17	nan	nan	nan	nan	4.0324799393609994e-15	7.919877605402336e-17	nan	nan	nan	nan	nan	nan	4.224127918987521e-15	3.7892366172068464e-16
56670.55010000011	nan	nan	7.694581224504413e-16	3.357594348863315e-17	nan	nan	nan	nan	4.1895960160104125e-15	8.093512684698985e-17	nan	nan	nan	nan	nan	nan	4.367708862662991e-15	3.830734158816321e-16
56670.60010000011	nan	nan	8.003759478112211e-16	3.421330350326024e-17	nan	nan	nan	nan	4.341919792787723e-15	8.251608362763742e-17	nan	nan	nan	nan	nan	nan	4.504446039289483e-15	3.869087869429004e-16
56670.650100000115	nan	nan	8.310891877715533e-16	3.4832229586128535e-17	nan	nan	nan	nan	4.48947939896352e-15	8.395196822067879e-17	nan	nan	nan	nan	nan	nan	4.634668637636143e-15	3.9043302655615377e-16
56670.70010000012	nan	nan	8.615925689357799e-16	3.543001146013615e-17	nan	nan	nan	nan	4.632303211678686e-15	8.525445616943129e-17	nan	nan	nan	nan	nan	nan	4.758727955425879e-15	3.9355643947305036e-16
56670.75010000012	nan	nan	8.918809417777636e-16	3.6004373116626286e-17	nan	nan	nan	nan	4.770442144975327e-15	8.643294178857617e-17	nan	nan	nan	nan	nan	nan	4.876973379058732e-15	3.962427060809474e-16
56670.800100000124	nan	nan	9.219491561684752e-16	3.6553425708933016e-17	nan	nan	nan	nan	4.903987867224212e-15	8.749162754313772e-17	nan	nan	nan	nan	nan	nan	4.989752310807546e-15	3.9851875688269854e-16
56670.85010000013	nan	nan	9.517920613280026e-16	3.707562024366269e-17	nan	nan	nan	nan	5.0330363594423346e-15	8.843512376209343e-17	nan	nan	nan	nan	nan	nan	5.0974102770511836e-15	4.0047713182454596e-16
56670.90010000013	nan	nan	9.814045058382977e-16	3.7569706608055827e-17	nan	nan	nan	nan	5.157683584241944e-15	8.92691400636362e-17	nan	nan	nan	nan	nan	nan	5.200291036049144e-15	4.0227202262210966e-16
56670.95010000013	nan	nan	1.010781337609059e-15	3.803469818521775e-17	nan	nan	nan	nan	5.278025505125843e-15	9.000048798999316e-17	nan	nan	nan	nan	nan	nan	5.29873641951532e-15	4.0410737009853953e-16
56671.000100000136	nan	nan	1.0399174043482702e-15	3.84698412793325e-17	nan	nan	nan	nan	5.394158088862193e-15	9.063704686230742e-17	nan	nan	nan	nan	nan	nan	5.393056381050683e-15	4.0607070131727843e-16
56671.05010000014	nan	nan	1.068808334051388e-15	3.887453419376822e-17	nan	nan	nan	nan	5.50617729657899e-15	9.118769557807617e-17	nan	nan	nan	nan	nan	nan	5.483501484146972e-15	4.07990061721075e-16
56671.10010000014	nan	nan	1.097452129680543e-15	3.924819365186324e-17	nan	nan	nan	nan	5.6141792217996215e-15	9.166214596984499e-17	nan	nan	nan	nan	nan	nan	5.570314389223161e-15	4.0970599363190154e-16
56671.150100000144	nan	nan	1.125847243539353e-15	3.9590371944222545e-17	nan	nan	nan	nan	5.718269011398547e-15	9.206662994640315e-17	nan	nan	nan	nan	nan	nan	5.6537364527420514e-15	4.111190755484756e-16
56671.20010000015	nan	nan	1.1539921272239388e-15	3.990077384594841e-17	nan	nan	nan	nan	5.818566869108817e-15	9.240107330032962e-17	nan	nan	nan	nan	nan	nan	5.7340078022877004e-15	4.1219834867205204e-16
56671.25010000015	nan	nan	1.1818852316041751e-15	4.01792441631819e-17	nan	nan	nan	nan	5.915194411969413e-15	9.266558953520455e-17	nan	nan	nan	nan	nan	nan	5.811367411332516e-15	4.1298384686486753e-16
56671.30010000015	nan	nan	1.2095250068229436e-15	4.042575709140421e-17	nan	nan	nan	nan	6.008273247816953e-15	9.286127105196256e-17	nan	nan	nan	nan	nan	nan	5.886053173720047e-15	4.13583583834273e-16
56671.350100000156	nan	nan	1.2369099022983798e-15	4.06404071295345e-17	nan	nan	nan	nan	6.09792499784633e-15	9.299028122275141e-17	nan	nan	nan	nan	nan	nan	5.958301977873027e-15	4.141648327392419e-16
56671.40010000016	nan	nan	1.2640383667096277e-15	4.082340133061571e-17	nan	nan	nan	nan	6.184271268113055e-15	9.305590675308534e-17	nan	nan	nan	nan	nan	nan	6.028348691719759e-15	4.149339576246124e-16
