MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56946.50290000001	8.145461756857044e-16	4.7561385049464115e-18	4.955696419273452e-16	2.97764011741415e-18	6.631180227329089e-16	4.620267119342108e-18	nan	nan	5.199892524696653e-16	3.5511191237770146e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.55290000001	8.619003246894161e-16	5.1136049280424495e-18	5.252413936848094e-16	3.2077355231407904e-18	6.993849941159029e-16	4.929037180080599e-18	nan	nan	5.388837688380715e-16	3.7670483932084784e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.60290000001	9.08360105485181e-16	5.467512518962006e-18	5.542272558999446e-16	3.4325820263712473e-18	7.352238444587993e-16	5.242650815830886e-18	nan	nan	5.55311414405389e-16	3.9923911968793645e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.652900000016	9.538864387580454e-16	5.814667474611987e-18	5.825048146659124e-16	3.650671702366446e-18	7.706111989403286e-16	5.556950078186601e-18	nan	nan	5.697369349801366e-16	4.182287451583863e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.70290000002	9.984490128233411e-16	6.153095356861865e-18	6.100571996787196e-16	3.861221479387683e-18	8.055250609315408e-16	5.868985046082588e-18	nan	nan	5.826184538756338e-16	4.333943219411613e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.75290000002	1.0420354242847198e-15	6.481431155970001e-18	6.368811708542339e-16	4.06370129741265e-18	8.399436313718156e-16	6.176708044220142e-18	nan	nan	5.94414071992523e-16	4.48764448174943e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.802900000024	1.0846354407296489e-15	6.798968111679459e-18	6.629755333743033e-16	4.257957627778835e-18	8.738506586479224e-16	6.47863190336582e-18	nan	nan	6.055373474705952e-16	4.693136801510026e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.85290000003	1.1262388148912419e-15	7.105516862386108e-18	6.883390814286262e-16	4.444154714145017e-18	9.072359537236645e-16	6.773649917203857e-18	nan	nan	6.16147353843345e-16	4.913770279858434e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.90290000003	1.1668362410907865e-15	7.401242956615722e-18	7.129710097162772e-16	4.622678280445407e-18	9.400896277399268e-16	7.061027355185236e-18	nan	nan	6.263128994181135e-16	5.097113336154222e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56946.95290000003	1.2064290737806827e-15	7.686254878114893e-18	7.368770669283916e-16	4.79381120194741e-18	9.724017838080642e-16	7.340319090527549e-18	nan	nan	6.361026793993679e-16	5.223114851213028e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.002900000036	1.245025333858001e-15	7.960674030737524e-18	7.600682615999473e-16	4.957754448984297e-18	1.0041631390579604e-15	7.611286669784573e-18	nan	nan	6.455853828394918e-16	5.307555819168348e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.05290000004	1.282633129681707e-15	8.224810119263709e-18	7.82555740230408e-16	5.1148288341974665e-18	1.035369710623556e-15	7.873719200072345e-18	nan	nan	6.548296947495861e-16	5.398446350008972e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.10290000004	1.3192605547059331e-15	8.479133201722709e-18	8.043506387218897e-16	5.265464635793653e-18	1.0660201957523697e-15	8.127471492226754e-18	nan	nan	6.639023514788928e-16	5.559756198497667e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.152900000045	1.3549156876136547e-15	8.724247677916138e-18	8.254640825468832e-16	5.410186265274516e-18	1.096113304211823e-15	8.372512941731984e-18	nan	nan	6.7283372167414275e-16	5.7865504991524635e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.20290000005	1.3896078539418406e-15	8.960789615848667e-18	8.459076317293932e-16	5.54955217772497e-18	1.1256477373471778e-15	8.60890831695603e-18	nan	nan	6.816219205384685e-16	6.013790417480319e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.25290000005	1.4233526694975862e-15	9.189089026887631e-18	8.656961449122364e-16	5.683850461440303e-18	1.1546221880636488e-15	8.83680185635634e-18	nan	nan	6.902639439033997e-16	6.192401057344427e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.30290000005	1.4561677014419294e-15	9.409437468345883e-18	8.848459621768225e-16	5.8132802330197225e-18	1.1830360935735708e-15	9.056371446693966e-18	nan	nan	6.987567847153508e-16	6.299475400969017e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.352900000056	1.4880705035441811e-15	9.622208581198142e-18	9.03373421187853e-16	5.9381028456665985e-18	1.2108925548476591e-15	9.267691340252031e-18	nan	nan	7.070974337675072e-16	6.339852678497052e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.40290000006	1.5190786158108158e-15	9.827853332713533e-18	9.21294850220019e-16	6.058641162192243e-18	1.2381957825225356e-15	9.470836761077122e-18	nan	nan	7.152828798589303e-16	6.345639546389262e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.45290000006	1.54920956474908e-15	1.0026894357276716e-17	9.386265684124508e-16	6.175276494508292e-18	1.2649499791385704e-15	9.665927846084662e-18	nan	nan	7.233101090944938e-16	6.3731547183235475e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.502900000065	1.5784808636159575e-15	1.021991936355619e-17	9.5538488600375e-16	6.288444016328346e-18	1.2911593389297922e-15	9.85312551824597e-18	nan	nan	7.311761506118347e-16	6.492163256553498e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.55290000007	1.6069102602654555e-15	1.0407519950402847e-17	9.715861121331736e-16	6.398603382623827e-18	1.3168280478849954e-15	1.0032627703565375e-17	nan	nan	7.388807027255038e-16	6.720552822340934e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.60290000007	1.6345172395001646e-15	1.0589959696391522e-17	9.87246642955167e-16	6.505961409555935e-18	1.3419602838130262e-15	1.0204665772229105e-17	nan	nan	7.464275724826969e-16	6.994005782662887e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
