spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10202014.txt	56950.15	2.3623621573322716e-15	1.7004345550844033e-17	True	1.380650436077526e-15	1.0119627171480307e-17	True	2.081580987288901e-15	1.2875423297491152e-17	True	6.550436789775866e-16	1.1966810676929265e-17	True	1.0038942317602775e-15	1.1502730649612793e-18	True	2.1247585161520214e-15	9.276916663523981e-17	True	5.302031078477459e-15	2.673570149933676e-16	True	1.2639614148107024e-14	1.2760055806899878e-15	False	1.0245900517327568e-14	4.1369485815200486e-16	True	1.744040564877261e-14	8.19841026639646e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10212014.txt	56951.19	2.487265133811335e-15	1.9257211209131447e-17	True	1.4542714936027272e-15	1.0774403948977681e-17	True	2.196553295616728e-15	1.4214052883546842e-17	True	6.656893514483705e-16	9.60485596760152e-18	True	1.078897012071516e-15	4.3075777116977244e-18	True	2.245288454680688e-15	8.046458054467558e-17	True	5.268492196649262e-15	1.8080423669629584e-16	True	1.1600605273225697e-14	9.397369772850211e-16	True	9.319105493035453e-15	2.9956268134336316e-16	True	1.4628697932393836e-14	4.945769990990463e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10222014.txt	56952.16	2.575242008819652e-15	2.1875954217593788e-17	True	1.5103762583110928e-15	1.159008938848081e-17	True	2.254968146821924e-15	1.6015290064824445e-17	True	6.757512343512473e-16	7.83365863775223e-18	True	1.1373302601456293e-15	7.61446305708674e-18	True	2.332375611635895e-15	7.465665429291194e-17	True	5.110351274022543e-15	1.705525796522655e-16	True	1.0521078532824971e-14	6.71990261529334e-16	True	8.416372446080341e-15	2.442533718820598e-16	True	1.189749251319513e-14	4.015104499670541e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10232014.txt	56953.17	2.641671988887114e-15	2.4864161690454266e-17	True	1.5564014394122396e-15	1.2557158873358401e-17	True	2.2840723806603874e-15	1.7842926182478006e-17	True	6.862984385178475e-16	6.560504590006619e-18	True	1.1869690715457595e-15	9.377782081532504e-18	True	2.394715710965563e-15	7.294213859552163e-17	True	4.890905576943732e-15	1.780083331040854e-16	True	9.280453958054885e-15	4.646103258429972e-16	True	7.46282139773147e-15	2.1942160473388355e-16	True	9.452188471565872e-15	3.9051323845547865e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10242014.txt	56954.17	2.678695201780954e-15	2.793652517030625e-17	True	1.586197475791626e-15	1.3763903193297014e-17	True	2.292915900132916e-15	2.054690960185755e-17	True	6.965813329817515e-16	5.9300593339415364e-18	True	1.224528990720359e-15	1.0586806260625174e-17	True	2.430634413484895e-15	7.346016656556553e-17	True	4.668564399714088e-15	1.724819586721131e-16	True	8.000935433360774e-15	3.2819212028327707e-16	True	6.5373844496341434e-15	2.0406451554881027e-16	True	7.582341373442165e-15	3.5046302204883647e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10252014.txt	56955.18	2.6875527485257057e-15	3.123109471324159e-17	True	1.5984325181350456e-15	1.6086843752518295e-17	True	2.28835653307861e-15	2.5105229574194308e-17	True	7.066075924199582e-16	5.8418474497066236e-18	True	1.2507349739981196e-15	1.2469395754332588e-17	True	2.446027013709718e-15	7.518771783071278e-17	True	4.468210685890772e-15	1.6088333738119168e-16	True	6.7750376651953466e-15	2.56534039823866e-16	True	5.65798600332848e-15	1.9188012879343853e-16	True	6.132089036920973e-15	2.962590015360169e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_10272014.txt	56957.13	2.6432640355989674e-15	3.4931939260889924e-17	True	1.5901902863424851e-15	1.9322360677466642e-17	True	2.25193418350523e-15	3.206689481272272e-17	True	7.249892238741896e-16	6.4616900581995895e-18	True	1.2785310630617537e-15	1.5223565778258605e-17	True	2.434115344054775e-15	8.108007128336595e-17	True	4.0651206997017206e-15	2.0782120570254917e-16	True	4.768720111163294e-15	2.582354693979524e-16	True	4.1568694037742625e-15	1.906510867720138e-16	True	4.396802790605291e-15	3.8301387019750457e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_11202014.txt	56981.09	1.6497371659330167e-15	3.989498700091335e-17	True	1.5203165943783997e-15	2.3927076248317755e-17	True	1.727610533148516e-15	2.9975371841545325e-17	True	8.731687039849353e-16	9.813695449103437e-18	True	1.3620797511454847e-15	2.0331682504332964e-17	True	7.284038216416961e-16	1.9928559434867306e-16	False	8.209147713309281e-16	7.45912678244334e-17	True	-9.182609741892415e-17	3.3333681737925923e-15	False	7.64700341750211e-17	1.850605094890176e-15	False	9.4486250302118e-17	6.9929701008739684e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_fast_12202014.txt	57011.08	1.4341311634523031e-15	5.804508928602081e-17	True	1.6018199028130331e-15	4.278382755084598e-17	True	1.6394518534021044e-15	4.538235049969727e-17	True	9.685389676122736e-16	1.1615224762373098e-17	True	1.4235846319089504e-15	3.4578949303749144e-17	True	1.0977991291431554e-17	2.3164051074291554e-16	False	3.274846819338921e-17	1.6736668041062313e-15	False	-1.577375796023543e-16	1.1519112795392064e-14	False	-2.7584610936809776e-16	9.47183262976007e-15	False	1.2811889016423666e-17	1.9408451281400642e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//ASASSN14jb/asassn14jb_imacs_01042015.txt	57026.55	1.2031990516439357e-15	1.683677612511993e-16	True	1.3865628821927147e-15	1.1729749745595408e-16	True	1.4464863362725942e-15	1.3519386311922401e-16	False	9.341790930976908e-16	3.080281119307413e-17	False	1.2644320630667515e-15	9.680736466399108e-17	False	9.985545638331556e-19	2.3164959324239937e-16	False	3.2579658360848585e-18	1.6771526698318829e-15	False	-1.1565743957102546e-16	1.3001963588605977e-14	False	-2.964918203386053e-16	1.2131748366904955e-14	False	4.427879387216782e-18	2.0671558447909907e-14	False
