time,mag,mag_err
54916.05,-17.411970119180193,0.0
54916.25,-17.488567566999574,0.0
54916.55,-17.531831764368576,0.0
54918.03,-17.89399586805788,0.0
54920.0,-18.130544820265904,0.0
54921.98,-18.030587048477877,0.00022671778367609074
54923.95,-18.22048090253806,0.0003556193859816167
54925.93,-18.040432907467594,0.00045285841737978264
54927.9,-17.940680945572094,0.0004493575359497728
54929.88,-17.81616777285783,0.00045945861703584705
54931.85,-17.65289822240983,0.0004044333825885535
54933.83,-17.434914528393254,1.245593366084972e-06
54935.92,-17.09898248321267,0.00018916479106846762
54937.91,-16.868122376029028,0.0006572671706171744
54939.9,-16.613792585915107,0.0006703097101654084
54941.89,-16.362106919132813,0.0007739864974661316
54943.89,-16.124522051814875,0.0009272588411117171
54945.88,-15.913111210383144,0.0013521795296529623
54947.87,-15.772596608841365,0.0014783794151337344
54949.86,-15.381333813632349,0.000327274842602745
54952.0,-15.443460636839824,0.00035024761430785554
54953.0,-15.343523578679912,0.00033930221976085815
54954.85,-15.288318562003656,0.00019422153141716102
54956.88,-15.057470064577132,0.0004769490879899401
54958.9,-14.885324639266049,0.0006752602831285014
54960.93,-14.737884436553205,0.001262775860004245
54962.95,-14.639433524781364,0.0017226638424324865
54964.97,-14.589791659055722,0.0020567993323793218
54967.0,-14.513879166099034,5.4487788245945575e-06
54969.0,-14.611658706618162,0.0022184488079800883
54971.0,-14.683116848505588,0.002340235942509855
54973.0,-14.652257217034139,0.00179627622190846
54975.0,-14.478066308113032,0.0018608072564144172
54977.0,-14.406852350242012,0.000861490681494654
54979.0,-14.397370599879714,2.8281695918017612e-05
54980.0,-14.390504186722719,2.9253446995134957e-06
54981.55,-14.403009328643723,0.0009314435094919689
54983.1,-14.39454934013943,2.3048676399442365e-06
54985.1,-14.412387918889202,0.0011568553253131827
54987.1,-14.383574172327041,0.0010759211518929714
54989.1,-14.359075527244332,0.0013239294927832133
54991.1,-14.34251794526256,0.0018414182710330997
54993.1,-14.335277001308715,0.0023428532347696874
54995.1,-14.336979762503827,0.0027123082467281224
54997.11,-14.346000115198873,0.0029086615163471576
54999.11,-14.360084359952959,0.002930643328199635
55001.11,-14.377601718048874,0.0028167357226550178
55003.11,-14.397845201348416,0.002616993703327125
55005.11,-14.421819403618095,0.00235640739270402
55007.11,-14.451522665492849,0.0020318140985128327
55009.11,-14.355072942476932,0.00036476246289952213
55011.1,-14.473569870309024,0.0023156271851164454
55013.1,-14.476848295170559,0.0028476804576297245
55015.09,-14.48713303368946,0.0032558357719402243
55017.08,-14.502425950344442,0.0035477315790870038
55019.07,-14.52133588377755,0.003720934739598597
55021.07,-14.540598212250927,0.003797281449252834
55023.06,-14.558923545235537,0.0037481379818934415
55025.05,-14.575093585466119,0.0035722667422445047
55027.04,-14.588238008159298,0.0032795512630601075
55029.04,-14.596979490103186,0.002892014943690444
55031.03,-14.606076334844529,2.330776856988763e-06
55032.96,-14.555124219573937,0.002379565944345988
55034.88,-14.546730612136418,0.0024254084784580895
55036.81,-14.535837642011026,0.002238703785324041
55038.73,-14.56327259290816,0.0018519072200669686
55040.66,-14.551360350580776,0.001426671543699192
55042.59,-14.479141414548724,0.0015433366118742502
55044.51,-14.39310159770253,0.0022134858724188735
55046.44,-14.291133134957718,0.0015658662775709278
55048.37,-14.157794105693366,0.0011385402732322087
55050.29,-13.924568442750683,0.0021179167082562133
55052.22,-13.541737240530088,0.003510244909282645
55054.14,-12.968510729852582,0.005823466916884692
55056.07,-12.103235988784338,0.0010783309237852856
55057.03,-11.893999457662623,0.0001346738399269419
55059.03,-11.952853146620797,0.0032221811921117264
55061.04,-11.879469367800263,0.0031775783414972497
55063.04,-11.83986290775998,0.0016928236442927873
55065.04,-11.83953775389564,0.002299024057170741
55067.05,-11.830038389070147,0.002775220866973436
55069.05,-11.848363339828108,0.0033222059359532285
55071.06,-11.860584949573848,0.003540949026598847
55073.06,-11.828483390845747,0.0030195492671946183
55075.06,-11.793681603836266,0.0035488146809633725
55077.07,-11.738090115730923,0.004590062979031542
55079.07,-11.884656833667258,0.000888539058778121
55081.12,-11.542367314680103,0.006045829987140897
55083.17,-11.520790208954729,0.007241423670211072
55085.22,-11.458480870000358,0.007940591177785923
55087.28,-11.394016490263928,0.008501768181779844
55089.33,-11.33590883286724,0.008931728154798327
55091.38,-11.283037970808753,0.009240059163154637
55093.43,-11.23515861406435,0.00942644252033022
55095.48,-11.192317513390886,0.0094921728720031
55097.54,-11.162944337918372,0.009456272549251528
55099.59,-11.130376182609654,0.009291382217899836
55101.64,-11.103559388028543,0.009022902012248039
55103.69,-11.082719604850125,0.008665107359546521
55105.74,-11.067443304648597,0.008237708060486558
55107.79,-11.056643998804905,0.007767548797235032
55109.85,-11.048048628716188,0.007286016104485464
55111.9,-11.037954165868575,0.0068286771933126125
55113.95,-11.035738494208772,0.0064910666819158495
55116.0,-11.288764714824712,0.002320870746015712
