MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err
55645.10000000009	2.5661615598793747e-17	5.194797338182832e-18	9.45250863532614e-18	1.2044188291271193e-18	3.556689546058987e-17	6.450651042877981e-18	nan	nan	1.0621361744478674e-16	2.612143760157342e-17	2.1351435224396568e-17	1.7699082885431255e-18	2.9618710311646895e-17	1.0948015830283795e-18	5.105521481597541e-17	2.217125717226414e-18	nan	nan	nan	nan
55645.150000000096	2.786567870736461e-17	5.5359901517027815e-18	1.024120938915001e-17	1.2765365949104207e-18	3.756218129311687e-17	6.4734075938372295e-18	nan	nan	1.0825053864792003e-16	2.6027005013478367e-17	2.321057961125251e-17	1.8497102840498473e-18	3.181013164015184e-17	1.1365998231940068e-18	5.468754313940289e-17	2.3067883047734887e-18	nan	nan	nan	nan
55645.2000000001	3.0077164578292567e-17	5.876970778399469e-18	1.1031102499100578e-17	1.3490920629025031e-18	3.955955131698259e-17	6.502237833492512e-18	nan	nan	1.1028884946908649e-16	2.5934473089168405e-17	2.5077603166230622e-17	1.919939599763517e-18	3.399613242809541e-17	1.1733170479248256e-18	5.831098269725261e-17	2.3883882422188797e-18	nan	nan	nan	nan
55645.2500000001	3.2295998017764574e-17	6.216706488578598e-18	1.1822165009476076e-17	1.4217773155524314e-18	4.1558877827596927e-17	6.536840655595074e-18	nan	nan	1.123285208052247e-16	2.5843834944967776e-17	2.6952600587677908e-17	1.9817163917064076e-18	3.6175618549775014e-17	1.2060348008136455e-18	6.19234588101314e-17	2.464193365355139e-18	nan	nan	nan	nan
55645.300000000105	3.452210388869307e-17	6.554442143144788e-18	1.2614373966679993e-17	1.4943553968845643e-18	4.356003312364965e-17	6.576910972089993e-18	nan	nan	1.143695235546205e-16	2.575508337949577e-17	2.8835666631284266e-17	2.036264065375882e-18	3.834749583804384e-17	1.2360315014825667e-18	6.55228966870999e-17	2.5368717459703655e-18	nan	nan	nan	nan
55645.35000000011	3.675540711009572e-17	6.8896292657980396e-18	1.3407706419160368e-17	1.5666437796259088e-18	4.5562889506916844e-17	6.622142380368562e-18	nan	nan	1.1641182861536619e-16	2.5668210873236693e-17	3.0726896110742896e-17	2.0849024011904087e-18	4.051067007739318e-17	1.2647779543730028e-18	6.910722140491912e-17	2.6094594728064034e-18	nan	nan	nan	nan
55645.40000000011	3.899583265648844e-17	7.22187514276331e-18	1.4202139417409805e-17	1.6385019695731736e-18	4.756731928209005e-17	6.672229613976398e-18	nan	nan	1.1845540688625867e-16	2.558320958863252e-17	3.2626383898410705e-17	2.129036022719593e-18	4.266404699707017e-17	1.2939236640379337e-18	7.26743578871134e-17	2.6853079044275656e-18	nan	nan	nan	nan
55645.45000000011	4.124330555724318e-17	7.550905873686899e-18	1.4997650013868734e-17	1.7098221846657052e-18	4.957319475648597e-17	6.72687074491761e-18	nan	nan	1.2050022926649748e-16	2.5500071369988774e-17	3.453422492597748e-17	2.1701364174214087e-18	4.480653226421341e-17	1.3252679724159298e-18	7.622223088280058e-17	2.768000902041291e-18	nan	nan	nan	nan
55645.50000000012	4.3497750895994813e-17	7.87653921509975e-18	1.5794215262923515e-17	1.7805223068484867e-18	5.1580388239875536e-17	6.785769118916262e-18	nan	nan	1.2254626665599064e-16	2.5418787743953594e-17	3.6450514185114246e-17	2.2097159973698023e-18	4.693703147664213e-17	1.3607114546993195e-18	7.974876494616445e-17	2.8612378141588805e-18	nan	nan	nan	nan
55645.55000000012	4.5759093810011613e-17	8.198664362241757e-18	1.6591812220843862e-17	1.8505405153680664e-18	5.3588772044238846e-17	6.848635015064877e-18	nan	nan	1.2459348995481654e-16	2.53393499205375e-17	3.8375346728142456e-17	2.2492932359024534e-18	4.905445015627595e-17	1.402186225599197e-18	8.32518844153059e-17	2.968685929440016e-18	nan	nan	nan	nan
55645.60000000012	4.8027261592086654e-17	8.517206798026966e-18	1.7390419127032753e-17	1.919828397978336e-18	5.559822451382833e-17	6.915185087445872e-18	nan	nan	1.2664187034166513e-16	2.5261748321785213e-17	4.030877590018823e-17	2.2900475244703263e-18	5.115795544550768e-17	1.4513235979613604e-18	8.672996076301119e-17	3.0933058059105065e-18	nan	nan	nan	nan
55645.650000000125	5.0302189997466856e-17	8.832057116827493e-18	1.819001894785969e-17	1.988339478233587e-18	5.760864811558412e-17	6.98513767268845e-18	nan	nan	1.2869138010719483e-16	2.5185971168631694e-17	4.2250688033911404e-17	2.331883687716877e-18	5.32477612125905e-17	1.5086475953560093e-18	9.018315469601281e-17	3.2357058531377374e-18	nan	nan	nan	nan
55645.70000000013	5.2583816935801016e-17	9.143122366510784e-18	1.899059583274968e-17	2.056035119070478e-18	5.961995134838976e-17	7.058219574806549e-18	nan	nan	1.3074199182079563e-16	2.511200589980893e-17	4.420092775428802e-17	2.3743577904064625e-18	5.5324342942254664e-17	1.5743147092486614e-18	9.361207404084821e-17	3.3957064109793952e-18	nan	nan	nan	nan
55645.75000000013	5.487208036808745e-17	9.450339608914714e-18	1.9792133932876417e-17	2.122885423456494e-18	6.163204271252844e-17	7.13416874085422e-18	nan	nan	1.3279367805196591e-16	2.5039839647637386e-17	4.615933974597638e-17	2.4170133150642244e-18	5.73881760354984e-17	1.6483883953020092e-18	9.701732637812661e-17	3.572931613433208e-18	nan	nan	nan	nan
55645.800000000134	5.716691830619727e-17	9.753670938949225e-18	2.059461740114711e-17	2.1888677537653062e-18	6.364483070957981e-17	7.21273477442545e-18	nan	nan	1.3484641137078483e-16	2.4969459243445812e-17	4.812576875214955e-17	2.4594090638620305e-18	5.943973581215435e-17	1.7308664032326612e-18	1.0039951904888207e-16	3.766882768647348e-18	nan	nan	nan	nan
55645.85000000014	5.946826881231237e-17	1.005309953301153e-17	2.1398030392137983e-17	2.253965548984415e-18	6.565822384235547e-17	7.293679256818448e-18	nan	nan	1.3690016434753279e-16	2.4900851221920295e-17	5.0100059573372755e-17	2.5011407992471957e-18	6.147949751410416e-17	1.8217042318248677e-18	1.0375925915998771e-16	3.976998276385137e-18	nan	nan	nan	nan
55645.90000000014	6.177606999843827e-17	1.0348626485162837e-17	2.220235706208103e-17	2.3181673737479322e-18	6.76721306145604e-17	7.376775901282589e-18	nan	nan	1.3895490955307487e-16	2.4834001826689895e-17	5.208205706642715e-17	2.541857504860349e-18	6.35079363083511e-17	1.920833617296591e-18	1.0709715359078417e-16	4.20269860465417e-18	nan	nan	nan	nan
55645.95000000014	6.40902600258923e-17	1.0640268250937904e-17	2.3007581568867772e-17	2.3814661478623374e-18	6.96864595307993e-17	7.461810564879902e-18	nan	nan	1.4101061955844648e-16	2.476889701591394e-17	5.4071606143195983e-17	2.581273175161638e-18	6.552552728975516e-17	2.0281758465023518e-18	1.1041380899862792e-16	4.4434172035659125e-18	nan	nan	nan	nan
55646.000000000146	6.641077710476227e-17	1.0928054562897297e-17	2.3813688071958244e-17	2.4438585176260615e-18	7.17011190962671e-17	7.548581141409474e-18	nan	nan	1.4306726693544183e-16	2.4705522468017043e-17	5.606855176948943e-17	2.6191749729642393e-18	6.753274548412342e-17	2.143650325744399e-18	1.1370983182520908e-16	4.698619530941656e-18	nan	nan	nan	nan
55646.05000000015	6.873755949340554e-17	1.1212026715225098e-17	2.4620660732407536e-17	2.5053443393909645e-18	7.371601781678112e-17	7.636897356562237e-18	nan	nan	1.451248242557738e-16	2.4643863587908216e-17	5.807273896390231e-17	2.65542847055328e-18	6.953006120148717e-17	2.2671741780474052e-18	1.1698582280747155e-16	4.9678072281115795e-18	nan	nan	nan	nan
55646.10000000015	7.10705454979331e-17	1.1492236138419835e-17	2.5428483712799418e-17	2.5659262520624686e-18	7.573106419842961e-17	7.726580485011397e-18	nan	nan	1.4718326409153478e-16	2.4583905513313556e-17	6.008401279667725e-17	2.689980532906806e-18	7.151776392831481e-17	2.398474589494228e-18	1.202421688669763e-16	5.250310423939389e-18	nan	nan	nan	nan
55646.150000000154	7.340967347169366e-17	1.1768743203480833e-17	2.6237141177238748e-17	2.6256093210981812e-18	7.774616674755558e-17	7.817463006785718e-18	nan	nan	1.4924255901525455e-16	2.452563312145141e-17	6.210221838855251e-17	2.7228602431903845e-18	7.34959082756675e-17	2.5370373297377236e-18	1.234789792361882e-16	5.5452280320565675e-18	nan	nan	nan	nan
55646.20000000016	7.575488181475541e-17	1.2041616208298601e-17	2.704661729130975e-17	2.6844007393559916e-18	7.976123397048916e-17	7.909388217544425e-18	nan	nan	1.5130268159997395e-16	2.44690310360192e-17	6.412720090960438e-17	2.7541781161914313e-18	7.546453310053738e-17	2.682354174964919e-18	1.2669634440340485e-16	5.8516983022112936e-18	nan	nan	nan	nan
55646.25000000016	7.810610897340107e-17	1.2310930509397287e-17	2.785689622206842e-17	2.742309574327432e-18	8.177617437344436e-17	8.00220980640595e-18	nan	nan	1.5336360441860612e-16	2.4414083634135867e-17	6.61588055781246e-17	2.7841237101448778e-18	7.742367719921112e-17	2.8339471453925223e-18	1.298943546587567e-16	6.168921165953837e-18	nan	nan	nan	nan
55646.30000000016	8.046329343959e-17	1.2576767769850357e-17	2.866796213796858e-17	2.7993465527024187e-18	8.379089646245137e-17	8.095791411617859e-18	nan	nan	1.5542530004476485e-16	2.4360775053802667e-17	6.819687765945498e-17	2.81296163133286e-18	7.937337930736758e-17	2.991371907226626e-18	1.3307310009502596e-16	6.496158062321551e-18	nan	nan	nan	nan
55646.350000000166	8.282637375047984e-17	1.2839215300278216e-17	2.947979920889409e-17	2.855523875124692e-18	8.580530874296309e-17	8.190006163802586e-18	nan	nan	1.5748774105211824e-16	2.4309089201359495e-17	7.024126246484958e-17	2.8410258367867126e-18	8.13136781004419e-17	3.154218534342085e-18	1.3623267060835956e-16	6.8327294841297565e-18	nan	nan	nan	nan
55646.40000000017	8.519528848787249e-17	1.3098365474567159e-17	3.029239160605265e-17	2.910855056131172e-18	8.781931972000674e-17	8.284736224034424e-18	nan	nan	1.5955090001474468e-16	2.4259009759404205e-17	7.229180535032249e-17	2.8687120809790447e-18	8.324461219364326e-17	3.322110598819806e-18	1.3937315589920089e-16	7.178011238979412e-18	nan	nan	nan	nan
55646.45000000017	8.756997627774138e-17	1.3354315205482338e-17	3.1105723502030814e-17	2.965354783940107e-18	8.983283789770006e-17	8.379872322990825e-18	nan	nan	1.616147495068039e-16	2.421052019455026e-17	7.434835171550883e-17	2.896468326751862e-18	8.516622014244332e-17	3.494703284011194e-18	1.4249464547300983e-16	7.531430096309486e-18	nan	nan	nan	nan
55646.500000000175	8.995037578967071e-17	1.3607165468122538e-17	3.1919779070714316e-17	3.0190387970972808e-18	9.184577177934811e-17	8.475313306108152e-18	nan	nan	1.6367926210290476e-16	2.41636037655226e-17	7.641074700253013e-17	2.924782956929058e-18	8.707854044258504e-17	3.6716809968162825e-18	1.4559722864120866e-16	7.892459255717116e-18	nan	nan	nan	nan
55646.55000000018	9.233642573639244e-17	1.3857020861768466e-17	3.2734542487253936e-17	3.071923774667923e-18	9.385802986720457e-17	8.570965688281057e-18	nan	nan	1.6574441037781483e-16	2.4118243531372503e-17	7.847883669482133e-17	2.9541706811854762e-18	8.898161153041134e-17	3.852754789899679e-18	1.4868099452190215e-16	8.26061390477622e-18	nan	nan	nan	nan
55646.60000000018	9.472806715694446e-17	1.4103976783057142e-17	3.35499987056613e-17	3.1240253065161955e-18	9.586952539665179e-17	8.666741756703206e-18	nan	nan	1.6781016745010988e-16	2.4074422056668122e-17	8.055248003723335e-17	2.9849918692126905e-18	9.087547178306038e-17	4.037659788753357e-18	1.5174603204073857e-16	8.63544702063395e-18	nan	nan	nan	nan
55646.65000000018	9.712525026731936e-17	1.4348081845296954e-17	3.436613579162661e-17	3.175352018868167e-18	9.788019053952151e-17	8.762554765372941e-18	nan	nan	1.6987650861274303e-16	2.4032120509502042e-17	8.263159119868572e-17	3.016949320177574e-18	9.276015951865209e-17	4.226152737358782e-18	1.5479242993165112e-16	9.016545495309487e-18	nan	nan	nan	nan
55646.700000000186	9.952792760891178e-17	1.458937500531561e-17	3.5182942589645906e-17	3.225911317779239e-18	9.988996220055157e-17	8.858322950872248e-18	nan	nan	1.7194340970231697e-16	2.3991319581933644e-17	8.47160981077988e-17	3.049592698816355e-18	9.463571299666115e-17	4.418009723051913e-18	1.578202767378107e-16	9.403526615571008e-18	nan	nan	nan	nan
55646.75000000019	1.0193605176439704e-16	1.4827897916059908e-17	3.60004079453513e-17	3.275711283389001e-18	1.0189877728288345e-16	8.95397063998875e-18	nan	nan	1.7401084655604604e-16	2.3951999804006735e-17	8.680592873113975e-17	3.0824995483229083e-18	9.650217041788141e-17	4.613024106993618e-18	1.6082966081230369e-16	9.796034899694859e-18	nan	nan	nan	nan
55646.80000000019	1.043495753573409e-16	1.506369486033378e-17	3.6818520705605827e-17	3.324760636704819e-18	1.0390657268792358e-16	9.049427907653783e-18	nan	nan	1.7607879501078064e-16	2.3914141553738643e-17	8.890101107268252e-17	3.115289002572029e-18	9.835956992487887e-17	4.811004665488058e-18	1.63820670318986e-16	1.0193739275230329e-17	nan	nan	nan	nan
55646.850000000195	1.0676845105176895e-16	1.5296812684398324e-17	3.763726971836116e-17	3.373068709456929e-18	1.0591328531535619e-16	9.14463025055948e-18	nan	nan	1.7814723090407584e-16	2.387772506788157e-17	9.100127317323843e-17	3.1476327930140105e-18	1.0020794960210706e-16	5.01177393484149e-18	1.667933932333303e-16	1.0596330573445336e-17	nan	nan	nan	nan
55646.9000000002	1.0919263155180167e-16	1.552730073063429e-17	3.8456643832674725e-17	3.4206454161904224e-18	1.0791885206280797e-16	9.239518276464607e-18	nan	nan	1.8021613007323502e-16	2.384273045239081e-17	9.310664310991831e-17	3.179263929775455e-18	1.0204734747622674e-16	5.215166745845119e-18	1.6974791734320936e-16	1.1003519311641379e-17	nan	nan	nan	nan
55646.9500000002	1.1162206960120259e-16	1.5755210768976996e-17	3.927663189875328e-17	3.467501228840565e-18	1.0992320982596092e-16	9.334037409626804e-18	nan	nan	1.8228546835614229e-16	2.3809137692634576e-17	9.521704899559594e-17	3.2099834358063185e-18	1.0387780151608816e-16	5.421028931038965e-18	1.7268433024966561e-16	1.1415033733575093e-17	nan	nan	nan	nan
55647.000000000204	1.1405671798301154e-16	1.5980596926831955e-17	4.009722276784484e-17	3.513647152636832e-18	1.1192629549832336e-16	9.42813761150888e-18	nan	nan	1.8435522159039143e-16	2.3776926664013617e-17	9.733241897834175e-17	3.2396654765960266e-18	1.056993496332816e-16	5.6292161864672245e-18	1.7560271936774414e-16	1.1830618079367976e-17	nan	nan	nan	nan
55647.05000000021	1.164965295191165e-16	1.6203515616905204e-17	4.0918405292253846e-17	3.55909470356318e-18	1.1392804597111064e-16	9.521773116938207e-18	nan	nan	1.864253656141995e-16	2.374607714267288e-17	9.945268124088845e-17	3.268261167102523e-18	1.0751202968208415e-16	5.839593070766503e-18	1.785031719273396e-16	1.2250031057717056e-17	nan	nan	nan	nan
55647.10000000021	1.1894145706987532e-16	1.642402546291151e-17	4.174016832532786e-17	3.603855886936112e-18	1.1592839813327087e-16	9.614902185109687e-18	nan	nan	1.8849587626552807e-16	2.3716568815678314e-17	1.0157776400006582e-16	3.295801263071204e-18	1.0931587945983261e-16	6.052032124902667e-18	1.8138577497391648e-16	1.2673044496333785e-17	nan	nan	nan	nan
55647.15000000021	1.2139145353366959e-16	1.6642187222602826e-17	4.256250072141777e-17	3.647943176705568e-18	1.179272888711625e-16	9.707486864599989e-18	nan	nan	1.9056672938259422e-16	2.3688381291673693e-17	1.037075955062904e-16	3.3223978635699157e-18	1.111109367071189e-16	6.26641309767995e-18	1.8425061536934884e-16	1.3099442148122912e-17	nan	nan	nan	nan
55647.200000000215	1.238464718465507e-16	1.6858063708089147e-17	4.338539133587588e-17	3.691369495668182e-18	1.1992465506864136e-16	9.799492772324743e-18	nan	nan	1.9263790080383957e-16	2.3661494110686075e-17	1.0584210404297953e-16	3.3482451682633905e-18	1.1289723910796767e-16	6.482622263676141e-18	1.870977797927253e-16	1.3529018634040276e-17	nan	nan	nan	nan
55647.25000000022	1.263064649817966e-16	1.707171970305099e-17	4.4208829025042625e-17	3.734148195813003e-18	1.2192043360682846e-16	9.890888885173683e-18	nan	nan	1.9470936636770574e-16	2.363588675532325e-17	1.0798121792602342e-16	3.37361925344717e-18	1.1467482429007603e-16	6.7005518215233525e-18	1.8992735474118178e-16	1.3961578505134258e-17	nan	nan	nan	nan
55647.30000000022	1.2877138594954454e-16	1.7283221876661954e-17	4.5032802646172625e-17	3.77629303931482e-18	1.2391456136402611e-16	9.981647344160419e-18	nan	nan	1.9678110191282794e-16	2.3611538660126865e-17	1.1012486550323981e-16	3.398876756146648e-18	1.164437298249823e-16	6.9200993624961926e-18	1.927394265305864e-16	1.439693540914204e-17	nan	nan	nan	nan
55647.350000000224	1.3124118779634373e-16	1.749263869412613e-17	4.5857301057468796e-17	3.8178181794112176e-18	1.2590697521569541e-16	1.0071743270125397e-17	nan	nan	1.988530832779575e-16	2.3588429222094682e-17	1.1227297515382307e-16	3.4244522923974083e-18	1.1820399322851001e-16	7.141167399948157e-18	1.9553408129646408e-16	1.4834911348064007e-17	nan	nan	nan	nan
55647.40000000023	1.3371582360479631e-16	1.7700040323412213e-17	4.668231311806721e-17	3.858738141523137e-18	1.2789761203423042e-16	1.0161154590366646e-17	nan	nan	2.0092528630176836e-16	2.356653781036494e-17	1.144254752877998e-16	3.4508543869311006e-18	1.199556519606525e-16	7.36366295206372e-18	1.9831140499471666e-16	1.5275336015860608e-17	nan	nan	nan	nan
55647.45000000023	1.361952464931266e-16	1.7905498538340057e-17	4.7507827687947914e-17	3.8990678041252014e-18	1.298864086888776e-16	1.0249861875709384e-17	nan	nan	2.0299768682306607e-16	2.3545843776416633e-17	1.1658229434547808e-16	3.47865966498376e-18	1.2169874342598136e-16	7.587497170878696e-18	2.0107148340236397e-16	1.5718046206070632e-17	nan	nan	nan	nan
55647.50000000023	1.3867940961479964e-16	1.8109086617540512e-17	4.833383362799377e-17	3.938822379540153e-18	1.318733020456713e-16	1.0337848187063428e-17	nan	nan	2.0507026068088074e-16	2.3526326463522265e-17	1.1874336079691394e-16	3.508505061770871e-18	1.2343330497391283e-16	7.812585011733974e-18	2.0381440211851808e-16	1.616288528077683e-17	nan	nan	nan	nan
55647.550000000236	1.4116826615808703e-16	1.8310879239390472e-17	4.916031979993161e-17	3.978017394428114e-18	1.3385822896727568e-16	1.0425098931076686e-17	nan	nan	2.0714298371425016e-16	2.3507965216110456e-17	1.209086031413551e-16	3.541077846708166e-18	1.2515937389876116e-16	8.038844938239174e-18	2.0654024656494096e-16	1.6609702693745127e-17	nan	nan	nan	nan
55647.60000000024	1.4366177104200255e-16	1.851094355058713e-17	4.998727561012397e-17	4.01666714142198e-18	1.358411299664393e-16	1.051160037924568e-17	nan	nan	2.09215832324027e-16	2.3490739163532186e-17	1.2307796053858386e-16	3.576976793405495e-18	1.26876987440147e-16	8.266198657984243e-18	2.0924910198704678e-16	1.7058353560899004e-17	nan	nan	nan	nan
55647.65000000024	1.4615988600475593e-16	1.8709312618739442e-17	5.081469264109969e-17	4.054780078429956e-18	1.3782196016635852e-16	1.0597335507934262e-17	nan	nan	2.1128878515924442e-16	2.3474626550655412e-17	1.2525141470412722e-16	3.6163236380527976e-18	1.2858618278305077e-16	8.494570885627559e-18	2.1194105345447373e-16	1.750869827294749e-17	nan	nan	nan	nan
55647.700000000244	1.486625745145583e-16	1.8906011910115147e-17	5.1642563019998626e-17	4.0923634135489244e-18	1.3980067834007878e-16	1.0682287926524124e-17	nan	nan	2.1336182143100578e-16	2.3459605426201558e-17	1.2742895801343123e-16	3.659148747880908e-18	1.302869970580701e-16	8.723889129614039e-18	2.1461618586207227e-16	1.796060214486905e-17	nan	nan	nan	nan
55647.75000000025	1.5116980007300073e-16	1.9101068147734688e-17	5.247087887471739e-17	4.129424637171917e-18	1.4177724325695923e-16	1.076644312475148e-17	nan	nan	2.1543492035043007e-16	2.344565387918231e-17	1.296105828698599e-16	3.705527289626909e-18	1.3197946734178403e-16	8.954083500109276e-18	2.1727458393059695e-16	1.8413935098275866e-17	nan	nan	nan	nan
