MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err
55643.55	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.600000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.65000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.70000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.750000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.80000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.85000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.90000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55643.950000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.00000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.05000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.100000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.15000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.20000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.250000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.30000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.35000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.40000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.450000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.50000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55644.55000000006	1.928387790499393e-18	2.5637708212631706e-18	8.620634056106424e-19	6.909327335188223e-19	1.3792835433272948e-17	6.674734368353002e-18	nan	nan	8.390752290933781e-17	2.728729398209854e-17	1.3938437565963017e-18	2.321979102589455e-19	5.4682192901968035e-18	3.779544607107554e-19	1.1106254243187777e-17	8.782579053031023e-19	nan	nan	nan	nan
55644.600000000064	4.0458208784977084e-18	2.5646451377389684e-18	1.6361325232438594e-18	6.883286522346027e-19	1.5756765487375538e-17	6.614778771781181e-18	nan	nan	8.592723738031436e-17	2.717158941936117e-17	3.1725516453552047e-18	3.254707722105378e-19	7.647059187549953e-18	3.906004999819691e-19	1.4699441099696642e-17	8.888468540243448e-19	nan	nan	nan	nan
55644.65000000007	6.171507781771666e-18	2.648662927608659e-18	2.4116466603282024e-18	7.011526735937485e-19	1.7724184765465428e-17	6.563154822247296e-18	nan	nan	8.794866163558666e-17	2.7057840654579418e-17	4.958100616400276e-18	5.058698179558051e-19	9.832513172656374e-18	4.490411485232984e-19	1.830655928642533e-17	9.824200184967792e-19	nan	nan	nan	nan
55644.70000000007	8.305372641625875e-18	2.8043033006457227e-18	3.188582835278714e-18	7.278561296494147e-19	1.9694965511884235e-17	6.51977833982173e-18	nan	nan	8.997176656622013e-17	2.6946044197186197e-17	6.75058478082045e-18	6.941698663876192e-19	1.2023487118650145e-17	5.297572283773409e-19	2.1925533970292295e-17	1.1226445563662502e-18	nan	nan	nan	nan
55644.75000000007	1.0447339662922514e-17	3.0168759481337258e-18	3.966918069082256e-18	7.663161218169876e-19	2.166897997677217e-17	6.4845367343313764e-18	nan	nan	9.19965230639229e-17	2.6836196260156513e-17	8.550098299808228e-18	8.741594235763993e-19	1.4218886933333903e-17	6.174092278623575e-19	2.5554290436701174e-17	1.2819112141201466e-18	nan	nan	nan	nan
55644.800000000076	1.2597333113452415e-17	3.2720923050100547e-18	4.746629385255784e-18	8.142565250258839e-19	2.3646100415710073e-17	6.457289494039336e-18	nan	nan	9.402290202072441e-17	2.672829275705415e-17	1.0356735385302561e-17	1.041800013130979e-18	1.6417618552412072e-17	7.042235640035456e-19	2.9190754068674426e-17	1.4442223354025763e-18	nan	nan	nan	nan
55644.85000000008	1.4755277323309053e-17	3.5579540779747304e-18	5.527693809778066e-18	8.69557876656073e-19	2.562619908970649e-17	6.437869192287378e-18	nan	nan	9.60508743296762e-17	2.6622329299218507e-17	1.2170590300663505e-17	1.1959487598876727e-18	1.8618587932306737e-17	7.864590071925922e-19	3.283285032600105e-17	1.6011084761752106e-18	nan	nan	nan	nan
55644.90000000008	1.692109668426885e-17	3.865170478519158e-18	6.310088371066927e-18	9.304106164515441e-19	2.7609148264746194e-17	6.426082983718339e-18	nan	nan	9.808041088399628e-17	2.6518301192760263e-17	1.3991757361308526e-17	1.3364317307108517e-18	2.0820701043559602e-17	8.623470965184751e-19	3.64785047241161e-17	1.7482616085013835e-18	nan	nan	nan	nan
55644.950000000084	1.9094715649167466e-17	4.186841000964493e-18	7.093790099941314e-18	9.953491485812321e-19	2.9594820211635356e-17	6.421714543371088e-18	nan	nan	1.0011148257785894e-16	2.641620343660609e-17	1.582033093538387e-17	1.4635010618595261e-18	2.302286386360346e-17	9.311327628771744e-19	4.0125642813361325e-17	1.8836745486722776e-18	nan	nan	nan	nan
55645.00000000009	2.1276058731288766e-17	4.5179343712583515e-18	7.878776029583362e-18	1.0632221430125337e-18	3.158308720594998e-17	6.4245263830388016e-18	nan	nan	1.0214406030574817e-16	2.6316030719884536e-17	1.7656405444424978e-17	1.57764651499967e-18	2.522398237006646e-17	9.926348088174348e-19	4.377219015817531e-17	2.0066965288007436e-18	nan	nan	nan	nan
55645.05000000009	2.3465050503728977e-17	4.854802458709923e-18	8.66502319545495e-18	1.1331396723108979e-18	3.357382152757146e-17	6.4342624672227635e-18	nan	nan	1.0417811496287196e-16	2.621777742022092e-17	1.950007536400045e-17	1.6795208868783971e-18	2.742296253374784e-17	1.0470393882392154e-18	4.7416072315838795e-17	2.117557269478902e-18	nan	nan	nan	nan
