spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-04-11_00-43-12_Ekar_AFOSC_None.ascii	55662.03	9.416776280235626e-16	2.4851382860901344e-17	True	2.9202660908320686e-16	6.208628681252786e-18	True	5.786637358434271e-16	1.4194404232992432e-17	True	1.232324082242685e-15	7.448475632801556e-17	True	7.568730693472107e-16	1.7376517991074976e-17	True	8.183105978181781e-16	6.085812883313012e-17	True	4.0738923482271874e-16	2.0579382868042824e-17	True	5.867342877559659e-16	3.9255907677855753e-17	True	1.1586208182544584e-15	5.550898286036972e-17	True	2.45212472210467e-16	1.0696396365733582e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-04-14_00-58-57_NOT_ALFOSC_None.ascii	55665.04	1.0881077730041857e-15	2.0995154310689036e-17	True	3.403868520132328e-16	4.850967191106613e-18	True	6.460984634329027e-16	1.2014670071458015e-17	True	1.2070878073050982e-15	5.235683025102888e-17	True	8.486695581321683e-16	1.4421054146982174e-17	True	9.443513549898014e-16	5.770633711966515e-17	True	4.502463201251275e-16	1.3360505358952003e-17	True	6.462451321761347e-16	2.5243112294050837e-17	True	1.191533968816274e-15	3.945958680638942e-17	True	2.711277804829451e-16	7.314110548100763e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-04-18_23-03-50_CA-2.2m_CAFOS_None.ascii	55669.96	1.2372241581069514e-15	2.5892882906321993e-17	True	4.143003394757626e-16	6.3464380086015725e-18	True	7.478202102414455e-16	1.2963691902157022e-17	True	1.1251620631835842e-15	3.1999318882371885e-17	True	9.746018823847206e-16	1.3759281537069106e-17	True	1.0949882415250111e-15	4.5309712327811774e-17	True	5.23488087392423e-16	2.2224165626673346e-17	True	7.644915966947858e-16	3.867898618549054e-17	True	1.2030725027623627e-15	4.9947249743179644e-17	True	3.138257929033867e-16	5.784610527782836e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-04-20_21-54-10_CA-2.2m_CAFOS_None.ascii	55671.91	1.251105832007002e-15	2.4501693555345546e-17	True	4.417132145927734e-16	6.921360593294661e-18	True	7.85707790469173e-16	1.3135200723608776e-17	True	1.066573780889032e-15	2.836048188521808e-17	True	1.0130797414437743e-15	1.3693237387623507e-17	True	1.1286505376360815e-15	3.820626758267398e-17	True	5.501784397434383e-16	2.225364185878686e-17	True	8.119212603867936e-16	3.602510315771609e-17	True	1.1741172400657099e-15	5.2009282158529644e-17	True	3.2880409453024693e-16	5.022744524657011e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-04-24_02-39-02_NOT_ALFOSC_None.ascii	55675.11	1.2172005909118018e-15	1.960734789021356e-17	True	4.813441146521645e-16	7.496195649846363e-18	True	8.403401890936613e-16	1.3522541994432948e-17	True	9.349494245398906e-16	2.636203260416342e-17	True	1.056608897083509e-15	1.3835707577662334e-17	True	1.1436111213109054e-15	3.066457168988069e-17	True	5.871560588270213e-16	1.9368499786319552e-17	True	8.830438504061725e-16	2.6003797311067823e-17	True	1.0706683155344913e-15	5.69447863628763e-17	True	3.488288913182379e-16	4.15014968636145e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-05-08_00-00-14_CA-2.2m_CAFOS_None.ascii	55689.0	7.676514498863903e-16	2.3916475211544126e-17	True	5.265633473411315e-16	1.1540419448303227e-17	True	8.88833601545761e-16	1.99626854625016e-17	True	3.968582924509388e-16	1.7956314669877643e-17	True	9.648970980466842e-16	1.884396208567919e-17	True	7.81623694749325e-16	2.0842728496029355e-17	True	6.189069182819339e-16	1.2720540168489049e-17	True	9.79169565404571e-16	2.695839629670583e-17	True	3.8987147932001925e-16	3.8869771431841204e-17	True	3.726995638072911e-16	5.090384648834709e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-05-15_23-26-34_HET_HET-LRS_None.ascii	55696.98	5.732874182192057e-16	2.38191487633166e-17	True	5.103740962252109e-16	9.684180771846724e-18	True	8.169210128456166e-16	1.8684307962645058e-17	True	2.398417866121597e-16	1.3686934413476286e-17	True	8.152975763001881e-16	1.652829041941067e-17	True	6.246786255359161e-16	2.5200569817908535e-17	True	5.675322930262782e-16	1.757659404071212e-17	True	8.464348011567812e-16	3.280700447385187e-17	True	2.24248811664059e-16	3.732539667329153e-17	True	3.4799815091951996e-16	6.922160469623804e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-05-22_20-55-32_CA-2.2m_CAFOS_None.ascii	55703.87	4.2433316244401894e-16	1.2172319889171391e-17	True	4.809797290839239e-16	7.28895288415144e-18	True	7.347340821756175e-16	1.5284004629509425e-17	True	1.8667898834965688e-16	1.3702097259784467e-17	True	6.926900256128092e-16	1.4163550785299966e-17	True	5.346780761425852e-16	2.2470102408104954e-17	True	5.204642742363634e-16	1.2824880774002931e-17	True	7.351425714752539e-16	3.0229881026208836e-17	True	1.8327742796115528e-16	2.3868750505378445e-17	True	3.2285539070718696e-16	7.258449645482389e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-06-12_01-38-15_HET_HET-LRS_None.ascii	55724.07	2.931334747021784e-16	2.087710518690528e-17	True	3.308582427063043e-16	8.031443608898613e-18	True	4.853809229020774e-16	1.3481697983379507e-17	True	1.295622284801127e-16	3.634530116253157e-17	True	4.600432281178133e-16	2.0025679662204516e-17	True	3.469804820971134e-16	3.44334312469107e-17	True	3.4734482579052393e-16	2.106751067311696e-17	True	4.920231929345702e-16	4.524556213345166e-17	True	1.295861178165141e-16	4.2848926889997477e-17	True	2.642781677836287e-16	9.05063265625578e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-06-24_00-17-48_ESO-NTT_EFOSC2-NTT_None.ascii	55736.01	2.2784295721920154e-16	1.1416870291080344e-17	True	2.6059124520137305e-16	6.479348319348796e-18	True	3.616136326242737e-16	1.0720202877869623e-17	True	1.0755279690085707e-16	6.611817774644119e-18	True	3.8968760465775246e-16	1.343735179989236e-17	True	2.86234152685256e-16	2.460935225013833e-17	True	2.783349433009585e-16	1.687062773184253e-17	True	4.0134313522963155e-16	3.270435739608969e-17	True	1.1872939900722742e-16	3.748489288777062e-17	True	2.375287556756213e-16	6.76827518455398e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-08-10_20-22-44_CA-2.2m_CAFOS_None.ascii	55783.85	1.2567902100385302e-16	1.310634896481311e-16	True	1.6857662580096483e-16	3.6092455922263996e-17	True	1.9133337017514443e-16	6.57534569085093e-17	True	9.671408521245729e-17	2.830826155419152e-16	False	2.09613525622716e-16	9.74927441814366e-18	True	1.2369471170920524e-16	2.856096924153049e-16	True	1.2822405140754824e-16	1.9339431065653667e-16	True	1.6775488325149103e-16	3.2697903717718566e-16	True	6.79987039387379e-17	3.651767512381007e-16	False	1.050668426783778e-16	6.050648575555082e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011bm/SN2011bm_2011-08-11_20-27-46_CA-2.2m_CAFOS_None.ascii	55784.85	1.2364029905400132e-16	1.4405629469690817e-16	True	1.6806271965146626e-16	3.9536526158956645e-17	True	1.8837940819312388e-16	7.257821378738302e-17	True	9.614081679483377e-17	2.9412364747754485e-16	False	2.070665642201241e-16	9.693350713079481e-18	True	1.2090077422721254e-16	2.9420357070672513e-16	True	1.2559700444519112e-16	1.9963034571086866e-16	True	1.6348389201058185e-16	3.3578066845652923e-16	True	6.667264443023117e-17	3.758484040392377e-16	False	1.0309564413576309e-16	6.274711018473998e-17	True
