time,mag,mag_err
57651.05,-7.297730789689883,0.0005602493231636518
57651.25,-10.421072241411045,0.0016031124975973722
57651.55,-11.386088135709556,0.001360179997258572
57652.89,-13.320352610619015,2.242787236822209e-05
57653.16,-13.336383550126584,1.9646224903648413e-05
57653.2,-13.33819862042603,1.826996005556346e-05
57654.17,-13.892670720843087,7.236220983022914e-05
57654.18,-13.904908387703891,2.5809542257857604e-05
57655.13,-14.560135467895103,0.0003714015824293564
57655.14,-14.564035396062142,0.0003633538832435421
57656.19,-14.59556904119892,5.82769445619793e-05
57658.52,-14.884892873604018,0.00028456027808482275
57660.03,-14.994053425040823,0.00018274082572519688
57660.12,-15.001766837266818,0.00018881201375235842
57661.11,-15.062955728453147,0.0001837344938174187
57662.61,-15.142058148257835,0.0005948638946903143
57664.11,-15.213969840256166,0.00023414455939391337
57666.29,-15.257806029219118,0.0001778520510284096
57668.18,-15.231228542668145,0.0005831222029102438
57670.08,-15.123433229821295,0.00012769007059232527
57670.39,-15.09631905781109,0.000151089989085143
57672.34,-14.94210439551761,0.0006662795185919978
57674.29,-14.745982155475172,0.0006832432426504416
57676.24,-14.505779980749713,0.0006809671198242676
57678.19,-14.223497318296571,0.0007183104425479287
57680.14,-13.914183095512431,0.000896602684115662
57682.09,-13.70567185184725,0.0011832945896054
57684.04,-13.54441320403852,0.0011240161974075344
57685.99,-13.522923526852061,0.0002876759891545572
57687.99,-13.405231044854817,0.0005366514289633056
57690.0,-13.250050174906175,0.0009523180868892851
57692.0,-13.140878827504963,0.0010858943835639115
57694.0,-13.09718015807341,0.0008501541668180607
57696.01,-13.062050096631129,0.000680029274326249
57698.01,-13.004836275944774,0.0005863527666552981
57700.01,-12.895340233762747,0.000754092468230801
57702.02,-12.883262993326973,0.0005918300979377433
57704.02,-12.766832544574902,0.0011771832665886288
57706.02,-12.641004527907302,0.001107278729219293
57708.02,-12.571731789497049,0.0010483160979146706
57710.03,-12.573035406501877,0.0008137476538800915
57712.03,-12.47501770629615,0.0014547466094754532
57714.03,-12.380985647616232,0.0018612494740162118
57716.04,-12.29470095170396,0.002085861435788227
57718.04,-12.215784398113872,0.002204495589590194
57720.04,-12.14577337732426,0.002249364532830917
57722.05,-12.084886035625349,0.0022515523635286
57724.05,-12.031671502350374,0.0022297321595403166
57726.05,-11.984833401028482,0.0021925035743839906
57728.06,-11.94416186485594,0.0021460810739586116
57730.06,-11.910282859180949,0.0020972449516983805
57732.06,-11.884230709063267,0.0020519874813438423
57734.07,-11.867299165420537,0.0020128527832286532
57736.07,-11.861180977192692,0.001969785327993213
57738.07,-11.868339924282443,0.0018928539749624596
57740.07,-11.892339125572416,0.0017231322823795276
57742.08,-11.93680836572997,0.0013677240146543657
57744.08,-12.040515922084582,0.0005271695462911468
57746.08,-11.964825013597888,0.0013957410607025253
57748.09,-11.952332132433654,0.0017561203843625573
57750.09,-11.959764695755485,0.0019168832198921402
57752.09,-11.996476540403012,0.0018154540871396254
57754.1,-11.75336573658035,0.0
57756.1,-11.789246926016759,0.0
57758.1,-11.809715141982718,0.0
57760.11,-11.816338537765454,0.0
57762.11,-11.818319643420763,0.0
57764.11,-11.81885366196331,0.0
57766.12,-11.817622552873841,0.0
57768.12,-11.813874635365105,0.0
57770.12,-11.807298606311246,0.0
57772.12,-11.797857585258987,0.0
57774.13,-11.784880135973344,0.0
57776.13,-11.770047989048509,0.0
57778.13,-11.752739323259064,0.0
57780.14,-11.733116152784305,0.0
57782.14,-11.711352347661666,0.0
57784.14,-11.687641368278758,0.0
57786.15,-11.662155140978388,0.0
57788.15,-11.6350683449548,0.0
57790.15,-11.606545631318077,0.0
57792.16,-11.576745917266805,0.0
57794.16,-11.545814273955855,0.0
57796.16,-11.513880522812345,0.0
57798.17,-11.481083782737262,0.0
57800.17,-11.44754859895537,0.0
57802.17,-11.41337105668166,0.0
57804.17,-11.378665622048668,0.0
57806.18,-11.342749855067042,0.0
57808.18,-11.307252191429772,0.0
57810.18,-11.27150276623474,0.0
57812.19,-11.235576445495445,0.0
57814.19,-11.199538868846723,0.0
57816.19,-11.163490933328337,0.0
57818.2,-11.127494458125627,0.0
57820.2,-11.091624372359945,0.0
57822.2,-11.055974599713089,0.0
57824.21,-11.020606778261126,0.0
57826.21,-10.985628610013475,0.0
57828.21,-10.951100640082485,0.0
57830.22,-10.917151446136653,0.0
57832.22,-10.883849148902359,0.0
57834.22,-10.851306198073056,0.0
57836.22,-10.81960432235437,0.0
57838.23,-10.788078137535477,0.0
57840.23,-10.758377925726554,0.0
57842.23,-10.729794677962555,0.0
57844.24,-10.7024042127653,0.0
57846.24,-10.676247200957757,0.0
57848.24,-10.651409662760669,0.0
57850.25,-10.627936119075647,0.0
