spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-06-20_22-02-15_NOT_ALFOSC_None.dat	55732.92	3.398195186923179e-14	8.498135857468107e-16	True	1.8668105608379086e-14	1.4439128370857344e-16	True	3.390179171422155e-14	7.117989360929676e-16	True	1.9704501813177127e-14	3.395981988112876e-16	True	4.333676102126797e-14	9.598176009271689e-16	True	3.131671152733205e-14	6.298585349971362e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-06-25_23-49-25_NOT_ALFOSC_None.dat	55737.99	2.4348995166697066e-14	6.82388454902783e-16	True	1.8431670111396543e-14	1.740195282519918e-16	True	2.9037534313164814e-14	6.652374195397011e-16	True	1.0856052377484693e-14	2.727935784190413e-16	True	3.627028463780955e-14	1.34558463405549e-15	True	3.4520394328448005e-14	1.2317820476240575e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/SN2011dh_2011-06-29_00-00-00_P200_DBSP_PTF.ascii	55741.0	1.7614506727920204e-14	4.867621654317043e-16	True	1.6673738586889415e-14	1.6357577026015122e-16	True	2.4849439210970922e-14	6.403270154922806e-16	True	5.6628881963571385e-15	1.5322962707419474e-16	True	2.903401488498842e-14	5.76786805967626e-16	True	2.589754224119131e-14	6.564728375868509e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/SN_2011dh_2011-06-30_05-31-12_Lick-3m_KAST_UCB-SNDB_0.flm	55742.23	1.5194420897507362e-14	4.3181534323271726e-16	True	1.588631591602094e-14	1.5533076742293197e-16	True	2.3273859844222625e-14	5.01972786071167e-16	True	4.275096260267313e-15	1.2462936513734823e-16	True	2.6250006736859586e-14	7.002168090615576e-16	True	2.270557117794348e-14	8.399838891152197e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-05_21-36-00_NOT_ALFOSC_None.dat	55747.9	8.627695742409446e-15	2.590571061111365e-16	True	1.2800834826670104e-14	1.3140061997332246e-16	True	1.6813385052149464e-14	3.4389379641935287e-16	True	1.8921255828737124e-15	1.173069915564536e-16	True	1.7791038814776767e-14	1.2852885176435607e-15	True	1.57001303654326e-14	3.954875615170715e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/SN_2011dh_2011-07-06_05-41-16_Lick-3m_KAST_UCB-SNDB_0.flm	55748.24	8.449162735504177e-15	2.512029152578881e-16	True	1.2646917168983717e-14	1.3040449302181282e-16	True	1.6469245457714066e-14	5.672911926334598e-16	True	1.8279035682143074e-15	1.1462140537558902e-16	True	1.7438977310089585e-14	1.1475979657767394e-15	True	1.5692269287743565e-14	2.8658966770461306e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-10_21-57-26_NOT_ALFOSC_None.dat	55752.91	6.872987832278484e-15	2.0275191076046082e-16	True	1.0733651300380554e-14	1.1321701490057714e-16	True	1.4721141939304807e-14	1.1827691778677343e-15	True	1.7916542950596717e-15	7.375257688400684e-17	True	1.3729379494365424e-14	6.911159077328089e-16	True	1.1600316029012596e-14	1.2590999101183825e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-14_21-28-00_NOT_ALFOSC_None.dat	55756.89	6.332800329800467e-15	1.539773148345137e-16	True	9.446941232607392e-15	1.0782784646776845e-16	True	1.2090927354759735e-14	2.103975613126215e-15	True	1.9727194379527e-15	1.695674852678164e-16	True	1.1743840954487361e-14	2.2611698407927204e-16	True	6.912027730875114e-15	6.892594802512542e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-18_21-05-51_CA-2.2m_CAFOS_None.dat	55760.88	5.536209230566617e-15	2.778479688932045e-16	True	8.37233269446422e-15	1.1545499661348294e-16	True	1.1048048257506389e-14	1.3626913567345028e-15	True	1.6664811015649754e-15	7.918808201696576e-17	True	1.0659639914476113e-14	3.1115132331331924e-16	True	4.023900408609995e-15	9.02377189984021e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-19_21-17-05_NOT_ALFOSC_None.dat	55761.89	5.485423971731966e-15	2.9082657754004693e-16	True	8.152831168096395e-15	1.531988294435331e-16	True	1.0928868230669668e-14	2.1562745294789307e-16	True	1.6455943798384425e-15	1.5633476223785866e-16	True	1.0267004678859532e-14	1.852682812970671e-15	True	3.60762549645452e-15	9.242262418920035e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-22_21-42-48_NOT_ALFOSC_None.dat	55764.9	5.491693903469831e-15	2.6260935095491273e-16	True	7.57351496733601e-15	2.2665743989736287e-16	True	1.0141157195292494e-14	1.384012040282078e-15	True	1.640837346765155e-15	3.4586065154788285e-16	True	9.176661088371843e-15	4.593101653099022e-15	True	3.0310380463093884e-15	9.442794720888179e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-07-28_21-54-16_CA-2.2m_CAFOS_None.dat	55770.91	5.0969577554384894e-15	2.48241193052963e-16	True	6.730767456535777e-15	1.595512363860919e-16	True	8.494963964382936e-15	2.5953070864329995e-15	True	1.7679672236057147e-15	2.0725696982205407e-16	True	9.35371348585783e-15	2.1784319653164432e-16	True	4.517236245380607e-15	7.717703283194438e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/SN_2011dh_2011-08-05_04-26-23_Lick-3m_KAST_UCB-SNDB_0.flm	55778.18	4.785988641997365e-15	6.020552282113992e-16	True	6.087895474643998e-15	2.772424767242755e-16	True	7.843022158522826e-15	4.3530847242795594e-16	True	1.9217357265143147e-15	6.337581275480739e-16	True	8.159234431480782e-15	2.7159738186661997e-16	True	7.657142290467645e-15	2.1427161478708322e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-08-06_21-14-57_NOT_ALFOSC_None.dat	55779.89	4.733259627242762e-15	4.521672964537342e-16	True	5.944627832352458e-15	2.0367472994832877e-16	True	7.609549367447143e-15	4.593659110909086e-16	True	1.9421118982507384e-15	5.184194263365095e-16	True	7.904054968505986e-15	1.88383581026526e-16	True	6.849344414100459e-15	2.7960220915331114e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-08-21_21-15-26_CA-2.2m_CAFOS_None.dat	55794.89	3.82314767567577e-15	8.380296799492361e-16	True	4.526872895474152e-15	3.1638446734519006e-17	True	5.832480232837318e-15	1.440460810573629e-16	True	1.7265244134857177e-15	1.586272573854073e-15	True	5.98324935405419e-15	1.7315869445852615e-16	True	5.77105780346601e-16	9.888159248461656e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-08-28_20-59-21_Galileo_BC-Asi_None.dat	55801.87	3.757427839854508e-15	8.825934172386891e-16	True	3.9828698255456425e-15	2.555444092597331e-17	True	5.156531609434689e-15	1.4906972502486033e-16	True	1.5573000283548827e-15	1.253382758982143e-15	True	5.25608362461153e-15	1.5793259800547301e-16	True	1.3836089660891564e-16	9.936524826907414e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-08-30_20-31-40_WHT-4.2m_ISIS_None.dat	55803.86	3.792183791067934e-15	6.377157953832978e-16	True	3.8405420137786e-15	2.4350314289094526e-17	True	4.97859615006434e-15	1.515470893243762e-16	True	1.525003854734314e-15	1.0084263990497574e-15	True	5.065460778944954e-15	1.509292103616978e-16	True	9.092590215377912e-17	9.93827919454481e-15	False
