MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err
55711.55	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.600000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.65000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.70000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.750000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.80000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.85000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.90000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55711.950000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.00000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.05000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.100000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.15000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.20000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.250000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.30000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.35000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.40000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.450000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.50000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55712.55000000006	nan	nan	nan	nan	7.314322987630437e-15	2.7223451082719724e-16	nan	nan	4.372097456126308e-15	3.3928524596261605e-18	5.928569437197016e-15	1.8636186967885233e-16
55712.600000000064	nan	nan	nan	nan	7.80792379285293e-15	2.55299877402743e-16	nan	nan	8.450657356296321e-15	6.965276131751427e-18	8.048107107321198e-15	1.7184541981016147e-16
55712.65000000007	nan	nan	nan	nan	8.301737411606731e-15	2.4426070764650944e-16	nan	nan	1.229551828294685e-14	1.0893570979732645e-17	1.0189632426636596e-14	1.7114968616181959e-16
55712.70000000007	nan	nan	nan	nan	8.78440318271431e-15	2.3849444464921357e-16	nan	nan	1.5803957235475208e-14	1.7219131099276345e-17	1.2323898465557186e-14	1.8018394733208342e-16
55712.75000000007	nan	nan	nan	nan	9.244664342802226e-15	2.370585406731558e-16	nan	nan	1.8950988242475126e-14	2.573479641954287e-17	1.442297929881479e-14	1.943990789281867e-16
55712.800000000076	nan	nan	nan	nan	9.671835182130675e-15	2.3887945332984657e-16	nan	nan	2.172391390673855e-14	3.622003955945733e-17	1.6461178131747697e-14	2.1047823452035553e-16
55712.85000000008	nan	nan	nan	nan	1.0055934717978602e-14	2.4291860936564836e-16	nan	nan	2.4119146102553143e-14	4.8382089169367094e-17	1.841508131301678e-14	2.265020043963329e-16
55712.90000000008	nan	nan	nan	nan	1.0387751030092824e-14	2.4827431480012345e-16	nan	nan	2.614132084350251e-14	6.189089248085408e-17	2.0263426593630988e-14	2.4154721799638945e-16
55712.950000000084	nan	nan	nan	nan	1.0662171938547103e-14	2.541254114562766e-16	nan	nan	2.7801569414770272e-14	7.640097831303588e-17	2.198693638846002e-14	2.5531370007603443e-16
