MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err
55713.00000000009	nan	nan	nan	nan	1.0881915934877938e-14	2.5962971507120233e-16	nan	nan	2.911579760999341e-14	9.156133865022232e-17	2.356815701536227e-14	2.6788467890823867e-16
55713.05000000009	nan	nan	nan	nan	1.1050728845780155e-14	2.6410238165658814e-16	nan	nan	3.0103289352796646e-14	1.0702216816635107e-16	2.4991314899676144e-14	2.7958247603038507e-16
55713.10000000009	nan	nan	nan	nan	1.1172340973588842e-14	2.670225035312521e-16	nan	nan	3.0785651045541055e-14	1.224413091015369e-16	2.6242191611759553e-14	2.9087360471832925e-16
55713.150000000096	nan	nan	nan	nan	1.1250468211558357e-14	2.6800552378752366e-16	nan	nan	3.118603252450364e-14	1.374913618848466e-16	2.7308016928464338e-14	3.022930033634032e-16
55713.2000000001	nan	nan	nan	nan	1.1288813155954413e-14	2.6677831130791563e-16	nan	nan	3.132855466721257e-14	1.5186804118303438e-16	2.8177394977899435e-14	3.1437014228078235e-16
55713.2500000001	nan	nan	nan	nan	1.1291066215047674e-14	2.6315995218658776e-16	nan	nan	3.1237886561392955e-14	1.653003669493401e-16	2.884357275077316e-14	3.2741019461032386e-16
55713.300000000105	nan	nan	nan	nan	1.1260906715412452e-14	2.570489450288799e-16	nan	nan	3.0938929576296366e-14	1.7756339968144778e-16	2.931201836300566e-14	3.410827638111552e-16
55713.35000000011	nan	nan	nan	nan	1.1202004005668868e-14	2.4841691167069727e-16	nan	nan	3.045657743449646e-14	1.8849437787662782e-16	2.959481694267099e-14	3.54687865607465e-16
55713.40000000011	nan	nan	nan	nan	1.1118018557999653e-14	2.3730939425628547e-16	nan	nan	2.9815530056310466e-14	1.980132207479334e-16	2.9704373645929934e-14	3.675507520825203e-16
55713.45000000011	nan	nan	nan	nan	1.1012603067610597e-14	2.238556012908211e-16	nan	nan	2.904014509893821e-14	2.061482681352538e-16	2.9653040989820993e-14	3.7907620450788814e-16
55713.50000000012	nan	nan	nan	nan	1.0889403550465071e-14	2.0829139946182637e-16	nan	nan	2.8154315378687785e-14	2.1306751706544264e-16	2.9453122555616006e-14	3.887613181642984e-16
55713.55000000012	nan	nan	nan	nan	1.075206043944831e-14	1.9100430101983591e-16	nan	nan	2.7181363281554515e-14	2.1911387423588755e-16	2.9116876681078165e-14	3.9619712200405147e-16
55713.60000000012	nan	nan	nan	nan	1.0604209679304466e-14	1.7261702662668022e-16	nan	nan	2.6143945215274063e-14	2.248391761906277e-16	2.865652014252111e-14	4.0106535280146953e-16
55713.650000000125	nan	nan	nan	nan	1.044948382051793e-14	1.5413722249287507e-16	nan	nan	2.5063960394238904e-14	2.310252067783638e-16	2.8084231827442045e-14	4.0313413287369914e-16
55713.70000000013	nan	nan	nan	nan	1.0291513112409296e-14	1.3720052277673625e-16	nan	nan	2.3962458951256574e-14	2.386717443887811e-16	2.741215639860679e-14	4.022546549278363e-16
55713.75000000013	nan	nan	nan	nan	1.0133926595719025e-14	1.243447586780698e-16	nan	nan	2.2859544631163672e-14	2.4892755153678957e-16	2.6652407950352314e-14	3.98360102476971e-16
55713.800000000134	nan	nan	nan	nan	9.980239850382814e-15	1.1887362973986738e-16	nan	nan	2.177426720044197e-14	2.6295114723412065e-16	2.5817073657995398e-14	3.9146769316572544e-16
55713.85000000014	nan	nan	nan	nan	9.829563033710932e-15	1.2297732203543663e-16	nan	nan	2.072411757980974e-14	2.816905304214007e-16	2.4918217421123018e-14	3.8168474493052655e-16
55713.90000000014	nan	nan	nan	nan	9.676079930318575e-15	1.3599834965416606e-16	nan	nan	1.971861042176048e-14	3.0518111461464604e-16	2.3967883501602902e-14	3.6921991472968205e-16
55713.95000000014	nan	nan	nan	nan	9.517229603477922e-15	1.5522513322303495e-16	nan	nan	1.8757878463650155e-14	3.323518536251917e-16	2.2978100157126497e-14	3.5440114205674373e-16
55714.000000000146	nan	nan	nan	nan	9.35304983033102e-15	1.7793453383916634e-16	nan	nan	1.784075993995486e-14	3.619964331930463e-16	2.1960883271124334e-14	3.3770213370928394e-16
55714.05000000015	nan	nan	nan	nan	9.184027456767036e-15	2.02207106831828e-16	nan	nan	1.6966105747151652e-14	3.9304543856084573e-16	2.092823997983879e-14	3.1977887289185137e-16
55714.10000000015	nan	nan	nan	nan	9.010647665425305e-15	2.2680783629816206e-16	nan	nan	1.61327791198328e-14	4.2459924409869996e-16	1.9892172297399076e-14	3.015151303491454e-16
55714.150000000154	nan	nan	nan	nan	8.833394125058569e-15	2.5093987732016137e-16	nan	nan	1.533965530927177e-14	4.559169227574309e-16	1.8864680739709867e-14	2.840680454332027e-16
55714.20000000016	nan	nan	nan	nan	8.65274913953195e-15	2.740701471466713e-16	nan	nan	1.4585621264678536e-14	4.863909192533359e-16	1.785776794795912e-14	2.688864928629155e-16
55714.25000000016	nan	nan	nan	nan	8.46919379651721e-15	2.958259871692258e-16	nan	nan	1.3869575317164402e-14	5.155210179176226e-16	1.6883442312575218e-14	2.576450229832323e-16
55714.30000000016	nan	nan	nan	nan	8.283208115868221e-15	3.1593618040323854e-16	nan	nan	1.3190426866350681e-14	5.428922435601033e-16	1.5953703750055162e-14	2.520139991063741e-16
55714.350000000166	nan	nan	nan	nan	8.095271197770077e-15	3.341969574596492e-16	nan	nan	1.2547096069065097e-14	5.681574757512465e-16	1.5076781238409564e-14	2.525715673335207e-16
55714.40000000017	nan	nan	nan	nan	7.905861370650698e-15	3.5045187866108784e-16	nan	nan	1.1938513530823576e-14	5.910242091080501e-16	1.4252476711234428e-14	2.577696081239852e-16
55714.45000000017	nan	nan	nan	nan	7.715456338910567e-15	3.6457955004501386e-16	nan	nan	1.1363619999379564e-14	6.112445915858926e-16	1.3479465241076524e-14	2.6563401328879376e-16
55714.500000000175	nan	nan	nan	nan	7.524533330503439e-15	3.764858897201187e-16	nan	nan	1.0821366060851456e-14	6.286079412208885e-16	1.2756436967913663e-14	2.743428269730719e-16
55714.55000000018	nan	nan	nan	nan	7.333569244380391e-15	3.8609912650559134e-16	nan	nan	1.0310711837417098e-14	6.429351044213524e-16	1.2082096723560325e-14	2.823991532075784e-16
55714.60000000018	nan	nan	nan	nan	7.1430407978721e-15	3.933664983434893e-16	nan	nan	9.830626688061586e-15	6.540741784208417e-16	1.1455163659408368e-14	2.8865650107967446e-16
55714.65000000018	nan	nan	nan	nan	6.953424673979909e-15	3.9825204849178097e-16	nan	nan	9.380088910341135e-15	6.618972500608325e-16	1.0874370877318107e-14	2.92276512790782e-16
55714.700000000186	nan	nan	nan	nan	6.765197668694602e-15	4.0073516011409676e-16	nan	nan	8.95808544514968e-15	6.662979009712895e-16	1.0338465063668917e-14	2.926711708386365e-16
55714.75000000019	nan	nan	nan	nan	6.578836838282526e-15	4.008096109256581e-16	nan	nan	8.563611582688591e-15	6.671893011919415e-16	9.846206126410344e-15	2.894518095326509e-16
55714.80000000019	nan	nan	nan	nan	6.39481964665527e-15	3.9848301454826005e-16	nan	nan	8.195670670524156e-15	6.645027660538164e-16	9.396366835102515e-15	2.8239097384872245e-16
55714.850000000195	nan	nan	nan	nan	6.213624112796161e-15	3.9377656879675143e-16	nan	nan	7.853273823535667e-15	6.581866906713894e-16	8.987732463812305e-15	2.713969344141015e-16
55714.9000000002	nan	nan	nan	nan	6.035728958308857e-15	3.8672506712097997e-16	nan	nan	7.535439635516524e-15	6.482058075515204e-16	8.619100436816261e-15	2.56499371697833e-16
55714.9500000002	nan	nan	nan	nan	5.8616137551146975e-15	3.7737715614499083e-16	nan	nan	7.241193892438477e-15	6.345407398735319e-16	8.289279977007559e-15	2.378456187632288e-16
55715.000000000204	nan	nan	nan	nan	5.691759073319839e-15	3.6579584518344157e-16	nan	nan	6.9695692874396465e-15	6.1718785021895285e-16	7.997091756969487e-15	2.157091913540544e-16
55715.05000000021	nan	nan	nan	nan	5.526646629323087e-15	3.520592972938828e-16	nan	nan	6.719605137010623e-15	5.961594173743293e-16	7.741367552578723e-15	1.9051723126025383e-16
55715.10000000021	nan	nan	nan	nan	5.366759434140459e-15	3.362619606921144e-16	nan	nan	6.490347099086324e-15	5.714842207609533e-16	7.520949899117009e-15	1.6291530948998804e-16
55715.15000000021	nan	nan	nan	nan	5.212581942026301e-15	3.185161411092137e-16	nan	nan	6.280846892340973e-15	5.432086883761247e-16	7.334691749776102e-15	1.339207099451472e-16
55715.200000000215	nan	nan	nan	nan	5.064600199419615e-15	2.9895418145362e-16	nan	nan	6.090162016842909e-15	5.113989002714616e-16	7.181456136504678e-15	1.0531177167097867e-16
55715.25000000022	nan	nan	nan	nan	4.9233019942148765e-15	2.777315265104618e-16	nan	nan	5.917355475957995e-15	4.761440004434549e-16	7.060115833103746e-15	8.063569332585543e-17
55715.30000000022	nan	nan	nan	nan	4.789177005439118e-15	2.550311502263486e-16	nan	nan	5.7614954996836276e-15	4.3756210350248964e-16	6.969101990290231e-15	6.634560304403196e-17
55715.350000000224	nan	nan	nan	nan	4.662716953330593e-15	2.310702014254221e-16	nan	nan	5.621655268826955e-15	3.9581095036932687e-16	6.903540224683539e-15	6.790749846522204e-17
55715.40000000023	nan	nan	nan	nan	4.54441574988748e-15	2.061104796299272e-16	nan	nan	5.496912640492358e-15	3.5110832811780367e-16	6.854407774027191e-15	8.38574922274552e-17
55715.45000000023	nan	nan	nan	nan	4.4347696498698144e-15	1.8047594804252429e-16	nan	nan	5.386349874766996e-15	3.0377441280851245e-16	6.814112548131187e-15	1.0740005242065439e-16
55715.50000000023	nan	nan	nan	nan	4.334277402354487e-15	1.5458404295586647e-16	nan	nan	5.289053361977581e-15	2.543287851669138e-16	6.781596796984584e-15	1.32633915674644e-16
55715.550000000236	nan	nan	nan	nan	4.2434404028185985e-15	1.2900578013232555e-16	nan	nan	5.2041133511805945e-15	2.037422690531943e-16	6.756728236723936e-15	1.5654805109485204e-16
55715.60000000024	nan	nan	nan	nan	4.162762845831742e-15	1.0458862955802907e-16	nan	nan	5.130623679471434e-15	1.5419561127985232e-16	6.739376725088945e-15	1.7759082907618956e-16
55715.65000000024	nan	nan	nan	nan	4.0927518783500246e-15	8.271110226397254e-17	nan	nan	5.067681501950722e-15	1.1165918261284194e-16	6.729414222920823e-15	1.9485285657921395e-16
55715.700000000244	6.000703487357477e-15	1.0624775426596643e-16	2.135201201536112e-15	3.942046128006567e-17	4.033917753689206e-15	6.571437488535883e-17	5.286082776432504e-15	2.330867328548339e-16	5.0143870225904295e-15	9.234922090084515e-17	6.7267147561568234e-15	2.0775471575208886e-16
55715.75000000025	6.074429709901909e-15	1.034963714406068e-16	2.160133913032489e-15	3.865193949763344e-17	3.98659690236987e-15	5.627712800893894e-17	5.3339488741882125e-15	2.2915474074685724e-16	4.96995716863077e-15	1.1216107708197024e-16	6.7311543782583006e-15	2.1592084622230969e-16
55715.80000000025	6.148388255721944e-15	1.0122402046778882e-16	2.1851364122085535e-15	3.811444514221986e-17	3.9504207724009185e-15	5.43136593350567e-17	5.3819655325880146e-15	2.2542073444594955e-16	4.934067192494695e-15	1.5538030718473434e-16	6.742611133083562e-15	2.1912458556351634e-16
55715.85000000025	6.22263925592625e-15	9.94076825047741e-17	2.210224249765394e-15	3.7790719367540845e-17	3.924846981762932e-15	5.908199869400678e-17	5.430142622148498e-15	2.2188078947019419e-16	4.9065087397243834e-15	2.059132878182326e-16	6.760965018200678e-15	2.17264539962403e-16
55715.900000000256	6.297242842526909e-15	9.801927771081006e-17	2.2354129766217296e-15	3.7660355504752486e-17	3.909338973704494e-15	7.03170711668657e-17	5.478490014185344e-15	2.1853069321518334e-16	4.887075844420153e-15	2.5781923906396053e-16	6.78609794862955e-15	2.1035852635492363e-16
55715.95000000026	6.37225914854138e-15	9.702645085057705e-17	2.260718143959966e-15	3.770076024553737e-17	3.903404023857662e-15	8.591047784769237e-17	5.527017580871375e-15	2.1536596170859105e-16	4.875564867851249e-15	3.0891436734883446e-16	6.817893721010029e-15	1.9855235709307437e-16
55716.00000000026	6.44774830827654e-15	9.639361247160197e-17	2.28615530326045e-15	3.7888196381506246e-17	3.9065836773573844e-15	1.0298609369995612e-16	5.575735195279044e-15	2.1238186021418734e-16	4.871774438042261e-15	3.582152319916576e-16	6.856237978160223e-15	1.821490297745506e-16
55716.050000000265	6.523770457433767e-15	9.608312587755681e-17	2.3117400063521616e-15	3.8198772067515004e-17	3.918422935829756e-15	1.197878193772332e-16	5.6246527314378346e-15	2.0957342752510663e-16	4.875505389415148e-15	4.0518573142841856e-16	6.901018174068605e-15	1.6167770843123397e-16
55716.10000000027	6.600385733321327e-15	9.605651973947616e-17	2.337487805447111e-15	3.860927761801932e-17	3.9384693109112444e-15	1.3527105305349675e-16	5.673780064383878e-15	2.0693550371149258e-16	4.88656070327547e-15	4.49486751455865e-16	6.9521235392538354e-15	1.3805723510182498e-16
55716.15000000027	6.6776542750084495e-15	9.627561836808661e-17	2.3634142531664537e-15	3.909781834056548e-17	3.966272688238196e-15	1.4877212654000246e-16	5.723127070208925e-15	2.044627609831402e-16	4.904745448546313e-15	4.908795443748935e-16	7.00944504653778e-15	1.1301160091834643e-16
55716.20000000027	6.755636223554714e-15	9.67035091216554e-17	2.3895349026213673e-15	3.9644235687526524e-17	4.001385191959994e-15	1.5984461422176082e-16	5.772703626117425e-15	2.021497372532333e-16	4.929866723073449e-15	5.291834400679229e-16	7.072875377178751e-15	9.015332265769391e-17
55716.25000000028	6.8343916917814995e-15	9.730529119643063e-17	2.4158653074105227e-15	4.02303392089071e-17	4.043361049750185e-15	1.6818120985199198e-16	5.8225196104729015e-15	1.9999087192227373e-16	4.961733595294457e-15	5.642553502671609e-16	7.142257081694963e-15	7.686070506585967e-17
55716.30000000028	6.913979613282774e-15	9.804824107956762e-17	2.442421021672176e-15	4.0839987484260355e-17	4.0917564582713225e-15	1.7357548496906245e-16	5.872584902847569e-15	1.9798054335320483e-16	5.0001570464133596e-15	5.959789738078715e-16	7.2166827212445e-15	8.087830204366019e-17
55716.35000000028	6.994455934938338e-15	9.890174249528252e-17	2.46921760016139e-15	4.1459059762889344e-17	4.146129449107377e-15	1.759033569102651e-16	5.922909384078765e-15	1.9611310746335239e-16	5.0449499130706546e-15	6.242587094896975e-16	7.295079893840346e-15	1.0059104448902191e-16
55716.400000000285	7.075864725304542e-15	9.983575298423065e-17	2.4962705982138135e-15	4.207535620833481e-17	4.2060397550722755e-15	1.7511584500699353e-16	5.973502936320839e-15	1.9438293684962817e-16	5.0959268302155576e-15	6.490160278927438e-16	7.377208112113915e-15	1.274982977029422e-16
55716.45000000029	7.158241406736857e-15	1.0082135016400073e-16	2.5235955718898755e-15	4.2678457290293936e-17	4.27104867689802e-15	1.7124021043238798e-16	6.0243754430895796e-15	1.9278445986450307e-16	5.152904174423088e-15	6.70187214469167e-16	7.463092435292091e-15	1.5581260293853097e-16
55716.50000000029	7.24161976038937e-15	1.0183236943694146e-16	2.5512080778982653e-15	4.3259564930965116e-17	4.3407189502843586e-15	1.6438993415405792e-16	6.075536789318648e-15	1.9131219907171364e-16	5.215700007913817e-15	6.877219259364209e-16	7.552760098574522e-15	1.8278433404599352e-16
55716.550000000294	7.3260335360531e-15	1.0284581220959443e-16	2.5791236737663857e-15	4.3811340865643075e-17	4.414614613260327e-15	1.547873789586517e-16	6.1269968614062764e-15	1.8996080854845978e-16	5.284134022447241e-15	7.015822600175403e-16	7.646239304244612e-15	2.069898649469579e-16
55716.6000000003	7.411516486657527e-15	1.0384173132445534e-16	2.6073579177430526e-15	4.432775196663182e-17	4.492300873807991e-15	1.4280832696584357e-16	6.178765547280452e-15	1.887251095440792e-16	5.358027483872314e-15	7.117421719150739e-16	7.743559228125531e-15	2.2758119146201936e-16
55716.6500000003	7.498102368347335e-15	1.0480306224289279e-16	2.6359263689536424e-15	4.4803928146486424e-17	4.573343977780521e-15	1.2906746765265403e-16	6.230852736428432e-15	1.8760012406093003e-16	5.437203177082391e-15	7.181871439891685e-16	7.844750026224095e-15	2.439978438056421e-16
55716.7000000003	7.585824940585221e-15	1.0571543232116439e-16	2.664844587376365e-15	4.5236035491818975e-17	4.657311077012522e-15	1.1458025047721178e-16	6.283268319966467e-15	1.8658110597610019e-16	5.521485351051052e-15	7.209140579864433e-16	7.949842841593551e-15	2.5584859054564973e-16
55716.750000000306	7.674717966290941e-15	1.065669642866043e-16	2.694128133917943e-15	4.562116544476841e-17	4.7437700976466096e-15	1.0104415181118919e-16	6.336022190680017e-15	1.856635693990679e-16	5.610699664363329e-15	7.199312467743232e-16	8.058869811387729e-15	2.628587002284366e-16
55716.80000000031	7.764815211875304e-15	1.073480850116049e-16	2.723792570421755e-15	4.595723970360013e-17	4.832289608621105e-15	9.116741388359636e-17	6.389124243079209e-15	1.8484331401078741e-16	5.704673131065401e-15	7.152587229633298e-16	8.171864074153342e-15	2.6484578066697487e-16
55716.85000000031	7.856150447408666e-15	1.0805134648999111e-16	2.7538534597320016e-15	4.624292977237891e-17	4.922439032700961e-15	8.841804031880897e-17	6.442584373455261e-15	1.841164472041213e-16	5.803234066721552e-15	7.0692860001843e-16	8.28885977730764e-15	2.617106506904773e-16
55716.900000000314	7.94875744669174e-15	1.0867126315322855e-16	2.784326365739338e-15	4.6477589977414544e-17	5.013860766169091e-15	9.421963120339183e-17	6.496412479922974e-15	1.8347940289254282e-16	5.906212034718827e-15	6.949857413332399e-16	8.409892084843525e-15	2.534391235149633e-16
55716.95000000032	8.042669987351315e-15	1.0920416722625413e-16	2.8152268533884554e-15	4.6661202353057045e-17	5.1063594427788135e-15	1.0568776606321554e-16	6.550618462475207e-15	1.8292895691139657e-16	6.013437793102472e-15	6.794886982904719e-16	8.534997185246888e-15	2.4011616583073576e-16
55717.00000000032	8.137921850960051e-15	1.0964808260546352e-16	2.8465704887505322e-15	4.6794332144704667e-17	5.1997618212638084e-15	1.1950261621734884e-16	6.605212223036072e-15	1.8246223898352152e-16	6.124743241350722e-15	6.605110349465743e-16	8.664212299628716e-15	2.219605956424263e-16
55717.05000000032	8.23454682314155e-15	1.1000261647877151e-16	2.8783728390690054e-15	4.6878092425244146e-17	5.2938948165750425e-15	1.3336886832025096e-16	6.6602036655102216e-15	1.8207674125601986e-16	6.239961367462992e-15	6.3814319315109815e-16	8.797575690075163e-15	1.994024389223873e-16
55717.100000000326	8.332578693648236e-15	1.1026886743106684e-16	2.910649472765048e-15	4.6914116638580586e-17	5.388585445852995e-15	1.458927496468321e-16	6.7156026958360395e-15	1.817703234449092e-16	6.358926195594029e-15	6.124951420710252e-16	8.935126668227648e-15	1.7326154036844357e-16
55717.15000000033	8.432051256481142e-15	1.1044934816924151e-16	2.9434159595098767e-15	4.690453779872778e-17	5.483660774413719e-15	1.562383371675328e-16	6.771419222035584e-15	1.8154121465780056e-16	6.481472733384759e-15	5.837002060500996e-16	9.076905604061786e-15	1.4518877573587107e-16
55717.20000000033	8.532998309988482e-15	1.1054792082596746e-16	2.976687870232055e-15	4.6851973224480046e-17	5.5789478617420716e-15	1.63896410212101e-16	6.827663154268418e-15	1.813880119756074e-16	6.607436920066554e-15	5.519207222823776e-16	9.222953934915344e-15	1.1878780872124696e-16
55717.250000000335	8.635453656976928e-15	1.1056974240913323e-16	3.0104807772293973e-15	4.6759513671008494e-17	5.6742737074622076e-15	1.6855935803356416e-16	6.884344404875397e-15	1.8130967589489766e-16	6.736655574181328e-15	5.173566362486375e-16	9.3733134631462e-15	1.0182521818388986e-16
55717.30000000034	8.739451104799144e-15	1.105212178592991e-16	3.044810254114068e-15	4.663071568313089e-17	5.769465197298931e-15	1.7005759367807776e-16	6.941472888443528e-15	1.8130552274275538e-16	6.868966342069989e-15	4.80258977923263e-16	9.528004230349397e-15	1.0479719242351296e-16
55717.35000000034	8.84502446545515e-15	1.1040995788906108e-16	3.0796918759164846e-15	4.6469595985340376e-17	5.8643490489923344e-15	1.6832979751422834e-16	6.999058521844559e-15	1.8137521417931322e-16	7.004207646108154e-15	4.4095173773915943e-16	9.687176795722277e-15	1.298493712999364e-16
55717.40000000034	8.952207555701088e-15	1.1024473843880491e-16	3.1151412191242107e-15	4.628062658198276e-17	5.958751758177109e-15	1.6341412621945037e-16	7.0571112242930345e-15	1.8151874392716307e-16	7.142218633265382e-15	3.998687194951162e-16	9.850896200169695e-15	1.689630312628878e-16
55717.450000000346	9.061034197179768e-15	1.1003545852602274e-16	3.151173861685184e-15	4.6068729106118674e-17	6.052499544191656e-15	1.5545691501306847e-16	7.115640917394615e-15	1.8173642184747805e-16	7.282839123851443e-15	3.5761798477719846e-16	1.0018992782483957e-14	2.1507516025360847e-16
55717.50000000035	9.171538216459764e-15	1.097930926597613e-16	3.187805383087889e-15	4.583926676724616e-17	6.145418295817034e-15	1.447431707895549e-16	7.174657525197316e-15	1.8202885552037006e-16	7.425909560303035e-15	3.150982745922099e-16	1.0191291488112751e-14	2.646849845655821e-16
55717.55000000035	9.283753445192289e-15	1.0952963398745232e-16	3.225051364378207e-15	4.5598032102408755e-17	6.237333516938535e-15	1.317636779624201e-16	7.23417097425313e-15	1.8239692947387035e-16	7.571270956233367e-15	2.7371250546499283e-16	1.0367618297722078e-14	3.160688760577727e-16
55717.600000000355	9.397713720192775e-15	1.0925802386658168e-16	3.2629273882037843e-15	4.535122841524397e-17	6.328070272103978e-15	1.1735205546008357e-16	7.294191193651431e-15	1.8284178222915252e-16	7.718764845431179e-15	2.357448323894842e-16	1.0547800171121618e-14	3.682666404040391e-16
55717.65000000036	9.513452883536872e-15	1.0899206363300212e-16	3.3014490388885867e-15	4.5105442730769464e-17	6.4174531319717724e-15	1.029515171631305e-16	7.354728115086098e-15	1.8336478134067597e-16	7.868233231117589e-15	2.0490261034603533e-16	1.0731664991369815e-14	4.206678756950799e-16
55717.70000000036	9.631004782678825e-15	1.087463042027153e-16	3.34063190239766e-15	4.4867607930646744e-17	6.505306118640368e-15	9.104341232702408e-17	7.415791672899305e-15	1.8396749661966443e-16	8.01951853509171e-15	1.8652185789787778e-16	1.091904150909532e-14	4.728397886536202e-16
55717.750000000364	9.750400438184779e-15	1.0853541694176478e-16	3.380490636946705e-15	4.464473869406268e-17	6.591560966280786e-15	8.52875841992571e-17	7.477391387385472e-15	1.846515321584254e-16	8.1724662989421e-15	1.8567960209352923e-16	1.1109759286983294e-14	5.244494467490104e-16
55717.80000000037	9.87162849577578e-15	1.0836717317726922e-16	3.421025994280496e-15	4.444090153489886e-17	6.677769538296233e-15	8.833829709564381e-17	7.539530545831106e-15	1.8541655043889565e-16	8.326963555754259e-15	2.0155198232449354e-16	1.1303648644415453e-14	5.752254912892984e-16
55717.85000000037	9.994644982207547e-15	1.082441328019033e-16	3.4622280213271924e-15	4.425794912912495e-17	6.766472394477297e-15	1.000802417814879e-16	7.602207637989877e-15	1.8626074535487098e-16	8.482929314761956e-15	2.283589713618043e-16	1.1500540602295573e-14	6.249377114680637e-16
55717.90000000037	1.0119405090385021e-14	1.081692777247423e-16	3.5040864913360132e-15	4.409796032571058e-17	6.8583300663274284e-15	1.1763143496992092e-16	7.665421032887907e-15	1.8718241574631485e-16	8.640283653646312e-15	2.6068720389352384e-16	1.1700266827971478e-14	6.733853379178991e-16
55717.950000000375	1.024586401850253e-14	1.0814625861149607e-16	3.5465911792800943e-15	4.3963350888540295e-17	6.9531466002732595e-15	1.3797767876299693e-16	7.729169102307934e-15	1.8818001300330285e-16	8.79894687587479e-15	2.9494871110543387e-16	1.1902659580317049e-14	7.203898921837949e-16
55718.00000000038	1.0373976969871314e-14	1.0817947862816608e-16	3.589731861819565e-15	4.3856913077163974e-17	7.050722732396418e-15	1.5920811319075365e-16	7.793450220769522e-15	1.892521451432269e-16	8.95883948312559e-15	3.2903135922538015e-16	1.2107551654911389e-14	7.657905649847115e-16
55718.05000000038	1.0503699152769725e-14	1.0827415846529339e-16	3.633498317282871e-15	4.3781845816162334e-17	7.150859870228061e-15	1.802059049007149e-16	7.858262765529388e-15	1.9039757881020265e-16	9.119882147944567e-15	3.61727995604122e-16	1.2314776329321157e-14	8.094410760287591e-16
