spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-20.46.txt	54529.04	3.2551606180642603e-16	3.5576932563072906e-17	True	1.3656606246121352e-16	1.1080103307735656e-17	True	2.278043259146552e-16	2.8298344466167547e-17	True	7.153676282418825e-15	1.5627695267315104e-14	False	3.0700268324076674e-16	1.1685021275203596e-17	True	2.3650517150705732e-15	6.777306439744614e-16	True	7.85743234749452e-16	1.921390357638139e-16	True	1.6324845804520577e-15	1.2953389227104118e-16	True	-1.811834925218311e-15	4.171059378482617e-15	False	5.714111395020864e-16	1.421819895701231e-16	True	-2.2371912910462944e-15	9.69153956348039e-15	False	-5.732121710822868e-15	1.015854663711028e-14	False	5.853865585221641e-16	6.410294968796966e-16	True	1.2153775350142031e-15	2.061283086207336e-15	False	-8.405317062411749e-17	2.562432765444048e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-19.46.txt	54530.04	1.2053247754128367e-15	1.0240723234175659e-16	True	6.18293613986373e-16	2.7640016943428215e-17	True	1.1442177892683819e-15	5.542520410992964e-17	True	7.991605346341103e-15	1.4880284902171344e-14	False	1.25511166345708e-15	5.114438742798635e-17	True	2.6302288188755142e-15	1.475559664172436e-16	True	1.0905076919322638e-15	4.6950865441446595e-17	True	2.1714588982449523e-15	4.498018743006783e-17	True	-9.90415963975276e-16	3.0064035596983272e-15	False	7.191909062944209e-16	3.326925930601814e-17	True	-1.0954340146818469e-15	8.723590348054237e-15	False	-5.065458628551548e-15	9.265073760092041e-15	False	7.217959303730254e-16	2.7697245848622744e-16	True	1.3481060427170938e-15	1.97818696001402e-15	False	9.319770606704621e-16	1.7790231920471584e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-18.46.txt	54531.04	2.1197746623498294e-15	9.719457536051737e-17	True	1.1475518498680527e-15	3.786974927951508e-17	True	2.1276122433598074e-15	7.740167516110875e-17	True	8.927359920649854e-15	1.4037950744335257e-14	False	2.371512769875902e-15	4.2048035878831856e-17	True	2.9633255454021774e-15	8.118968862220598e-17	True	1.4437140591189467e-15	3.796898283999875e-17	True	2.789848320972435e-15	5.5168064608471436e-17	True	4.225368986696212e-18	1.878795489103037e-15	False	8.904698918337084e-16	2.310772685093914e-17	True	2.4359869513155177e-16	7.710381691518362e-15	False	-4.1722018133273205e-15	8.290394775556834e-15	False	8.893193345621287e-16	6.456046253351147e-16	True	1.493693827665918e-15	1.882224965706278e-15	False	2.0826270751796112e-15	1.0260150941090141e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-16.47.txt	54533.03	4.829400641961128e-15	8.38504892796764e-17	True	2.4029460994784005e-15	6.469575017124415e-17	True	4.3501955416987934e-15	1.1977563047980585e-16	True	1.1126860162347018e-14	1.2051978199481637e-14	False	5.261079163621448e-15	5.924678809825738e-17	True	5.0163195570446505e-15	1.7042472830161267e-16	True	2.721092080314695e-15	4.004753756623546e-17	True	4.896947303995574e-15	6.912429904390062e-17	True	2.603338711745168e-15	1.6359182800915534e-16	True	1.591385609042355e-15	8.873436049938342e-17	True	3.593814532806982e-15	5.585869248955166e-15	False	-1.5435881304426402e-15	6.119538760678303e-15	False	1.3750884968714485e-15	1.2089943779676369e-15	True	1.825335617559403e-15	1.6484621956931646e-15	False	4.8261764881937686e-15	4.858441507462873e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-15.47.txt	54534.03	7.133937331323891e-15	9.641279583576227e-17	True	3.1221833101833462e-15	8.531480392476318e-17	True	5.5851965103365785e-15	1.485502369414078e-16	True	1.2428349592998305e-14	1.0887977961543624e-14	False	6.898359611519797e-15	7.653760095129415e-17	True	6.713326198318268e-15	3.286244698190122e-16	True	3.446785552685151e-15	4.817727493402187e-17	True	6.140020745151795e-15	8.364872559038898e-17	True	4.333936698801451e-15	1.8402024495783226e-16	True	2.091034794330336e-15	1.2802934259111625e-16	True	5.678167162390975e-15	4.486646849685181e-15	False	3.1188588487428636e-16	4.9299406155620915e-15	False	1.7324717289976195e-15	1.2589022418316287e-15	True	2.0148696913309357e-15	1.5079833740985985e-15	False	6.453119063353225e-15	8.404578736023183e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-13.47.txt	54536.03	1.2901056366556562e-14	2.576206594812539e-16	True	4.6933367976136015e-15	1.1509647226248299e-16	True	8.269712401220584e-15	1.8653091074647332e-16	True	1.5504057767518433e-14	8.222252530054368e-15	False	1.0729221512103734e-14	1.6550300193303682e-16	True	1.0737548436600697e-14	3.8480716938956094e-16	True	4.954190334589235e-15	6.28783714043529e-17	True	8.6526930847053e-15	2.0351558481908013e-16	True	9.550372890381293e-15	3.1433732228830315e-16	True	3.1854818964586723e-15	1.6588547026590415e-16	True	1.0815917460012528e-14	2.3401085465567526e-15	True	5.429588281490305e-15	2.4728394275992295e-15	True	2.7887567069431535e-15	9.275506823177995e-16	True	2.4440585278368337e-15	1.1830397441146374e-15	False	1.0223141096070083e-14	9.746596782939384e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/SN2008ax_y2008m03d12.txt	54537.0	1.6179988619875242e-14	3.945681145856136e-16	True	5.501799712841584e-15	1.2343798467353074e-16	True	9.666561934004383e-15	2.0074917606300033e-16	True	1.725824290507954e-14	6.7816068401484115e-15	False	1.2828742605712192e-14	2.2080867917272388e-16	True	1.2979107866736711e-14	4.1252875384747984e-16	True	5.702796009435387e-15	8.002011244002396e-17	True	9.948583733355878e-15	2.791172820396242e-16	True	1.3331945367962194e-14	4.910216939715503e-16	True	3.717200373216023e-15	1.7587218365072635e-16	True	1.3846059923395806e-14	1.433901649784506e-15	True	8.744901469567835e-15	1.373289915899438e-15	True	3.5205181341010056e-15	6.296856180122471e-16	True	2.6776223732565305e-15	1.0104757470481923e-15	False	1.2307782032506727e-14	8.161828627166672e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-12.48.txt	54537.02	1.6249779625089474e-14	3.973232089972877e-16	True	5.518699184818568e-15	1.2358602336350105e-16	True	9.695973051513243e-15	2.010911839528971e-16	True	1.729642017410614e-14	6.7510611448322774e-15	False	1.28733855266392e-14	2.218705017193255e-16	True	1.3026963027836915e-14	4.138205259400032e-16	True	5.719472517342979e-15	8.058397906162834e-17	True	9.976165726701118e-15	2.8027055328057477e-16	True	1.3415309645898385e-14	4.965505869336005e-16	True	3.72813712836029e-15	1.7615198843480685e-16	True	1.3912654343350464e-14	1.4174620474154517e-15	True	8.819924181108025e-15	1.3529471576441205e-15	True	3.5374546600847717e-15	6.234980099221252e-16	True	2.6826182449811483e-15	1.0068837311627538e-15	False	1.2352581000576749e-14	8.122986914056416e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-11.48.txt	54538.02	1.9812785112811656e-14	5.239247685952388e-16	True	6.372445494231001e-15	1.3008804412902165e-16	True	1.119376370010753e-14	2.218087499834013e-16	True	1.9316566305984876e-14	5.192495981823233e-15	False	1.516825124427254e-14	2.7066585790785955e-16	True	1.547837709586282e-14	4.904885845048144e-16	True	6.6435508157377746e-15	1.2893436962098742e-16	True	1.1409957886455055e-14	3.33307767510821e-16	True	1.7706195798359887e-14	8.043182357107134e-16	True	4.281915218373267e-15	1.957792126251753e-16	True	1.7469967618408624e-14	8.457910631462675e-16	True	1.2950845167919493e-14	6.954033921455014e-16	True	4.493321419189121e-15	4.0978598999227087e-16	True	2.941810745055302e-15	8.302889050102365e-16	True	1.4688386485926935e-14	6.57057724561589e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008ax/2008ax_-10.48.txt	54539.02	2.3445426515959985e-14	6.210742053065793e-16	True	7.237169576910713e-15	1.3390965384601155e-16	True	1.2728351295725933e-14	2.455069021321462e-16	True	2.1571794524297088e-14	3.616321435463056e-15	True	1.756638124986055e-14	3.1256100376330075e-16	True	1.8023205697381643e-14	6.332247843775645e-16	True	7.724784026685147e-15	1.677578763676416e-16	True	1.2945682364449204e-14	3.906586990143287e-16	True	2.2251461668414598e-14	9.16587635495624e-16	True	4.853580840276821e-15	2.272810944569113e-16	True	2.137455068283219e-14	8.514574924874342e-16	True	1.7685962970941112e-14	8.262681035427167e-16	True	5.659659653345914e-15	4.603986072626315e-16	True	3.2195330382630627e-15	6.755609812579396e-16	True	1.7177559924473816e-14	6.618572322654278e-16	True
