MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54528.640000000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.69000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.74000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.790000000045	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.84000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.89000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.94000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54528.990000000056	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.04000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.09000000006	nan	nan	1.6004519170652868e-16	1.0783910885370621e-17	2.7268890851096943e-16	2.7657756495792867e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.140000000065	nan	nan	1.8356304034698066e-16	1.0836696288013082e-17	3.1764041729474805e-16	2.7500424170275327e-17	nan	nan	3.9804424027695933e-16	8.444623723843837e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.19000000007	4.541377040453142e-16	2.3361132086505736e-17	2.0712362342413752e-16	1.120173127235971e-17	3.6266386102955504e-16	2.7794356813157905e-17	nan	nan	4.4374122746153205e-16	1.0668637676330446e-17	nan	nan	nan	nan	1.7037303719352798e-15	1.0138145997986328e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.24000000007	4.9731009874066045e-16	2.5707887028803993e-17	2.307311735676076e-16	1.1820535313362597e-17	4.077645534082814e-16	2.848672586094974e-17	nan	nan	4.895747094997517e-16	1.403117605475944e-17	nan	nan	nan	nan	1.7277096155600257e-15	9.28501536391752e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.29000000007	5.406277033408562e-16	3.0357722583582363e-17	2.543899234699717e-16	1.262946472495278e-17	4.529478081838994e-16	2.951357005063982e-17	nan	nan	5.355613972691816e-16	1.7699299218869605e-17	nan	nan	nan	nan	1.7518773999595798e-15	8.478577567888555e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.34000000008	5.840868500189117e-16	3.614184234099873e-17	2.7810410588105836e-16	1.3571182940657371e-17	4.982189392095167e-16	3.0808541369189135e-17	nan	nan	5.817180021273228e-16	2.13604672935611e-17	nan	nan	nan	nan	1.7763031323449617e-15	7.721592795979711e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.39000000008	6.27683871844329e-16	4.2360778799094636e-17	3.0187795362952187e-16	1.4599378243233394e-17	5.435832604258123e-16	3.23094476945522e-17	nan	nan	6.28061235952323e-16	2.4892710636301426e-17	nan	nan	nan	nan	1.8010562228628374e-15	7.017990167359731e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.44000000008	6.714151027021681e-16	4.8652154586929516e-17	3.257156996091909e-16	1.5678852346120046e-17	5.890460858657596e-16	3.396183781165702e-17	nan	nan	6.74607811161189e-16	2.824252648553277e-17	nan	nan	nan	nan	1.8262060853876996e-15	6.373184101761193e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.490000000085	7.152768773266659e-16	5.482766011716617e-17	3.496215768037289e-16	1.678367469665192e-17	6.346127296841005e-16	3.572015575516163e-17	nan	nan	7.213744408190573e-16	3.13842629935778e-17	nan	nan	nan	nan	1.8518221383259214e-15	5.794353085784276e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.54000000009	7.592655312414699e-16	6.078504446237581e-17	3.735998182690196e-16	1.7895006102622153e-17	6.802885061149299e-16	3.754739526716883e-17	nan	nan	7.683778386434805e-16	3.430511273244572e-17	nan	nan	nan	nan	1.87797380542501e-15	5.290523720925402e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.59000000009	8.033774007546576e-16	6.646620897340509e-17	3.9765465716971736e-16	1.899922568388208e-17	7.260787295393332e-16	3.9414049025262216e-17	nan	nan	8.156347190740598e-16	3.699887216689431e-17	nan	nan	nan	nan	1.9047305165771033e-15	4.872167096807499e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.640000000094	8.476088229300987e-16	7.18370331429172e-17	4.2179032675150416e-16	2.008649795034142e-17	7.71988714442783e-16	4.1296857801252365e-17	nan	nan	8.631617973067273e-16	3.946307299987541e-17	nan	nan	nan	nan	1.932161384169481e-15	4.5498744190848055e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.6900000001	8.919561355725135e-16	7.687720408662602e-17	4.46011060369273e-16	2.11497317696447e-17	8.180237754311027e-16	4.317762001386256e-17	nan	nan	9.109757893901616e-16	4.169755404275903e-17	nan	nan	nan	nan	1.9603095910438915e-15	4.3294072003322824e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.7400000001	9.364156771950999e-16	8.157481506971958e-17	4.703210914840453e-16	2.218384042404022e-17	8.641892272535173e-16	4.504216617037204e-17	nan	nan	9.590934122032908e-16	4.3703705652425426e-17	nan	nan	nan	nan	1.98914163874259e-15	4.2036147099305016e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.7900000001	9.809837869771981e-16	8.592335251235769e-17	4.947246536607692e-16	2.3185219022192507e-17	9.104903847902786e-16	4.6879520682636714e-17	nan	nan	1.0075313835924175e-15	4.548405274026078e-17	nan	nan	nan	nan	2.0185928123296477e-15	4.157411429910405e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.840000000106	1.0256568047929303e-15	8.991994104773619e-17	5.192259805920994e-16	2.4151374835352937e-17	9.569325630679675e-16	4.868123634136495e-17	nan	nan	1.0563064223251538e-15	4.704201999762232e-17	nan	nan	nan	nan	2.048568820017964e-15	4.1716441840318984e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.89000000011	1.0704310711402264e-15	9.356428291791263e-17	5.438293060904701e-16	2.508066417679509e-17	1.0035210772603456e-15	5.0440874182545706e-17	nan	nan	1.1054352482318307e-15	4.8381801465104415e-17	nan	nan	nan	nan	2.0789573119637898e-15	4.2269100150901754e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.94000000011	1.1153029271445608e-15	9.685799751819116e-17	5.685388640929398e-16	2.5972103628541065e-17	1.0502612426866542e-15	5.215360016560307e-17	nan	nan	1.1549345821990712e-15	4.950829373570548e-17	nan	nan	nan	nan	2.1096444070992954e-15	4.306984290335612e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54529.990000000114	1.1602687144979408e-15	9.980420060003239e-17	5.933588886748421e-16	2.682523330604208e-17	1.0971583748464726e-15	5.381587324776658e-17	nan	nan	1.2048211462490651e-15	5.042707065940634e-17	nan	nan	nan	nan	2.1405162277523142e-15	4.399913504465447e-17	nan	nan	nan	nan	nan	nan	nan	nan	7.143284520875435e-16	2.7403508093510463e-16	nan	nan	nan	nan
54530.04000000012	1.2053247755149372e-15	1.0240723234513771e-16	6.182936140449418e-16	2.7640016945838906e-17	1.144217789379192e-15	5.542520411063778e-17	nan	nan	1.255111663564209e-15	5.1144387430684915e-17	nan	nan	nan	nan	2.171458898318065e-15	4.4980187431751295e-17	nan	nan	nan	nan	nan	nan	nan	nan	7.217959303904965e-16	2.7697245849706737e-16	nan	nan	nan	nan
54530.09000000012	1.2504674530131519e-15	1.0467248110245506e-16	6.433472745604075e-16	2.841676819906704e-17	1.1914448021147442e-15	5.697996809331615e-17	nan	nan	1.3058228585695959e-15	5.166720717761461e-17	nan	nan	nan	nan	2.202358543938668e-15	4.5973898467742146e-17	nan	nan	nan	nan	nan	nan	nan	nan	7.293378529478799e-16	2.832494906297648e-16	nan	nan	nan	nan
54530.14000000012	1.2956930903493275e-15	1.0660627062354792e-16	6.685241047268116e-16	2.915609578933997e-17	1.2388447290502682e-15	5.847925956202313e-17	nan	nan	1.3569714569522972e-15	5.200324663018623e-17	nan	nan	nan	nan	2.233101289188414e-15	4.697191372444343e-17	nan	nan	nan	nan	nan	nan	nan	nan	7.369560980354758e-16	2.925308852820621e-16	nan	nan	nan	nan
54530.190000000126	1.3409980314068944e-15	1.0821579096165189e-16	6.938283392003318e-16	2.9858862373765456e-17	1.2864228863671147e-15	5.992277812770928e-17	nan	nan	1.4085741857459967e-15	5.2161039130663003e-17	nan	nan	nan	nan	2.2635732567499365e-15	4.7989261628976645e-17	nan	nan	nan	nan	nan	nan	nan	nan	7.446525503549128e-16	3.044269168415558e-16	nan	nan	nan	nan
54530.24000000013	1.3863786205013431e-15	1.0950906037203881e-16	7.192642127983205e-16	3.0526153347083305e-17	1.3341845904289556e-15	6.131073912489894e-17	nan	nan	1.4606477733384871e-15	5.21500144248194e-17	2.68645559523186e-15	9.855022128455412e-17	1.1545897506212798e-15	3.2939233580836595e-17	2.2936787298370044e-15	4.9051711098544256e-17	nan	nan	7.503958857112576e-16	2.2167758240963405e-17	nan	nan	nan	nan	7.524291012277947e-16	3.185354582545747e-16	nan	nan	nan	nan
54530.29000000013	1.4318312024536852e-15	1.104949101485191e-16	7.448359605076711e-16	3.115925303066412e-17	1.3821351577988843e-15	6.264380289166729e-17	nan	nan	1.5132089495659456e-15	5.198059550311003e-17	2.700823985052996e-15	9.35456084973934e-17	1.1707998563575967e-15	3.1298081321035506e-17	2.3234562288923276e-15	5.015587138096856e-17	nan	nan	7.582846518757924e-16	2.0846738778838783e-17	nan	nan	nan	nan	7.602876487903016e-16	3.344731842919083e-16	nan	nan	nan	nan
54530.340000000135	1.4773521224684312e-15	1.111829869880618e-16	7.7054781748658e-16	3.175962619500264e-17	1.4302799052382806e-15	6.392301848712281e-17	nan	nan	1.5662744457450715e-15	5.166431263352012e-17	2.7155325768182338e-15	9.12852532372364e-17	1.18712479705731e-15	3.0450699311585146e-17	2.353006169716968e-15	5.1284821246847255e-17	nan	nan	7.662100353782193e-16	2.0205108941396344e-17	nan	nan	nan	nan	7.682300981882945e-16	3.5189396772117077e-16	nan	nan	nan	nan
54530.39000000014	1.5229377262033184e-15	1.1158376939218686e-16	7.964040190548584e-16	3.2328903508899246e-17	1.478624149711441e-15	6.51497784685244e-17	nan	nan	1.6198609947020112e-15	5.121393489783268e-17	2.7306438521210993e-15	9.119946664936279e-17	1.2035966676696531e-15	3.028270958900918e-17	2.3824361763991083e-15	5.2415546091363336e-17	nan	nan	7.74186414778768e-16	2.014036126161891e-17	nan	nan	nan	nan	7.762583617730295e-16	3.7049656909610235e-16	nan	nan	nan	nan
54530.44000000014	1.568584359679661e-15	1.1170859558572015e-16	8.224088007353266e-16	3.286886979937768e-17	1.5271732083907724e-15	6.632578239070853e-17	nan	nan	1.6739853308612752e-15	5.0643618188220457e-17	2.7461956017664165e-15	9.262561612523146e-17	1.2202481809561968e-15	3.063538144439251e-17	2.4118521799301353e-15	5.35246460847964e-17	nan	nan	7.822312582797444e-16	2.049595483841253e-17	nan	nan	nan	nan	7.843743592973416e-16	3.900251176330858e-16	nan	nan	nan	nan
54530.49000000014	1.6142883692935565e-15	1.1156970124350192e-16	8.485663982194658e-16	3.338145425306017e-17	1.575932398669453e-15	6.745300679536795e-17	nan	nan	1.7286641902950182e-15	4.996906749851556e-17	2.7621898635112728e-15	9.486084645094603e-17	1.2371074333248672e-15	3.1341769527925645e-17	2.441334809693906e-15	5.457107219874173e-17	nan	nan	7.903620349564682e-16	2.1111801337878798e-17	nan	nan	nan	nan	7.925800181124693e-16	4.10265577393986e-16	nan	nan	nan	nan
54530.54000000015	1.6600461017772868e-15	1.111802655597073e-16	8.748810473986833e-16	3.38687218603357e-17	1.624907038155007e-15	6.853368037083443e-17	nan	nan	1.7839143107423207e-15	4.920770802494745e-17	2.778612657294361e-15	9.729132159425267e-17	1.2542004534060894e-15	3.2251587522756453e-17	2.4709533556332993e-15	5.5509884387933816e-17	nan	nan	7.985962149891875e-16	2.1849362325942085e-17	nan	nan	nan	nan	8.008772733654253e-16	4.3104047540851065e-16	nan	nan	nan	nan
54530.59000000015	1.7058539041793955e-15	1.1055446440826285e-16	9.013569843568274e-16	3.433286556883384e-17	1.6741024446858368e-15	6.957026285889855e-17	nan	nan	1.839752431650971e-15	4.8378855525959567e-17	2.795449939272849e-15	9.945653625585459e-17	1.271553262432491e-15	3.3243972438556695e-17	2.5007770556901643e-15	5.63038731809635e-17	nan	nan	8.069512698927868e-16	2.2600968381947134e-17	nan	nan	nan	nan	8.092680681969767e-16	4.522032681857461e-16	nan	nan	nan	nan
54530.64000000015	1.75170812382111e-15	1.0970752913044803e-16	9.2799844538648e-16	3.477619865478827e-17	1.7235239363247997e-15	7.056542684502621e-17	nan	nan	1.896195294299591e-15	4.750386951101575e-17	2.812687677038346e-15	1.0103304752264839e-16	1.2891918842542969e-15	3.42287367944124e-17	2.530875150094373e-15	5.692431448433183e-17	nan	nan	8.154446727497497e-16	2.3288569835941855e-17	nan	nan	nan	nan	8.177543539402825e-16	4.736330623579623e-16	nan	nan	nan	nan
54530.690000000155	1.797605108351126e-15	1.086558091572745e-16	9.548096669827925e-16	3.5201146904205006e-17	1.7731768313897196e-15	7.152204153541069e-17	nan	nan	1.9532596417826393e-15	4.660626419557798e-17	2.8303118492008473e-15	1.018070256807631e-16	1.3071423456204463e-15	3.5142817947507794e-17	2.5613168821810507e-15	5.735129881513782e-17	nan	nan	8.240938984398311e-16	2.385843147715597e-17	nan	nan	nan	nan	8.263380903201197e-16	4.95229991666206e-16	nan	nan	nan	nan
54530.74000000016	1.8435412056148675e-15	1.0741683595775655e-16	9.817948858575762e-16	3.5610240290708994e-17	1.8230664484254266e-15	7.244315793904584e-17	nan	nan	2.0109622190736156e-15	4.571174040576813e-17	2.8483084449807303e-15	1.0164920414204378e-16	1.3254306764342748e-15	3.5945384397928294e-17	2.592171499166983e-15	5.757388651850965e-17	nan	nan	8.32916423871682e-16	2.4275546775936768e-17	nan	nan	nan	nan	8.350212456527928e-16	5.169113227926873e-16	nan	nan	nan	nan
54530.79000000016	1.8895127637130126e-15	1.0600938489366458e-16	1.0089583389331382e-15	3.600610378775856e-17	1.873198106233134e-15	7.333199480402978e-17	nan	nan	2.0693197730936252e-15	4.4848088923113396e-17	2.8666634637962224e-15	1.0049630686211639e-16	1.3440829100237479e-15	3.661328846406331e-17	2.6235082529715572e-15	5.759021872588615e-17	nan	nan	8.41929728214854e-16	2.451917099887862e-17	nan	nan	nan	nan	8.438057970467098e-16	5.386082496424731e-16	nan	nan	nan	nan
54530.840000000164	1.935516130913084e-15	1.0445353007895872e-16	1.03630426336474e-15	3.639144711429934e-17	1.9235771238629774e-15	7.419192488232214e-17	nan	nan	2.128349052741374e-15	4.404490396346318e-17	2.8853629148581635e-15	9.833914547028544e-17	1.3631250834035021e-15	3.713741340267094e-17	2.6553964010174775e-15	5.740765400485274e-17	nan	nan	8.51151293129797e-16	2.4579705357584255e-17	nan	nan	nan	nan	8.526937306036291e-16	5.602632896474762e-16	nan	nan	nan	nan
54530.89000000017	1.9815476557067283e-15	1.0277068553044783e-16	1.0638365921883423e-15	3.6768956582618216e-17	1.97420853140623e-15	7.502639927444109e-17	nan	nan	2.1880668089585165e-15	4.333304004773886e-17	2.904392816753197e-15	9.521660772615295e-17	1.3825832375470351e-15	3.751992326929429e-17	2.6879052070079137e-15	5.704295023238643e-17	nan	nan	8.605986029995377e-16	2.4456774160715398e-17	nan	nan	nan	nan	8.616870416206607e-16	5.81828184630603e-16	nan	nan	nan	nan
54530.94000000017	2.0276036867150848e-15	1.009836234463981e-16	1.091556072364797e-15	3.7140369782097284e-17	2.0250931327071673e-15	7.583809162072512e-17	nan	nan	2.2484897947971488e-15	4.274375409172422e-17	2.9237391970455753e-15	9.12149589536504e-17	1.402483417647769e-15	3.7772227120013074e-17	2.72110394175932e-15	5.65224619265206e-17	nan	nan	8.702891451616125e-16	2.4158284320288128e-17	nan	nan	nan	nan	8.7078773479290785e-16	6.032622142114644e-16	nan	nan	nan	nan
54530.99000000017	2.0736805727037286e-15	9.911645747229178e-17	1.1194615509750902e-15	3.750688259713174e-17	2.0762285293121568e-15	7.66291118756017e-17	nan	nan	2.309634765427307e-15	4.23075055284527e-17	2.9433880918593458e-15	8.647244180520337e-17	1.422851673384147e-15	3.791342202578632e-17	2.755061883984149e-15	5.588226678597636e-17	nan	nan	8.802404101385708e-16	2.3700311933896325e-17	nan	nan	nan	nan	8.79997824416924e-16	6.245308416519019e-16	nan	nan	nan	nan
54531.040000000175	2.1197746625092057e-15	9.719457535421456e-17	1.1475518499649335e-15	3.786974927986698e-17	2.127612243538634e-15	7.740167516060167e-17	nan	nan	2.371512770086946e-15	4.2048035877894036e-17	2.9633255454728614e-15	8.118968860292585e-17	1.4437140591942697e-15	3.7968982839782263e-17	2.7898483210976913e-15	5.516806460606943e-17	nan	nan	8.904698918698174e-16	2.3107726848823442e-17	nan	nan	nan	nan	8.893193345948808e-16	6.456046254083464e-16	nan	nan	nan	nan
54531.09000000018	2.16588231326061e-15	9.524449760765683e-17	1.1758257915178364e-15	3.823029484639927e-17	2.1792417979672206e-15	7.815811871377673e-17	nan	nan	2.4341034393874282e-15	4.196119684442813e-17	2.9835376099080086e-15	7.564640496512626e-17	1.4650967248984281e-15	3.796945079928906e-17	2.825532562829308e-15	5.443457292384767e-17	nan	nan	9.009950879424768e-16	2.2415494869911783e-17	nan	nan	nan	nan	8.987542994395296e-16	6.664583421915855e-16	nan	nan	nan	nan
54531.14000000018	2.2120016064200034e-15	9.329281548507898e-17	1.2042821980480614e-15	3.858991806651883e-17	2.2311147154339784e-15	7.890090082326933e-17	nan	nan	2.497380731616535e-15	4.203026290822852e-17	3.0040103445249705e-15	7.022267714254112e-17	1.4870449843572506e-15	3.794264584110787e-17	2.86218664697819e-15	5.373721752039923e-17	nan	nan	9.11833499823218e-16	2.167053689627638e-17	nan	nan	nan	nan	9.083047632799317e-16	6.870702781703866e-16	nan	nan	nan	nan
54531.190000000184	2.2581347239967127e-15	9.136478673863704e-17	1.2329198921904941e-15	3.8950093091742966e-17	2.2832285190307863e-15	7.963259865106948e-17	nan	nan	2.5613299661727886e-15	4.2234181843906545e-17	3.0247298156124615e-15	6.541571860275464e-17	1.509646902884413e-15	3.7904665457573124e-17	2.8998886861481083e-15	5.312188445519667e-17	nan	nan	9.230026330898612e-16	2.09337883408516e-17	nan	nan	nan	nan	9.179727808680116e-16	7.074216539216635e-16	nan	nan	nan	nan
54531.24000000019	2.3043220827224402e-15	8.947656532802692e-17	1.2617376968160573e-15	3.931236971023466e-17	2.335580732111954e-15	8.035590490571987e-17	nan	nan	2.6259380027153908e-15	4.2550621293761746e-17	3.0457252015866292e-15	6.17812766787639e-17	1.53299512273923e-15	3.787091090042257e-17	2.938718387983645e-15	5.2634663243352915e-17	nan	nan	9.345198970134608e-16	2.0279914813663967e-17	nan	nan	nan	nan	9.277604175859253e-16	7.274961559652317e-16	nan	nan	nan	nan
54531.29000000019	2.3506814985748083e-15	8.762580337888474e-17	1.2907344350220226e-15	3.967837223522192e-17	2.3881688782650307e-15	8.107362330608045e-17	nan	nan	2.6911917029068553e-15	4.295737311917261e-17	3.0673442662017415e-15	5.958937098320578e-17	1.5571733254473368e-15	3.785169945500708e-17	2.9787611088430184e-15	5.2306560329998133e-17	nan	nan	9.464019615803477e-16	1.978619003802829e-17	nan	nan	nan	nan	9.37669749654283e-16	7.47279553470984e-16	nan	nan	nan	nan
54531.34000000019	2.3973402895011626e-15	8.58084904218206e-17	1.3199089301201204e-15	4.0049797002011615e-17	2.4409904813469873e-15	8.178866276496279e-17	nan	nan	2.7570779303722996e-15	4.343326970634733e-17	3.090071464993723e-15	5.89833311940234e-17	1.5822573159712928e-15	3.78549671548259e-17	3.020103582981477e-15	5.2157137072493606e-17	nan	nan	9.586662913170989e-16	1.9535324144389552e-17	nan	nan	nan	nan	9.477028643412058e-16	7.667593832570473e-16	nan	nan	nan	nan
54531.390000000196	2.4444257752941273e-15	8.402185837916229e-17	1.3492600056585578e-15	4.042840845660172e-17	2.494043065441988e-15	8.250403021453788e-17	nan	nan	2.8235835506640897e-15	4.395887107721158e-17	3.1143669116195913e-15	6.011689654834506e-17	1.6083066855466829e-15	3.7886257838031304e-17	3.0628277271207738e-15	5.21869137272195e-17	nan	nan	9.713347733152007e-16	1.9610339925412986e-17	nan	nan	nan	nan	9.578618601722746e-16	7.859246897493064e-16	nan	nan	nan	nan
54531.4400000002	2.492065278346152e-15	8.226497788940894e-17	1.3787864853942763e-15	4.081603385789245e-17	2.547324154886047e-15	8.322282204161329e-17	nan	nan	2.8906954311911376e-15	4.4516932520020086e-17	3.1406615462721125e-15	6.312308176746687e-17	1.6353483065802266e-15	3.7943685704231755e-17	3.107006678069388e-15	5.239015364474165e-17	nan	nan	9.84427566878176e-16	2.0084887149403327e-17	nan	nan	nan	nan	9.681488471413665e-16	8.047658093530034e-16	nan	nan	nan	nan
54531.4900000002	2.5403861244800107e-15	8.05393256572047e-17	1.4084871933145297e-15	4.1214556560695833e-17	2.600831274254748e-15	8.394821411482849e-17	nan	nan	2.9584004412178293e-15	4.509268368759325e-17	3.169341492841988e-15	6.80573300614725e-17	1.6633695846187788e-15	3.801649659597004e-17	3.1526980252383588e-15	5.275797633256065e-17	nan	nan	9.97960245523756e-16	2.1008071159111616e-17	nan	nan	nan	nan	9.785659469224073e-16	8.23274190861787e-16	nan	nan	nan	nan
54531.540000000205	2.589515643724518e-15	7.884931412383491e-17	1.4383609536179472e-15	4.1625907957888625e-17	2.654561948357104e-15	8.468345033405401e-17	nan	nan	3.0266854517954615e-15	4.567395865115806e-17	3.2005685998930945e-15	7.468366463271872e-17	1.6923257645462415e-15	3.809133499726293e-17	3.1998741910200734e-15	5.325912682588612e-17	nan	nan	1.0119349582146324e-15	2.2359495604810846e-17	nan	nan	nan	nan	9.891152930820459e-16	8.414422452336329e-16	nan	nan	nan	nan
54531.59000000021	2.6395811710752994e-15	7.720277078147868e-17	1.4684065907211407e-15	4.20520580755009e-17	2.7085137022443413e-15	8.543182974588909e-17	nan	nan	3.0955373357343884e-15	4.6251215460954794e-17	3.2343252991560446e-15	8.25627907466016e-17	1.722149264724809e-15	3.815487535476232e-17	3.2484389106367577e-15	5.384727346311684e-17	nan	nan	1.0263437119135657e-15	2.4067465923082e-17	nan	nan	nan	nan	9.997990312932656e-16	8.592632194003801e-16	nan	nan	nan	nan
54531.64000000021	2.6907100473240484e-15	7.561134761543292e-17	1.4986229292582624e-15	4.249500493271419e-17	2.7626840611917635e-15	8.61966922959505e-17	nan	nan	3.1649429675718837e-15	4.6817477963368527e-17	3.2705563566530347e-15	9.122719072294776e-17	1.7527719249306407e-15	3.819797252274598e-17	3.2982861125745526e-15	5.4481776499486457e-17	nan	nan	1.0411782582537024e-15	2.605647624267974e-17	nan	nan	nan	nan	1.0106193195499676e-15	8.767310898299017e-16	nan	nan	nan	nan
