spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-08_07-19-00_Magellan-Clay_LDSS-3_None.dat	54870.3	1.6486029177829302e-15	3.4219382899896394e-17	True	1.2133644529372755e-15	2.869662272255963e-17	True	1.5451936023093184e-15	3.516800647129593e-17	True	1.7091193931846699e-15	2.5436282706331686e-17	True	9.724488795353204e-16	2.3916998950802565e-17	True	1.4004025215429847e-15	6.689904716208508e-17	True	7.112679892080721e-16	1.4067628803003932e-17	True	1.802379107020183e-15	1.5336840150744402e-16	True	3.0316707179938964e-16	5.405456490986957e-16	False	-1.421802979811128e-18	1.8311533262110565e-15	False	2.4469554816677987e-16	9.676957386950346e-16	False	-6.31897355749673e-17	1.4476467446324665e-15	False	1.4395909883316635e-15	4.9100397687284585e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-09_06-24-33_Magellan-Clay_LDSS-3_None.dat	54871.27	1.5739378703055652e-15	3.598524452275376e-17	True	1.2071910803882397e-15	3.5008800560309894e-17	True	1.5321804184741386e-15	4.242385389346137e-17	True	1.6756835737377326e-15	2.7256239196432112e-17	True	9.722885531212186e-16	2.958932702720728e-17	True	1.393560870019151e-15	8.546566135102891e-17	True	7.182566064745434e-16	1.6597528976679193e-17	True	1.7571756589025466e-15	1.69875177769141e-16	True	1.5143914113003998e-16	6.911379524006908e-16	False	-1.2796782919946768e-18	1.8319696325458262e-15	False	2.2226966918526265e-16	1.1839362543182833e-15	False	-5.865314182562509e-17	1.5043899661416316e-15	False	1.4373245691710827e-15	4.899126742365395e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-11_07-29-29_Magellan-Baade_IMACS_None.dat	54873.31	1.4337312641042655e-15	3.6330694347993804e-17	True	1.1961041512297946e-15	4.080781631009993e-17	True	1.5095894440116794e-15	4.901573548370917e-17	True	1.6125896604227002e-15	2.877122429316864e-17	True	9.750495920224372e-16	3.505222917200556e-17	True	1.3786130772534906e-15	1.029849033054753e-16	True	7.339432921170379e-16	1.9315753916942417e-17	True	1.6661006686848908e-15	2.0432149024065177e-16	True	-1.1758525038562686e-16	1.0102384998408884e-15	False	-7.4758264423549185e-19	1.832480918527293e-15	False	1.7998227195586061e-16	1.561661892265291e-15	False	-4.591068249425898e-17	1.576008731663136e-15	False	1.4325200110095992e-15	4.899329315302375e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-19_02-16-09_CA-2.2m_CAFOS_None.dat	54881.09	1.1565386161093172e-15	1.559275243754374e-17	True	1.244255263964977e-15	2.368367308893334e-17	True	1.5082559437032792e-15	2.5664323864867474e-17	True	1.4632456748436567e-15	1.6976499579235052e-17	True	1.0485440707985678e-15	1.600011304152221e-17	True	1.386745138540112e-15	4.007648056878756e-17	True	7.783717412285676e-16	1.081565873406199e-17	True	1.3638009497329152e-15	3.0724030299294284e-16	True	-6.842499022707178e-16	2.097383919549133e-15	False	-3.298034693234933e-20	1.832579123407525e-15	False	7.434078619603155e-17	2.262360527317886e-15	False	-1.1183222432463618e-17	1.633706828698779e-15	False	1.4137886239426563e-15	5.165288732980923e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-20_01-56-12_CA-2.2m_CAFOS_None.dat	54882.08	1.1431693096899243e-15	1.4815682193746454e-17	True	1.2536089431948376e-15	2.1503575436920576e-17	True	1.5115758694873053e-15	2.3255256429830148e-17	True	1.4532466598157806e-15	1.5936993939890587e-17	True	1.0626061150078723e-15	1.4424206599437764e-17	True	1.3949024238840352e-15	3.4494157447894274e-17	True	7.857643948126887e-16	1.0038338227840198e-17	True	1.3299561318247662e-15	3.1537074151814925e-16	True	-7.189630185981144e-16	2.2134582290908423e-15	False	-2.119412610185284e-20	1.832579165674507e-15	False	6.599092871060689e-17	2.298926091413941e-15	False	-9.095050819532782e-18	1.6345027001909333e-15	False	1.411366140923674e-15	5.2259494655738016e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-24_07-37-39_LCO-duPont_WFCCD_None.dat	54886.32	1.0814312807977374e-15	2.2130447004984757e-17	True	1.2839280049900695e-15	1.92757235027307e-17	True	1.5127115276927033e-15	2.2758711448775214e-17	True	1.4245195944186227e-15	1.6682932037161763e-17	True	1.1180113172623126e-15	1.672507033681669e-17	True	1.419865624543476e-15	4.087198093931912e-17	True	8.323304959501009e-16	1.097821171068158e-17	True	1.195404093558816e-15	3.343478672197548e-16	True	-8.057205509855557e-16	2.6500059865141437e-15	False	-3.0301900076109345e-21	1.8325791920356197e-15	False	3.913492746640173e-17	2.3929303352308128e-15	False	-3.618345643301088e-18	1.6357232761101518e-15	False	1.4009145318801394e-15	5.5430198449020047e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-25_08-23-51_LCO-duPont_WFCCD_None.dat	54887.35	1.061383576089688e-15	2.38346155169362e-17	True	1.2927601291347875e-15	2.141861973675424e-17	True	1.5163786307920042e-15	2.5211000486102428e-17	True	1.4190721215218164e-15	1.770358450852361e-17	True	1.1300726894180385e-15	1.8603931422086075e-17	True	1.4285489656758498e-15	4.750914870481454e-17	True	8.422190496729306e-16	1.1910357062142859e-17	True	1.1651095152774073e-15	3.348443487358158e-16	True	-8.145727640210029e-16	2.7417933861609904e-15	False	-1.8710318006620824e-21	1.832579192319161e-15	False	3.437974688534514e-17	2.4054831341276398e-15	False	-2.871924159382148e-18	1.635801166004055e-15	False	1.3983595401295789e-15	5.63279986887428e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-02-26_08-03-11_LCO-duPont_WFCCD_None.dat	54888.34	1.0400512299700958e-15	2.4925931195122738e-17	True	1.301375920459982e-15	2.1671761943891404e-17	True	1.520810028499926e-15	2.545231136976947e-17	True	1.4136623598514332e-15	1.849959806927208e-17	True	1.1408018654305928e-15	1.8884743130365494e-17	True	1.437815803814944e-15	4.677879919428357e-17	True	8.506115841219932e-16	1.2431730895075868e-17	True	1.1368176397441746e-15	3.337379115014782e-16	True	-8.195040339966446e-16	2.8250600683772518e-15	False	-1.1738691794626549e-21	1.83257919242104e-15	False	3.032894582070546e-17	2.415117800493288e-15	False	-2.295142154961367e-18	1.6358480668158092e-15	False	1.3958988541606497e-15	5.723360076291857e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-03-15_08-14-42_Magellan-Baade_IMACS_None.dat	54905.34	7.804598430806907e-16	2.7044438387294673e-17	True	1.3565274217125035e-15	2.441217570001566e-17	True	1.4884451156168199e-15	3.248619513577199e-17	True	1.2587391678287207e-15	1.866824375586911e-17	True	1.289319871160439e-15	2.4782428736626585e-17	True	1.509612545413526e-15	5.870931002861017e-17	True	9.491186720648166e-16	1.966720519112617e-17	True	7.544045157080646e-16	8.229617088101959e-17	True	-6.256350316246834e-16	3.671409927263447e-15	False	-3.0313053629565865e-25	1.832579192483705e-15	False	3.2034172891241412e-18	2.4513946498969978e-15	False	-3.9735383875739604e-20	1.6359272611818713e-15	False	1.353353191614418e-15	7.791604882844174e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-03-15_08-14-42_Magellan-Baade_IMACS_None_0.dat	54905.35	7.803416080848402e-16	2.7021029277697063e-17	True	1.3565984773494418e-15	2.4425889592674695e-17	True	1.4883673213612074e-15	3.2479933899543295e-17	True	1.2586100185911393e-15	1.865990549532808e-17	True	1.2892934165981597e-15	2.478105167271374e-17	True	1.5096204093374959e-15	5.876054898841953e-17	True	9.491422739498958e-16	1.9650798788292563e-17	True	7.54225919147528e-16	8.212294854448257e-17	True	-6.254587459657855e-16	3.671670916069712e-15	False	-3.0163332449252777e-25	1.832579192483705e-15	False	3.1990563495885513e-18	2.4513959835939938e-15	False	-3.9637636519298393e-20	1.6359272612821402e-15	False	1.3533282449274352e-15	7.793058503740965e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-03-18_23-53-24_NOT_ALFOSC_None.dat	54909.0	7.407040179054475e-16	1.6082347981616768e-17	True	1.3778123498861667e-15	1.4968358468272557e-17	True	1.452035221845566e-15	1.7996302084868577e-17	True	1.2099473501399476e-15	1.4091849868480908e-17	True	1.2675655648099942e-15	1.5892313169250796e-17	True	1.5083927322839426e-15	3.36520032350938e-17	True	9.488911271433737e-16	1.2186016800917884e-17	True	6.917665825731459e-16	1.018763031989992e-16	False	-5.611032260893618e-16	3.7550031509260145e-15	False	-4.9272816708452644e-26	1.832579192483705e-15	False	1.941184970810677e-18	2.4517091741766484e-15	False	-1.6067460001630943e-20	1.635927278118869e-15	False	1.3442500354607075e-15	8.339800514473989e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-03-20_00-20-03_CA-2.2m_CAFOS_None.dat	54910.01	7.339625941703417e-16	1.570393460500566e-17	True	1.3783660221026366e-15	1.2925619562854495e-17	True	1.4401408450733824e-15	1.8621584911248944e-17	True	1.1965808034515621e-15	1.4221652506651584e-17	True	1.2608604576513771e-15	1.6895944336205948e-17	True	1.5067822575626332e-15	3.8364964563252906e-17	True	9.458699099969906e-16	1.1967763747561955e-17	True	6.754007429598611e-16	1.2925334804625622e-16	False	-5.434919240866303e-16	3.7742721171567995e-15	False	-2.980048253168195e-26	1.832579192483705e-15	False	1.6892584787391359e-18	2.451754465302035e-15	False	-1.249868850315377e-20	1.6359272794059598e-15	False	1.341748117784801e-15	8.496517142615509e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-03-29_07-14-00_LCO-duPont_WFCCD_None.dat	54919.3	6.952919495092226e-16	1.5886303731112588e-17	True	1.375803632672124e-15	1.8086139447103714e-17	True	1.3705557122582146e-15	1.9140665685523814e-17	True	1.1114949511111699e-15	1.382902968419587e-17	True	1.2451034827928431e-15	1.7939259562080323e-17	True	1.4877039722794727e-15	4.1768675001000507e-17	True	9.320686709036865e-16	1.2052915484110455e-17	True	5.416240426652807e-16	4.2371591115380843e-16	False	-3.9351267947432885e-16	3.895190027442957e-15	False	-2.850461979283419e-28	1.832579192483705e-15	False	4.640478586056743e-19	2.4518883713479065e-15	False	-1.2136718664204016e-21	1.6359272813369785e-15	False	1.3189414663985492e-15	1.0029898858367173e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-04-03_05-37-03_LCO-duPont_WFCCD_None.dat	54924.23	6.38561925096503e-16	1.289176779835217e-17	True	1.360475213321566e-15	2.1352726027450876e-17	True	1.3690907358167805e-15	2.346671518751321e-17	True	1.0851372480300747e-15	1.9013248539629338e-17	True	1.2204666809305483e-15	2.5813444289777763e-17	True	1.4681301183358029e-15	6.45759161371248e-17	True	8.945771749384907e-16	1.6183970391813883e-17	True	4.815671753785196e-16	5.772611479132625e-16	False	-3.2590113324203597e-16	3.9306172043343e-15	False	-2.3825071730453082e-29	1.832579192483705e-15	False	2.318134758872921e-19	2.4518969999102975e-15	False	-3.475449009556754e-22	1.6359272813532765e-15	False	1.306988209536344e-15	1.089896659359936e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-04-12_00-15-51_CA-2.2m_CAFOS_None.dat	54933.01	5.791763954011366e-16	1.3022699592942526e-17	True	1.2312981330734465e-15	1.448024895866065e-17	True	1.2305115864683648e-15	1.5287486707544238e-17	True	9.75086292135647e-16	1.6689707122705782e-17	True	1.158097514466871e-15	1.9834957991267003e-17	True	1.3178488787329398e-15	4.424312770444965e-17	True	8.1305570497697e-16	1.3674275998319594e-17	True	3.903478593027458e-16	8.305510910200873e-16	False	-2.2800602595974066e-16	3.966444111231248e-15	False	-2.8141465272026674e-31	1.832579192483705e-15	False	6.657775919394322e-20	2.4518997046678536e-15	False	-3.6852322423004e-23	1.6359272813546937e-15	False	1.285954230974686e-15	1.251811500529769e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-04-16_00-33-18_NOT_ALFOSC_None.dat	54937.02	5.430471213696941e-16	9.457638677866829e-18	True	1.2316762360241742e-15	1.5967674312912197e-17	True	1.1727338327633704e-15	1.6014820141261678e-17	True	9.127510078362962e-16	1.8308556609191817e-17	True	1.1177327480474476e-15	2.782722351492346e-17	True	1.2922354861588849e-15	7.421467058916443e-17	True	7.987044291164027e-16	1.62350099664778e-17	True	3.54537002104096e-16	9.363150260359368e-16	False	-1.922552469827909e-16	3.97562563972037e-15	False	-3.682304914537205e-32	1.832579192483705e-15	False	3.750219873124971e-20	2.4518998757120727e-15	False	-1.3145709538174258e-23	1.6359272813547075e-15	False	1.2764547875263907e-15	1.3282341266510487e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-04-18_03-52-18_LCO-duPont_BC-duPont_None.dat	54939.16	5.169888227396108e-16	1.0571337173690951e-17	True	1.1770354068178104e-15	1.481414492486322e-17	True	1.1284927505474655e-15	1.5144661893260524e-17	True	8.813223461080226e-16	1.4042756013017792e-17	True	1.0791711710386191e-15	1.9081309961243006e-17	True	1.2635878158178293e-15	4.269084482429386e-17	True	7.88542962559963e-16	1.2604956466062863e-17	True	3.3676245107135276e-16	9.900978097060383e-16	False	-1.7524791337978631e-16	3.979334797986927e-15	False	-1.2420929908013862e-32	1.832579192483705e-15	False	2.75814674476995e-20	2.451899912614152e-15	False	-7.573572530127436e-24	1.6359272813547089e-15	False	1.2714125466783836e-15	1.369553446188952e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-04-23_06-15-04_LCO-duPont_BC-duPont_None.dat	54944.26	4.509728858756275e-16	1.3866329995898967e-17	True	1.0581614561420392e-15	1.5742141429942227e-17	True	9.807982099006093e-16	1.605734393648717e-17	True	8.066734293396783e-16	1.7952531623220948e-17	True	9.667358970917287e-16	2.4137275019967188e-17	True	1.1141460714040165e-15	6.233984823809039e-17	True	7.369803050568534e-16	1.4963697793028254e-17	True	2.978413905613036e-16	1.1107880820515943e-15	False	-1.3997204057309486e-16	3.985750465337859e-15	False	-9.28580029491029e-34	1.832579192483705e-15	False	1.3229731366015267e-20	2.4518999464076827e-15	False	-2.0282609619823015e-24	1.6359272813547095e-15	False	1.2594720888150439e-15	1.4693544068390864e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-05-01_03-52-20_Magellan-Clay_LDSS-3_None.dat	54952.16	3.217148648175532e-16	6.673047150628631e-18	True	8.142436271278006e-16	9.892877358712212e-18	True	7.352047801933173e-16	9.958214315974859e-18	True	5.681661312745567e-16	9.98588611870193e-18	True	7.589164817867129e-16	1.0812694766075851e-17	True	8.853665562818134e-16	2.3784547704180682e-17	True	5.69999848100211e-16	8.210108859341769e-18	True	2.4607306981677075e-16	1.2773362151018043e-15	False	-9.786296239185039e-17	3.991284429776096e-15	False	-1.656974577938109e-35	1.832579192483705e-15	False	4.2138665631509516e-21	2.45189995562395e-15	False	-2.613818760809687e-25	1.6359272813547095e-15	False	1.2411860327815913e-15	1.6271056684835884e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-05-03_21-33-39_CA-2.2m_CAFOS_None.dat	54954.9	2.545656141745222e-16	5.88149208996315e-18	True	6.655551813339023e-16	1.096594804953107e-17	True	5.7841932402006965e-16	1.0295380537746126e-17	True	4.3999908484368605e-16	9.142164152421263e-18	True	6.234319178776228e-16	1.0809009948015223e-17	True	7.367096385411273e-16	2.506275830545623e-17	True	4.697817012092163e-16	9.273516318793057e-18	True	2.3025873147252267e-16	1.329525118941159e-15	False	-8.623253861947384e-17	3.992428342076542e-15	False	-4.091962184344881e-36	1.832579192483705e-15	False	2.829311391065206e-21	2.4518999562043787e-15	False	-1.281629267848921e-25	1.6359272813547095e-15	False	1.2349028770769076e-15	1.6825787814401942e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009N/2009N_2009-05-09_21-38-41_NOT_ALFOSC_None.dat	54960.9	8.248415380261011e-17	4.695221300038451e-18	True	2.45620456605543e-16	6.1742402259756146e-18	True	1.9985602798466643e-16	6.701801704083958e-18	True	2.1874205723774677e-16	9.921380877878174e-18	True	2.8622760650775646e-16	9.743314863537109e-18	True	3.2404773832100607e-16	2.2947588227174844e-17	True	2.462054043714176e-16	9.267600606087152e-18	True	1.9901243773995998e-16	1.4343339136706414e-15	False	-6.512059481587607e-17	3.994100288212479e-15	False	-1.9072563645233827e-37	1.832579192483705e-15	False	1.1797065143353997e-21	2.4518999566011055e-15	False	-2.682872705817936e-26	1.6359272813547095e-15	False	1.2212494954115891e-15	1.8051998136707502e-16	False
