MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err
55040.5414999939	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.591499993905	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.64149999391	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.69149999391	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.741499993914	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.79149999392	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.84149999392	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.89149999392	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.941499993925	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55040.99149999393	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.04149999393	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.091499993934	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.14149999394	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.19149999394	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.24149999394	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.291499993946	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.34149999395	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.39149999395	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.441499993954	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.49149999396	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.54149999396	1.566994559187884e-15	3.0263980858774365e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.59149999396	1.5913180104313816e-15	2.9506015017366206e-17	nan	nan	5.995542259153069e-16	2.3113519811409768e-18	8.435078204842335e-16	1.0662537842125586e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.641499993966	1.6156555150273878e-15	2.880575202264912e-17	nan	nan	6.193008224177043e-16	2.0613316288763625e-18	8.801674725495833e-16	1.055399983669375e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.69149999397	1.6400010220267724e-15	2.81644191219444e-17	nan	nan	6.389924655228959e-16	1.9135992231105154e-18	9.160963715959815e-16	1.1113292802885945e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.74149999397	1.6643483918318175e-15	2.7583037011469006e-17	3.475507579709568e-16	1.6602071785408952e-18	6.585213710598313e-16	1.851636439070921e-18	9.506163075224588e-16	1.1511190567406648e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.791499993975	1.6886907283674927e-15	2.7062047325395743e-17	3.557542144107037e-16	1.5413425417299955e-18	6.777797651319275e-16	1.8555974137400653e-18	9.831076786574537e-16	1.2387199480122248e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.84149999398	1.7130207525065854e-15	2.6601463853743118e-17	3.639426027829555e-16	1.467012391400281e-18	6.966751340982816e-16	1.904804121388652e-18	1.0134750338794682e-15	1.3421978354373903e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.89149999398	1.7373311821152366e-15	2.620103535125262e-17	3.7208852341195024e-16	1.4303582551185608e-18	7.151605761850644e-16	1.9762367304251224e-18	1.041898770435031e-15	1.392048104755791e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.94149999398	1.7616147370956814e-15	2.5860226798149934e-17	3.801645762831487e-16	1.4239559250770103e-18	7.331976728318063e-16	2.054027864145439e-18	1.0685617148546116e-15	1.380136367098196e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55041.99149999399	1.7858644412816814e-15	2.5578078157957332e-17	3.8814339526850623e-16	1.4410690795055673e-18	7.5074800372240435e-16	2.1306678881583735e-18	1.0936466614383782e-15	1.364185703557828e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.04149999399	1.8100739421735306e-15	2.5353067635011496e-17	3.96003221199585e-16	1.474972840405773e-18	7.677731466915477e-16	2.205067490546171e-18	1.1173334301093011e-15	1.4418401961874255e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.09149999399	1.834236963907979e-15	2.5183362787277937e-17	4.0373406062643525e-16	1.5178290540917374e-18	7.842370800962562e-16	2.27986048803742e-18	1.1397648726239067e-15	1.590265931106158e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.141499993995	1.8583472305701512e-15	2.5066879877140847e-17	4.1132740177238975e-16	1.5637559689367803e-18	8.001341392796765e-16	2.3534092579703604e-18	1.1610586350953138e-15	1.7142564696409493e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.191499994	1.8823984661914824e-15	2.5001318021836804e-17	4.187747317660258e-16	1.6091755042275375e-18	8.154794624871951e-16	2.421421798289205e-18	1.1813318580406262e-15	1.762022740333789e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.241499994	1.90638439638107e-15	2.4984198876412427e-17	4.260675365726714e-16	1.6524857739272536e-18	8.302885917296177e-16	2.481745640735234e-18	1.2007016632296913e-15	1.7270580568486771e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.291499994004	1.930299239323915e-15	2.5012823398444152e-17	4.3319730092552964e-16	1.693659743495897e-18	8.445770669386167e-16	2.5345494471786565e-18	1.2192851558706936e-15	1.6478690099981425e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.34149999401	1.9541384022306116e-15	2.5084196031871053e-17	4.4015550826074926e-16	1.7338450456455598e-18	8.583604260103992e-16	2.5821856049505584e-18	1.2371994266755094e-15	1.613393369362222e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.39149999401	1.977897468217116e-15	2.519525458447924e-17	4.469340899555925e-16	1.774807180618602e-18	8.71654204910866e-16	2.6288496406421277e-18	1.2545529466887419e-15	1.7206361002295451e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.44149999401	2.00157202045927e-15	2.5342949727389998e-17	4.53531916624348e-16	1.8162934002122165e-18	8.844739849110673e-16	2.6799222177093765e-18	1.2713956169106179e-15	1.918932250634399e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
