MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err
55042.491499994016	2.025157641961519e-15	2.5524288010721127e-17	4.5995331396539315e-16	1.8564867012325973e-18	8.968380473163614e-16	2.7370685057352147e-18	1.2877529372718785e-15	2.1094731063183606e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.54149999402	2.0486499157923255e-15	2.573636872444336e-17	4.66202753349858e-16	1.8940086856532612e-18	9.08768785660624e-16	2.795844746643972e-18	1.3036503183005961e-15	2.2314924576157464e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.59149999402	2.0720444249912397e-15	2.5976413809941994e-17	4.722847047796322e-16	1.9280666067526717e-18	9.202889372396946e-16	2.8521696067832042e-18	1.3191131620141795e-15	2.257939210237258e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.641499994024	2.0953367631375977e-15	2.6241789546662574e-17	4.782036369230131e-16	1.9584917833259164e-18	9.314212377033942e-16	2.903381652835757e-18	1.3341668623514832e-15	2.1880906445738243e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.69149999403	2.118523227979412e-15	2.6529923956479277e-17	4.839640171494613e-16	1.985737460729653e-18	9.421884212426755e-16	2.9484921020262014e-18	1.3488368056988529e-15	2.048587889576924e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.74149999403	2.14160124837723e-15	2.6838258301570553e-17	4.895703115618111e-16	2.0108426480319623e-18	9.52613220620813e-16	2.9882484991128537e-18	1.3631483713147187e-15	1.9031313334341884e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.79149999403	2.1645683551759884e-15	2.716440389247027e-17	4.950269850385373e-16	2.0353599168666036e-18	9.627183672946048e-16	3.0250518364596866e-18	1.3771269318055418e-15	1.85932424098653e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.841499994036	2.187422079239208e-15	2.7506161603746332e-17	5.003385012616374e-16	2.061239624650087e-18	9.725265914366523e-16	3.0627263007621945e-18	1.3907955675775179e-15	2.0028347302823618e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.89149999404	2.2101599513374857e-15	2.7861522569863686e-17	5.055093297385216e-16	2.0906229103824254e-18	9.820606221127051e-16	3.1061114416595677e-18	1.4041678741313406e-15	2.2600078859451513e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.94149999404	2.2327795022001166e-15	2.8228665437774956e-17	5.105442453517547e-16	2.1239656093826156e-18	9.913419084674804e-16	3.159261344536546e-18	1.4172549847908964e-15	2.5292346606197984e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55042.991499994045	2.255278262618347e-15	2.8605950997938757e-17	5.154484416114383e-16	2.1593698280241864e-18	1.0003844993195931e-15	3.219245821987442e-18	1.4300680275594978e-15	2.7455649469345853e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.04149999405	2.277653763154208e-15	2.899191491290658e-17	5.202271413052213e-16	2.1949376424583624e-18	1.0091997874734116e-15	3.280896601825524e-18	1.4426181253240395e-15	2.8736921052278602e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.09149999405	2.29990353455145e-15	2.9385259014128853e-17	5.248855662228816e-16	2.229097049262745e-18	1.0177991614511623e-15	3.339857401054794e-18	1.4549163960178223e-15	2.8976132531462897e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.14149999405	2.3220251257072813e-15	2.978483881633832e-17	5.294289371908275e-16	2.260700038673551e-18	1.0261940089462695e-15	3.3929506210116907e-18	1.4669739529036149e-15	2.8159151831598167e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.191499994056	2.3440167687525683e-15	3.018954683528385e-17	5.338624741148744e-16	2.2890769668072473e-18	1.0343957168135535e-15	3.438363772935598e-18	1.4788019046700961e-15	2.642158606606853e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.24149999406	2.365877564528497e-15	3.059827370117555e-17	5.381913960248046e-16	2.3140599653318363e-18	1.0424156712082545e-15	3.475721241997578e-18	1.4904113557424724e-15	2.4106314234075986e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.29149999406	2.3876066702116486e-15	3.101003071142267e-17	5.424209211098864e-16	2.3359835893570416e-18	1.0502652575610794e-15	3.5060802018417105e-18	1.501813406391443e-15	2.1885807745705788e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.341499994065	2.4092032428526366e-15	3.1423951046252424e-17	5.465562667669992e-16	2.3556658696054467e-18	1.0579558606236526e-15	3.531862607608412e-18	1.5130191530049923e-15	2.086337882866587e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.39149999407	2.4306664394525167e-15	3.183928196166735e-17	5.50602649634115e-16	2.3743683881519326e-18	1.0654988645656552e-15	3.5567113670767644e-18	1.5240391295196e-15	2.208598394858551e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.44149999407	2.451995417014408e-15	3.225537718149262e-17	5.545652856376601e-16	2.393730563604055e-18	1.0729056529391775e-15	3.585241915686764e-18	1.53488008911579e-15	2.502649184751227e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.491499994074	2.4731893324526356e-15	3.267168946335302e-17	5.584493900338902e-16	2.415671683136188e-18	1.0801876088052664e-15	3.6226553458630265e-18	1.545547217169655e-15	2.8560747305500776e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.54149999408	2.4942473426319637e-15	3.3087763460252574e-17	5.622601759057188e-16	2.442253105804674e-18	1.0873550509910948e-15	3.6728477536849515e-18	1.556045690701933e-15	3.1906291304360093e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.59149999408	2.515168604444002e-15	3.350322892149374e-17	5.660021184890848e-16	2.4745039051020644e-18	1.0944130135397428e-15	3.732644855940881e-18	1.5663806835821003e-15	3.460595546549312e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.64149999408	2.535952274600704e-15	3.391779422751959e-17	5.696777752627295e-16	2.5107291234431398e-18	1.101364892388363e-15	3.796756637749796e-18	1.5765573665183498e-15	3.640211900794626e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.691499994085	2.556597509898689e-15	3.433124021738111e-17	5.732893955330685e-16	2.5488394560063935e-18	1.1082140825401475e-15	3.860372620234379e-18	1.5865809072241739e-15	3.7158388283296314e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.74149999409	2.5771034676487636e-15	3.474341424033978e-17	5.768392280851756e-16	2.586921266445898e-18	1.114963978559824e-15	3.919506018137416e-18	1.5964564704584427e-15	3.68239402757686e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.79149999409	2.5974695867829468e-15	3.515415998601029e-17	5.803295212104082e-16	2.6233401206788807e-18	1.1216179746663417e-15	3.971191802341499e-18	1.6061892181744511e-15	3.54243031323132e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.841499994094	2.6176960261021675e-15	3.5563211871595646e-17	5.837625227165935e-16	2.6568062676187026e-18	1.128179464690984e-15	4.01358683677565e-18	1.6157843095650085e-15	3.3073714440059656e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.8914999941	2.6377830577595943e-15	3.597033131065591e-17	5.871404799471243e-16	2.6864123917200757e-18	1.1346518420934111e-15	4.046010980219601e-18	1.6252469011789188e-15	3.0016334157995116e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.9414999941	2.657730953776235e-15	3.637532985917961e-17	5.904656398046395e-16	2.7116526493279547e-18	1.1410385000195852e-15	4.068953608111371e-18	1.6345821470048997e-15	2.671643505383763e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55043.9914999941	2.677539986230917e-15	3.6778066341719995e-17	5.937402487601906e-16	2.7324294884920074e-18	1.1473428312286951e-15	4.084055048297821e-18	1.643795198576789e-15	2.4007557816964678e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.041499994106	2.697210427101284e-15	3.717844415903846e-17	5.969665528750119e-16	2.749051936295393e-18	1.1535682282090095e-15	4.094058731546072e-18	1.6528912050436862e-15	2.3140609991466424e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.09149999411	2.7167425482741175e-15	3.757640868257139e-17	6.001467978203811e-16	2.762226349607192e-18	1.1597180830816285e-15	4.102717838578594e-18	1.6618748152917733e-15	2.4966806300893103e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.14149999411	2.7361366216403307e-15	3.797194475785912e-17	6.032832288922605e-16	2.773038203267681e-18	1.1657957877457478e-15	4.114630973025389e-18	1.6707488661837173e-15	2.8646556928369982e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.191499994115	2.755392919080511e-15	3.836507433503328e-17	6.063780910300113e-16	2.782921422961165e-18	1.171804733738742e-15	4.134977797132237e-18	1.6795157814261247e-15	3.302861585589135e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.24149999412	2.774511712332761e-15	3.875585415044245e-17	6.09433628833072e-16	2.7936102319668873e-18	1.1777483109279059e-15	4.169126406217109e-18	1.6881779826489747e-15	3.734388171562966e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.29149999412	2.793493273139312e-15	3.914437354197852e-17	6.12452086582092e-16	2.8070678686481775e-18	1.1836293207269195e-15	4.219652593650432e-18	1.6967378893768131e-15	4.114265704639564e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.34149999412	2.812337873219682e-15	3.953075228061308e-17	6.154357082526813e-16	2.825387402044551e-18	1.1894490779974894e-15	4.2823052783784846e-18	1.7051979191953319e-15	4.4161187950634724e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.391499994126	2.8310457841901377e-15	3.991513850053819e-17	6.183867147139671e-16	2.85060816405115e-18	1.1952086661731699e-15	4.3517195475310476e-18	1.7135604876950083e-15	4.624154026537484e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.44149999413	2.849617277613256e-15	4.029770667814102e-17	6.2130661027657005e-16	2.8829170313837084e-18	1.2009091684611554e-15	4.42284016539717e-18	1.721828008519952e-15	4.729195198316063e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.49149999413	2.8680526268295823e-15	4.0678654829287034e-17	6.241960568094754e-16	2.9203373632331537e-18	1.2065516678119789e-15	4.491222671520948e-18	1.7300028934530731e-15	4.726864730504721e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.541499994135	2.8863522869413792e-15	4.105812000283535e-17	6.270556677233026e-16	2.9607623784854338e-18	1.2121372469854593e-15	4.55321459807962e-18	1.738087552458668e-15	4.616946216354581e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.59149999414	2.904517051154133e-15	4.143610525994517e-17	6.298860561823225e-16	3.0021939591504554e-18	1.217666988479408e-15	4.606051497678429e-18	1.7460843936824194e-15	4.403602924410107e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.64149999414	2.9225477493994384e-15	4.1812617142746034e-17	6.326878351100592e-16	3.042831274356371e-18	1.223141974612508e-15	4.647900250955478e-18	1.7539958235465844e-15	4.0965779094955516e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.691499994144	2.9404452115655264e-15	4.2187682075667435e-17	6.354616171913268e-16	3.0811295852921087e-18	1.2285632874467813e-15	4.677874206582599e-18	1.7618242467349656e-15	3.7140369823076904e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.74149999415	2.9582102674931313e-15	4.2561345779883896e-17	6.382080148822869e-16	3.1158361955497562e-18	1.2339320088571008e-15	4.6960356332515845e-18	1.7695720663081395e-15	3.288616428007703e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.79149999415	2.9758437470312494e-15	4.293367274795163e-17	6.409276404096854e-16	3.1460104588056488e-18	1.2392492204982174e-15	4.703392610967661e-18	1.7772416836683876e-15	2.8792690279147124e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.84149999415	2.9933464799008444e-15	4.330474560094949e-17	6.436211057807821e-16	3.1710336235351846e-18	1.2445160038323854e-15	4.701890041368158e-18	1.784835498654885e-15	2.587773570524233e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.891499994155	3.0107192958208167e-15	4.3674664476791105e-17	6.462890227819505e-16	3.1906127531947928e-18	1.249733440115996e-15	4.694387439056406e-18	1.7923559055307245e-15	2.550927953085266e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.94149999416	3.0279630244646362e-15	4.404354637313508e-17	6.489320029877174e-16	3.2047814010002057e-18	1.2549026104182914e-15	4.6846094600093186e-18	1.799804910402621e-15	2.81618147324634e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55044.99149999416	3.045078495441757e-15	4.44115244421152e-17	6.515506577685282e-16	3.213898273435228e-18	1.2600245956017591e-15	4.67704886922399e-18	1.807183818617176e-15	3.2707547169749115e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.041499994164	3.0620665383471793e-15	4.47787472799416e-17	6.541455982887104e-16	3.2186438076801425e-18	1.2651004763506499e-15	4.676797864958678e-18	1.8144938604730993e-15	3.799220316092301e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.09149999417	3.0789279826933018e-15	4.5145378184974886e-17	6.567174355123298e-16	3.22001336109986e-18	1.2701313331709772e-15	4.6892853828379226e-18	1.821736264857545e-15	4.32832660761258e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.14149999417	3.0956636579739394e-15	4.551159435870724e-17	6.592667802163033e-16	3.2193045441427507e-18	1.2751182456437052e-15	4.7198934430518615e-18	1.8289122592724142e-15	4.8156385227994165e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.19149999417	3.112274393625086e-15	4.587758611749882e-17	6.61794242984289e-16	3.218095155500492e-18	1.2800621629623689e-15	4.770765063403976e-18	1.836023069861911e-15	5.2358878963055094e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.241499994176	3.1287610190703458e-15	4.6243556035652965e-17	6.643004342158511e-16	3.218207350954604e-18	1.2849637564090568e-15	4.837505899004233e-18	1.843069921431327e-15	5.573258820768513e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.29149999418	3.1451243636094225e-15	4.660971809555287e-17	6.667859641351185e-16	3.221653401896418e-18	1.2898236613840948e-15	4.9146937556552784e-18	1.8500540374382778e-15	5.817546307998379e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.34149999418	3.1613652566246208e-15	4.6976296763503456e-17	6.692514427884924e-16	3.2305590937833042e-18	1.2946425131095708e-15	4.99704254622296e-18	1.8569766400803726e-15	5.962259743775328e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.391499994184	3.1774845280681854e-15	4.734352201100295e-17	6.716974800553407e-16	3.2470629191044668e-18	1.2994209466721135e-15	5.0796914898395666e-18	1.8638389502413608e-15	6.003691907198607e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.44149999419	3.1934830288666154e-15	4.7711516630463825e-17	6.74124655908563e-16	3.272896399655343e-18	1.3041595969801142e-15	5.158387667492893e-18	1.8706421875650277e-15	5.9405130082588875e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.49149999419	3.2093616334523573e-15	4.8080281693261215e-17	6.765333156624731e-16	3.3072397440148444e-18	1.308859098800266e-15	5.2295866475907924e-18	1.8773875704639622e-15	5.7737159858625466e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.54149999419	3.2251212174245865e-15	4.844981971500641e-17	6.789236933436804e-16	3.3480031094714834e-18	1.3135200867049839e-15	5.290498116342351e-18	1.8840763161170502e-15	5.506894628596814e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.591499994196	3.240762656349438e-15	4.882014163538384e-17	6.812960221522851e-16	3.3930545143338915e-18	1.318143195157067e-15	5.3390995387316035e-18	1.890709640555899e-15	5.146979893422862e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.6414999942	3.256286825735226e-15	4.9191266887201765e-17	6.836505351358676e-16	3.4403308540910894e-18	1.3227290584580101e-15	5.374134819606325e-18	1.897288758589685e-15	4.7057848810933576e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.6914999942	3.271694601106785e-15	4.9563223388590325e-17	6.859874651898706e-16	3.487914791400334e-18	1.327278310726615e-15	5.395109104551451e-18	1.903814883922891e-15	4.203162902054092e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.741499994205	3.2869868578650505e-15	4.993604749009849e-17	6.883070450595089e-16	3.5340870584677e-18	1.3317915859818713e-15	5.402285903334305e-18	1.9102892291089614e-15	3.6734941469777655e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.79149999421	3.302164471443996e-15	5.030978388979396e-17	6.906095073425697e-16	3.577359036393906e-18	1.3362695180814637e-15	5.3966887620612715e-18	1.9167130055891306e-15	3.17834419132695e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.84149999421	3.3172283172053214e-15	5.068448546362765e-17	6.928950844909408e-16	3.616490912564482e-18	1.3407127407289021e-15	5.380106094222773e-18	1.9230874237663193e-15	2.8243976930136713e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.89149999421	3.3321792704652956e-15	5.1060213128909037e-17	6.95164008807046e-16	3.650500230175016e-18	1.3451218874913451e-15	5.355094314766411e-18	1.92941369183531e-15	2.7564437192865007e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.94149999422	3.347018206476173e-15	5.143703555702124e-17	6.974165124592494e-16	3.6786647154684846e-18	1.3494975918236626e-15	5.324970358954124e-18	1.935692848247306e-15	3.0328835944782624e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55045.99149999422	3.361746000541833e-15	5.1815028944630423e-17	6.996528274667056e-16	3.70052226107179e-18	1.3538404870256574e-15	5.293780260708787e-18	1.9419255802418012e-15	3.5388738526177165e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55046.04149999422	3.3763635278236693e-15	5.219427668965302e-17	7.018731857137456e-16	3.715870009630107e-18	1.3581512062509788e-15	5.266226068618624e-18	1.9481125304721833e-15	4.1480939532253255e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55046.091499994225	3.3908716635140506e-15	5.25748690632763e-17	7.040778189451668e-16	3.7247636829150244e-18	1.3624303825641575e-15	5.247530530812586e-18	1.954254340622414e-15	4.779521756989585e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55046.14149999423	3.405271282706226e-15	5.295690281851568e-17	7.062669587722165e-16	3.72751761732103e-18	1.3666786488737668e-15	5.243220386220084e-18	1.9603516513619397e-15	5.386667591331374e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55046.19149999423	3.419563260514094e-15	5.3340480787374514e-17	7.084408366700449e-16	3.724705350895114e-18	1.370896637972526e-15	5.258817932083659e-18	1.9664051024045558e-15	5.9421432618248696e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55046.241499994234	3.433748472010254e-15	5.372571144279364e-17	7.105996839831809e-16	3.717160005862039e-18	1.375084965015721e-15	5.298819855781848e-18	1.972415332497138e-15	6.428770119298179e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55046.29149999424	3.4478277921392735e-15	5.411270841718138e-17	7.127437319255306e-16	3.7059730744568856e-18	1.379244090692293e-15	5.361437956265494e-18	1.978382979429659e-15	6.835138795037049e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
