MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56458.18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.23	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.280000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.33000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.38000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.430000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.48000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.53000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.58000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.63000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.68000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.73000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.780000000035	nan	nan	nan	nan	3.6194149391220565e-17	7.804169407303404e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.649928471860191e-17	1.0890975591274692e-16	2.310973173616604e-17	4.5786882657696223e-17
56458.83000000004	nan	nan	-1.7034132602835097e-18	3.357120722490072e-17	5.029213932498443e-17	7.716610124205373e-17	nan	nan	8.955891305488192e-17	9.007259996498295e-17	-8.669381529416563e-17	7.90879442081696e-17	-4.306388293791403e-18	6.33303671136315e-17	5.1722793839693794e-17	1.0752436456748502e-16	2.828324693355388e-17	4.492742191489361e-17
56458.88000000004	7.246977425782502e-17	1.87114451445609e-16	4.953818974603888e-18	3.30606162660853e-17	6.440059892654102e-17	7.630096110580431e-17	nan	nan	1.0832748306550862e-16	8.853250296372662e-17	-6.323149710351371e-17	7.717996958300461e-17	2.9567531352272695e-18	6.224895505994037e-17	6.695754061210172e-17	1.061447176134889e-16	3.3479831969146965e-17	4.408474985469078e-17
56458.930000000044	9.564173086517547e-17	1.814531136821681e-16	1.1616627096064824e-17	3.255411021918151e-17	7.851953402407397e-17	7.544637124694574e-17	-1.9487955202103913e-17	1.9573569727660742e-16	1.2712163375927445e-16	8.701459612079973e-17	-3.974555137622875e-17	7.528498366869386e-17	1.0256943571144164e-17	6.119208162453272e-17	8.220353123151276e-17	1.0477086146717499e-16	3.869956425619853e-17	4.3259203906088284e-17
56458.98000000005	1.1899844456998925e-16	1.7588625600257377e-16	1.828501460852428e-17	3.2051733262027013e-17	9.264895045123252e-17	7.460242864677626e-17	-1.4152376332043546e-18	1.8668181359589494e-16	1.4594139129846087e-16	8.551933456751952e-17	-1.6235960382160803e-17	7.340312220983369e-17	1.7594324681926215e-17	6.016024595824462e-17	9.746077191792672e-17	1.0340284359028381e-16	4.394252143882068e-17	4.245111627258926e-17
56459.03000000005	1.4254102485109936e-16	1.704173135922598e-16	2.4958985017838774e-17	3.1553530368575815e-17	1.067888540817472e-16	7.376922950584835e-17	1.694324240152449e-17	1.7808775661905325e-16	1.6478678188640464e-16	8.404718444760669e-17	7.297293935056536e-18	7.153452516414971e-17	2.49690386166732e-17	5.915393461886915e-17	1.127292689237603e-16	1.0204071254261933e-16	4.920878139320127e-17	4.166081192824505e-17
56459.08000000005	1.6627058711582472e-16	1.6504980118791002e-16	3.163854182461583e-17	3.1059547312154914e-17	1.209392507201172e-16	7.294686906274625e-17	3.55908641506431e-17	1.7000058663036294e-16	1.836578317510756e-16	8.259862260940185e-17	3.085422923689607e-17	6.967933701077745e-17	3.238122800775103e-17	5.817361816082665e-17	1.2800902844875267e-16	1.0068451803134612e-16	5.449842222764086e-17	4.088860639269308e-17
56459.130000000056	1.90188252729763e-16	1.5978730100138703e-16	3.832368853948379e-17	3.056983066794553e-17	1.3510014622549812e-16	7.213544138707223e-17	5.453104235850548e-17	1.6247034651644306e-16	2.0255456714570837e-16	8.117413618945554e-17	5.443486347098538e-17	6.783770706348375e-17	3.98310359719651e-17	5.721974742602218e-17	1.433000567736854e-16	9.933431094587172e-17	5.98115222836958e-17	4.013480327696741e-17
56459.18000000006	2.1429514904645705e-16	1.5463344657416787e-16	4.5014428674979736e-17	3.0084427809087836e-17	1.49271546433361e-16	7.13350391757177e-17	7.376722761467473e-17	1.5554904855920478e-16	2.214770143386964e-16	7.977422208912674e-17	7.803921454489038e-17	6.600978985924743e-17	4.73186061121958e-17	5.629274953949802e-17	1.5860236010640193e-16	9.799014342002815e-17	6.514816013637495e-17	3.939969159422816e-17
56459.23000000006	2.3859240943745876e-16	1.4959190172515238e-16	5.171076568971916e-17	2.960338682460496e-17	1.6345342252161624e-16	7.054572621922548e-17	9.330290670665525e-17	1.492890590843966e-16	2.404251772751306e-16	7.839937442535355e-17	1.0166730031466911e-16	6.419574552396801e-17	5.484408251885629e-17	5.539302361905993e-17	1.739159447114753e-16	9.665206888053385e-17	7.050830626622882e-17	3.8683431709090286e-17
56459.280000000064	2.6308117332237045e-16	1.446663336344421e-16	5.841269134610832e-17	2.9126738877122494e-17	1.776456069231528e-16	6.976745529393023e-17	1.1314160297602395e-16	1.437407863238076e-16	2.593987254674319e-16	7.704991791816106e-17	1.2531913491636755e-16	6.239569710710847e-17	6.240753968092361e-17	5.452072121073733e-17	1.8924081679674894e-16	9.532014210498002e-17	7.589134545917747e-17	3.7985563111294306e-17
56459.33000000007	2.877625861995012e-16	1.3986037898262732e-16	6.51201713323719e-17	2.8654476422905796e-17	1.918478973586426e-16	6.900015006310705e-17	1.3328687667781385e-16	1.3894966421861228e-16	2.7839707101052415e-16	7.572604850922277e-17	1.489947214290111e-16	6.060964611698611e-17	7.000877221373424e-17	5.367509801866523e-17	2.0457698263895227e-16	9.39944192782789e-17	8.129646553710915e-17	3.7305403866414094e-17
56459.38000000007	3.1263556041347395e-16	1.3517587616343323e-16	7.183316780988204e-17	2.818658746394913e-17	2.0606009159612635e-16	6.824373240666498e-17	1.537412720316311e-16	1.3494958697782854e-16	2.9741961937743983e-16	7.442796675237153e-17	1.726940607969105e-16	5.883757812549442e-17	7.764750512885966e-17	5.285516021995532e-17	2.1992444847429355e-16	9.267495805929684e-17	8.672285439275178e-17	3.664225485935096e-17
56459.43000000007	3.376900573134261e-16	1.3060766205365239e-16	7.855164293571622e-17	2.7723060999631715e-17	2.2028198736356346e-16	6.749812245225257e-17	1.7449160996413637e-16	1.3171782144201241e-16	3.1646577607847695e-16	7.315588137803922e-17	1.9641715392431483e-16	5.707948772699151e-17	8.53234639207642e-17	5.205988250628571e-17	2.3528322056734587e-16	9.136181764970912e-17	9.216970012980344e-17	3.599540224095605e-17
56459.480000000076	3.6291380472574336e-16	1.2614879463528107e-16	8.527555886981505e-17	2.726388712942485e-17	2.3451338241259773e-16	6.676323860074109e-17	1.955126145307079e-16	1.2918485290468214e-16	3.3553494663530274e-16	7.19100092589919e-17	2.2016400195584326e-16	5.5335379966773576e-17	9.303637456307165e-17	5.128821136318416e-17	2.5065330515836953e-16	9.005505885587204e-17	9.763619105489329e-17	3.536411986428291e-17
56459.53000000008	3.882945358161512e-16	1.2179235405019522e-16	9.200487778023121e-17	2.6809057160951627e-17	2.487540745222012e-16	6.603899756500956e-17	2.1677873032268972e-16	1.2727043037677835e-16	3.5462653660369164e-16	7.069057528861712e-17	2.4393460575568315e-16	5.360527197134328e-17	1.0078596350440543e-16	5.05390685650409e-17	2.660347085524588e-16	8.875474417414334e-17	1.0312151566902625e-16	3.4747671847447194e-17
56459.58000000008	4.1381998869034643e-16	1.1753152556478e-16	9.873956183119992e-17	2.6358563723029987e-17	2.6300386141486757e-16	6.532531439757085e-17	2.3826443133688863e-16	1.2588788175235163e-16	3.737399515469977e-16	6.949781216290941e-17	2.6772896643983815e-16	5.1889194809402196e-17	1.0857195766499296e-16	4.9811354854836527e-17	2.814274369817699e-16	8.746093786485357e-17	1.0862486265970377e-16	3.4145315246766023e-17
56459.630000000085	4.394779059939788e-16	1.1335969092768614e-16	1.054795731931598e-16	2.5912400884235703e-17	2.7726254086774693e-16	6.4622102523848e-17	2.599442177558838e-16	1.2494779382052317e-16	3.928745970563662e-16	6.833196005411844e-17	2.915470849697883e-16	5.018719564772499e-17	1.163940844323991e-16	4.91039537754976e-17	2.9683149668251095e-16	8.617370603238708e-17	1.1414542089206112e-16	3.355630282303992e-17
56459.68000000009	4.652560345133329e-16	1.0927052905956633e-16	1.122248740322548e-16	2.5470564281334783e-17	2.915299106379488e-16	6.39292737784578e-17	2.81792612730773e-16	1.2436150637640785e-16	4.1202987874125916e-16	6.719326615684397e-17	3.153889624100294e-16	4.8499340273892513e-17	1.242520716577751e-16	4.8415735617329964e-17	3.1224689396382835e-16	8.489311672140473e-17	1.196823794013446e-16	3.2979885883042606e-17
56459.73000000009	4.911421247758799e-16	1.052581274115532e-16	1.1897542651940066e-16	2.5033051245559862e-17	3.058057685008013e-16	6.324673844002731e-17	3.03784159165877e-16	1.2404409174084512e-16	4.312052022250345e-16	6.608198411259898e-17	3.3925459985367266e-16	4.6825716003555054e-17	1.3214564765224957e-16	4.774556144569184e-17	3.2767363509434727e-16	8.361924001250779e-17	1.25234927384049e-16	3.2415317178573876e-17
56459.78000000009	5.171239306507332e-16	1.013171058548598e-16	1.2573119282980784e-16	2.459986093975549e-17	3.200899121824421e-16	6.257440526787375e-17	3.258934165053142e-16	1.2391664100287067e-16	4.50399973160736e-16	6.499837326892637e-17	3.6314399840527556e-16	4.516643514111436e-17	1.400745411827155e-16	4.709228717222008e-17	3.431117263264845e-16	8.235214811042692e-17	1.3080225419002589e-16	3.18618538458071e-17
56459.830000000096	5.431892089496283e-16	9.744275564676676e-17	1.3249213514154984e-16	2.4170994507597996e-17	3.343821395019243e-16	6.19121815370331e-17	3.4809495752113797e-16	1.2390782131897255e-16	4.696135972190928e-16	6.394269779758899e-17	3.8705715895764095e-16	4.352163903907518e-17	1.480384814680256e-16	4.645476763401356e-17	3.5856117398154265e-16	8.109191546369805e-17	1.363835493137932e-16	3.1318760368365624e-17
56459.8800000001	5.69325719027558e-16	9.363119688231798e-17	1.392582156260196e-16	2.3746455218334297e-17	3.4868224821271366e-16	6.125997308015074e-17	3.703633651024841e-16	1.2395477331605994e-16	4.888454800651496e-16	6.291522563300638e-17	4.1099408278129607e-16	4.1891502940477954e-17	1.5603719817543684e-16	4.583186064596988e-17	3.740219842876258e-16	7.983861887401177e-17	1.4197800238691403e-16	3.078531154901753e-17
56459.9300000001	5.955212223837306e-16	8.987955891472725e-17	1.460293964679712e-16	2.3326248627188315e-17	3.6299003606281026e-16	6.061768431725619e-17	3.9267322904580227e-16	1.2400347503805446e-16	5.080950274132172e-16	6.191622722460833e-17	4.3495477088922884e-16	4.0276241766914343e-17	1.640704214166283e-16	4.5222430993942034e-17	3.894941635822451e-16	7.859233761061966e-17	1.4758480316909712e-16	3.0260795476337334e-17
56459.980000000105	6.217634822624035e-16	8.61861895299035e-17	1.528056398392748e-16	2.2910382741144287e-17	3.773053008293642e-16	5.998521830129684e-17	4.14999142845535e-16	1.2400871580825754e-16	5.273616449744486e-16	6.094597410349825e-17	4.589392244146121e-16	3.867611710541475e-17	1.7213788174370126e-16	4.462535433852227e-17	4.0497771814213e-16	7.735315354534696e-17	1.532031415403053e-16	2.9744516474840424e-17
56460.03000000011	6.480402632537186e-16	8.255090018795091e-17	1.595869079308878e-16	2.2498868190300087e-17	3.9162784033507243e-16	5.936247674738297e-17	4.373157004852418e-16	1.239338133699981e-16	5.466447384757867e-16	6.000473723740922e-17	4.829474445306806e-16	3.709144565547483e-17	1.8023931014542798e-16	4.403952100238251e-17	4.2047265421969717e-16	7.612115128394606e-17	1.5883220749248293e-16	2.9235798029166934e-17
56460.08000000011	6.7433933089503335e-16	7.897525633744123e-17	1.6637316292613268e-16	2.2091718411964573e-17	4.0595745229514126e-16	5.874936007671101e-17	4.595974932285688e-16	1.237501839738468e-16	5.659437136643869e-16	5.909278518867767e-17	5.069794323419916e-16	3.552260954808289e-17	1.883744380438386e-16	4.3463839617878064e-17	4.359789781362494e-16	7.489641831736611e-17	1.644711911210742e-16	2.873398567583563e-17
