MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56460.130000000114	7.006484512715835e-16	7.546292350350313e-17	1.731643670054689e-16	2.1688949837114717e-17	4.202939345413771e-16	5.814576745202256e-17	4.81819106410041e-16	1.2343684742794667e-16	5.852579763107739e-16	5.821038203331325e-17	5.310351889531026e-16	3.397006904066194e-17	1.9654299728968765e-16	4.289724061464744e-17	4.514966961766202e-16	7.367904516471225e-17	1.701192826169596e-16	2.8238449858121566e-17
56460.18000000012	7.269553906176088e-16	7.202008115925336e-17	1.7996048236033107e-16	2.1290582094467063e-17	4.346370848290675e-16	5.755159680202148e-17	5.039551162251621e-16	1.2297992318060394e-16	6.045869321753669e-16	5.735778509171304e-17	5.551147155658636e-16	3.243437818718326e-17	2.0474472015916532e-16	4.2338679531513934e-17	4.670258146783208e-16	7.246912554856889e-17	1.7577567225828156e-16	2.7748588743591965e-17
56460.23000000012	7.532479149174069e-16	6.86559165409912e-17	1.8676147117738196e-16	2.0896638208591214e-17	4.489867009426501e-16	5.696674487667177e-17	5.259800865197222e-16	1.2237215172308044e-16	6.239299870634297e-16	5.653524242019245e-17	5.792180134050173e-16	3.091620441221357e-17	2.129793393498086e-16	4.178714014031397e-17	4.825663399140287e-16	7.126675656277063e-17	1.8143955040185228e-16	2.7263831005612052e-17
56460.28000000012	7.795137895063105e-16	6.538320809530511e-17	1.935672956499649e-16	2.0507144827918975e-17	4.633425806938905e-16	5.639110725894538e-17	5.478685655778188e-16	1.2161245839041506e-16	6.432865467644361e-16	5.574299010539576e-17	6.033450835407822e-16	2.9416353001320744e-17	2.212465879769813e-16	4.124163737367359e-17	4.981182781847857e-16	7.007203886224893e-17	1.871101074752745e-16	2.678363857455064e-17
56460.330000000125	8.057407786716219e-16	6.221900055711468e-17	2.0037791797476353e-16	2.012213243874765e-17	4.777045218326108e-16	5.582457840894967e-17	5.695950829084343e-16	1.2070556334531106e-16	6.626560170962822e-16	5.4981249346989674e-17	6.274959272665781e-16	2.79357981469513e-17	2.2954619956980294e-16	4.070122005200475e-17	5.136816358037906e-16	6.88850768595311e-17	1.9278653396847203e-16	2.630750936632112e-17
56460.38000000013	8.319166452537699e-16	5.918535649223152e-17	2.071933003331916e-16	1.9741635611434458e-17	4.920723221723985e-16	5.52670516866283e-17	5.911341460301737e-16	1.1966163109120322e-16	6.820378038869704e-16	5.4250223369063324e-17	6.516705458529323e-16	2.647572237971315e-17	2.378779080674333e-16	4.016497340917497e-17	5.292564191045022e-16	6.770597893353292e-17	1.984680204253682e-16	2.5834980000220837e-17
56460.43000000013	8.580291502469598e-16	5.631013612146452e-17	2.1401340493386228e-16	1.9365693234936266e-17	5.064457794958695e-16	5.4718419381263685e-17	6.124602372539542e-16	1.1849594419424635e-16	7.014313129752406e-16	5.355009414225562e-17	6.758689403471709e-16	2.503756715370395e-17	2.462414478152147e-16	3.963202141886805e-17	5.448426343839105e-16	6.653485766485096e-17	2.0415375743595733e-16	2.5365628520035165e-17
56460.480000000134	8.840660524001896e-16	5.3627700341217036e-17	2.208381939701189e-16	1.899434877583931e-17	5.208246916002143e-16	5.417857273507571e-17	6.335478104633637e-16	1.1722857811562875e-16	7.208359502074117e-16	5.288101899299812e-17	7.000911120484371e-16	2.3623098078913386e-17	2.546365535611163e-16	3.910152892769574e-17	5.604402879754748e-16	6.537183006881006e-17	2.0984293562776157e-16	2.4899077136438135e-17
56460.53000000014	9.100151078181831e-16	5.117934443095906e-17	2.2766762964198533e-16	1.8627650538633254e-17	5.3520885626622695e-16	5.3647401964183277e-17	6.543712878920886e-16	1.1588404660949065e-16	7.402511214411721e-16	5.224312707899015e-17	7.243370622844887e-16	2.2234489550474425e-17	2.630629604516811e-16	3.857270360282537e-17	5.760493861680806e-16	6.421701784638556e-17	2.155347456575093e-16	2.4434995010889773e-17
56460.58000000014	9.35864069561987e-16	4.9013155357267615e-17	2.34501674148054e-16	1.8265651932284665e-17	5.495980713166044e-16	5.3124796274980347e-17	6.749050568987118e-16	1.144908799160033e-16	7.596762325443163e-16	5.163651580387303e-17	7.486067921999449e-16	2.0874435068131532e-17	2.7152040402832797e-16	3.804479770501813e-17	5.916699353194999e-16	6.307054767909416e-17	2.2122837820323118e-16	2.397310110445225e-17
56460.63000000014	9.616006872497463e-16	4.718287420491844e-17	2.4134028969264326e-16	1.7908411755651068e-17	5.639921344975246e-16	5.261064388061392e-17	6.951234667378569e-16	1.1308109144020122e-16	7.791106893953758e-16	5.106124720380647e-17	7.729003031168408e-16	1.954629129228284e-17	2.800086202235295e-16	3.751710969984724e-17	6.073019417631917e-16	6.193255149562202e-17	2.2692302395571707e-16	2.351316711728378e-17
56460.680000000146	9.872127066572098e-16	4.574531561025215e-17	2.481834384824577e-16	1.755599447280876e-17	5.783908436571912e-16	5.210483200033948e-17	7.150008253280549e-16	1.1168948393215318e-16	7.985538978779354e-16	5.051734433086818e-17	7.972175963743806e-16	1.8254266226905992e-17	2.885273453573633e-16	3.698898572147592e-17	6.229454118083021e-16	6.080316680997328e-17	2.3261787361041566e-16	2.305502054713756e-17
56460.73000000015	1.012687869318289e-15	4.4756076778135945e-17	2.550310827184755e-16	1.7208470506723682e-17	5.927939963268007e-16	5.1607246278593495e-17	7.345113960154544e-16	1.1035274532559325e-16	8.180052638875806e-16	5.000478772472898e-17	8.215586732030301e-16	1.7003663405646785e-17	2.970763161332096e-16	3.6459820905086334e-17	6.386003518004469e-16	5.96825370298858e-17	2.383121178590756e-16	2.259854789660007e-17
56460.78000000015	1.038013912125695e-15	4.426377302324984e-17	2.6188318461312727e-16	1.6865916528141776e-17	6.072013699386059e-16	5.111772432125805e-17	7.536293943335548e-16	1.0910828996598522e-16	8.374641933255814e-16	4.952351199516675e-17	8.45923534850424e-16	1.5801194428560232e-17	3.056552696340892e-16	3.5929060604934795e-17	6.542667680730848e-16	5.857081182923799e-17	2.440049473814853e-16	2.214369806044433e-17
56460.830000000155	1.0631786265458042e-15	4.430367403716156e-17	2.687397063669141e-16	1.65284157514368e-17	6.216127078339027e-16	5.0636023126838585e-17	7.723296147289611e-16	1.0799202561709466e-16	8.569302459094346e-16	4.907326919973404e-17	8.703121828102902e-16	1.4655367707577126e-17	3.1426394331957026e-16	3.5396201516185926e-17	6.699446669637274e-16	5.746814752388661e-17	2.4969555283742165e-16	2.1690485924763942e-17
56460.88000000016	1.0881770120476125e-15	4.487724430226723e-17	2.7560061019656123e-16	1.619605822584394e-17	6.36027750080074e-16	5.016189143201002e-17	7.906112877506602e-16	1.0700686042066491e-16	8.764038132756283e-16	4.8653039304401023e-17	8.947246182158016e-16	1.3576945938197489e-17	3.229020750210213e-16	3.4860792719230664e-17	6.856340548098854e-16	5.637470746896581e-17	2.553831248581436e-16	2.1238996208581006e-17
56460.93000000016	1.1130180720811133e-15	4.593731010196784e-17	2.824658583159308e-16	1.5868941117480186e-17	6.504462367754752e-16	4.9695077758806303e-17	8.085054033952357e-16	1.0611328009602146e-16	8.958855670389387e-16	4.8261512604174296e-17	9.191608425034552e-16	1.2579427769838942e-17	3.315694029384296e-16	3.432243666553192e-17	7.013349379895915e-16	5.529066249872213e-17	2.610668540382672e-16	2.0789387577064716e-17
56460.98000000016	1.1377124143813296e-15	4.74209227140014e-17	2.8933541293315886e-16	1.5547168990476496e-17	6.648679079401205e-16	4.923533076971611e-17	8.260450271599888e-16	1.0526806181508359e-16	9.15376179041525e-16	4.7897338747484e-17	9.436208570754096e-16	1.1679432833452085e-17	3.40265665636614e-16	3.3780790124397556e-17	7.170473228282004e-16	5.42161913791201e-17	2.667459309274441e-16	2.034189704958972e-17
56461.030000000166	1.1622706416935015e-15	4.926008417835567e-17	2.9620923626640217e-16	1.5230854069451553e-17	6.792925036596119e-16	4.878239960917335e-17	8.432631778882075e-16	1.0442854338180848e-16	9.34876321129336e-16	4.755913367738536e-17	9.681046631792992e-16	1.0896739917058546e-17	3.489906020413853e-16	3.323556511039575e-17	7.327712156794317e-16	5.315148129640622e-17	2.7241954602227265e-16	1.9896844720193165e-17
56461.08000000017	1.1867033521064238e-15	5.13877583565282e-17	3.030872905290457e-16	1.4920116476659603e-17	6.937197639922234e-16	4.8336034238949263e-17	8.601928317635798e-16	1.0355400253550221e-16	9.543866651546372e-16	4.7245486557419745e-17	9.926122623202986e-16	1.0253564643997721e-17	3.5774395143570614e-16	3.268652981076244e-17	7.48506622892953e-16	5.20967283894299e-17	2.78086889757903e-16	1.945463879435937e-17
56461.13000000017	1.2110211393860476e-15	5.374187561797866e-17	3.099695379406778e-16	1.4615084450564988e-17	7.081494290053381e-16	4.789598578354635e-17	8.768669263006735e-16	1.0260680836033173e-16	9.739078829842204e-16	4.695496677651455e-17	1.0171436557746578e-15	9.772581834771477e-18	3.665254534561889e-16	3.2133509531918893e-17	7.642535508467966e-16	5.1052138276957496e-17	2.837471524997026e-16	1.901578093144852e-17
56461.180000000175	1.2352345933087914e-15	5.626739415706495e-17	3.1685594072184113e-16	1.431589452504952e-17	7.225812387718048e-16	4.746200686890267e-17	8.933183643317265e-16	1.0155336914183466e-16	9.934406464905626e-16	4.6686130907441695e-17	1.0416988450017662e-15	9.4734584839754e-18	3.7533484808900683e-16	3.157638768427451e-17	7.800120059027865e-16	5.001792666901502e-17	2.8939952453515604e-16	1.858087185607195e-17
56461.23000000018	1.2593542999950452e-15	5.891690713035941e-17	3.2374646109546445e-16	1.40226916590078e-17	7.37014933340788e-16	4.703385195565869e-17	9.095800179900497e-16	1.003649204308299e-16	1.0129856275612997e-15	4.643752954652383e-17	1.0662778342367146e-15	9.36837039499281e-18	3.841718756665695e-16	3.101510682350771e-17	7.957819944146422e-16	4.8994319968643975e-17	2.9504319606559205e-16	1.8150617170465393e-17
56461.28000000018	1.2833908422419979e-15	6.165035218754337e-17	3.306410612773185e-16	1.3735629309981508e-17	7.514502528033553e-16	4.661127767441752e-17	9.256847326906574e-16	9.90182090922991e-17	1.0325434980903835e-15	4.620771393949164e-17	1.0908807106994788e-15	9.454963710807547e-18	3.9303627686341647e-16	3.044966976591834e-17	8.11563522760396e-16	4.79815559413081e-17	3.0067735719797264e-16	1.7725833255258767e-17
56461.330000000184	1.3073547998570096e-15	6.443426821190145e-17	3.3753970349653535e-16	1.3454869453068902e-17	7.65886937212315e-16	4.619404314778202e-17	9.416653311081441e-16	9.749613572768622e-17	1.0521149299818717e-15	4.59952423180184e-17	1.1155076560697262e-15	9.715713283223553e-18	4.0192779269278593e-16	2.9880140794413904e-17	8.273565973018719e-16	4.697988440051311e-17	3.0630119793636216e-16	1.7307453087867464e-17
56461.38000000019	1.3312567499904093e-15	6.72408920614791e-17	3.4444234997604363e-16	1.3180582487092475e-17	7.803247266314064e-16	4.57819103161095e-17	9.575546171525897e-16	9.57884212871109e-17	1.0717005951612971e-15	4.579868587794925e-17	1.1401588573553268e-15	1.012536331565684e-17	4.108461645027749e-16	2.930664697037028e-17	8.431612244373629e-16	4.5989567937544154e-17	3.1191390817392526e-16	1.6896531733853072e-17
56461.43000000019	1.3551072674687683e-15	7.004726118399724e-17	3.5134896293781757e-16	1.2912947070744914e-17	7.947633611644504e-16	4.5374644254171574e-17	9.733853799433384e-16	9.389236566260616e-17	1.0913011655598775e-15	4.561663437085002e-17	1.1648345014210724e-15	1.0655817900556936e-17	4.1979113397230367e-16	2.872937956446387e-17	8.589774104962757e-16	4.5010882688869156e-17	3.175146776848016e-16	1.6494251173352077e-17
56461.48000000019	1.3789169251272899e-15	7.28344018895055e-17	3.582595046191013e-16	1.2652149822477473e-17	8.092025808296394e-16	4.49720134658609e-17	9.891903977815712e-16	9.181376722130771e-17	1.1109173131220937e-15	4.544770123598916e-17	1.1895347751889862e-15	1.12799848078782e-17	4.2876244310805797e-16	2.814859561723711e-17	8.748051619214768e-16	4.404411913693908e-17	3.23102696115391e-16	1.610192401136413e-17
56461.530000000195	1.4026962941431568e-15	7.558663198050465e-17	3.651739372442549e-16	1.2398384891178274e-17	8.236421257253286e-16	4.4573790214923253e-17	1.0050024421215893e-15	8.95680714875465e-17	1.1305497098107446e-15	4.529052827667535e-17	1.214259865621153e-15	1.1973994894725437e-17	4.3775983424011585e-16	2.756461963640903e-17	8.906444850626336e-16	4.3089582936406113e-17	3.28677152976523e-16	1.5720995489315282e-17
56461.5800000002	1.4264559443681162e-15	7.829097941511752e-17	3.7209222304097886e-16	1.2151853372802302e-17	8.380817359116138e-16	4.4179750786016667e-17	1.0208542815414847e-15	8.718181055748533e-17	1.1501990276006289e-15	4.514378984236974e-17	1.2390099596853806e-15	1.2717979251783255e-17	4.467830500186055e-16	2.697784543391343e-17	9.064953862896743e-16	4.2147595786779976e-17	3.3423723763493854e-16	1.5353043067821966e-17
56461.6300000002	1.450206444661167e-15	8.093670623282527e-17	3.7901432424460857e-16	1.1912762537945116e-17	8.52521151455878e-16	4.3789675794159e-17	1.0367786857132684e-15	8.46943736932803e-17	1.1698659384873895e-15	4.5006196530533326e-17	1.2637852443552e-15	1.3495954684446112e-17	4.558318334100248e-16	2.6388738098397938e-17	9.223578720414127e-16	4.121849630672602e-17	3.3978213930522656e-16	1.4999772698309002e-17
56461.680000000204	1.4739583632215372e-15	8.351492258183096e-17	3.8594020308713904e-16	1.1681324877592505e-17	8.669601124455451e-16	4.3403350448233454e-17	1.0528084293731687e-15	8.216009787176675e-17	1.1895511144748797e-15	4.4876498394627724e-17	1.2885859065698035e-15	1.4295305969396753e-17	4.649059276931001e-16	2.5797836091982397e-17	9.38231948679673e-16	4.030264095295069e-17	3.453110470412928e-16	1.466301076164045e-17
56461.73000000021	1.4977222679211007e-15	8.601827534267223e-17	3.928698218053372e-16	1.1457756919582452e-17	8.81398358926136e-16	4.302056482734519e-17	1.0689762962921797e-15	7.965055864758411e-17	1.2092552275789539e-15	4.4753487688317264e-17	1.313412133400015e-15	1.5106165719579607e-17	4.740050764557097e-16	2.5205753448054233e-17	9.541176226230087e-16	3.9400404943641914e-17	3.5082314972834557e-16	1.4344690549155482e-17
56461.78000000021	1.5215087266373133e-15	8.844069729906644e-17	3.9980314263119815e-16	1.1242277811522589e-17	8.958356309777868e-16	4.264111413706018e-17	1.0853150832472285e-15	7.725674066518124e-17	1.2289789498596797e-15	4.4636001136528813e-17	1.3382641117449647e-15	1.5920836663750503e-17	4.831290228371855e-16	2.461318177035129e-17	9.700148950222209e-16	3.851218199865253e-17	3.563176360745618e-16	1.404683213578457e-17
